Date,Open,High,Low,Close,Volume
2023-01-02,934.02,934.85,932.45,933.27,43050715
2023-01-03,941.45,947.59,938.34,944.48,30212924
2023-01-04,928.57,930.77,926.43,928.62,68201069
2023-01-05,926.04,927.53,923.88,925.36,70111183
2023-01-06,917.08,924.37,908.79,916.07,68561692
2023-01-09,925.69,930.36,920.69,925.36,47964626
2023-01-10,938.65,943.59,933.17,938.11,52082762
2023-01-11,931.67,935.28,925.32,928.93,64535987
2023-01-12,920.92,924.74,914.85,918.67,59668109
2023-01-13,913.6,924.77,907.72,918.86,49000348
2023-01-16,910.84,915.46,906.8,911.42,32350133
2023-01-17,910.39,915.76,905.33,910.69,55896021
2023-01-18,903.58,910.48,899.86,906.75,69009490
2023-01-19,911.42,914.9,907.77,911.25,38076912
2023-01-20,918.69,920.24,914.86,916.41,63027724
2023-01-23,911.51,913.99,911.01,913.49,58853498
2023-01-24,905.04,908.64,900.83,904.43,64541187
2023-01-25,915.57,921.48,911.35,917.25,66196477
2023-01-26,906.89,909.87,905.15,908.11,44912942
2023-01-27,917.57,921.63,910.81,914.86,32378835
2023-01-30,920.48,925.73,916.24,921.48,47099743
2023-01-31,924.66,924.83,923.63,923.81,66429522
2023-02-01,923.02,928.96,920.56,926.49,46984464
2023-02-02,933.19,938.15,924.79,929.73,44918675
2023-02-03,932.23,937.15,926.2,931.11,29601736
2023-02-06,938.19,940.6,936.14,938.54,78162339
2023-02-07,935.24,939.75,929.67,934.17,65567908
2023-02-08,924.27,932.95,918.22,926.88,64809503
2023-02-09,945.75,951.48,937.81,943.52,67497449
2023-02-10,953.48,958.21,949.37,954.1,62184625
2023-02-13,948.94,952.72,945.56,949.33,51029033
2023-02-14,955.37,959.41,952.27,956.31,52123682
2023-02-15,964.96,971.33,959.71,966.08,48539376
2023-02-16,962.01,966.72,955.98,960.68,90147511
2023-02-17,959.73,965.26,953.72,959.24,61902061
2023-02-20,946.76,951.27,941.03,945.53,48047030
2023-02-21,950.74,956.59,944.9,950.75,60673572
2023-02-22,959.9,964.4,954.42,958.92,40613904
2023-02-23,959.84,966.48,954.01,960.64,74790802
2023-02-24,961.96,967.97,951.71,957.69,45366702
2023-02-27,947.6,953.33,944.86,950.58,61157122
2023-02-28,948.56,949.4,945.34,946.18,68832422
2023-03-01,953.7,960.94,943.89,951.1,59576701
2023-03-02,949.5,955.89,944.74,951.12,55632359
2023-03-03,961.0,962.02,955.7,956.73,54495547
2023-03-06,958.14,961.08,953.3,956.24,53581900
2023-03-07,957.08,962.87,949.46,955.23,46513062
2023-03-08,937.76,941.45,934.01,937.7,48241558
2023-03-09,925.4,929.02,922.18,925.8,74452258
2023-03-10,915.8,922.88,909.12,916.19,52874068
2023-03-13,931.14,933.38,928.17,930.41,43672010
2023-03-14,941.23,943.96,935.87,938.6,47333741
2023-03-15,936.2,940.81,931.25,935.86,69299727
2023-03-16,929.92,936.54,925.01,931.62,63528375
2023-03-17,914.55,919.57,908.03,913.04,61962078
2023-03-20,917.79,923.6,910.31,916.11,50849786
2023-03-21,901.19,905.6,895.6,900.01,62139164
2023-03-22,895.85,900.76,889.62,894.52,45604586
2023-03-23,894.59,898.64,891.03,895.08,50821350
2023-03-24,892.03,897.82,887.9,893.69,67525698
2023-03-27,893.6,899.37,889.38,895.15,66227757
2023-03-28,907.09,914.55,902.62,910.07,41007377
2023-03-29,915.11,920.64,909.15,914.68,42724572
2023-03-30,902.6,907.82,897.54,902.75,55825734
2023-03-31,891.7,896.58,887.61,892.49,77802072
2023-04-03,872.49,880.21,869.98,877.68,28321621
2023-04-04,873.72,879.97,869.67,875.91,58130540
2023-04-05,866.44,870.29,860.66,864.5,35652208
2023-04-06,872.4,877.83,868.14,873.56,45729998
2023-04-07,906.16,914.23,897.43,905.5,49397217
2023-04-10,892.7,898.28,889.62,895.19,48635248
2023-04-11,899.49,904.3,892.12,896.91,47095987
2023-04-12,891.85,898.03,885.93,892.11,54446700
2023-04-13,890.92,895.1,886.22,890.4,47076155
2023-04-14,897.07,905.31,884.73,892.92,34478084
2023-04-17,884.58,887.89,878.6,881.9,64945016
2023-04-18,875.36,880.41,870.86,875.9,64578197
2023-04-19,893.56,897.22,890.97,894.62,65805150
2023-04-20,904.84,908.87,901.41,905.43,33414518
2023-04-21,893.33,897.8,887.96,892.42,58410236
2023-04-24,884.05,889.71,878.57,884.23,63533433
2023-04-25,876.32,881.52,871.82,877.01,40337634
2023-04-26,870.75,876.86,862.11,868.2,54473415
2023-04-27,872.75,876.71,868.99,872.95,52769039
2023-04-28,876.62,879.98,869.25,872.6,79378435
2023-05-01,877.21,885.9,868.36,877.05,80497278
2023-05-02,867.13,871.72,859.47,864.04,31734843
2023-05-03,865.85,868.5,862.59,865.23,88234247
2023-05-04,869.7,872.4,865.32,868.02,41913427
2023-05-05,869.84,873.38,867.57,871.1,67673375
2023-05-08,872.87,879.94,867.31,874.37,67535121
2023-05-09,886.71,890.06,882.56,885.9,40820140
2023-05-10,904.45,908.75,898.38,902.67,61050902
2023-05-11,889.77,893.66,885.81,889.7,52887695
2023-05-12,904.32,912.06,898.93,906.65,61880566
2023-05-15,903.51,908.52,900.97,905.97,57482966
2023-05-16,919.17,923.97,917.01,921.8,70603673
2023-05-17,908.15,915.88,903.66,911.37,55373245
2023-05-18,907.85,913.03,902.48,907.65,52067839
2023-05-19,908.09,912.78,901.37,906.05,69241214
2023-05-22,921.72,924.4,919.07,921.75,62234729
2023-05-23,924.91,934.55,919.5,929.11,64292067
2023-05-24,927.07,930.22,924.28,927.42,45318908
2023-05-25,913.2,916.65,910.04,913.5,40146588
2023-05-26,913.27,915.65,907.08,909.45,46635025
2023-05-29,893.13,902.11,886.79,895.74,45913556
2023-05-30,890.04,895.87,884.91,890.74,65031019
2023-05-31,904.51,909.67,896.28,901.43,67609661
2023-06-01,917.24,923.66,910.01,916.42,52240991
2023-06-02,909.87,919.08,899.64,908.85,73790951
2023-06-05,911.74,912.73,910.55,911.53,72942436
2023-06-06,900.56,903.28,897.24,899.96,57655885
2023-06-07,904.07,907.02,899.72,902.67,43181573
2023-06-08,923.27,927.36,920.69,924.77,75753725
2023-06-09,922.83,924.99,919.05,921.21,53519722
2023-06-12,911.41,917.49,907.86,913.92,56063008
2023-06-13,928.14,930.06,925.61,927.53,49734497
2023-06-14,920.29,925.05,915.21,919.96,42259022
2023-06-15,915.84,921.19,911.62,916.97,34394087
2023-06-16,910.6,915.62,905.63,910.64,62947681
2023-06-19,908.1,914.25,903.1,909.24,43704554
2023-06-20,890.38,897.38,885.3,892.29,95919222
2023-06-21,879.39,883.32,876.09,880.02,39592084
2023-06-22,896.93,906.77,889.09,898.91,37264477
2023-06-23,888.86,893.28,883.87,888.29,61280130
2023-06-26,889.82,892.57,889.13,891.87,75127856
2023-06-27,883.83,886.03,880.37,882.57,55226369
2023-06-28,888.72,891.74,887.82,890.83,62123945
2023-06-29,886.25,891.28,882.23,887.26,29300140
2023-06-30,871.62,876.43,867.91,872.71,45143296
2023-07-03,872.26,875.36,866.85,869.95,39761351
2023-07-04,865.04,872.41,857.1,864.47,28600420
2023-07-05,875.06,880.33,870.16,875.43,55938210
2023-07-06,880.28,885.52,874.16,879.4,23875042
2023-07-07,875.9,881.93,873.59,879.61,36383843
2023-07-10,882.6,884.89,880.4,882.68,47049820
2023-07-11,908.58,912.74,900.83,904.97,43053934
2023-07-12,910.58,914.99,905.92,910.34,59734856
2023-07-13,898.0,898.71,897.17,897.88,58500754
2023-07-14,902.63,906.36,897.91,901.64,66492994
2023-07-17,884.83,888.84,879.25,883.25,64571560
2023-07-18,885.26,892.43,881.66,888.81,69849221
2023-07-19,880.3,885.81,877.77,883.27,54322711
2023-07-20,884.54,887.56,881.14,884.17,58472040
2023-07-21,881.8,886.73,878.15,883.06,61298813
2023-07-24,887.02,891.18,880.56,884.7,56273494
2023-07-25,858.0,863.44,853.1,858.54,48952020
2023-07-26,857.06,866.12,851.35,860.39,49831815
2023-07-27,854.73,860.25,851.38,856.9,43240452
2023-07-28,854.66,862.47,851.6,859.39,60077366
2023-07-31,844.39,849.32,839.85,844.78,53071374
2023-08-01,841.82,846.95,837.0,842.13,45338106
2023-08-02,830.92,834.64,827.9,831.62,45350727
2023-08-03,846.39,851.54,839.43,844.57,37902854
2023-08-04,864.71,870.29,857.07,862.64,67648484
2023-08-07,867.77,874.22,861.63,868.07,55416970
2023-08-08,870.14,880.92,863.13,873.87,42625745
2023-08-09,872.52,874.94,869.03,871.45,65334672
2023-08-10,865.33,869.25,860.45,864.37,46733850
2023-08-11,853.45,857.31,849.06,852.92,35238379
2023-08-14,853.28,856.95,847.94,851.6,68224322
2023-08-15,858.14,862.9,855.39,860.15,47051135
2023-08-16,872.45,873.78,867.63,868.96,48792985
2023-08-17,865.81,871.54,861.76,867.48,54908297
2023-08-18,862.83,865.39,858.99,861.54,69873358
2023-08-21,866.28,873.28,862.24,869.22,54621027
2023-08-22,856.8,860.89,854.3,858.39,38056139
2023-08-23,848.62,850.57,844.11,846.05,61738539
2023-08-24,848.55,853.21,844.33,848.99,47759127
2023-08-25,857.49,861.61,851.94,856.05,80000366
2023-08-28,858.38,863.24,853.12,857.98,54333563
2023-08-29,862.27,870.1,854.62,862.45,23980915
2023-08-30,844.54,848.81,837.99,842.25,59204364
2023-08-31,847.64,852.68,843.0,848.04,80770404
2023-09-01,859.22,864.31,857.2,862.29,75761112
2023-09-04,870.04,873.12,868.37,871.44,79226308
