Date,Open,High,Low,Close,Volume
2019-01-01,2870.65,2882.19,2861.76,2873.29,96400427
2019-01-02,2800.61,2815.2,2786.09,2800.68,209454999
2019-01-03,2879.8,2882.5,2870.66,2873.35,145358981
2019-01-04,2908.37,2915.85,2893.76,2901.22,181028172
2019-01-07,2842.13,2861.31,2834.71,2853.86,185529167
2019-01-08,2822.21,2838.72,2810.44,2826.93,136236003
2019-01-09,2808.78,2826.58,2785.12,2802.89,106475814
2019-01-10,2782.32,2789.92,2764.09,2771.66,180148404
2019-01-11,2731.23,2740.82,2724.31,2733.9,94115607
2019-01-14,2745.0,2758.85,2731.28,2745.14,104811324
2019-01-15,2763.17,2787.74,2746.37,2770.89,121703887
2019-01-16,2761.52,2775.16,2744.5,2758.13,150163289
2019-01-17,2767.56,2777.93,2753.09,2763.45,63560451
2019-01-18,2685.87,2699.83,2670.37,2684.33,145126621
2019-01-21,2710.84,2729.64,2687.03,2705.8,196643184
2019-01-22,2747.72,2768.66,2719.47,2740.36,141916422
2019-01-23,2688.22,2696.68,2676.92,2685.37,191270977
2019-01-24,2656.99,2674.93,2634.92,2652.83,216608917
2019-01-25,2679.59,2679.63,2670.85,2670.89,122746910
2019-01-28,2635.89,2648.74,2635.53,2648.38,89500540
2019-01-29,2662.68,2674.97,2645.5,2657.76,64682579
2019-01-30,2684.87,2692.62,2668.36,2676.08,151221970
2019-01-31,2704.71,2716.9,2697.01,2709.18,152505589
2019-02-01,2642.95,2664.17,2628.12,2649.31,134893172
2019-02-04,2667.11,2683.01,2649.02,2664.9,72501833
2019-02-05,2654.48,2674.85,2642.99,2663.32,209620529
2019-02-06,2624.5,2629.97,2619.37,2624.85,98247385
2019-02-07,2643.9,2659.95,2624.43,2640.46,65303441
2019-02-08,2621.24,2629.7,2611.02,2619.47,71030279
2019-02-11,2591.22,2593.28,2588.53,2590.59,34857884
2019-02-12,2599.77,2622.88,2570.38,2593.42,135945031
2019-02-13,2554.87,2568.71,2537.03,2550.84,170593587
2019-02-14,2536.39,2558.53,2519.91,2542.02,181567644
2019-02-15,2526.75,2547.3,2504.37,2524.91,139559361
2019-02-18,2524.72,2548.25,2494.21,2517.66,231244164
2019-02-19,2512.64,2527.56,2494.43,2509.34,144486944
2019-02-20,2576.23,2592.41,2559.11,2575.29,138111626
2019-02-21,2623.85,2638.16,2609.93,2624.24,132907567
2019-02-22,2651.22,2682.55,2627.02,2658.28,143714151
2019-02-25,2636.15,2644.88,2624.94,2633.66,126492947
2019-02-26,2693.9,2698.22,2684.1,2688.41,158704097
2019-02-27,2689.14,2711.29,2677.35,2699.45,159588577
2019-02-28,2666.85,2680.29,2656.05,2669.48,152004716
2019-03-01,2662.2,2669.9,2655.09,2662.8,191024701
2019-03-04,2670.58,2682.21,2653.9,2665.52,171388023
2019-03-05,2708.45,2721.51,2699.98,2713.03,118355247
2019-03-06,2677.54,2705.98,2656.08,2684.47,128445714
2019-03-07,2660.39,2662.15,2660.3,2662.06,65708385
2019-03-08,2658.33,2677.81,2629.15,2648.56,5741026
2019-03-11,2628.14,2638.28,2616.67,2626.81,172954820
2019-03-12,2671.01,2671.44,2664.93,2665.36,157000549
2019-03-13,2619.99,2641.26,2598.3,2619.56,144847921
2019-03-14,2629.36,2638.51,2614.91,2624.04,188710596
2019-03-15,2636.3,2656.97,2618.13,2638.78,124767997
2019-03-18,2666.74,2685.36,2640.11,2658.68,103508761
2019-03-19,2643.28,2653.34,2636.09,2646.14,141564231
2019-03-20,2614.31,2633.11,2591.53,2610.31,126625847
2019-03-21,2554.95,2563.88,2544.87,2553.8,155638969
2019-03-22,2556.79,2575.01,2544.57,2562.76,94552998
2019-03-25,2560.76,2577.99,2548.56,2565.76,135593885
2019-03-26,2579.36,2593.57,2561.68,2575.87,84661016
2019-03-27,2543.45,2558.79,2529.21,2544.55,233207697
2019-03-28,2562.2,2580.65,2540.37,2558.8,158677220
2019-03-29,2468.79,2496.18,2449.72,2477.04,100709012
2019-04-01,2527.56,2547.28,2519.64,2539.32,112310857
2019-04-02,2560.13,2580.6,2535.98,2556.42,184318830
2019-04-03,2577.53,2591.2,2562.91,2576.57,144038095
2019-04-04,2603.25,2624.24,2585.14,2606.1,195887825
2019-04-05,2605.43,2608.02,2598.71,2601.3,141801629
2019-04-08,2670.54,2688.76,2638.11,2656.23,255885863
2019-04-09,2669.8,2690.82,2644.26,2665.24,190421647
2019-04-10,2657.79,2680.08,2640.2,2662.46,109237042
2019-04-11,2638.83,2666.96,2619.62,2647.69,113610687
2019-04-12,2621.12,2632.35,2603.37,2614.57,178898756
2019-04-15,2595.36,2621.28,2573.41,2599.3,107985256
2019-04-16,2606.65,2622.02,2585.62,2600.96,63444771
2019-04-17,2589.08,2593.08,2582.16,2586.17,108322400
2019-04-18,2571.16,2574.47,2566.23,2569.54,136392515
2019-04-19,2624.3,2646.93,2614.61,2637.18,115090707
2019-04-22,2625.26,2647.36,2602.29,2624.38,144391651
2019-04-23,2609.62,2623.05,2596.01,2609.43,84335788
2019-04-24,2592.83,2598.75,2583.69,2589.6,202785777
2019-04-25,2571.96,2600.66,2544.77,2573.46,149138023
2019-04-26,2557.21,2580.35,2546.91,2569.99,91314976
2019-04-29,2554.46,2568.73,2537.03,2551.28,133927983
2019-04-30,2492.44,2509.24,2484.43,2501.2,212945116
2019-05-01,2547.86,2554.81,2540.75,2547.69,119083139
2019-05-02,2565.54,2583.21,2551.46,2569.12,162745099
2019-05-03,2575.84,2595.66,2560.07,2579.87,150213141
2019-05-06,2624.27,2635.29,2603.92,2614.91,204175288
2019-05-07,2649.95,2655.47,2639.67,2645.19,119734772
2019-05-08,2648.47,2668.1,2627.12,2646.74,106418406
2019-05-09,2624.21,2638.4,2609.04,2623.22,124801716
2019-05-10,2689.9,2711.77,2674.24,2696.06,195416311
2019-05-13,2699.55,2712.39,2680.68,2693.48,128888841
2019-05-14,2731.94,2756.44,2711.05,2735.53,157484051
2019-05-15,2783.08,2793.65,2769.71,2780.26,118005996
2019-05-16,2796.29,2829.02,2773.37,2806.01,186650584
2019-05-17,2830.45,2855.52,2811.22,2836.25,147847757
2019-05-20,2836.19,2860.41,2817.01,2841.19,72622414
2019-05-21,2870.52,2885.32,2850.32,2865.08,166063723
2019-05-22,2901.67,2910.56,2882.94,2891.8,146241212
2019-05-23,2965.03,2997.59,2941.79,2974.28,143189060
2019-05-24,3028.74,3037.73,3006.21,3015.16,226629842
2019-05-27,3062.94,3083.49,3040.2,3060.74,135303261
2019-05-28,3047.9,3055.96,3025.02,3033.04,104440237
2019-05-29,3009.53,3024.39,2987.06,3001.88,205132559
2019-05-30,2967.06,2980.53,2955.14,2968.6,176177906
2019-05-31,2990.69,3006.59,2964.7,2980.55,64967564
2019-06-03,2990.32,3012.73,2979.08,3001.45,111927677
2019-06-04,2972.53,2980.56,2965.54,2973.56,119584077
2019-06-05,3000.0,3021.09,2987.36,3008.42,132948420
2019-06-06,2996.73,3012.57,2983.31,2999.14,144232232
2019-06-07,2980.8,2997.9,2970.09,2987.17,167241401
2019-06-10,3029.08,3048.69,3012.36,3031.96,103992075
2019-06-11,3044.38,3061.27,3035.33,3052.21,99776855
2019-06-12,3033.27,3060.28,3020.74,3047.68,95939135
2019-06-13,3052.21,3054.0,3050.14,3051.93,247813073
2019-06-14,2988.3,2989.0,2986.46,2987.16,103187480
2019-06-17,3006.97,3010.74,3006.32,3010.09,83525460
2019-06-18,2997.61,3006.43,2988.47,2997.28,135176463
2019-06-19,2985.84,3005.16,2965.02,2984.33,95475212
2019-06-20,2996.83,3003.62,2988.53,2995.32,161070853
2019-06-21,3045.82,3065.18,3033.51,3052.84,80678710
2019-06-24,3022.61,3036.64,3006.95,3020.97,179937160
2019-06-25,3079.89,3104.87,3049.93,3074.87,211021136
2019-06-26,3094.2,3114.35,3074.07,3094.22,202365585
2019-06-27,3080.77,3091.36,3067.8,3078.39,67961666
2019-06-28,3128.73,3153.04,3095.72,3119.96,101174046
2019-07-01,3147.47,3164.37,3130.15,3147.05,171726579
2019-07-02,3184.55,3208.55,3170.01,3193.96,112932787
2019-07-03,3223.45,3232.98,3202.76,3212.26,72873846
2019-07-04,3167.29,3189.61,3153.24,3175.53,86489826
2019-07-05,3137.3,3139.15,3134.02,3135.87,112601918
2019-07-08,3161.18,3181.52,3136.04,3156.34,185151160
2019-07-09,3120.6,3137.13,3113.36,3129.86,153655685
2019-07-10,3103.59,3116.05,3082.85,3095.28,134179820
2019-07-11,3149.2,3153.08,3147.38,3151.26,128375787
2019-07-12,3163.91,3190.97,3130.3,3157.31,89589156
2019-07-15,3171.96,3183.19,3155.57,3166.78,132719455
2019-07-16,3103.75,3117.07,3086.9,3100.21,224905090
2019-07-17,3101.64,3120.82,3083.56,3102.74,125725455
2019-07-18,3162.53,3180.39,3145.3,3163.15,52017564
2019-07-19,3068.51,3077.65,3060.32,3069.46,165340066
2019-07-22,3069.53,3090.54,3058.05,3079.02,132184148
2019-07-23,3065.93,3070.8,3055.37,3060.23,143834796
2019-07-24,3007.26,3019.88,2995.07,3007.69,190084629
2019-07-25,2985.46,3005.44,2972.6,2992.55,123924110
2019-07-26,2928.47,2949.0,2910.02,2930.54,247355879
2019-07-29,2880.34,2906.81,2856.5,2882.95,202435627
2019-07-30,2821.31,2839.97,2809.93,2828.56,122354174
2019-07-31,2885.8,2901.23,2873.69,2889.11,167332688
2019-08-01,2818.03,2839.04,2801.43,2822.42,84239660
2019-08-02,2850.95,2870.31,2829.68,2849.02,137113713
2019-08-05,2850.94,2874.67,2835.89,2859.57,157788869
2019-08-06,2888.7,2928.87,2852.48,2892.6,111082107
2019-08-07,2910.02,2929.19,2883.79,2902.91,197665552
2019-08-08,2861.05,2870.78,2850.45,2860.17,198661727
2019-08-09,2950.66,2968.61,2925.47,2943.38,121714669
2019-08-12,3002.38,3034.79,2975.53,3007.9,153091381
2019-08-13,2981.45,2991.08,2969.83,2979.45,179347984
2019-08-14,2943.52,2965.76,2925.87,2948.08,184120478
2019-08-15,2985.04,2993.78,2981.52,2990.25,171955383
2019-08-16,2929.84,2952.67,2914.89,2937.67,132889181
2019-08-19,2936.09,2946.06,2927.68,2937.65,187298390
2019-08-20,2934.3,2952.42,2919.39,2937.5,96782929
2019-08-21,2915.16,2936.07,2887.25,2908.11,97571289
2019-08-22,2881.72,2900.33,2864.73,2883.32,139209122
2019-08-23,2942.11,2951.18,2933.71,2942.78,98625741
2019-08-26,2930.34,2943.26,2917.47,2930.39,142711327
2019-08-27,2922.74,2949.67,2886.47,2913.31,131136014
2019-08-28,2911.91,2932.17,2888.0,2908.23,152452453
2019-08-29,2973.31,3007.63,2939.84,2974.15,143340076
2019-08-30,2982.04,3002.01,2963.58,2983.53,123648679
2019-09-02,3000.33,3017.33,2974.9,2991.85,140761848
2019-09-03,3063.11,3071.89,3047.95,3056.71,136319961
2019-09-04,3125.55,3141.55,3114.26,3130.24,175481064
2019-09-05,3152.3,3159.08,3137.93,3144.69,155034959
2019-09-06,3159.2,3170.85,3147.58,3159.24,66116754
2019-09-09,3205.99,3231.51,3166.26,3191.66,99936910
2019-09-10,3153.63,3168.59,3151.1,3166.05,162757768
2019-09-11,3181.16,3198.13,3170.34,3187.29,125733327
2019-09-12,3158.75,3170.61,3142.94,3154.78,189455938
2019-09-13,3173.93,3198.79,3146.3,3171.14,125762091
2019-09-16,3146.32,3146.39,3144.76,3144.83,237681109
2019-09-17,3186.12,3200.8,3174.07,3188.73,226130572
2019-09-18,3145.76,3162.34,3131.51,3148.08,138326978
2019-09-19,3120.68,3155.67,3089.34,3124.29,191144721
2019-09-20,3081.48,3089.99,3069.87,3078.37,94669520
2019-09-23,3042.17,3053.27,3024.1,3035.17,173701100
2019-09-24,3060.87,3080.12,3041.84,3061.1,142923632
2019-09-25,3025.59,3044.43,3005.07,3023.91,140371520
2019-09-26,2984.11,3000.87,2970.12,2986.86,124187392
2019-09-27,3009.62,3027.42,2992.89,3010.68,214074605
2019-09-30,3022.81,3053.39,3001.48,3032.0,95167217
2019-10-01,2971.17,2988.9,2948.15,2965.84,110762289
2019-10-02,2886.36,2904.47,2874.44,2892.53,40759461
2019-10-03,2909.47,2918.32,2906.36,2915.21,95965287
2019-10-04,2960.04,2983.17,2926.06,2949.1,177720924
2019-10-07,3017.09,3027.86,3012.92,3023.68,147998266
2019-10-08,3024.07,3039.39,2999.19,3014.47,65980763
2019-10-09,3063.22,3094.09,3032.13,3063.0,144133101
2019-10-10,3058.04,3078.9,3032.17,3052.99,160225791
2019-10-11,3037.16,3066.57,3009.01,3038.41,73572524
2019-10-14,2960.37,2966.05,2948.67,2954.33,89091058
2019-10-15,2908.87,2930.01,2887.18,2908.32,64194162
2019-10-16,2910.35,2930.82,2884.48,2904.92,121055802
2019-10-17,2934.07,2938.22,2924.94,2929.08,136470037
2019-10-18,2956.62,2977.63,2930.05,2951.02,154381465
2019-10-21,3012.29,3029.68,2985.5,3002.83,161618369
2019-10-22,2973.45,2997.09,2943.63,2967.22,125295372
2019-10-23,2957.05,2976.08,2933.52,2952.52,159945679
2019-10-24,2958.31,2984.43,2943.97,2970.03,116714471
2019-10-25,2979.87,3000.6,2949.33,2969.99,184458364
2019-10-28,3004.45,3013.16,2997.69,3006.4,117069181
2019-10-29,3038.71,3058.62,3019.76,3039.67,151189867
2019-10-30,3017.01,3039.82,2992.29,3015.08,127805499
2019-10-31,3008.68,3023.89,3002.88,3018.07,98211426
2019-11-01,2992.61,3027.38,2968.17,3002.87,164685491
2019-11-04,2987.91,3004.68,2977.79,2994.54,177449758
2019-11-05,3025.59,3062.05,2985.83,3022.26,241831563
2019-11-06,3038.21,3049.38,3024.14,3035.3,35647705
2019-11-07,2998.24,3001.3,2995.56,2998.62,76519617
2019-11-08,2938.98,2955.29,2914.0,2930.27,145366981
2019-11-11,2944.83,2950.64,2923.5,2929.27,174223492
2019-11-12,3011.75,3034.86,2982.88,3005.94,144418405
2019-11-13,2982.92,3008.7,2955.47,2981.23,120642340
2019-11-14,2928.99,2960.66,2910.24,2941.84,159625744
2019-11-15,3016.44,3038.3,2994.4,3016.25,127361933
2019-11-18,2974.36,2997.4,2956.92,2979.93,85229655
