Date,Open,High,Low,Close,Volume
2023-01-02,584.53,586.56,582.96,584.99,57027019
2023-01-03,586.39,586.82,584.75,585.18,75608852
2023-01-04,593.61,597.03,590.83,594.25,85037513
2023-01-05,583.13,587.01,579.7,583.57,81902449
2023-01-06,582.96,584.96,581.67,583.66,37528536
2023-01-09,574.55,578.73,571.25,575.42,47089301
2023-01-10,562.92,566.33,560.29,563.7,71656083
2023-01-11,558.82,559.35,556.31,556.85,81552790
2023-01-12,568.81,572.08,564.4,567.66,46666262
2023-01-13,557.06,559.27,554.59,556.8,64360555
2023-01-16,553.66,555.51,552.41,554.26,44126965
2023-01-17,559.24,563.45,555.65,559.86,65794712
2023-01-18,554.4,558.34,550.87,554.81,51641263
2023-01-19,570.55,571.81,567.26,568.51,64355168
2023-01-20,568.71,571.6,565.49,568.38,42897014
2023-01-23,558.23,560.96,554.66,557.39,36403322
2023-01-24,551.33,553.74,548.7,551.11,109208609
2023-01-25,539.42,542.25,537.55,540.38,62607698
2023-01-26,534.6,536.84,532.24,534.49,94383864
2023-01-27,531.67,536.21,528.28,532.82,84757927
2023-01-30,538.99,541.86,534.85,537.71,36376711
2023-01-31,552.29,553.48,551.94,553.12,67107004
2023-02-01,550.79,551.53,550.67,551.42,41625060
2023-02-02,556.18,556.62,554.84,555.28,56983793
2023-02-03,553.54,555.3,552.55,554.31,32541302
2023-02-06,547.88,549.76,546.24,548.12,37321057
2023-02-07,540.07,544.89,538.13,542.94,48389739
2023-02-08,552.43,555.2,550.02,552.79,53144442
2023-02-09,550.64,553.08,547.55,549.99,62138234
2023-02-10,559.81,562.98,557.35,560.51,45598883
2023-02-13,561.09,564.9,556.66,560.47,63838012
2023-02-14,562.06,562.72,561.41,562.07,79014863
2023-02-15,571.13,574.09,566.95,569.89,65754727
2023-02-16,570.54,574.33,567.6,571.38,60505096
2023-02-17,554.38,555.74,553.29,554.65,66796901
2023-02-20,548.18,552.86,545.13,549.8,39463361
2023-02-21,550.47,553.46,547.59,550.57,76187707
2023-02-22,551.47,554.37,549.04,551.93,43115044
2023-02-23,554.6,554.79,553.36,553.54,85416620
2023-02-24,552.22,556.47,548.67,552.91,73399076
2023-02-27,553.04,556.26,550.3,553.51,70103699
2023-02-28,560.94,564.68,557.96,561.7,70773509
2023-03-01,559.08,560.36,557.78,559.05,61511765
2023-03-02,560.77,562.7,556.63,558.55,49442161
2023-03-03,561.19,566.07,560.27,565.14,47051426
2023-03-06,571.61,575.71,567.56,571.66,88486417
2023-03-07,565.28,566.57,562.66,563.95,63130224
2023-03-08,550.99,555.67,546.88,551.56,44387446
2023-03-09,555.51,559.07,551.37,554.93,69490587
2023-03-10,559.03,561.8,554.96,557.72,66816206
2023-03-13,557.9,561.99,554.12,558.21,56473912
2023-03-14,562.77,564.98,561.3,563.51,47724594
2023-03-15,562.78,564.45,560.06,561.73,72857611
2023-03-16,564.74,568.33,560.6,564.18,76096013
2023-03-17,560.77,562.31,559.3,560.84,66501014
2023-03-20,555.9,556.93,554.19,555.22,62641583
2023-03-21,555.33,557.47,552.13,554.27,49503626
2023-03-22,544.48,546.02,542.99,544.53,68923311
2023-03-23,540.32,544.77,535.55,539.99,51775987
2023-03-24,539.82,543.09,535.99,539.26,41963594
2023-03-27,540.89,543.2,539.08,541.39,78858423
2023-03-28,549.62,550.99,546.94,548.31,45695632
2023-03-29,546.87,550.84,544.04,548.0,32356095
2023-03-30,541.99,545.86,538.27,542.13,81680357
2023-03-31,535.21,537.93,531.68,534.39,34702289
2023-04-03,539.69,542.24,538.29,540.84,55544643
2023-04-04,542.75,543.63,540.92,541.8,44684602
2023-04-05,541.25,543.28,539.02,541.05,50405049
2023-04-06,545.53,548.33,541.3,544.09,95758680
