Date,Open,High,Low,Close,Volume
2019-01-01,1306.49,1317.12,1296.79,1307.41,31355162
2019-01-02,1310.92,1315.89,1301.43,1306.39,251444248
2019-01-03,1307.97,1323.99,1292.55,1308.56,161077306
2019-01-04,1295.52,1304.75,1286.3,1295.53,202717811
2019-01-07,1275.97,1279.21,1273.71,1276.94,254525794
2019-01-08,1269.22,1275.58,1264.58,1270.93,201085198
2019-01-09,1265.24,1268.34,1260.91,1264.0,244924004
2019-01-10,1262.18,1273.68,1257.53,1269.01,137263590
2019-01-11,1242.14,1251.99,1237.14,1246.98,173193396
2019-01-14,1234.62,1244.52,1225.28,1235.17,225466804
2019-01-15,1212.71,1216.93,1209.61,1213.82,128843693
2019-01-16,1209.37,1216.2,1204.44,1211.27,160918066
2019-01-17,1209.64,1218.83,1198.82,1208.0,194322806
2019-01-18,1189.31,1199.2,1183.74,1193.61,153594802
2019-01-21,1224.73,1234.73,1211.6,1221.58,20549530
2019-01-22,1211.75,1220.61,1203.19,1212.05,187835780
2019-01-23,1199.97,1205.32,1192.37,1197.72,210315768
2019-01-24,1216.58,1226.06,1208.18,1217.65,69192957
2019-01-25,1227.17,1232.74,1222.94,1228.51,206151234
2019-01-28,1193.23,1200.92,1180.5,1188.16,167004341
2019-01-29,1192.63,1193.64,1192.49,1193.5,189485936
2019-01-30,1208.36,1217.15,1197.21,1205.98,96354813
2019-01-31,1209.26,1219.63,1198.8,1209.17,231122740
2019-02-01,1213.69,1224.86,1204.76,1215.91,231122140
2019-02-04,1200.54,1219.17,1186.31,1204.89,195347217
2019-02-05,1228.02,1239.36,1214.61,1225.92,118215603
2019-02-06,1251.09,1258.29,1242.01,1249.2,77350035
2019-02-07,1224.32,1240.39,1215.39,1231.41,232824423
2019-02-08,1224.87,1230.3,1219.87,1225.3,144772159
2019-02-11,1221.13,1235.68,1208.61,1223.14,126343023
2019-02-12,1244.81,1253.85,1234.13,1243.16,169629096
2019-02-13,1218.98,1225.03,1211.87,1217.92,126896342
2019-02-14,1223.07,1232.9,1214.32,1224.14,209614473
2019-02-15,1225.87,1231.65,1220.31,1226.1,172238217
2019-02-18,1240.57,1252.07,1229.56,1241.06,152579534
2019-02-19,1201.97,1213.0,1192.38,1203.39,172183844
2019-02-20,1226.99,1235.25,1219.53,1227.79,113139421
2019-02-21,1224.83,1228.0,1221.57,1224.73,132957815
2019-02-22,1188.63,1194.93,1184.91,1191.21,93538624
2019-02-25,1185.98,1188.65,1185.49,1188.16,149826206
2019-02-26,1172.48,1179.76,1160.67,1167.91,206595324
2019-02-27,1180.57,1192.76,1166.57,1178.73,218254502
2019-02-28,1164.33,1164.81,1162.99,1163.46,182386744
2019-03-01,1168.13,1173.89,1158.67,1164.41,131105186
