Date,Open,High,Low,Close,Volume
2023-01-02,688.31,693.59,683.59,688.87,52313451
2023-01-03,696.43,699.15,693.35,696.07,43993558
2023-01-04,685.48,689.0,684.13,687.65,41768757
2023-01-05,691.66,696.49,687.45,692.28,45689844
2023-01-06,696.01,697.86,693.75,695.6,34611182
2023-01-09,699.21,704.19,694.05,699.03,54673365
2023-01-10,693.72,698.29,688.67,693.25,26412086
2023-01-11,688.89,693.67,685.47,690.24,37386065
2023-01-12,698.31,701.7,694.51,697.9,42392002
2023-01-13,683.77,689.03,679.34,684.6,47802793
2023-01-16,680.01,683.44,675.61,679.04,49811820
2023-01-17,671.26,676.86,668.78,674.37,58704180
2023-01-18,680.21,681.6,679.21,680.6,43611167
2023-01-19,685.5,689.9,680.97,685.37,35100826
2023-01-20,687.24,690.84,681.81,685.39,41228462
2023-01-23,680.76,687.57,673.83,680.64,39363689
2023-01-24,672.47,675.37,669.32,672.22,48340254
2023-01-25,661.4,664.78,657.53,660.91,31368164
2023-01-26,662.9,666.31,657.83,661.24,40903411
2023-01-27,658.59,662.91,654.77,659.09,60133830
2023-01-30,671.22,674.83,669.49,673.11,44703117
2023-01-31,660.54,665.54,657.67,662.66,31518600
2023-02-01,662.7,666.78,657.75,661.82,39145652
2023-02-02,667.41,669.96,664.55,667.11,18898074
2023-02-03,666.47,670.87,662.42,666.82,42150113
2023-02-06,679.04,683.03,675.85,679.83,60401409
2023-02-07,679.4,683.01,675.56,679.16,30089011
2023-02-08,695.06,699.79,690.04,694.77,27207334
2023-02-09,691.26,694.06,687.8,690.6,35793062
2023-02-10,673.68,676.25,672.6,675.18,52633005
2023-02-13,679.56,684.67,676.86,681.96,61010551
2023-02-14,677.08,680.26,675.16,678.32,47573201
2023-02-15,675.34,677.34,675.17,677.17,29026934
2023-02-16,685.02,689.89,682.08,686.95,42541923
2023-02-17,698.05,701.47,692.46,695.87,61917349
2023-02-20,697.72,705.48,693.16,700.9,39454562
2023-02-21,710.04,711.61,707.79,709.37,44281955
2023-02-22,708.46,711.77,703.86,707.17,45352377
2023-02-23,712.63,717.44,706.42,711.22,26246760
2023-02-24,724.02,726.45,721.2,723.62,53452560
2023-02-27,722.93,726.95,717.0,721.02,51910515
2023-02-28,728.28,733.88,720.11,725.69,21458892
2023-03-01,754.82,755.86,754.24,755.28,28548424
2023-03-02,759.65,763.49,755.15,758.97,32408766
2023-03-03,758.31,763.48,751.22,756.38,50783139
2023-03-06,757.8,761.99,754.92,759.11,34746544
2023-03-07,759.64,765.54,754.11,760.01,47072027
2023-03-08,775.24,780.69,770.77,776.21,40835549
2023-03-09,769.87,776.06,762.98,769.16,43540791
2023-03-10,767.22,774.51,762.88,770.15,48083597
2023-03-13,760.59,766.83,752.19,758.41,45692203
2023-03-14,754.01,757.86,749.37,753.21,42576713
2023-03-15,760.76,762.1,758.52,759.86,46277709
2023-03-16,754.06,760.09,751.62,757.64,45100111
2023-03-17,754.06,760.57,749.13,755.63,40537247
2023-03-20,761.68,766.63,754.48,759.42,38167594
2023-03-21,750.99,754.17,748.08,751.26,62890771
2023-03-22,740.91,749.51,734.91,743.48,38044929
2023-03-23,734.36,737.14,731.25,734.03,57399496
2023-03-24,745.09,749.13,740.04,744.08,35452225
2023-03-27,750.75,754.78,745.92,749.95,51444354
2023-03-28,745.66,747.25,744.29,745.88,61856739
2023-03-29,749.95,753.16,745.05,748.25,39170016
2023-03-30,765.37,773.54,758.28,766.44,35641920
2023-03-31,777.0,779.06,774.1,776.16,38189046
2023-04-03,779.89,784.38,775.2,779.68,42572481
2023-04-04,797.01,798.97,795.26,797.22,46221999
2023-04-05,796.17,798.88,794.08,796.78,42351849
2023-04-06,791.2,793.07,789.88,791.74,38287921
2023-04-07,795.7,800.78,790.57,795.65,63683253
2023-04-10,780.12,782.73,777.97,780.58,40635942
2023-04-11,784.78,790.3,778.12,783.63,36147691
2023-04-12,776.36,779.86,773.69,777.19,51661853
2023-04-13,795.07,798.85,788.81,792.58,51832165
2023-04-14,799.46,804.65,795.2,800.39,57886054
2023-04-17,797.57,798.58,795.09,796.1,63397933
2023-04-18,785.13,788.99,779.78,783.62,46482962
2023-04-19,788.8,792.9,784.43,788.53,39696764
2023-04-20,791.81,797.18,786.32,791.69,22435373
2023-04-21,784.83,788.0,782.8,785.97,32749385
2023-04-24,783.82,786.88,781.57,784.63,45010164
2023-04-25,795.5,800.13,790.52,795.15,30149556
2023-04-26,791.55,797.42,785.75,791.62,25826891
2023-04-27,789.22,791.84,784.75,787.36,43483639
2023-04-28,796.94,799.29,795.32,797.67,51086981
2023-05-01,790.52,794.21,787.47,791.15,40143556
2023-05-02,794.16,798.79,792.2,796.81,52370673
2023-05-03,787.99,792.17,782.81,786.98,49373911
2023-05-04,808.2,810.09,805.42,807.31,55070555
2023-05-05,801.56,806.73,794.84,800.0,66024331
2023-05-08,790.75,794.65,785.24,789.12,70736379
2023-05-09,797.02,802.2,790.58,795.76,50604768
2023-05-10,765.72,765.98,764.18,764.45,37861562
2023-05-11,761.07,761.82,759.4,760.15,43440944
2023-05-12,754.12,759.47,747.64,752.97,59605422
2023-05-15,746.89,751.94,744.6,749.65,33226660
2023-05-16,757.19,760.04,756.0,758.86,58262212
2023-05-17,752.21,757.21,749.13,754.12,40962294
2023-05-18,754.94,758.7,749.27,753.02,45208706
2023-05-19,768.34,772.77,765.13,769.55,34141475
2023-05-22,764.85,769.97,760.69,765.8,28622502
2023-05-23,763.28,767.22,759.33,763.27,39797491
2023-05-24,760.66,766.41,756.81,762.56,56715200
