Date,Open,High,Low,Close,Volume
2023-01-02,995.39,1001.78,990.77,997.16,96009324
2023-01-03,983.55,992.04,979.43,987.89,83919074
2023-01-04,1012.93,1016.98,1007.12,1011.17,49448473
2023-01-05,1003.72,1006.03,1002.53,1004.84,82879247
2023-01-06,1014.64,1019.99,1007.47,1012.81,79388052
2023-01-09,1003.99,1005.72,1001.47,1003.21,64851204
2023-01-10,1006.85,1007.4,1005.07,1005.63,75181364
2023-01-11,1002.93,1007.67,999.1,1003.84,90567292
2023-01-12,990.15,994.63,987.19,991.67,62787989
2023-01-13,995.17,997.94,992.23,994.99,72040790
2023-01-16,998.13,999.84,994.6,996.3,121510847
2023-01-17,978.52,981.36,975.79,978.62,52505827
2023-01-18,990.65,996.17,986.54,992.05,83596424
2023-01-19,992.37,997.97,989.16,994.76,62063848
2023-01-20,983.71,988.9,978.12,983.31,71146059
2023-01-23,1003.65,1012.09,996.34,1004.77,83277637
2023-01-24,1012.48,1018.23,1006.88,1012.63,65978486
2023-01-25,1011.02,1018.13,1004.39,1011.5,100178803
2023-01-26,1006.62,1014.28,999.85,1007.51,117201573
2023-01-27,1013.8,1016.29,1010.71,1013.2,106043043
2023-01-30,1031.21,1036.76,1024.53,1030.07,110049708
2023-01-31,1033.34,1040.05,1022.61,1029.3,57389358
2023-02-01,1047.51,1051.31,1042.13,1045.93,82284730
2023-02-02,1001.4,1004.32,995.3,998.22,97846017
2023-02-03,999.63,1006.83,994.07,1001.27,106689435
2023-02-06,1005.54,1010.32,1003.99,1008.77,126010660
2023-02-07,1017.33,1019.72,1014.97,1017.36,111022742
2023-02-08,1037.44,1040.72,1032.38,1035.66,107243509
2023-02-09,1044.64,1050.28,1037.54,1043.18,145289844
2023-02-10,1060.8,1066.04,1053.01,1058.23,89717876
2023-02-13,1052.4,1064.71,1045.49,1057.77,81277508
2023-02-14,1063.58,1066.41,1058.11,1060.92,91493018
2023-02-15,1077.26,1080.0,1073.79,1076.53,67566902
