Date,Open,High,Low,Close,Volume
2019-01-01,3273.29,3291.41,3264.91,3283.0,367035065
2019-01-02,3277.84,3300.05,3259.01,3281.2,123043288
2019-01-03,3251.75,3272.67,3239.4,3260.3,346511470
2019-01-04,3186.5,3203.65,3168.16,3185.29,347297206
2019-01-07,3225.39,3247.61,3216.71,3238.89,398884892
2019-01-08,3183.78,3227.24,3153.75,3197.09,315701151
2019-01-09,3229.12,3239.69,3220.97,3231.54,393489107
2019-01-10,3230.79,3250.8,3200.57,3220.52,256041922
2019-01-11,3268.42,3272.28,3256.99,3260.85,447358450
2019-01-14,3282.03,3294.8,3266.83,3279.59,320100591
2019-01-15,3277.11,3315.34,3240.24,3278.46,574745987
2019-01-16,3206.9,3219.59,3197.25,3209.93,296018720
2019-01-17,3171.38,3176.58,3162.79,3167.99,264804166
2019-01-18,3212.03,3216.89,3204.11,3208.96,182372236
2019-01-21,3201.83,3220.73,3176.56,3195.42,232090504
2019-01-22,3207.99,3232.31,3177.04,3201.31,277829586
2019-01-23,3229.58,3257.6,3210.51,3238.47,142510814
2019-01-24,3240.27,3252.9,3219.47,3232.07,424103604
2019-01-25,3282.28,3309.29,3259.43,3286.42,409290660
2019-01-28,3335.89,3341.66,3332.27,3338.04,415185655
2019-01-29,3326.58,3348.57,3304.35,3326.33,370395760
2019-01-30,3295.67,3329.08,3272.46,3305.79,474093761
2019-01-31,3265.7,3291.54,3242.43,3268.25,168408994
2019-02-01,3276.04,3310.42,3245.21,3279.56,384182699
2019-02-04,3275.11,3291.69,3254.87,3271.43,264114761
2019-02-05,3271.56,3293.18,3245.79,3267.39,460713382
2019-02-06,3250.7,3269.36,3226.85,3245.48,313918920
2019-02-07,3183.01,3193.39,3172.46,3182.84,256264668
2019-02-08,3163.99,3177.79,3156.39,3170.18,330514708
2019-02-11,3162.48,3182.19,3142.22,3161.92,269522228
2019-02-12,3166.87,3200.68,3137.66,3171.42,332135714
2019-02-13,3141.05,3166.6,3115.89,3141.44,321709588
2019-02-14,3123.26,3124.54,3119.74,3121.01,269433618
2019-02-15,3160.63,3176.4,3138.2,3153.94,364054598
