Date,Open,High,Low,Close,Volume
2019-01-01,2952.5,2974.39,2942.1,2963.95,217557820
2019-01-02,2936.53,2947.03,2922.31,2932.79,161755072
2019-01-03,2944.32,2952.64,2935.41,2943.73,132312512
2019-01-04,2913.47,2937.56,2884.92,2908.97,158406701
2019-01-07,2867.38,2874.2,2856.27,2863.08,96591537
2019-01-08,2867.93,2873.47,2864.85,2870.39,209198238
2019-01-09,2826.35,2854.02,2801.74,2829.38,215827801
2019-01-10,2855.59,2866.68,2838.93,2850.0,286720045
2019-01-11,2891.48,2919.91,2868.75,2897.13,82924239
2019-01-14,2841.85,2872.45,2816.17,2846.72,161343288
2019-01-15,2872.9,2885.06,2861.67,2873.83,219974714
2019-01-16,2852.76,2891.23,2823.93,2862.3,136389817
2019-01-17,2864.79,2880.22,2849.21,2864.64,62048032
2019-01-18,2852.36,2871.08,2836.44,2855.14,98285879
2019-01-21,2838.98,2856.74,2823.28,2841.03,146970217
2019-01-22,2849.24,2856.9,2840.93,2848.58,231028882
2019-01-23,2875.06,2892.77,2854.31,2872.0,182296070
2019-01-24,2876.82,2888.83,2854.47,2866.44,115107061
2019-01-25,2876.5,2893.32,2860.23,2877.05,159641095
2019-01-28,2873.29,2898.03,2854.75,2879.45,101519017
2019-01-29,2882.09,2895.6,2869.9,2883.41,128404056
2019-01-30,2859.9,2871.7,2853.1,2864.89,109567820
2019-01-31,2899.09,2902.75,2887.49,2891.14,173066517
2019-02-01,2914.02,2930.86,2890.79,2907.59,177866441
2019-02-04,2920.08,2934.66,2909.88,2924.44,157740217
2019-02-05,2951.59,2976.99,2927.59,2952.97,190013633
2019-02-06,2964.55,2979.79,2946.17,2961.4,137042639
2019-02-07,2954.86,2975.72,2924.22,2945.02,187004633
2019-02-08,2986.75,2994.29,2979.05,2986.58,175267679
2019-02-11,3012.53,3019.2,2999.85,3006.5,162917053
2019-02-12,3084.12,3094.75,3068.25,3078.86,150166832
2019-02-13,3000.65,3017.25,2985.4,3002.0,209161598
2019-02-14,3038.27,3057.28,3016.47,3035.47,181422608
2019-02-15,3036.03,3042.4,3020.39,3026.74,132441208
2019-02-18,3008.42,3016.44,2996.48,3004.5,158070464
2019-02-19,2969.01,3000.37,2949.3,2980.58,67723555
2019-02-20,2930.81,2946.15,2913.86,2929.19,212202650
2019-02-21,2936.96,2959.29,2930.67,2952.96,243404231
2019-02-22,2964.62,2988.9,2937.14,2961.4,129416628
2019-02-25,2874.41,2894.09,2860.18,2879.83,134575622
2019-02-26,2870.62,2886.24,2853.05,2868.66,220600024
2019-02-27,2847.78,2870.06,2829.95,2852.2,236534748
2019-02-28,2809.94,2826.98,2800.63,2817.64,148382094
2019-03-01,2752.51,2757.28,2748.55,2753.32,158205070
2019-03-04,2701.71,2713.87,2688.14,2700.28,115209318
2019-03-05,2708.9,2715.2,2702.13,2708.43,172484433
2019-03-06,2722.53,2741.04,2705.13,2723.63,170661963
2019-03-07,2711.43,2732.63,2687.83,2709.01,198857470
2019-03-08,2717.28,2730.24,2696.13,2709.05,109960528
2019-03-11,2756.83,2780.92,2738.15,2762.2,126579540
2019-03-12,2766.56,2770.55,2756.8,2760.79,114124374
2019-03-13,2814.12,2829.01,2797.32,2812.21,179723185
2019-03-14,2791.85,2799.32,2782.63,2790.1,136068066
2019-03-15,2805.42,2829.0,2781.98,2805.56,120036561
2019-03-18,2794.58,2821.62,2776.68,2803.66,248173357
2019-03-19,2849.13,2874.64,2829.62,2855.09,120772612
2019-03-20,2859.66,2881.86,2840.82,2862.99,88622379
2019-03-21,2959.24,2976.79,2939.72,2957.26,154348958
2019-03-22,2953.38,2954.97,2937.53,2939.11,188754274
2019-03-25,2948.16,2955.25,2935.97,2943.05,135389825
