Date,Open,High,Low,Close,Volume
2023-01-02,707.7,709.76,706.97,709.03,66424607
2023-01-03,709.41,712.49,705.43,708.5,77828738
2023-01-04,702.09,705.65,698.36,701.92,57751404
2023-01-05,702.82,708.8,696.34,702.32,68308301
2023-01-06,697.01,699.61,694.71,697.31,70796323
2023-01-09,696.76,700.56,693.79,697.59,91146384
2023-01-10,688.44,695.21,683.01,689.78,64117120
2023-01-11,691.27,693.56,688.13,690.42,54031357
2023-01-12,700.69,705.45,696.03,700.79,61730275
2023-01-13,703.65,708.89,699.93,705.17,78018995
2023-01-16,710.82,713.7,707.62,710.5,39811583
2023-01-17,723.91,727.82,715.1,718.98,92852435
2023-01-18,716.12,719.42,713.11,716.41,71812930
2023-01-19,731.15,737.74,722.17,728.74,79201452
2023-01-20,712.24,716.21,711.98,715.94,75377676
2023-01-23,712.05,715.23,709.24,712.43,59539120
2023-01-24,719.09,721.96,714.85,717.72,52127864
2023-01-25,727.46,730.54,724.36,727.43,58947469
2023-01-26,737.01,742.88,732.1,737.96,44555934
2023-01-27,732.35,735.02,729.7,732.38,77683547
2023-01-30,726.08,730.06,720.67,724.65,68554184
2023-01-31,708.85,712.37,702.33,705.83,44050471
2023-02-01,705.21,709.57,699.36,703.71,60447684
2023-02-02,702.75,706.44,699.78,703.46,83112551
2023-02-03,714.2,718.21,710.53,714.53,94562296
2023-02-06,712.14,715.49,709.11,712.46,48524671
2023-02-07,713.56,716.6,711.75,714.8,110076056
2023-02-08,711.74,717.44,706.26,711.96,54321484
2023-02-09,712.85,715.37,710.73,713.24,41005470
2023-02-10,702.95,707.14,700.46,704.65,102859618
2023-02-13,701.33,703.28,698.2,700.15,52866830
2023-02-14,693.54,697.22,689.28,692.96,98685824
2023-02-15,681.48,684.77,679.06,682.35,59583171
2023-02-16,678.41,683.52,673.1,678.21,66225398
2023-02-17,681.32,686.44,677.53,682.64,48145397
2023-02-20,688.99,692.48,686.27,689.75,94283881
2023-02-21,702.11,703.99,699.26,701.14,91829773
2023-02-22,696.2,699.18,692.57,695.55,59661895
2023-02-23,700.06,704.66,696.18,700.78,70123965
2023-02-24,696.38,699.45,692.88,695.94,83290440
2023-02-27,698.12,701.17,695.17,698.22,63039817
2023-02-28,687.15,690.21,685.46,688.52,95834286
2023-03-01,672.53,678.8,666.48,672.75,69570761
2023-03-02,676.26,679.03,672.9,675.67,62181095
2023-03-03,677.77,678.96,676.17,677.36,43183767
2023-03-06,662.37,666.18,660.82,664.62,48349071
2023-03-07,655.05,657.54,652.33,654.83,81976553
2023-03-08,649.2,654.65,643.72,649.17,75668231
2023-03-09,649.4,654.58,646.7,651.87,86034881
2023-03-10,654.31,657.83,651.86,655.37,61406303
2023-03-13,651.82,655.86,647.15,651.18,42139193
2023-03-14,641.33,645.39,635.5,639.55,62594997
2023-03-15,639.15,644.99,635.43,641.25,107870304
2023-03-16,654.84,658.05,650.36,653.56,54224815
2023-03-17,653.97,657.94,652.47,656.44,70811045
2023-03-20,651.85,653.81,648.09,650.04,28342319
2023-03-21,657.18,658.36,656.31,657.49,62174056
2023-03-22,664.25,667.9,661.56,665.21,64066701
2023-03-23,658.67,661.08,655.8,658.21,77390436
2023-03-24,666.04,669.62,663.75,667.33,65781574
2023-03-27,672.69,676.09,668.6,672.0,44331655
2023-03-28,668.43,670.72,666.3,668.59,59600830
2023-03-29,656.27,663.83,653.76,661.3,67817782
2023-03-30,668.41,671.86,666.05,669.5,53664854
2023-03-31,674.77,677.76,671.52,674.51,56260779
2023-04-03,673.57,677.1,668.63,672.14,89419894
2023-04-04,670.9,672.12,669.24,670.46,60298114
2023-04-05,677.41,681.08,672.34,675.99,79321847
2023-04-06,683.34,688.01,679.91,684.57,68300370
2023-04-07,678.17,681.79,673.57,677.18,49487961
2023-04-10,682.18,685.44,677.92,681.17,65513270
2023-04-11,672.12,677.84,668.61,674.32,76660442
2023-04-12,672.17,674.63,668.23,670.69,102490249
2023-04-13,663.76,667.34,659.75,663.33,57665351
2023-04-14,670.93,675.87,666.38,671.31,69938866
2023-04-17,664.18,666.91,661.85,664.57,87703030
2023-04-18,654.97,658.68,652.63,656.33,93981686
2023-04-19,669.35,673.2,664.65,668.5,59868708
2023-04-20,670.13,672.41,667.46,669.73,68678537
2023-04-21,670.78,672.84,667.95,670.0,91340674
2023-04-24,659.42,662.94,655.79,659.31,80599156
2023-04-25,659.07,661.47,656.41,658.8,89924803
2023-04-26,659.25,664.22,654.67,659.64,92389859
2023-04-27,659.33,661.68,655.57,657.91,81354352
2023-04-28,639.36,641.19,636.76,638.59,74026375
2023-05-01,634.42,637.27,631.36,634.2,59474572
2023-05-02,629.6,633.15,626.21,629.77,67098859
2023-05-03,626.97,632.43,623.74,629.19,68284278
2023-05-04,639.96,646.1,636.39,642.51,92882459
2023-05-05,634.78,637.4,632.63,635.25,74612278
2023-05-08,647.99,652.38,641.97,646.35,74781434
2023-05-09,636.81,638.47,636.06,637.71,53702937
2023-05-10,632.04,634.75,630.19,632.89,92980469
2023-05-11,643.19,647.39,640.25,644.44,57753081
2023-05-12,646.28,649.97,644.28,647.96,66375127
2023-05-15,649.96,653.68,647.44,651.15,94855011
2023-05-16,662.04,663.72,659.99,661.67,87301515
2023-05-17,663.22,666.58,660.51,663.87,56280177
2023-05-18,664.0,668.32,660.4,664.72,52188152
2023-05-19,654.42,657.49,652.18,655.24,67822111
2023-05-22,667.79,669.62,665.64,667.47,61164026
2023-05-23,670.77,673.17,667.85,670.25,45245901
2023-05-24,667.13,674.13,662.66,669.64,58003898
2023-05-25,667.1,672.58,662.63,668.11,22366714
2023-05-26,672.05,674.55,669.67,672.17,87611775
2023-05-29,680.59,684.34,676.24,679.99,86487363
2023-05-30,670.5,673.5,667.34,670.33,96646637
2023-05-31,666.17,670.88,660.38,665.08,77772633
2023-06-01,658.75,663.84,655.53,660.62,63452749
2023-06-02,658.76,661.46,655.52,658.22,89745415
2023-06-05,657.9,662.96,650.16,655.21,58929902
2023-06-06,666.05,667.82,664.22,665.99,47762859
2023-06-07,651.19,654.53,647.73,651.07,68831566
2023-06-08,650.68,655.38,645.3,650.0,78805415
2023-06-09,645.48,649.95,641.71,646.18,56955799
2023-06-12,645.72,648.87,643.8,646.95,52747647
2023-06-13,634.15,635.96,632.25,634.07,64014743
2023-06-14,653.43,656.71,652.33,655.6,78820783
2023-06-15,642.46,647.25,637.16,641.95,68863684
2023-06-16,632.08,633.49,629.96,631.37,118564087
2023-06-19,607.05,612.61,603.45,609.0,69030894
2023-06-20,601.63,602.62,600.44,601.43,84872471
2023-06-21,601.01,607.05,595.24,601.27,45579238
2023-06-22,599.93,601.0,597.09,598.16,81946958
2023-06-23,593.29,596.01,589.03,591.74,63201752
2023-06-26,584.73,588.78,579.71,583.75,71297123
2023-06-27,583.12,584.92,579.91,581.71,101597379
2023-06-28,582.29,585.99,579.01,582.71,64811167
2023-06-29,582.49,584.79,579.9,582.19,48093539
2023-06-30,592.31,595.73,589.18,592.61,50879000
2023-07-03,597.18,602.36,593.2,598.37,74550662
2023-07-04,589.07,591.22,586.83,588.97,73581816
2023-07-05,583.71,588.19,579.34,583.81,72839232
2023-07-06,574.76,577.99,571.77,574.99,48495337
2023-07-07,593.61,598.66,588.62,593.68,107663529
2023-07-10,595.07,596.76,593.31,595.0,97626004
2023-07-11,592.51,594.42,589.56,591.46,73790140
2023-07-12,607.04,610.21,604.59,607.75,44286190
2023-07-13,618.68,621.56,617.4,620.27,99768873
