Date,Open,High,Low,Close,Volume
2019-01-01,574.9,578.22,570.52,573.84,348414776
2019-01-02,572.55,574.56,570.74,572.75,210230659
2019-01-03,569.18,570.73,566.26,567.8,220900465
2019-01-04,572.3,574.05,570.2,571.95,172068161
2019-01-07,579.06,580.79,577.05,578.79,272305952
2019-01-08,594.96,597.89,590.54,593.46,284074208
2019-01-09,593.92,596.82,590.55,593.44,295995717
2019-01-10,586.18,590.49,582.64,586.95,210150462
2019-01-11,581.48,586.41,577.36,582.28,169482214
2019-01-14,584.22,588.53,581.74,586.04,231203833
2019-01-15,584.41,587.74,581.72,585.04,335294408
2019-01-16,573.06,578.07,568.81,573.82,395970565
2019-01-17,580.9,582.64,578.88,580.63,338440489
2019-01-18,576.83,580.26,572.77,576.2,266941645
2019-01-21,576.71,580.59,572.28,576.15,159675162
2019-01-22,581.75,583.36,580.84,582.46,397688546
2019-01-23,581.7,584.49,577.94,580.71,394227999
2019-01-24,578.84,580.69,577.38,579.23,189334452
2019-01-25,580.72,585.01,578.68,582.96,366005832
2019-01-28,576.95,579.42,572.48,574.94,296718836
2019-01-29,566.86,569.31,565.26,567.7,329755064
2019-01-30,563.71,567.2,559.01,562.49,291624193
2019-01-31,563.26,565.31,561.35,563.4,353597337
2019-02-01,553.55,556.04,550.92,553.4,9880542
2019-02-04,552.27,553.96,549.81,551.51,185464720
2019-02-05,547.14,548.43,544.2,545.48,223639523
2019-02-06,538.88,544.59,535.11,540.8,338852933
2019-02-07,542.6,545.45,539.62,542.47,164823917
2019-02-08,541.93,546.86,536.66,541.58,387424482
2019-02-11,544.44,547.1,540.91,543.57,301428780
2019-02-12,552.22,553.81,551.34,552.93,412135671
2019-02-13,557.39,561.65,554.15,558.4,304499219
2019-02-14,564.4,566.68,562.03,564.3,399850676
2019-02-15,573.93,576.91,568.62,571.59,237249649
2019-02-18,565.73,568.08,563.26,565.61,227728324
2019-02-19,553.0,558.16,548.58,553.73,161089557
2019-02-20,551.18,551.61,550.6,551.02,246188692
2019-02-21,552.32,553.75,549.29,550.72,405974678
2019-02-22,540.78,547.05,535.89,542.14,324542123
2019-02-25,547.98,553.24,543.18,548.43,369715037
