Date,Open,High,Low,Close,Volume
2019-01-01,2503.07,2515.5,2481.94,2494.32,147944826
2019-01-02,2541.13,2567.59,2513.3,2539.75,266219234
2019-01-03,2544.15,2565.95,2529.67,2551.43,135734547
2019-01-04,2533.3,2555.7,2514.88,2537.25,229165098
2019-01-07,2541.95,2567.44,2525.82,2551.24,195995596
2019-01-08,2471.23,2485.34,2457.15,2471.26,236490599
2019-01-09,2436.09,2444.69,2425.0,2433.59,181305469
2019-01-10,2400.37,2420.74,2377.72,2398.08,123957023
2019-01-11,2404.95,2415.9,2390.24,2401.17,180940907
2019-01-14,2406.64,2421.53,2395.83,2410.71,172549982
2019-01-15,2436.22,2454.85,2411.51,2430.09,106179395
2019-01-16,2422.53,2452.22,2395.41,2425.07,156382201
2019-01-17,2404.53,2414.73,2390.87,2401.05,87523898
2019-01-18,2418.07,2429.47,2411.05,2422.45,128568286
2019-01-21,2411.46,2430.1,2390.79,2409.41,193106478
2019-01-22,2421.76,2427.96,2409.16,2415.35,159736481
2019-01-23,2405.26,2416.9,2391.57,2403.2,184251105
2019-01-24,2382.14,2397.89,2369.8,2385.54,135388596
2019-01-25,2332.53,2357.73,2311.81,2336.97,171031774
2019-01-28,2345.22,2361.4,2335.92,2352.08,149310624
2019-01-29,2340.17,2361.0,2316.69,2337.49,212878058
2019-01-30,2318.92,2328.8,2309.0,2318.88,216458387
2019-01-31,2269.24,2273.75,2266.25,2270.75,219899383
2019-02-01,2275.37,2295.56,2260.54,2280.7,49475112
2019-02-04,2239.93,2248.62,2229.04,2237.72,190479923
2019-02-05,2290.87,2312.77,2271.38,2293.26,193703949
2019-02-06,2334.42,2341.83,2323.98,2331.38,245413131
2019-02-07,2356.6,2362.41,2350.46,2356.27,194440888
2019-02-08,2378.66,2384.22,2366.73,2372.27,141593035
2019-02-11,2342.39,2352.38,2337.23,2347.2,16136671
2019-02-12,2294.49,2319.71,2278.44,2303.59,89592585
2019-02-13,2268.49,2274.79,2264.6,2270.89,186095832
2019-02-14,2257.69,2270.25,2241.3,2253.84,219105403
2019-02-15,2237.21,2242.2,2233.72,2238.7,294979350
2019-02-18,2236.14,2244.46,2226.97,2235.28,169748973
2019-02-19,2226.79,2242.89,2209.41,2225.49,249359405
2019-02-20,2255.58,2263.4,2248.62,2256.44,165881978
2019-02-21,2314.42,2335.08,2294.74,2315.38,204366032
2019-02-22,2309.63,2329.64,2292.07,2312.06,167259769
2019-02-25,2299.8,2309.37,2298.25,2307.81,171677158
2019-02-26,2306.89,2322.19,2290.87,2306.17,126714408
2019-02-27,2307.66,2325.17,2294.45,2311.93,153483675
2019-02-28,2319.32,2335.86,2296.58,2313.07,201203254
2019-03-01,2323.18,2340.25,2309.25,2326.3,266949999
2019-03-04,2343.03,2353.6,2330.4,2340.97,127515774
2019-03-05,2331.08,2346.86,2317.31,2333.08,247130259
2019-03-06,2316.7,2332.86,2297.72,2313.86,149957576
2019-03-07,2265.03,2273.58,2251.58,2260.11,189234635
2019-03-08,2249.96,2267.17,2228.77,2245.96,221728595
2019-03-11,2249.12,2269.12,2231.92,2251.91,157018422
2019-03-12,2282.93,2298.85,2258.7,2274.56,155576534
2019-03-13,2291.49,2301.28,2290.39,2300.18,194454873
2019-03-14,2305.2,2328.07,2286.52,2309.35,205884464
2019-03-15,2294.82,2313.45,2286.65,2305.24,171576362
2019-03-18,2297.15,2311.12,2278.99,2292.94,257338957
2019-03-19,2268.67,2279.84,2262.12,2273.27,153372070
2019-03-20,2267.9,2286.2,2247.43,2265.72,274217144
2019-03-21,2235.41,2255.63,2219.63,2239.83,85219141
2019-03-22,2271.97,2280.84,2262.87,2271.74,195994600
2019-03-25,2254.98,2268.26,2249.76,2263.03,225306251
2019-03-26,2244.46,2256.95,2223.82,2236.26,220430132
2019-03-27,2249.18,2273.8,2230.38,2254.95,165170778
2019-03-28,2315.34,2323.19,2308.52,2316.36,140410637
2019-03-29,2329.7,2338.2,2321.37,2329.87,295047055
2019-04-01,2310.5,2337.93,2289.05,2316.41,144309715
2019-04-02,2284.29,2307.8,2267.88,2291.35,113111417
2019-04-03,2312.83,2331.09,2296.01,2314.26,89526041
2019-04-04,2302.31,2324.66,2282.69,2305.01,179292332
2019-04-05,2267.07,2288.41,2254.3,2275.59,159259659
2019-04-08,2287.73,2298.83,2274.8,2285.89,216025386
2019-04-09,2316.01,2319.81,2307.27,2311.06,111253115
2019-04-10,2284.21,2304.32,2269.56,2289.64,131897133
2019-04-11,2284.75,2291.65,2269.88,2276.75,265851269
2019-04-12,2269.5,2279.45,2259.6,2269.54,206486426
2019-04-15,2277.52,2287.56,2266.96,2277.0,182163490
2019-04-16,2324.7,2352.35,2302.52,2330.11,152600505
2019-04-17,2323.48,2341.8,2304.45,2322.75,278678601
2019-04-18,2321.92,2330.64,2309.91,2318.62,83893904
2019-04-19,2334.57,2344.53,2326.63,2336.58,285175707
2019-04-22,2338.61,2350.48,2323.13,2334.98,152190370
2019-04-23,2304.47,2321.33,2291.84,2308.67,197796114
2019-04-24,2317.18,2334.91,2300.74,2318.47,187814340
2019-04-25,2324.19,2332.51,2313.88,2322.19,154020845
2019-04-26,2318.34,2347.77,2294.29,2323.66,105276383
2019-04-29,2341.09,2350.89,2324.1,2333.88,188761492
2019-04-30,2313.14,2332.95,2298.07,2317.84,114602135
2019-05-01,2314.49,2326.57,2301.19,2313.26,121812204
2019-05-02,2331.7,2349.56,2314.78,2332.64,107141249
2019-05-03,2375.78,2400.76,2360.44,2385.36,185532961
2019-05-06,2395.86,2419.65,2375.87,2399.63,157794967
2019-05-07,2443.37,2460.45,2422.27,2439.32,222809383
2019-05-08,2425.89,2435.56,2409.43,2419.07,187219994
2019-05-09,2420.13,2425.32,2412.65,2417.84,93290666
