Date,Open,High,Low,Close,Volume
2019-01-01,884.51,891.0,878.0,884.49,64783348
2019-01-02,885.4,889.41,879.13,883.13,518931872
2019-01-03,879.98,884.65,875.68,880.34,317287666
2019-01-04,896.81,906.05,885.15,894.36,367545677
2019-01-07,881.13,884.39,874.25,877.5,288061876
2019-01-08,866.76,871.26,861.5,865.99,336928881
2019-01-09,867.59,868.01,866.22,866.64,386932505
2019-01-10,868.81,876.1,861.74,869.03,191407519
2019-01-11,860.26,868.21,849.85,857.78,422527767
2019-01-14,850.16,854.64,843.12,847.59,317868487
2019-01-15,851.17,858.47,845.38,852.66,308720220
2019-01-16,848.72,855.74,843.86,850.86,336682786
2019-01-17,856.7,860.04,852.84,856.17,434500246
2019-01-18,838.92,845.49,835.22,841.78,225537750
2019-01-21,858.2,867.59,850.81,860.18,379805168
2019-01-22,855.68,862.28,846.91,853.5,397644051
2019-01-23,843.19,846.05,842.58,845.44,309083705
2019-01-24,837.81,841.16,837.09,840.43,355181680
2019-01-25,852.72,860.93,843.58,851.78,217326707
2019-01-28,853.76,860.49,848.88,855.6,376675755
2019-01-29,844.59,852.03,836.94,844.37,346850048
2019-01-30,861.6,867.03,855.05,860.48,485510232
2019-01-31,856.19,858.35,854.16,856.32,237843623
2019-02-01,862.33,867.97,857.7,863.34,418375654
2019-02-04,889.06,895.11,882.89,888.94,380273876
2019-02-05,905.48,908.0,902.91,905.43,528333842
2019-02-06,909.41,911.99,905.67,908.24,224548470
2019-02-07,901.83,910.09,894.46,902.72,310240121
2019-02-08,899.68,905.61,893.05,898.97,415306589
2019-02-11,913.73,922.81,908.49,917.55,279556688
2019-02-12,918.57,926.87,912.14,920.43,323377074
2019-02-13,911.88,915.53,908.49,912.15,374256401
2019-02-14,911.84,917.6,906.73,912.49,259558748
2019-02-15,923.21,928.66,917.26,922.71,391739215
2019-02-18,909.68,915.55,905.03,910.89,174384490
2019-02-19,923.37,927.06,916.86,920.54,199218105
2019-02-20,920.41,927.63,911.48,918.69,231476834
2019-02-21,939.28,948.16,932.02,940.89,290645546
2019-02-22,938.12,941.33,935.2,938.41,274267138
2019-02-25,931.04,935.18,925.34,929.47,385177684
2019-02-26,942.74,949.51,936.41,943.18,226385235
2019-02-27,950.11,953.24,946.29,949.42,430801656
2019-02-28,939.56,946.85,929.93,937.19,429995290
2019-03-01,947.89,952.21,944.71,949.02,377665610
2019-03-04,945.37,946.94,943.07,944.63,361371918
2019-03-05,949.99,951.27,945.83,947.11,253954969
2019-03-06,950.71,958.36,945.8,953.44,254959179
2019-03-07,959.57,964.64,954.39,959.46,446888541
2019-03-08,953.62,958.21,947.4,951.98,390171499
2019-03-11,933.71,936.43,931.24,933.96,242319866
2019-03-12,938.71,947.31,933.05,941.63,237148930
2019-03-13,938.64,943.76,935.24,940.35,317862711
2019-03-14,958.64,966.65,952.14,960.15,166022261
2019-03-15,941.88,951.73,936.27,946.09,183519855
2019-03-18,936.59,944.06,928.03,935.48,316059884
2019-03-19,956.45,962.07,950.41,956.02,203774750
2019-03-20,953.93,960.83,948.6,955.49,331134179
2019-03-21,956.31,958.95,949.93,952.56,369108757
2019-03-22,959.2,965.71,948.77,955.26,455506942
2019-03-25,958.97,967.11,951.98,960.12,338038959
2019-03-26,961.2,966.07,958.35,963.21,245813078
2019-03-27,961.47,964.01,959.63,962.17,277215133
2019-03-28,953.36,957.86,947.51,952.0,461388351
2019-03-29,948.3,950.47,947.44,949.61,348816101
2019-04-01,970.49,976.57,961.58,967.64,429822732
2019-04-02,978.18,986.38,967.1,975.28,498880446
2019-04-03,959.43,962.66,953.52,956.74,170598043
2019-04-04,949.29,954.05,945.56,950.31,338126276
2019-04-05,961.53,970.54,954.89,963.89,207312948
2019-04-08,982.66,990.42,972.18,979.91,378380495
2019-04-09,980.3,985.68,975.49,980.86,323334852
2019-04-10,994.05,1002.16,988.23,996.33,424497792
2019-04-11,990.16,1001.14,979.45,990.43,302432538
2019-04-12,996.66,1004.34,989.53,997.21,246499211
2019-04-15,978.88,987.45,969.02,977.58,249969023
2019-04-16,985.82,994.32,977.51,986.01,359024644
2019-04-17,985.31,990.1,979.86,984.65,512668489
2019-04-18,979.75,986.01,972.42,978.69,487910075
2019-04-19,991.6,998.05,988.49,994.93,312550933
2019-04-22,1002.76,1005.6,997.46,1000.29,240422753
2019-04-23,1002.2,1009.04,994.78,1001.62,361179290
2019-04-24,1000.48,1004.78,997.58,1001.88,372460293
2019-04-25,987.18,992.99,981.84,987.65,267677412
2019-04-26,986.01,991.87,982.8,988.64,372892720
2019-04-29,983.34,988.8,975.61,981.06,347955708
2019-04-30,975.62,984.6,966.96,975.94,161081817
2019-05-01,962.9,968.86,958.8,964.75,394338847
2019-05-02,969.96,974.27,964.86,969.16,434621460
2019-05-03,984.64,989.6,980.47,985.43,309817802
2019-05-06,993.06,1000.75,984.1,991.78,381473228
2019-05-07,991.07,997.05,985.85,991.83,360309452
2019-05-08,1004.3,1011.85,996.25,1003.79,202879678
2019-05-09,1005.34,1010.85,998.81,1004.32,302807931
2019-05-10,1010.64,1017.68,1004.87,1011.91,406331245
2019-05-13,995.22,999.98,988.2,992.95,464231190
2019-05-14,992.52,994.94,986.82,989.23,284864466
2019-05-15,1013.52,1019.99,1008.06,1014.51,252596705
2019-05-16,1003.25,1010.36,994.49,1001.59,527419125
2019-05-17,1016.87,1023.72,1007.21,1014.03,301624799
2019-05-20,1014.66,1023.9,1009.35,1018.57,385752566
2019-05-21,1019.4,1026.78,1017.09,1024.46,443122924
2019-05-22,1044.72,1052.26,1032.53,1040.04,266491358
2019-05-23,1044.64,1050.03,1037.71,1043.09,306490564
2019-05-24,1066.85,1072.93,1063.59,1069.65,487692381
2019-05-27,1066.64,1069.84,1065.31,1068.51,332355763
2019-05-28,1076.78,1084.59,1071.25,1079.05,245134472
2019-05-29,1050.53,1056.29,1045.84,1051.6,319083871
2019-05-30,1036.54,1041.76,1033.88,1039.09,234774249
2019-05-31,1032.15,1036.72,1030.52,1035.08,259201234
2019-06-03,1028.86,1032.4,1026.42,1029.96,197175689
2019-06-04,1024.42,1028.71,1020.86,1025.15,387476579
2019-06-05,1031.66,1036.06,1026.52,1030.91,183805445
2019-06-06,1036.3,1040.55,1030.93,1035.18,280015238
2019-06-07,1049.1,1055.83,1040.48,1047.19,489117713
2019-06-10,1036.81,1051.61,1025.81,1040.57,255964790
2019-06-11,1037.52,1041.63,1031.94,1036.04,419395926
2019-06-12,1014.26,1015.51,1009.89,1011.14,245228252
2019-06-13,1022.64,1022.76,1021.48,1021.61,400662837
2019-06-14,1013.6,1024.35,1008.17,1018.89,244589070
2019-06-17,1008.64,1018.02,1001.07,1010.44,274581079
