Date,Open,High,Low,Close,Volume
2019-01-01,3656.87,3703.05,3622.96,3669.03,101222900
2019-01-02,3721.26,3748.1,3700.44,3727.24,132780182
2019-01-03,3737.85,3756.8,3714.55,3733.48,115822587
2019-01-04,3693.91,3726.6,3670.54,3703.17,70737700
2019-01-07,3693.65,3707.74,3691.15,3705.23,91339276
2019-01-08,3746.89,3779.69,3711.49,3744.27,92503867
2019-01-09,3663.42,3676.99,3642.14,3655.68,121637059
2019-01-10,3636.98,3645.5,3635.28,3643.8,102171739
2019-01-11,3671.92,3702.21,3648.53,3678.78,126803331
2019-01-14,3707.94,3726.27,3681.82,3700.12,66273379
2019-01-15,3673.25,3709.05,3639.91,3675.7,97547437
2019-01-16,3620.75,3645.5,3607.15,3631.86,97434750
2019-01-17,3622.0,3640.31,3603.92,3622.23,119343034
2019-01-18,3606.57,3636.53,3579.84,3609.78,98820258
2019-01-21,3559.05,3572.27,3543.49,3556.7,69950631
2019-01-22,3521.13,3548.99,3489.56,3517.4,102341051
2019-01-23,3582.0,3605.32,3561.18,3584.49,110813742
2019-01-24,3540.41,3542.2,3538.95,3540.75,134867466
2019-01-25,3522.76,3529.37,3522.15,3528.76,40397067
2019-01-28,3523.87,3559.61,3497.27,3532.94,107061490
2019-01-29,3565.53,3574.33,3543.79,3552.56,113042961
2019-01-30,3543.51,3565.63,3520.56,3542.67,130335743
2019-01-31,3536.17,3554.87,3508.23,3526.88,107568767
2019-02-01,3558.52,3565.44,3549.65,3556.56,112216520
2019-02-04,3506.33,3508.78,3502.0,3504.45,123287774
2019-02-05,3443.64,3447.82,3440.51,3444.7,153090530
2019-02-06,3510.1,3529.14,3502.62,3521.64,86431991
2019-02-07,3453.65,3459.22,3442.22,3447.78,76896969
2019-02-08,3421.3,3425.13,3417.66,3421.49,165680309
2019-02-11,3410.34,3437.85,3392.79,3420.26,25890679
2019-02-12,3395.48,3410.86,3388.07,3403.43,61375458
2019-02-13,3442.35,3478.82,3404.29,3440.74,116909026
2019-02-14,3494.2,3497.62,3482.8,3486.22,111582953
2019-02-15,3466.38,3483.63,3456.34,3473.57,119772348
2019-02-18,3424.57,3440.79,3408.11,3424.33,125684718
2019-02-19,3473.64,3510.63,3426.4,3463.28,130870988
2019-02-20,3436.38,3446.78,3431.4,3441.79,137403249
2019-02-21,3456.84,3466.51,3450.54,3460.2,89267388
2019-02-22,3340.36,3360.89,3326.38,3346.87,107988187
2019-02-25,3361.81,3365.84,3353.6,3357.62,90875075
2019-02-26,3406.48,3422.79,3391.5,3407.81,87515855
2019-02-27,3419.68,3438.41,3395.09,3413.79,65095676
2019-02-28,3410.92,3430.63,3394.24,3413.93,90049099
2019-03-01,3408.61,3442.59,3377.94,3411.89,190034540
