Date,Open,High,Low,Close,Volume
2019-01-01,2711.38,2726.38,2695.37,2710.35,102908673
2019-01-02,2741.98,2760.42,2725.87,2744.3,224434115
2019-01-03,2729.28,2756.47,2709.39,2736.53,152301776
2019-01-04,2738.88,2758.59,2710.38,2730.03,174733257
2019-01-07,2739.69,2751.22,2719.73,2731.21,76612628
2019-01-08,2777.0,2792.38,2747.0,2762.3,86478277
2019-01-09,2789.17,2803.52,2768.59,2782.91,75425461
2019-01-10,2839.18,2853.81,2821.94,2836.56,124506685
2019-01-11,2858.03,2883.74,2827.07,2852.74,158195898
2019-01-14,2851.33,2878.5,2837.21,2864.31,152786664
2019-01-15,2882.43,2899.84,2859.07,2876.44,216215487
2019-01-16,2795.4,2811.2,2779.59,2795.38,129885127
2019-01-17,2773.7,2797.85,2754.49,2778.61,138996477
2019-01-18,2779.27,2789.07,2767.93,2777.73,149081388
2019-01-21,2784.44,2810.13,2767.73,2793.37,116295353
2019-01-22,2729.51,2750.64,2707.41,2728.53,157207103
2019-01-23,2724.62,2744.45,2715.58,2735.37,140977573
2019-01-24,2782.58,2792.26,2770.62,2780.29,174386864
2019-01-25,2742.23,2754.58,2729.14,2741.48,117990039
2019-01-28,2791.55,2808.68,2775.38,2792.51,145943566
2019-01-29,2770.79,2800.26,2744.25,2773.7,98944965
2019-01-30,2789.38,2801.51,2774.96,2787.08,126777341
2019-01-31,2790.08,2801.72,2782.66,2794.3,177081281
2019-02-01,2820.33,2838.43,2804.76,2822.85,141630151
2019-02-04,2816.63,2824.72,2804.92,2812.99,99742909
2019-02-05,2824.25,2844.34,2801.28,2821.35,100645822
2019-02-06,2879.23,2895.47,2854.28,2870.48,109094770
2019-02-07,2904.59,2912.0,2884.83,2892.21,151109199
2019-02-08,2846.25,2866.22,2836.84,2856.78,179993074
2019-02-11,2899.6,2900.76,2887.41,2888.56,176793949
2019-02-12,2893.84,2903.97,2884.68,2894.81,168041151
