Date,Open,High,Low,Close,Volume
2019-01-01,2920.55,2940.77,2900.5,2920.72,311989448
2019-01-02,2935.78,2948.88,2919.77,2932.86,221754620
2019-01-03,2904.41,2922.39,2893.28,2911.23,208220341
2019-01-04,2915.15,2931.73,2905.87,2922.43,120791262
2019-01-07,2911.36,2928.44,2895.5,2912.57,168581627
2019-01-08,2924.59,2935.83,2906.86,2918.08,95719802
2019-01-09,2922.37,2941.57,2897.4,2916.57,291600367
2019-01-10,2926.41,2934.89,2906.56,2915.01,244185855
2019-01-11,2897.93,2917.7,2878.59,2898.35,248570901
2019-01-14,2925.34,2936.06,2915.14,2925.86,116014546
2019-01-15,2905.73,2913.02,2891.87,2899.14,142148074
2019-01-16,2846.58,2850.94,2841.48,2845.84,198347974
2019-01-17,2911.63,2917.32,2907.0,2912.69,179812612
2019-01-18,2900.74,2913.94,2887.51,2900.71,223716035
2019-01-21,2893.2,2914.71,2869.31,2890.81,202587906
2019-01-22,2814.36,2829.53,2797.91,2813.07,261521180
2019-01-23,2855.85,2877.82,2831.11,2853.06,276781940
2019-01-24,2862.96,2884.97,2844.17,2866.16,50596029
2019-01-25,2866.27,2881.01,2844.9,2859.61,292582118
2019-01-28,2832.33,2854.89,2815.63,2838.15,283012420
2019-01-29,2854.91,2865.2,2842.18,2852.46,243870076
2019-01-30,2813.91,2814.2,2808.8,2809.09,230575718
2019-01-31,2794.6,2807.04,2782.97,2795.41,203200847
2019-02-01,2798.87,2819.11,2775.4,2795.61,286796712
2019-02-04,2852.95,2867.01,2839.12,2853.18,152463261
2019-02-05,2794.49,2808.53,2788.33,2802.36,246403191
2019-02-06,2759.81,2774.41,2752.56,2767.13,244916124
2019-02-07,2781.14,2799.71,2763.56,2782.12,319554314
2019-02-08,2769.14,2791.07,2752.82,2774.71,262330330
2019-02-11,2778.47,2786.1,2767.7,2775.32,97878736
2019-02-12,2754.0,2767.99,2734.69,2748.66,276107433
2019-02-13,2729.34,2742.0,2723.46,2736.1,116446099
2019-02-14,2749.72,2769.73,2726.17,2746.16,118397695
2019-02-15,2706.39,2729.23,2686.89,2709.7,364473560
