Date,Open,High,Low,Close,Volume
2019-01-01,3810.54,3846.42,3781.64,3817.47,274325128
2019-01-02,3846.1,3865.7,3828.44,3848.03,100745865
2019-01-03,3849.46,3873.85,3817.69,3842.04,193307103
2019-01-04,3907.52,3941.68,3875.37,3909.52,229023335
2019-01-07,3930.24,3954.17,3901.62,3925.52,182480800
2019-01-08,3954.53,3985.48,3918.8,3949.7,161452881
2019-01-09,3985.37,4020.55,3953.72,3988.87,271289536
2019-01-10,4044.35,4080.12,4005.4,4041.14,263888019
2019-01-11,4138.0,4148.85,4119.6,4130.43,228445171
2019-01-14,4184.24,4204.27,4171.73,4191.73,231657710
2019-01-15,4236.96,4262.79,4217.18,4242.99,146299712
2019-01-16,4278.32,4304.42,4242.88,4268.91,251110686
2019-01-17,4288.53,4318.46,4259.32,4289.24,170094715
2019-01-18,4291.03,4322.92,4259.67,4291.56,314555350
2019-01-21,4183.16,4212.5,4159.28,4188.59,164580573
2019-01-22,4174.21,4210.03,4141.33,4177.12,227926632
2019-01-23,4155.59,4165.05,4141.62,4151.07,217041236
2019-01-24,4151.96,4179.04,4133.63,4160.66,164536263
2019-01-25,4187.07,4203.99,4169.34,4186.25,247699704
2019-01-28,4187.87,4203.98,4174.64,4190.74,263221968
2019-01-29,4190.82,4225.18,4163.56,4197.88,250585041
2019-01-30,4215.43,4234.25,4196.12,4214.94,169872140
2019-01-31,4243.35,4283.21,4201.49,4241.33,180325415
2019-02-01,4272.82,4287.1,4248.24,4262.49,290762784
2019-02-04,4316.91,4339.94,4291.1,4314.11,159097495
2019-02-05,4350.45,4384.02,4317.19,4350.75,191543611
2019-02-06,4377.06,4378.65,4358.45,4360.03,234441376
2019-02-07,4305.5,4345.9,4258.33,4298.67,182673012
2019-02-08,4309.5,4339.2,4269.17,4298.79,123206700
2019-02-11,4301.11,4338.01,4272.98,4309.81,236344379
2019-02-12,4291.73,4313.5,4267.31,4289.07,269243631
2019-02-13,4314.58,4348.6,4278.82,4312.83,244020522
2019-02-14,4276.61,4283.09,4265.46,4271.94,287241875
2019-02-15,4201.72,4221.67,4193.22,4213.15,190704423
2019-02-18,4226.34,4244.8,4194.16,4212.57,94483453
2019-02-19,4322.53,4336.41,4309.47,4323.36,181743237
2019-02-20,4393.9,4409.33,4387.46,4402.88,109261881
2019-02-21,4220.74,4227.23,4210.32,4216.81,191306674
2019-02-22,4189.45,4213.67,4169.66,4193.86,126846193
2019-02-25,4342.85,4353.56,4330.32,4341.02,189926894
2019-02-26,4408.31,4416.18,4398.76,4406.63,287719037
2019-02-27,4396.96,4418.47,4378.03,4399.53,244783074
2019-02-28,4337.48,4353.65,4322.35,4338.51,185068942
2019-03-01,4302.28,4327.12,4275.86,4300.69,78329626
2019-03-04,4342.69,4354.62,4330.04,4341.96,237385768
2019-03-05,4378.19,4393.95,4368.58,4384.32,243257002
2019-03-06,4344.83,4361.96,4323.8,4340.91,133747959
2019-03-07,4285.19,4346.01,4239.81,4300.47,207675284
2019-03-08,4284.84,4296.88,4279.62,4291.65,115680530
2019-03-11,4204.13,4238.29,4183.12,4217.21,200890752
2019-03-12,4236.11,4243.1,4219.66,4226.63,288356030
2019-03-13,4277.92,4303.66,4261.1,4286.81,292001964
2019-03-14,4416.26,4451.95,4394.39,4430.01,241557149
2019-03-15,4351.05,4368.22,4343.38,4360.53,240660637
2019-03-18,4359.59,4380.91,4338.32,4359.63,254642327
2019-03-19,4384.78,4404.78,4375.04,4395.02,170341949
2019-03-20,4443.78,4451.87,4427.13,4435.2,362674444
2019-03-21,4419.58,4462.29,4368.81,4411.44,294010937
2019-03-22,4308.77,4315.3,4294.04,4300.56,282008913
2019-03-25,4364.71,4399.18,4315.19,4349.54,206391299
2019-03-26,4341.86,4383.11,4291.43,4332.6,189621695
2019-03-27,4304.83,4339.69,4281.99,4316.79,259417111
2019-03-28,4373.8,4411.15,4343.39,4380.69,189228398
2019-03-29,4370.33,4404.43,4328.41,4362.44,114212737
2019-04-01,4413.75,4428.89,4382.91,4397.99,303187908
2019-04-02,4406.0,4449.92,4348.33,4392.11,246257977
2019-04-03,4376.34,4384.59,4361.11,4369.35,255388580
2019-04-04,4356.82,4379.99,4315.66,4338.74,290163541
2019-04-05,4357.49,4409.99,4314.95,4367.35,184535919
2019-04-08,4383.16,4399.09,4363.61,4379.53,145977290
2019-04-09,4374.8,4405.03,4345.13,4375.37,159224971
2019-04-10,4373.46,4409.53,4327.43,4363.41,223588034
2019-04-11,4318.93,4362.62,4279.91,4323.55,387100352
2019-04-12,4315.34,4360.65,4288.94,4334.13,137917468
2019-04-15,4267.38,4297.34,4245.03,4274.96,247563825
2019-04-16,4265.0,4287.89,4234.61,4257.46,132211880
2019-04-17,4209.58,4244.81,4181.5,4216.68,201735012
2019-04-18,4187.0,4205.55,4174.54,4193.07,117320522
2019-04-19,4245.25,4262.3,4224.11,4241.15,205473049
2019-04-22,4225.96,4248.11,4194.64,4216.74,190624845
2019-04-23,4291.19,4324.97,4250.07,4283.79,217368282
2019-04-24,4288.85,4313.7,4260.74,4285.57,312678277
2019-04-25,4421.38,4430.71,4415.46,4424.78,131975789
2019-04-26,4444.86,4474.71,4406.68,4436.48,338507990
2019-04-29,4501.16,4526.17,4480.36,4505.35,187860017
2019-04-30,4599.66,4621.22,4586.48,4608.02,320661316
2019-05-01,4641.54,4671.02,4601.12,4630.53,252271745
2019-05-02,4580.15,4625.4,4536.96,4582.2,125759814
2019-05-03,4479.32,4496.58,4462.9,4480.17,267447419
2019-05-06,4509.33,4527.77,4494.24,4512.68,258824611
2019-05-07,4540.89,4568.85,4517.43,4545.38,157500767
2019-05-08,4563.29,4597.68,4523.75,4558.1,239725003
2019-05-09,4582.22,4629.56,4560.43,4607.65,198312596
2019-05-10,4578.49,4607.05,4543.3,4571.81,225274773
2019-05-13,4527.42,4555.88,4501.27,4529.72,301892517
2019-05-14,4496.61,4512.54,4475.14,4491.05,125813133
2019-05-15,4480.9,4507.02,4457.8,4483.9,299669471
2019-05-16,4496.77,4518.06,4453.7,4474.89,124060958
2019-05-17,4384.68,4416.52,4356.03,4387.84,260948150
2019-05-20,4413.07,4414.18,4394.05,4395.16,300636935
2019-05-21,4423.68,4446.84,4397.91,4421.06,167296604
2019-05-22,4435.53,4436.19,4435.35,4436.01,324827275
2019-05-23,4411.58,4439.77,4384.89,4413.07,260605110
2019-05-24,4489.87,4521.1,4477.83,4509.01,270188833
2019-05-27,4517.79,4541.6,4480.45,4504.2,369974896
2019-05-28,4491.15,4506.81,4473.73,4489.39,186393159
2019-05-29,4442.97,4460.95,4436.91,4454.87,270627485
2019-05-30,4400.12,4421.65,4398.21,4419.72,231321706
2019-05-31,4384.06,4408.68,4366.8,4391.4,121217273
2019-06-03,4278.83,4288.68,4270.58,4280.43,242538408
2019-06-04,4295.22,4316.29,4271.05,4292.1,102255606
2019-06-05,4343.31,4383.83,4293.9,4334.34,63285328
2019-06-06,4284.54,4312.95,4241.43,4269.74,166148806
2019-06-07,4261.94,4290.52,4245.17,4273.7,240184831
2019-06-10,4370.95,4391.42,4347.66,4368.11,159649356
2019-06-11,4352.61,4391.47,4325.22,4364.01,220162707
2019-06-12,4315.63,4334.4,4294.66,4313.42,341040001
2019-06-13,4224.09,4263.98,4172.86,4212.65,145431378
2019-06-14,4153.95,4172.62,4139.13,4157.78,202316905
2019-06-17,4131.95,4157.62,4100.36,4126.0,205692208
2019-06-18,4073.21,4092.05,4046.82,4065.63,168697590
2019-06-19,4069.62,4101.73,4043.43,4075.51,199849360
2019-06-20,4057.24,4093.4,4024.07,4060.21,127732040
2019-06-21,4053.42,4066.88,4037.2,4050.65,267285009
2019-06-24,4139.36,4171.89,4081.63,4113.95,164767149
2019-06-25,4167.18,4189.17,4140.3,4162.27,200524601
2019-06-26,4115.26,4153.07,4081.78,4119.56,423920416
2019-06-27,4118.5,4157.3,4087.17,4125.92,239732368
2019-06-28,4083.19,4131.19,4049.18,4097.06,177033291
2019-07-01,4057.81,4090.81,4023.83,4056.83,217908192
2019-07-02,4198.17,4211.18,4181.72,4194.72,225141393
2019-07-03,4215.5,4242.05,4186.17,4212.71,295349237
2019-07-04,4237.14,4249.49,4216.89,4229.22,277450486
2019-07-05,4173.42,4197.78,4169.8,4194.14,240632280
2019-07-08,4267.7,4283.16,4246.72,4262.17,203368646
2019-07-09,4301.81,4344.31,4273.84,4316.25,190830133
2019-07-10,4511.62,4520.21,4481.56,4490.11,300110967
2019-07-11,4548.07,4583.08,4514.67,4549.66,212246270
2019-07-12,4545.48,4582.26,4500.45,4537.17,211494075
2019-07-15,4545.57,4583.85,4510.44,4548.7,274946984
2019-07-16,4442.0,4479.23,4408.93,4446.13,232762393
2019-07-17,4494.23,4551.27,4470.21,4527.07,185693534
2019-07-18,4492.2,4514.54,4476.53,4498.85,290682892
2019-07-19,4483.15,4497.36,4462.96,4477.16,140142234
2019-07-22,4576.45,4592.89,4550.87,4567.28,222786602
2019-07-23,4581.74,4604.72,4570.49,4593.44,260442554
2019-07-24,4579.79,4605.89,4553.27,4579.37,215845292
2019-07-25,4663.66,4696.56,4632.0,4664.89,168917124
2019-07-26,4685.7,4707.49,4662.53,4684.31,311182751
2019-07-29,4712.77,4741.1,4679.92,4708.21,247509360
2019-07-30,4744.61,4778.94,4711.53,4745.85,152819925
2019-07-31,4836.52,4867.71,4804.49,4835.67,345499675
2019-08-01,4858.47,4886.46,4829.66,4857.64,251169670
2019-08-02,4847.31,4866.39,4825.36,4844.43,317152074
2019-08-05,4717.0,4731.18,4708.55,4722.72,161340928
2019-08-06,4679.61,4727.72,4625.61,4673.66,189505033
2019-08-07,4655.04,4689.74,4621.07,4655.76,182751374
2019-08-08,4637.61,4685.02,4609.22,4656.51,186975037
2019-08-09,4540.56,4575.96,4490.4,4525.68,78515330
2019-08-12,4537.53,4562.36,4516.01,4540.83,252597252
2019-08-13,4567.24,4590.2,4538.57,4561.5,141464135
2019-08-14,4517.3,4535.0,4506.29,4523.97,161729297
2019-08-15,4564.62,4586.58,4528.89,4550.78,340049571
2019-08-16,4627.21,4661.53,4592.79,4627.11,178922579
2019-08-19,4575.22,4615.42,4538.57,4578.73,232898791
2019-08-20,4541.57,4553.27,4512.99,4524.65,281232283
2019-08-21,4468.43,4520.45,4427.48,4479.4,242557277
2019-08-22,4466.38,4496.57,4436.73,4466.92,195172272
2019-08-23,4489.38,4492.6,4482.21,4485.43,177659892
2019-08-26,4367.83,4396.54,4351.59,4380.25,115511808
2019-08-27,4367.03,4415.27,4328.83,4376.97,259167569
2019-08-28,4403.76,4441.03,4369.67,4406.92,251665289
2019-08-29,4385.12,4397.08,4368.29,4380.24,292030145
2019-08-30,4339.89,4376.56,4309.04,4345.66,207277526
2019-09-02,4336.86,4359.46,4317.52,4340.1,165192023
2019-09-03,4353.31,4364.36,4347.75,4358.79,223154652
2019-09-04,4339.25,4342.2,4331.18,4334.12,195180926
2019-09-05,4363.67,4378.59,4347.78,4362.7,331830113
2019-09-06,4415.23,4450.29,4389.58,4424.59,185369484
2019-09-09,4433.91,4460.18,4399.81,4426.03,175361297
2019-09-10,4444.52,4452.34,4431.36,4439.16,247794388
2019-09-11,4465.69,4501.25,4426.66,4462.18,253132233
2019-09-12,4496.34,4525.68,4475.75,4505.05,276411519
2019-09-13,4517.15,4548.35,4471.75,4502.85,171880774
2019-09-16,4431.73,4454.23,4409.88,4432.38,149403899
2019-09-17,4541.34,4581.85,4494.43,4534.88,377235704
2019-09-18,4507.03,4536.65,4482.21,4511.8,236297613
2019-09-19,4498.58,4542.67,4450.85,4494.91,300105066
2019-09-20,4516.14,4548.32,4482.0,4514.17,276780135
2019-09-23,4534.01,4562.22,4503.7,4531.9,241539952
2019-09-24,4602.11,4657.91,4554.93,4610.65,268574051
2019-09-25,4626.75,4667.96,4582.83,4624.01,250649012
2019-09-26,4586.7,4630.34,4554.38,4597.94,238852552
2019-09-27,4642.47,4667.1,4629.87,4654.47,176302643
2019-09-30,4715.58,4747.31,4682.17,4713.89,186879023
2019-10-01,4660.6,4688.28,4637.65,4665.31,324837723
2019-10-02,4665.81,4696.4,4638.35,4668.92,262090777
2019-10-03,4638.62,4669.54,4616.47,4647.35,209348433
2019-10-04,4693.5,4745.05,4660.88,4712.29,202160082
2019-10-07,4725.98,4743.76,4698.29,4716.04,75757023
2019-10-08,4686.32,4718.27,4652.27,4684.2,231843891
2019-10-09,4652.7,4675.05,4621.42,4643.73,308767094
2019-10-10,4584.88,4602.31,4571.86,4589.28,252916392
2019-10-11,4562.39,4570.69,4545.97,4554.26,135718103
2019-10-14,4593.76,4621.5,4558.4,4586.09,314075114
2019-10-15,4680.98,4710.3,4660.99,4690.26,256009097
2019-10-16,4738.76,4756.37,4715.94,4733.54,280274950
2019-10-17,4744.8,4780.06,4719.72,4754.92,247544158
