Date,Open,High,Low,Close,Volume
2019-01-01,2755.69,2759.84,2751.15,2755.3,165410502
2019-01-02,2747.68,2767.92,2725.42,2745.64,153259433
2019-01-03,2717.82,2734.85,2705.57,2722.58,187638288
2019-01-04,2706.59,2723.2,2683.38,2699.95,66688679
2019-01-07,2714.95,2730.15,2699.52,2714.72,123608510
2019-01-08,2680.23,2705.34,2654.68,2679.78,224773519
2019-01-09,2685.14,2699.93,2665.02,2679.79,146145363
2019-01-10,2662.19,2686.9,2642.12,2666.8,193106425
2019-01-11,2666.83,2685.19,2642.47,2660.8,242426216
2019-01-14,2642.78,2661.37,2621.86,2640.42,150627779
2019-01-15,2687.31,2704.91,2668.14,2685.73,182414907
2019-01-16,2630.67,2642.72,2616.79,2628.84,186030592
2019-01-17,2598.92,2610.22,2588.67,2599.97,220984314
2019-01-18,2564.42,2587.12,2540.45,2563.14,202954245
2019-01-21,2552.72,2571.41,2528.18,2546.83,69575546
2019-01-22,2487.86,2505.08,2472.02,2489.23,140934674
2019-01-23,2486.29,2507.7,2472.86,2494.22,196106189
2019-01-24,2536.71,2551.38,2523.97,2538.62,187474972
2019-01-25,2582.17,2604.03,2553.52,2575.32,217510676
2019-01-28,2553.4,2573.07,2537.42,2557.06,155671849
2019-01-29,2494.47,2515.14,2478.08,2498.73,279720956
2019-01-30,2540.42,2570.98,2516.02,2546.53,129159779
2019-01-31,2513.18,2522.92,2497.13,2506.86,166502090
2019-02-01,2489.52,2503.6,2477.67,2491.74,194792159
2019-02-04,2482.85,2511.22,2447.64,2475.94,276335621
2019-02-05,2475.93,2483.18,2469.72,2476.97,84414238
2019-02-06,2462.45,2484.42,2436.32,2458.25,165470404
2019-02-07,2492.08,2503.28,2476.23,2487.41,199663802
2019-02-08,2469.99,2490.54,2451.13,2471.67,168670944
2019-02-11,2465.45,2490.14,2445.46,2470.11,60151462
2019-02-12,2422.99,2446.71,2405.22,2428.9,166876229
2019-02-13,2430.66,2437.88,2426.22,2433.43,92036991
2019-02-14,2467.72,2482.1,2453.64,2468.01,187019399
2019-02-15,2463.42,2483.4,2450.12,2470.07,133257313
2019-02-18,2469.72,2476.92,2464.45,2471.65,120892826
2019-02-19,2551.59,2568.17,2518.27,2534.74,116893160
2019-02-20,2497.86,2501.24,2492.96,2496.33,146449228
2019-02-21,2509.35,2519.05,2491.28,2500.96,180539613
2019-02-22,2511.84,2527.03,2494.88,2510.05,121990927
2019-02-25,2465.46,2479.37,2443.66,2457.52,114314389
2019-02-26,2475.24,2488.16,2467.84,2480.74,95468370
2019-02-27,2479.71,2504.88,2458.8,2483.93,111462372
2019-02-28,2514.8,2541.47,2484.2,2510.83,158607115
2019-03-01,2490.01,2508.28,2469.63,2487.88,175614395
2019-03-04,2523.79,2527.7,2516.64,2520.54,147950312
2019-03-05,2483.25,2497.33,2467.07,2481.14,154012087
2019-03-06,2543.99,2553.9,2524.91,2534.78,71229945
2019-03-07,2514.64,2532.56,2499.09,2517.0,108519267
2019-03-08,2521.84,2530.8,2514.07,2523.03,78154539
2019-03-11,2519.96,2529.27,2510.51,2519.82,114388374
2019-03-12,2523.24,2544.56,2508.87,2530.15,115708456
