Date,Open,High,Low,Close,Volume
2019-01-01,931.57,935.57,927.66,931.66,243327665
2019-01-02,924.14,931.13,917.95,924.93,264124780
2019-01-03,919.63,925.22,915.87,921.45,125290201
2019-01-04,913.66,916.13,912.95,915.42,278237255
2019-01-07,942.36,948.43,935.89,941.96,140102899
2019-01-08,937.52,939.97,935.23,937.68,258024880
2019-01-09,941.08,942.79,938.84,940.55,182743104
2019-01-10,944.29,956.38,934.64,946.7,122393674
2019-01-11,954.84,955.49,953.98,954.63,174696779
2019-01-14,976.04,982.56,968.51,975.03,187091752
2019-01-15,985.9,989.22,983.27,986.58,224051715
2019-01-16,979.22,987.66,973.25,981.68,161275708
2019-01-17,989.96,990.78,985.87,986.68,205663343
2019-01-18,989.75,1000.9,981.43,992.55,186111553
2019-01-21,1001.56,1006.67,997.88,1002.99,277066454
2019-01-22,999.49,1005.16,990.9,996.56,263284210
2019-01-23,998.82,999.8,997.9,998.89,203413755
2019-01-24,983.54,988.4,979.89,984.75,272261522
2019-01-25,969.47,978.85,962.32,971.68,162517062
2019-01-28,968.26,976.88,958.61,967.21,242881128
2019-01-29,971.12,976.16,964.12,969.15,219018088
2019-01-30,972.61,977.81,967.34,972.54,260113351
2019-01-31,995.21,1005.24,988.75,998.76,213482273
2019-02-01,997.81,1003.96,991.29,997.43,184121088
2019-02-04,983.37,988.41,978.29,983.33,212225608
2019-02-05,967.79,973.21,964.8,970.21,186424904
2019-02-06,951.65,964.25,943.26,955.82,119304730
2019-02-07,944.87,948.06,943.9,947.09,260692411
2019-02-08,947.97,950.27,942.92,945.21,215907935
2019-02-11,968.73,974.54,962.44,968.25,62784031
2019-02-12,958.61,965.71,951.03,958.12,261920265
2019-02-13,956.0,959.08,952.78,955.86,220368237
2019-02-14,969.8,972.3,967.77,970.27,194417281
2019-02-15,988.61,992.08,982.82,986.27,176972842
2019-02-18,996.2,1008.81,989.14,1001.71,145029683
2019-02-19,1009.78,1015.05,1004.54,1009.8,268302197
2019-02-20,1005.18,1013.06,998.42,1006.29,182005955
2019-02-21,999.51,1003.07,996.78,1000.33,229507625
2019-02-22,1009.99,1013.02,1007.57,1010.6,238874618
2019-02-25,1009.07,1013.71,1004.73,1009.37,278658102
2019-02-26,1014.25,1018.41,1010.78,1014.93,151417243
2019-02-27,1019.26,1023.77,1017.56,1022.06,88430476
2019-02-28,1045.8,1053.5,1036.19,1043.88,269351308
2019-03-01,1042.57,1053.86,1029.16,1040.42,255608084
2019-03-04,1030.96,1033.35,1026.46,1028.85,141347804
2019-03-05,1051.49,1058.08,1044.62,1051.21,110192630
2019-03-06,1075.49,1075.94,1074.4,1074.85,311063277
2019-03-07,1090.31,1097.04,1083.7,1090.42,97419502
2019-03-08,1093.56,1094.88,1091.3,1092.61,110397832
2019-03-11,1100.7,1111.74,1087.5,1098.51,190830664
2019-03-12,1099.06,1101.86,1093.74,1096.52,196730008
2019-03-13,1070.61,1077.55,1064.08,1071.02,195263386
2019-03-14,1073.8,1079.96,1064.88,1071.02,179840544
2019-03-15,1085.16,1091.22,1079.14,1085.19,170105856
2019-03-18,1066.14,1070.71,1061.73,1066.29,213785743
2019-03-19,1070.45,1077.65,1062.2,1069.4,249712733
2019-03-20,1068.8,1075.7,1062.11,1069.02,243710897
2019-03-21,1052.04,1060.0,1045.02,1052.98,257330327
2019-03-22,1029.32,1034.49,1023.3,1028.48,289465840
2019-03-25,1044.39,1049.06,1034.89,1039.54,94908336
2019-03-26,1053.46,1055.92,1051.24,1053.7,257071380
2019-03-27,1044.15,1053.19,1034.15,1043.18,93111749
2019-03-28,1045.7,1051.27,1041.8,1047.37,224098681
2019-03-29,1063.56,1074.47,1055.37,1066.25,142726659
2019-04-01,1073.0,1084.14,1065.5,1076.61,113431542
2019-04-02,1080.56,1087.82,1074.17,1081.43,133944231
2019-04-03,1090.08,1090.83,1088.92,1089.66,348612179
2019-04-04,1108.65,1116.19,1098.7,1106.22,241361536
2019-04-05,1117.58,1128.84,1107.99,1119.24,182211483
2019-04-08,1130.14,1137.25,1125.13,1132.23,174727822
2019-04-09,1138.47,1152.08,1125.52,1139.13,152097600
2019-04-10,1114.05,1122.29,1107.05,1115.28,197261195
2019-04-11,1097.35,1104.88,1090.21,1097.73,288788598
2019-04-12,1105.12,1111.43,1101.49,1107.8,176592627
2019-04-15,1098.84,1105.3,1091.5,1097.95,242165797
2019-04-16,1122.94,1128.4,1117.64,1123.09,170437463
2019-04-17,1138.01,1145.19,1131.88,1139.05,196287686
2019-04-18,1131.83,1137.66,1125.32,1131.15,208679266
2019-04-19,1118.54,1122.77,1114.88,1119.1,228344150
2019-04-22,1107.46,1113.19,1099.64,1105.35,171647058
2019-04-23,1119.21,1121.95,1113.86,1116.59,187892908
2019-04-24,1118.21,1125.63,1111.47,1118.88,226934577
2019-04-25,1110.6,1113.33,1105.22,1107.94,193743256
2019-04-26,1104.0,1105.66,1099.85,1101.51,323889157
2019-04-29,1111.01,1118.86,1102.2,1110.04,186298988
2019-04-30,1111.91,1115.1,1108.99,1112.18,149593305
2019-05-01,1111.98,1121.79,1101.76,1111.58,239896460
2019-05-02,1098.74,1104.64,1093.92,1099.81,219962628
2019-05-03,1087.18,1092.87,1081.05,1086.74,221278608
2019-05-06,1093.56,1101.48,1081.7,1089.59,368978041
2019-05-07,1090.04,1101.7,1083.11,1094.74,181518019
2019-05-08,1105.57,1110.87,1099.7,1104.99,129655125
2019-05-09,1122.33,1129.94,1115.77,1123.38,221560005
2019-05-10,1137.57,1142.04,1130.86,1135.33,166540731
2019-05-13,1146.17,1152.16,1141.25,1147.24,213309821
2019-05-14,1167.0,1169.06,1163.05,1165.1,181224450
2019-05-15,1181.14,1190.02,1171.92,1180.8,223916299
2019-05-16,1180.45,1182.77,1177.54,1179.86,280405906
2019-05-17,1168.26,1174.88,1161.05,1167.66,287813894
2019-05-20,1169.17,1174.9,1162.76,1168.48,310417441
2019-05-21,1173.49,1177.89,1167.04,1171.42,206887710
2019-05-22,1169.66,1180.7,1158.91,1169.95,288689241
2019-05-23,1125.97,1132.06,1121.37,1127.45,232157994
2019-05-24,1118.2,1122.67,1112.68,1117.14,273556017
2019-05-27,1132.07,1138.65,1121.14,1127.7,202672589
2019-05-28,1135.57,1137.59,1131.96,1133.97,176719396
2019-05-29,1151.66,1155.02,1147.83,1151.19,256416289
2019-05-30,1131.5,1138.79,1123.15,1130.43,195832663
2019-05-31,1130.72,1139.55,1124.11,1132.93,160432173
2019-06-03,1130.44,1135.03,1128.0,1132.58,173684802
2019-06-04,1150.92,1158.54,1143.54,1151.16,153146976
2019-06-05,1151.26,1158.07,1147.07,1153.87,198564543
2019-06-06,1150.81,1160.63,1143.19,1152.99,199710304
2019-06-07,1174.48,1179.29,1168.1,1172.91,281629572
2019-06-10,1154.72,1160.41,1150.86,1156.55,135250970
2019-06-11,1153.58,1165.92,1143.99,1156.3,279988946
2019-06-12,1145.19,1146.78,1144.27,1145.85,238305083
2019-06-13,1146.29,1148.37,1146.18,1148.26,137876998
2019-06-14,1145.15,1149.45,1140.97,1145.27,185742201
2019-06-17,1122.06,1123.72,1121.34,1123.0,166912047
2019-06-18,1106.94,1118.77,1094.66,1106.48,114163488
2019-06-19,1113.35,1127.91,1098.11,1112.66,195100237
2019-06-20,1106.42,1113.32,1098.62,1105.51,205012228
2019-06-21,1103.13,1113.09,1095.29,1105.23,245858235
2019-06-24,1114.4,1126.67,1096.0,1108.2,226257075
2019-06-25,1084.82,1087.14,1083.91,1086.23,265075911
2019-06-26,1061.15,1068.95,1050.4,1058.18,186520324
2019-06-27,1066.55,1068.23,1062.69,1064.36,237824554
2019-06-28,1071.26,1085.88,1060.57,1075.14,154759394
2019-07-01,1047.35,1051.42,1047.29,1051.36,226906135
2019-07-02,1056.9,1064.3,1049.39,1056.79,217956929
2019-07-03,1076.89,1082.07,1069.68,1074.86,180711016
2019-07-04,1105.47,1107.77,1102.47,1104.77,238617180
2019-07-05,1084.53,1092.78,1078.44,1086.68,300748024
2019-07-08,1107.22,1110.96,1102.95,1106.69,232225965
2019-07-09,1097.96,1106.61,1086.5,1095.14,149332735
2019-07-10,1087.92,1094.98,1084.48,1091.52,243926147
2019-07-11,1117.43,1123.69,1113.88,1120.12,213104099
2019-07-12,1117.21,1125.32,1110.57,1118.67,105569456
2019-07-15,1132.67,1139.63,1125.9,1132.85,254857843
2019-07-16,1117.93,1124.52,1112.88,1119.46,152839159
2019-07-17,1142.02,1144.86,1134.83,1137.66,182031606
2019-07-18,1134.14,1136.7,1133.34,1135.9,199502947
2019-07-19,1127.82,1130.01,1123.93,1126.11,94443834
2019-07-22,1115.9,1125.47,1111.05,1120.6,127842630
2019-07-23,1108.45,1110.81,1106.69,1109.05,114761361
2019-07-24,1112.08,1119.4,1104.94,1112.26,243012040
2019-07-25,1115.6,1120.65,1107.86,1112.9,156432228
2019-07-26,1125.98,1134.21,1116.38,1124.61,135694969
2019-07-29,1104.64,1115.96,1095.05,1106.35,225516884
2019-07-30,1110.54,1119.95,1097.32,1106.69,223973169
2019-07-31,1108.22,1116.35,1098.38,1106.5,151122161
2019-08-01,1064.57,1069.39,1063.25,1068.06,187385337
2019-08-02,1067.0,1076.87,1059.13,1069.0,165922250
2019-08-05,1094.21,1102.2,1084.75,1092.73,151926512
2019-08-06,1091.45,1094.86,1089.26,1092.67,62941836
2019-08-07,1129.29,1134.89,1124.35,1129.95,224862101
2019-08-08,1159.12,1165.83,1151.15,1157.85,101280316
2019-08-09,1154.96,1159.78,1151.09,1155.91,243263229
2019-08-12,1182.81,1190.59,1167.36,1175.09,248596785
2019-08-13,1187.87,1189.31,1184.51,1185.95,175861416
2019-08-14,1205.57,1217.2,1192.58,1204.19,140904625
2019-08-15,1221.63,1227.78,1213.63,1219.77,136847769
2019-08-16,1225.06,1225.34,1220.18,1220.46,168798192
2019-08-19,1229.66,1239.43,1219.96,1229.72,262532322
2019-08-20,1233.46,1242.34,1225.21,1234.08,76858742
2019-08-21,1229.07,1234.95,1222.37,1228.24,161624452
2019-08-22,1242.86,1249.24,1234.94,1241.32,115519802
2019-08-23,1240.75,1249.92,1235.14,1244.3,267621671
2019-08-26,1228.43,1239.94,1218.07,1229.57,117132983
2019-08-27,1230.66,1238.63,1224.2,1232.16,360610101
2019-08-28,1253.3,1262.74,1247.57,1256.99,190737933
2019-08-29,1243.2,1251.85,1234.84,1243.49,126725332
2019-08-30,1246.42,1251.58,1238.89,1244.04,179062011
2019-09-02,1244.66,1249.38,1243.09,1247.8,232745477
2019-09-03,1239.52,1246.43,1235.92,1242.83,230719734
2019-09-04,1233.44,1235.54,1228.41,1230.5,254267012
2019-09-05,1234.11,1240.76,1226.92,1233.58,160434344
2019-09-06,1245.82,1250.99,1238.67,1243.83,222335145
2019-09-09,1211.23,1220.0,1206.34,1215.09,195435936
2019-09-10,1210.69,1218.65,1203.59,1211.55,210746247
2019-09-11,1223.42,1225.83,1219.61,1222.01,209948947
2019-09-12,1214.44,1226.42,1202.67,1214.64,192007598
2019-09-13,1201.86,1206.95,1191.28,1196.36,187404533
2019-09-16,1206.68,1213.13,1199.35,1205.79,171045995
2019-09-17,1236.23,1248.17,1225.51,1237.44,160639699
2019-09-18,1228.73,1239.75,1215.79,1226.8,139844662
2019-09-19,1235.83,1241.27,1235.34,1240.78,268651344
2019-09-20,1240.02,1246.7,1235.01,1241.69,218080359
2019-09-23,1249.23,1260.42,1242.73,1253.89,97255638
2019-09-24,1247.12,1247.3,1244.87,1245.05,298447563
2019-09-25,1236.06,1240.67,1231.19,1235.8,217224667
2019-09-26,1240.77,1244.49,1233.99,1237.7,220454755
2019-09-27,1221.17,1229.49,1215.83,1224.14,204438732
2019-09-30,1204.88,1209.68,1201.26,1206.06,342366050
2019-10-01,1207.14,1215.52,1199.3,1207.68,241808622
2019-10-02,1204.73,1208.31,1198.44,1202.01,188629047
2019-10-03,1217.82,1228.3,1212.38,1222.84,254326066
2019-10-04,1245.84,1253.34,1235.57,1243.06,270475703
2019-10-07,1226.63,1230.79,1225.26,1229.42,174881724
2019-10-08,1237.88,1252.36,1226.96,1241.41,204682023
2019-10-09,1249.97,1253.15,1244.3,1247.48,245645831
2019-10-10,1240.72,1247.22,1234.31,1240.81,259680274
2019-10-11,1235.21,1236.87,1228.89,1230.55,178508466
2019-10-14,1226.51,1233.9,1218.77,1226.16,177926919
2019-10-15,1226.69,1232.04,1222.91,1228.25,215473621
2019-10-16,1236.02,1241.23,1231.96,1237.16,297512979
2019-10-17,1215.53,1220.56,1214.93,1219.96,233546187
2019-10-18,1204.28,1212.05,1195.68,1203.44,410750925
2019-10-21,1211.74,1224.19,1201.99,1214.41,144801709
2019-10-22,1235.89,1243.62,1229.42,1237.15,183923565
2019-10-23,1223.35,1230.4,1217.64,1224.69,160001434
2019-10-24,1220.46,1227.55,1213.27,1220.36,292678713
2019-10-25,1238.0,1246.57,1226.58,1235.13,336715017
2019-10-28,1234.71,1240.94,1229.0,1235.23,241000243
2019-10-29,1217.46,1223.76,1208.27,1214.56,223253625
2019-10-30,1215.33,1218.23,1211.73,1214.63,163575568
2019-10-31,1208.73,1220.9,1198.77,1210.93,245120401
2019-11-01,1184.16,1192.54,1180.19,1188.55,349131287
2019-11-04,1202.95,1209.96,1196.94,1203.95,251258212
2019-11-05,1224.6,1232.62,1221.71,1229.72,239319452
2019-11-06,1248.0,1251.21,1242.95,1246.17,183547571
2019-11-07,1270.22,1280.44,1256.16,1266.35,343983633
2019-11-08,1272.05,1278.82,1266.23,1273.0,81465136
2019-11-11,1281.47,1286.41,1274.26,1279.2,183293457
2019-11-12,1272.52,1282.54,1266.39,1276.39,113754363
2019-11-13,1265.51,1269.25,1263.86,1267.6,308267629
2019-11-14,1279.25,1289.78,1267.1,1277.61,205266217
2019-11-15,1241.46,1252.67,1235.56,1246.75,223806483
2019-11-18,1250.52,1261.3,1242.43,1253.19,290801980
2019-11-19,1271.46,1273.37,1268.77,1270.68,243763445
2019-11-20,1289.01,1295.26,1281.16,1287.4,174754915
2019-11-21,1292.62,1299.74,1286.76,1293.87,194651977
2019-11-22,1284.01,1290.41,1278.83,1285.22,74436138
2019-11-25,1305.92,1317.27,1295.33,1306.68,188177030
2019-11-26,1317.54,1320.84,1309.25,1312.53,295384169
2019-11-27,1307.79,1310.12,1302.71,1305.03,178107920
2019-11-28,1318.26,1328.02,1313.54,1323.29,278281267
2019-11-29,1320.25,1328.15,1312.56,1320.47,183518971
2019-12-02,1314.1,1326.98,1302.04,1314.91,200917797
2019-12-03,1323.15,1328.92,1317.38,1323.16,257998448
2019-12-04,1301.22,1303.92,1293.7,1296.39,155810018
2019-12-05,1293.72,1302.3,1281.67,1290.23,73291804
2019-12-06,1305.6,1314.34,1297.89,1306.63,252002165
2019-12-09,1298.96,1305.92,1292.59,1299.55,93631860
2019-12-10,1319.97,1325.07,1314.59,1319.69,216029677
2019-12-11,1350.95,1358.92,1337.95,1345.88,271451671
2019-12-12,1359.9,1367.59,1349.54,1357.21,229204816
2019-12-13,1352.36,1359.64,1344.03,1351.31,213320771
2019-12-16,1353.68,1362.46,1344.02,1352.79,178648435
2019-12-17,1391.5,1397.5,1381.05,1387.03,221557976
2019-12-18,1400.34,1410.17,1390.0,1399.83,302087761
2019-12-19,1386.15,1399.01,1375.54,1388.38,147878758
