Date,Open,High,Low,Close,Volume
2023-01-02,474.93,477.22,472.58,474.87,15556338
2023-01-03,476.29,478.67,474.01,476.39,11515131
2023-01-04,471.36,475.33,468.53,472.5,14022153
2023-01-05,480.83,482.45,478.71,480.32,10994934
2023-01-06,476.18,479.98,472.84,476.65,13237671
2023-01-09,470.42,472.61,468.01,470.2,12703453
2023-01-10,466.67,470.37,462.52,466.21,14132652
2023-01-11,461.79,464.55,458.72,461.48,13174753
2023-01-12,449.23,452.72,446.96,450.44,6154208
2023-01-13,458.16,459.49,457.18,458.51,9833974
2023-01-16,462.72,463.58,459.9,460.76,11902827
2023-01-17,462.66,466.22,457.81,461.37,13019888
2023-01-18,460.47,463.35,456.82,459.7,14064918
2023-01-19,453.74,455.53,451.71,453.5,13259845
2023-01-20,443.92,446.43,442.29,444.8,9606129
2023-01-23,444.39,446.74,442.2,444.54,14336767
2023-01-24,447.78,448.97,446.97,448.16,9301932
2023-01-25,451.57,453.25,449.96,451.64,15342878
2023-01-26,450.23,454.12,447.65,451.54,15537359
2023-01-27,451.07,453.78,447.52,450.21,11630924
2023-01-30,449.97,454.1,448.28,452.4,9771307
2023-01-31,454.4,457.9,450.13,453.62,9631328
2023-02-01,458.75,461.77,454.93,457.95,8471273
2023-02-02,464.8,466.17,461.27,462.64,8970841
2023-02-03,462.11,463.25,461.21,462.34,11134326
2023-02-06,458.94,462.03,456.33,459.41,10029601
2023-02-07,455.26,456.89,453.51,455.15,6967343
2023-02-08,449.37,450.82,447.43,448.87,10250717
2023-02-09,447.98,450.27,445.76,448.06,11931154
2023-02-10,455.31,459.1,452.61,456.39,10671827
2023-02-13,452.17,454.92,448.92,451.67,9051604
2023-02-14,449.41,451.49,447.34,449.41,4689831
2023-02-15,444.35,445.28,444.31,445.25,14999430
2023-02-16,448.51,452.86,445.63,449.97,11544890
2023-02-17,459.0,460.32,455.42,456.74,12595242
2023-02-20,455.42,457.75,452.34,454.67,12187479
2023-02-21,464.68,466.66,462.18,464.16,13110246
2023-02-22,461.34,465.59,457.19,461.45,12361696
2023-02-23,465.7,469.71,461.05,465.06,11947827
2023-02-24,463.88,466.52,462.22,464.86,13885448
2023-02-27,464.36,465.2,463.33,464.17,14510986
2023-02-28,467.09,468.01,465.95,466.86,15692807
2023-03-01,461.54,464.83,459.22,462.49,9235264
2023-03-02,469.51,471.21,467.9,469.61,12387485
2023-03-03,466.2,467.65,465.14,466.59,6980543
2023-03-06,467.0,469.33,465.39,467.72,10257020
2023-03-07,471.84,474.9,469.29,472.35,11086156
2023-03-08,465.52,469.15,463.5,467.12,13820188
2023-03-09,474.4,476.08,471.72,473.4,11316990
2023-03-10,468.65,470.43,465.43,467.19,13621666
2023-03-13,464.9,467.71,462.96,465.77,10654378
2023-03-14,476.42,478.78,473.02,475.37,9976310
2023-03-15,473.73,476.16,471.33,473.76,9322033
2023-03-16,473.85,474.43,473.28,473.86,13673896
2023-03-17,468.93,472.42,466.66,470.15,10557319
2023-03-20,465.98,468.27,464.22,466.5,4586923
2023-03-21,467.41,468.56,465.75,466.91,13513618
2023-03-22,462.0,464.64,460.27,462.9,8951465
2023-03-23,475.92,479.88,472.68,476.63,12223540
2023-03-24,470.62,473.98,467.74,471.09,8368906
2023-03-27,467.91,473.33,465.71,471.12,11703315
2023-03-28,469.68,470.95,468.1,469.37,3292856
2023-03-29,461.51,462.33,460.1,460.92,11562173
2023-03-30,453.57,454.76,452.05,453.24,9109172
2023-03-31,447.76,449.79,444.9,446.92,7964805
2023-04-03,442.75,445.16,440.72,443.14,13888030
2023-04-04,439.64,441.05,436.65,438.05,11314423
2023-04-05,432.23,435.67,429.52,432.96,10948767
2023-04-06,429.62,432.08,427.36,429.81,9548950
2023-04-07,428.63,429.25,428.28,428.91,14268121
2023-04-10,427.94,429.96,425.76,427.78,10393075
2023-04-11,431.11,433.91,428.52,431.31,15997270
2023-04-12,429.23,431.43,427.13,429.32,15244675
2023-04-13,434.37,437.43,431.91,434.96,15815253
2023-04-14,436.09,438.2,434.35,436.47,14482218
2023-04-17,428.85,432.66,426.98,430.78,9893044
2023-04-18,416.16,418.0,413.66,415.49,11813267
2023-04-19,410.96,413.8,408.96,411.8,11068413
2023-04-20,418.74,420.55,417.34,419.15,14103707
2023-04-21,420.38,424.09,417.57,421.27,11629482
2023-04-24,414.6,417.65,411.09,414.13,10951294
2023-04-25,414.72,416.6,413.3,415.17,16493678
2023-04-26,411.62,414.54,410.73,413.64,10705904
2023-04-27,420.03,420.79,419.04,419.8,9840075
