Date,Open,High,Low,Close,Volume
2019-01-01,3065.27,3076.95,3045.16,3056.8,49154500
2019-01-02,2941.09,2954.29,2933.1,2946.28,38224107
2019-01-03,3006.83,3015.19,2989.31,2997.65,56451048
2019-01-04,2976.62,3000.71,2948.0,2972.05,53649886
2019-01-07,2947.64,2962.27,2926.69,2941.29,34042113
2019-01-08,2913.05,2931.58,2891.99,2910.51,25998817
2019-01-09,2902.82,2914.6,2902.42,2914.19,66748079
2019-01-10,2867.8,2882.29,2859.77,2874.24,17799860
2019-01-11,2883.74,2904.82,2875.93,2896.98,57391493
2019-01-14,2923.25,2947.01,2904.4,2928.13,39921573
2019-01-15,2887.3,2902.67,2876.76,2892.12,60896742
2019-01-16,2819.34,2849.73,2792.53,2822.88,37864557
2019-01-17,2822.04,2836.78,2809.25,2823.98,66690971
2019-01-18,2816.46,2841.54,2796.77,2821.81,39242458
2019-01-21,2774.27,2796.73,2751.45,2773.9,32109088
2019-01-22,2809.26,2820.05,2802.05,2812.83,58744423
2019-01-23,2814.41,2817.93,2812.49,2816.01,54897490
2019-01-24,2819.68,2829.76,2802.76,2812.82,40517286
2019-01-25,2810.67,2825.39,2788.76,2803.45,32341837
2019-01-28,2814.26,2838.39,2785.12,2809.2,45645753
2019-01-29,2778.73,2793.03,2770.24,2784.51,55592755
2019-01-30,2817.7,2827.13,2809.95,2819.37,53871447
2019-01-31,2847.59,2859.57,2833.93,2845.91,57499550
2019-02-01,2857.72,2872.24,2838.41,2852.9,45095545
2019-02-04,2817.25,2853.71,2795.27,2831.62,40932924
2019-02-05,2816.74,2840.72,2803.57,2827.49,43677647
2019-02-06,2850.15,2875.4,2830.69,2855.89,47912965
2019-02-07,2902.15,2913.35,2890.62,2901.82,46280606
2019-02-08,2928.65,2949.29,2916.67,2937.27,63681866
2019-02-11,2906.72,2922.62,2891.28,2907.17,48257239
2019-02-12,2855.22,2864.23,2850.27,2859.28,20129746
2019-02-13,2839.79,2861.99,2820.23,2842.41,42263363
2019-02-14,2881.91,2884.45,2880.35,2882.89,69749127
2019-02-15,2865.64,2871.81,2853.91,2860.07,8004735
2019-02-18,2909.3,2922.22,2901.86,2914.77,40157213
2019-02-19,2951.4,2980.52,2926.42,2955.51,38009632
2019-02-20,2970.95,2990.87,2949.56,2969.47,59424036
2019-02-21,2993.3,3010.62,2967.54,2984.81,43326248
2019-02-22,2995.07,3007.2,2979.56,2991.68,53524099
2019-02-25,2954.18,2976.61,2936.94,2959.34,31950276
2019-02-26,2886.24,2912.56,2863.87,2890.16,49752505
2019-02-27,2886.27,2912.89,2867.75,2894.33,51203118
2019-02-28,2880.5,2901.9,2861.15,2882.54,34311042
2019-03-01,2935.96,2958.16,2915.03,2937.22,36515066
2019-03-04,2932.82,2947.49,2912.26,2926.91,45999890
2019-03-05,2948.51,2963.24,2937.7,2952.42,21469897
2019-03-06,2920.73,2942.57,2909.11,2930.9,59758500
2019-03-07,2934.83,2946.1,2923.39,2934.66,39218612
2019-03-08,2960.46,2989.14,2932.05,2960.72,51536119
2019-03-11,2936.01,2949.66,2921.11,2934.76,50662527
2019-03-12,2883.74,2903.05,2871.05,2890.33,32438763
2019-03-13,2956.64,2957.68,2951.97,2953.01,57560564
2019-03-14,2938.5,2939.82,2938.02,2939.34,43745433
2019-03-15,2909.77,2911.15,2905.35,2906.73,47203231
2019-03-18,2910.61,2942.87,2877.69,2909.94,43784385
2019-03-19,2902.26,2920.48,2884.13,2902.35,36329455
2019-03-20,2936.22,2946.09,2927.41,2937.27,61717616
2019-03-21,2966.27,2979.52,2943.46,2956.66,43139494
2019-03-22,2988.84,3005.19,2971.62,2987.96,60845625
2019-03-25,2960.35,2976.7,2940.62,2956.96,53064621
2019-03-26,2956.78,2986.58,2938.67,2968.4,33593410
2019-03-27,2958.64,2982.18,2939.44,2962.95,27380503
2019-03-28,2997.48,3016.31,2984.87,3003.68,46115717
2019-03-29,3066.44,3074.18,3048.43,3056.15,57795420
2019-04-01,3103.77,3124.19,3075.31,3095.68,56971797
2019-04-02,3146.46,3151.5,3130.17,3135.18,56302722
2019-04-03,3182.76,3217.75,3143.45,3178.4,43734341
2019-04-04,3178.93,3192.47,3170.02,3183.55,18644031
2019-04-05,3132.7,3148.92,3119.64,3135.85,41962975
2019-04-08,3134.55,3147.68,3109.76,3122.85,57841907
2019-04-09,3146.86,3155.1,3143.63,3151.87,90820892
2019-04-10,3184.62,3203.27,3162.02,3180.64,36082530
2019-04-11,3134.49,3170.35,3111.73,3147.5,26825413
2019-04-12,3124.4,3143.79,3109.97,3129.33,62556910
2019-04-15,3101.23,3124.04,3076.41,3099.2,46011683
2019-04-16,3128.4,3152.12,3098.08,3121.75,58786279
2019-04-17,3135.59,3160.34,3108.39,3133.13,30111778
2019-04-18,3159.24,3169.96,3144.53,3155.25,58496389
2019-04-19,3144.59,3185.23,3115.82,3156.35,44962859
2019-04-22,3145.6,3173.99,3126.1,3154.43,58682018
2019-04-23,3159.9,3185.3,3144.16,3169.51,53861299
2019-04-24,3161.76,3181.51,3152.69,3172.41,54033580
2019-04-25,3210.49,3220.6,3198.96,3209.07,40587117
2019-04-26,3222.65,3237.02,3207.4,3221.78,59101844
2019-04-29,3196.33,3216.45,3177.32,3197.43,17677633
2019-04-30,3195.89,3218.26,3168.36,3190.7,48803573
2019-05-01,3217.81,3254.93,3190.16,3227.2,72498571
2019-05-02,3217.7,3237.2,3199.97,3219.46,58282074
2019-05-03,3172.72,3206.95,3149.55,3183.7,40426504
2019-05-06,3219.61,3241.98,3200.71,3223.06,60152074
