Date,Open,High,Low,Close,Volume
2023-01-02,393.33,394.39,392.41,393.47,20164167
2023-01-03,394.64,397.15,392.57,395.08,53655739
2023-01-04,396.21,397.21,392.5,393.49,51692625
2023-01-05,393.44,395.38,391.84,393.77,67459742
2023-01-06,392.51,396.69,389.51,393.68,63420433
2023-01-09,394.52,396.58,392.42,394.49,62644871
2023-01-10,391.39,393.01,389.9,391.52,73908138
2023-01-11,391.09,394.44,388.66,392.0,24811079
2023-01-12,390.01,391.2,388.54,389.73,58954656
2023-01-13,386.6,387.58,385.19,386.16,42236331
2023-01-16,394.64,396.13,393.09,394.57,41015881
2023-01-17,397.22,400.09,394.55,397.43,55357011
2023-01-18,400.1,403.03,397.46,400.39,60016429
2023-01-19,413.2,415.17,411.76,413.72,67190207
2023-01-20,410.62,413.29,409.0,411.67,66199990
2023-01-23,416.2,418.42,412.75,414.96,47359323
2023-01-24,417.65,421.56,411.73,415.62,56753158
2023-01-25,416.94,419.48,415.26,417.8,81139288
2023-01-26,423.57,427.16,420.49,424.08,83778371
2023-01-27,428.4,431.47,426.26,429.33,55113484
2023-01-30,427.3,429.95,423.89,426.54,61079074
2023-01-31,427.18,430.84,424.39,428.05,46317854
2023-02-01,439.86,441.99,437.11,439.24,75023978
2023-02-02,449.59,451.59,447.21,449.2,94256176
2023-02-03,445.75,447.71,443.93,445.89,51706965
2023-02-06,451.35,453.7,447.79,450.13,77246586
2023-02-07,447.58,450.98,444.51,447.9,70686211
2023-02-08,446.08,449.26,442.89,446.07,57189287
2023-02-09,446.65,450.83,443.55,447.74,49305554
2023-02-10,443.98,447.75,442.39,446.15,96679357
2023-02-13,437.53,439.01,435.14,436.61,71126910
2023-02-14,433.55,435.32,432.32,434.09,73999100
2023-02-15,431.57,433.64,428.5,430.57,56536103
2023-02-16,428.63,431.66,425.9,428.93,60603785
2023-02-17,435.08,436.64,433.62,435.18,41534821
2023-02-20,439.19,441.0,437.19,439.0,71048307
2023-02-21,432.32,435.3,429.82,432.79,54104137
2023-02-22,429.61,432.66,427.95,431.0,44374331
2023-02-23,424.04,426.53,422.29,424.78,46934971
2023-02-24,416.91,420.52,414.11,417.71,95667807
2023-02-27,423.77,425.73,421.84,423.8,55254045
2023-02-28,422.62,423.92,420.39,421.68,65188268
2023-03-01,428.54,431.17,426.53,429.16,41860488
2023-03-02,430.67,433.07,428.36,430.76,56871695
2023-03-03,431.2,435.3,426.89,430.99,39240658
2023-03-06,428.0,431.91,424.77,428.68,65242478
2023-03-07,425.58,430.21,420.62,425.25,46105396
2023-03-08,424.97,425.98,423.04,424.04,71604382
2023-03-09,422.95,426.03,419.54,422.62,32984960
2023-03-10,423.89,427.16,420.67,423.93,50260728
2023-03-13,428.51,431.19,426.55,429.23,77254223
2023-03-14,433.07,434.78,431.46,433.17,82572151
2023-03-15,440.62,443.92,437.98,441.28,59782645
2023-03-16,444.5,446.73,442.79,445.02,53898201
2023-03-17,448.91,450.02,447.92,449.02,61431872
2023-03-20,449.63,450.57,448.88,449.82,90316100
2023-03-21,451.37,452.05,449.76,450.44,55687339
2023-03-22,451.72,454.5,449.48,452.26,59745007
2023-03-23,445.04,447.64,442.09,444.69,43980704
2023-03-24,447.5,449.06,446.36,447.92,49580208
2023-03-27,440.79,444.01,438.38,441.59,66268759
2023-03-28,436.88,439.26,433.97,436.35,73021657
2023-03-29,434.71,436.97,432.09,434.35,64206149
2023-03-30,430.98,434.02,428.45,431.49,72089968
2023-03-31,428.4,433.22,426.29,431.1,44762504
2023-04-03,430.99,434.08,426.95,430.03,43283456
2023-04-04,428.72,431.19,425.6,428.06,71548706
2023-04-05,437.67,438.54,435.79,436.66,52587531
2023-04-06,444.09,447.72,439.39,443.02,42165631
2023-04-07,448.9,450.06,447.73,448.89,62720443
2023-04-10,452.02,454.41,450.0,452.39,60974615
2023-04-11,449.94,455.9,445.62,451.56,56860235
2023-04-12,448.53,450.99,445.95,448.41,83376918
2023-04-13,439.74,441.39,438.48,440.14,87669604
2023-04-14,445.04,448.04,442.74,445.74,74016584
2023-04-17,435.31,438.91,432.89,436.49,66102937
2023-04-18,432.15,435.17,430.03,433.05,80289088
2023-04-19,436.82,439.52,435.29,438.0,62048113
2023-04-20,433.02,433.86,431.33,432.16,56801921
2023-04-21,441.58,442.54,439.64,440.59,50983929
2023-04-24,437.9,439.84,436.61,438.55,48019835
2023-04-25,433.45,436.53,429.33,432.39,73542633
2023-04-26,422.81,423.68,421.85,422.72,37280624
2023-04-27,427.5,429.55,424.2,426.25,50824632
2023-04-28,426.35,429.46,422.73,425.84,54414984
2023-05-01,423.45,425.91,420.46,422.92,38690438
2023-05-02,429.46,432.62,426.1,429.25,53852368
2023-05-03,427.49,429.54,426.07,428.11,61092457
2023-05-04,428.79,432.4,426.32,429.92,75023671
2023-05-05,445.58,448.61,442.37,445.4,52141845
2023-05-08,447.85,450.79,444.99,447.93,61196063
2023-05-09,457.73,460.6,452.5,455.36,37394415
2023-05-10,462.68,463.66,461.02,461.99,41539335
2023-05-11,458.25,461.71,455.58,459.03,31285262
2023-05-12,460.46,463.06,457.94,460.54,74301649
2023-05-15,453.22,455.46,451.32,453.55,54800635
2023-05-16,451.58,453.1,450.09,451.61,62990875
2023-05-17,460.69,464.4,458.2,461.9,67505770
2023-05-18,462.38,463.55,460.38,461.54,71758568
2023-05-19,468.16,470.24,466.46,468.53,89620022
2023-05-22,451.64,454.52,448.17,451.05,59076654
2023-05-23,453.24,456.78,450.26,453.79,49074861
2023-05-24,456.52,459.38,454.03,456.88,70115099
2023-05-25,450.62,452.24,448.48,450.09,94955762
2023-05-26,451.61,454.52,450.58,453.48,51647112
2023-05-29,450.34,451.66,448.13,449.45,47829667
2023-05-30,450.23,453.41,445.74,448.91,21564780
2023-05-31,449.48,451.67,445.99,448.18,28845247
2023-06-01,448.64,451.2,446.71,449.27,80875317
2023-06-02,449.15,451.32,446.71,448.88,57103884
2023-06-05,446.68,449.7,444.06,447.08,42714108
2023-06-06,441.71,444.11,440.63,443.03,59738792
2023-06-07,434.56,436.09,432.95,434.48,98513522
2023-06-08,436.76,440.57,434.23,438.04,59755966
2023-06-09,443.25,445.46,440.51,442.72,88267130
2023-06-12,439.89,442.85,436.23,439.18,45711290
2023-06-13,433.53,436.14,429.82,432.42,81485919
2023-06-14,437.44,438.73,435.7,436.99,51320312
2023-06-15,436.48,437.79,435.53,436.84,48207998
2023-06-16,428.58,430.85,426.48,428.74,45671926
2023-06-19,430.43,431.47,429.29,430.32,54859169
2023-06-20,430.41,432.78,426.78,429.15,74257114
2023-06-21,425.86,429.13,421.35,424.61,52504857
2023-06-22,422.66,423.76,421.62,422.73,75656297
2023-06-23,421.92,424.36,418.65,421.09,48987978
2023-06-26,429.1,432.22,426.42,429.54,58468760
2023-06-27,433.39,435.64,430.77,433.02,51772775
2023-06-28,425.56,428.06,423.37,425.86,86733460
2023-06-29,425.1,425.24,424.74,424.89,67416663
2023-06-30,419.32,421.96,417.38,420.01,63934866
2023-07-03,422.48,425.58,420.58,423.68,55531764
2023-07-04,423.94,427.8,421.14,425.0,50994787
2023-07-05,422.0,424.7,418.8,421.5,44671715
2023-07-06,424.35,426.78,422.88,425.3,79421925
2023-07-07,425.27,425.86,424.97,425.56,35599483
2023-07-10,431.08,431.65,429.76,430.32,54286334
2023-07-11,439.08,442.29,434.89,438.09,72864090
2023-07-12,434.15,436.89,432.26,435.0,34691773
2023-07-13,428.06,430.82,427.37,430.13,62353847
2023-07-14,434.72,436.23,433.92,435.42,46701085
2023-07-17,436.56,438.73,434.22,436.39,60091014
2023-07-18,436.78,438.85,434.13,436.2,57178065
2023-07-19,423.6,427.92,420.29,424.6,26042928
2023-07-20,420.85,424.18,419.03,422.35,69214287
2023-07-21,413.63,416.56,411.44,414.38,44951969
2023-07-24,415.33,417.6,413.5,415.76,51504973
2023-07-25,412.32,414.85,408.09,410.61,60449886
2023-07-26,402.88,406.11,399.56,402.79,65300213
2023-07-27,404.65,407.24,401.55,404.13,66369882
2023-07-28,414.99,418.49,410.58,414.08,71495802
2023-07-31,411.17,413.83,408.87,411.54,22868068
2023-08-01,415.77,416.32,415.14,415.69,66898001
2023-08-02,410.56,411.73,409.18,410.35,59857142
2023-08-03,406.87,409.37,403.88,406.37,51435007
2023-08-04,410.46,412.22,408.81,410.57,63612165
2023-08-07,410.0,411.84,407.3,409.14,73431121
2023-08-08,412.4,413.59,410.31,411.5,46612458
2023-08-09,415.0,418.3,411.93,415.23,80615795
2023-08-10,417.86,421.02,414.07,417.23,76800448
2023-08-11,415.04,416.72,413.04,414.72,65217117
2023-08-14,414.23,415.91,410.36,412.04,41440649
2023-08-15,417.35,420.29,413.67,416.6,91852994
2023-08-16,419.54,422.3,416.45,419.21,63937977
2023-08-17,432.22,433.25,431.69,432.72,61906878
2023-08-18,430.61,434.03,428.09,431.51,61388940
2023-08-21,433.12,435.5,430.28,432.66,67939519
2023-08-22,429.31,432.88,427.21,430.78,73526453
2023-08-23,419.38,420.53,416.88,418.02,59318306
2023-08-24,414.43,417.31,413.28,416.15,41147073
2023-08-25,415.63,417.19,414.92,416.49,75138070
2023-08-28,421.49,422.83,419.31,420.65,47526245
2023-08-29,423.91,424.18,423.67,423.94,44698904
2023-08-30,430.53,432.01,428.91,430.38,58742929
2023-08-31,435.14,438.05,432.83,435.74,52891335
2023-09-01,442.05,443.12,441.09,442.16,65364569
2023-09-04,434.87,437.99,431.17,434.28,68201429
2023-09-05,434.3,438.69,430.65,435.03,52678425
2023-09-06,434.56,436.95,432.4,434.79,61503273
2023-09-07,438.85,441.36,436.34,438.85,52450725
2023-09-08,437.73,438.52,437.18,437.97,71136960
2023-09-11,448.97,451.15,446.11,448.29,67009656
2023-09-12,452.85,453.61,451.67,452.43,70400704
2023-09-13,446.02,446.58,445.55,446.11,55452445
2023-09-14,446.24,448.65,445.36,447.76,63548541
2023-09-15,444.46,446.32,441.55,443.41,67305130
2023-09-18,435.81,438.55,433.88,436.62,70868913
2023-09-19,430.5,432.38,427.11,428.98,69585335
2023-09-20,434.98,436.66,434.03,435.71,57860545
2023-09-21,431.2,433.24,428.95,430.99,42535972
2023-09-22,430.62,431.96,428.73,430.07,67179562
2023-09-25,423.52,425.7,421.5,423.68,66439201
2023-09-26,423.61,425.32,421.64,423.35,43279809
2023-09-27,422.71,423.33,422.33,422.95,72328939
2023-09-28,424.34,425.68,421.42,422.75,62024488
2023-09-29,421.73,424.09,419.2,421.56,57769880
2023-10-02,429.81,432.56,427.15,429.91,62879051
2023-10-03,426.98,427.85,425.9,426.77,73588161
2023-10-04,424.56,425.82,422.35,423.6,82951744
2023-10-05,420.88,422.39,419.03,420.55,58893175
2023-10-06,416.85,419.7,413.84,416.69,56255361
2023-10-09,407.38,410.78,405.17,408.56,68763607
2023-10-10,412.48,413.28,410.73,411.53,39695482
2023-10-11,413.7,415.97,411.14,413.41,72562185
2023-10-12,407.37,410.6,404.5,407.73,39475773
2023-10-13,414.17,416.22,411.86,413.9,39183371
2023-10-16,409.12,410.33,406.79,407.99,82873811
2023-10-17,415.79,418.37,412.63,415.2,28612483
2023-10-18,423.92,425.98,420.2,422.25,79201766
2023-10-19,416.81,418.47,414.41,416.08,82969758
2023-10-20,422.97,427.28,420.31,424.61,64760855
2023-10-23,415.98,417.85,413.07,414.93,68733047
2023-10-24,419.01,422.44,417.06,420.48,36202598
2023-10-25,424.46,427.1,420.68,423.31,52344899
2023-10-26,421.54,423.01,419.32,420.8,65042743
2023-10-27,416.32,417.23,414.02,414.93,64608029
2023-10-30,399.27,401.33,396.87,398.92,66324640
2023-10-31,396.56,399.58,393.32,396.34,64599973
2023-11-01,387.39,387.41,386.42,386.44,60007044
2023-11-02,382.67,385.87,380.39,383.58,41460125
2023-11-03,383.75,385.5,381.97,383.72,64946803
2023-11-06,381.62,383.1,380.31,381.79,42727741
2023-11-07,383.45,385.01,382.22,383.78,54249484
2023-11-08,391.4,394.32,388.93,391.85,80468963
2023-11-09,389.2,391.48,386.79,389.07,36347959
2023-11-10,388.66,389.6,387.16,388.1,57838507
2023-11-13,387.5,389.48,384.38,386.35,72650368
2023-11-14,387.76,390.79,384.95,387.98,69225291
2023-11-15,390.45,393.04,388.14,390.73,64254418
2023-11-16,384.29,386.93,383.85,386.48,49586137
2023-11-17,382.06,384.27,378.74,380.94,79255466
2023-11-20,379.51,381.31,378.75,380.54,41427505
2023-11-21,374.14,375.99,371.94,373.79,70034329
2023-11-22,367.05,368.16,365.74,366.84,61977205
2023-11-23,372.1,374.07,369.39,371.36,47953324
2023-11-24,372.63,374.46,371.45,373.28,53886470
2023-11-27,373.75,374.65,372.42,373.32,86721573
2023-11-28,376.45,378.38,373.31,375.23,42350582
2023-11-29,374.49,376.26,372.54,374.31,33429794
2023-11-30,376.12,379.1,373.81,376.78,50173032
2023-12-01,369.69,372.05,368.42,370.78,65856106
2023-12-04,369.98,370.52,368.34,368.88,80941583
2023-12-05,367.23,369.7,365.08,367.55,60070860
2023-12-06,373.05,375.99,370.29,373.23,35390144
2023-12-07,372.42,373.66,369.3,370.54,61119877
2023-12-08,371.01,373.04,368.3,370.33,72466970
2023-12-11,366.84,368.26,364.58,366.0,64476755
2023-12-12,370.45,373.54,366.14,369.23,67062189
2023-12-13,363.58,365.98,362.33,364.72,31757037
2023-12-14,369.33,370.95,366.57,368.2,39664393
2023-12-15,370.78,370.95,369.38,369.55,57694748
2023-12-18,368.88,372.03,366.06,369.21,76608942
2023-12-19,363.05,364.3,361.27,362.51,47912469
2023-12-20,367.46,370.07,364.15,366.75,62748547
2023-12-21,365.55,367.22,364.39,366.07,62174250
2023-12-22,368.87,370.47,366.6,368.19,44132730
2023-12-25,373.06,374.64,371.97,373.54,48706201
2023-12-26,372.86,373.85,369.97,370.94,59317372
2023-12-27,372.11,373.57,370.53,371.99,54237191
2023-12-28,361.32,362.84,359.38,360.91,71939363
2023-12-29,350.19,352.66,348.87,351.34,53413909
2024-01-01,351.32,351.83,350.53,351.04,72931655
2024-01-02,346.47,348.23,343.88,345.63,54294493
2024-01-03,347.45,348.28,347.25,348.07,60050556
2024-01-04,350.5,352.21,349.16,350.87,71630762
2024-01-05,347.2,348.16,346.74,347.7,58093698
2024-01-08,348.99,352.0,346.79,349.8,53334414
2024-01-09,347.41,350.74,344.99,348.31,58660847
2024-01-10,354.48,356.49,351.74,353.75,73023967
2024-01-11,347.66,349.78,346.43,348.54,64642865
2024-01-12,346.78,349.07,345.73,348.02,27688376
2024-01-15,348.9,350.67,347.51,349.27,48917165
2024-01-16,352.68,354.23,351.1,352.64,49045891
2024-01-17,356.14,358.09,353.79,355.73,68401379
2024-01-18,353.5,356.0,351.63,354.13,31096393
2024-01-19,352.28,352.85,352.14,352.7,63868096
2024-01-22,349.09,351.12,346.68,348.71,69184986
2024-01-23,354.31,356.18,351.81,353.67,69187120
2024-01-24,361.6,362.66,359.64,360.7,58429673
2024-01-25,353.72,354.63,352.48,353.39,35578697
2024-01-26,356.53,359.37,354.89,357.72,55855004
2024-01-29,359.41,361.79,357.67,360.04,81687750
2024-01-30,351.65,352.46,349.97,350.77,50801038
2024-01-31,355.4,357.04,352.51,354.14,92238784
2024-02-01,359.98,361.8,358.23,360.04,71798546
2024-02-02,363.42,365.81,361.17,363.55,57559118
2024-02-05,359.24,361.5,357.71,359.96,63062132
2024-02-06,369.03,369.19,367.82,367.98,65280472
2024-02-07,371.62,374.28,369.76,372.41,51080209
2024-02-08,370.07,370.48,368.21,368.62,53517472
2024-02-09,370.44,371.53,369.4,370.5,89460057
2024-02-12,372.05,373.37,371.39,372.7,81954809
2024-02-13,366.0,369.33,363.99,367.31,54055785
2024-02-14,367.6,368.65,366.74,367.8,48070504
2024-02-15,369.09,371.58,366.69,369.18,35918073
2024-02-16,366.72,367.75,365.92,366.95,91876744
2024-02-19,373.89,374.07,373.71,373.89,74979329
2024-02-20,374.38,375.8,371.92,373.34,78294384
2024-02-21,376.49,377.19,375.33,376.03,51584315
2024-02-22,376.62,379.3,373.78,376.47,50601723
2024-02-23,374.6,375.78,372.57,373.75,45941579
2024-02-26,374.06,377.3,371.51,374.75,12535808
2024-02-27,383.55,385.04,381.51,383.0,46642054
2024-02-28,387.87,389.9,385.32,387.34,64462782
2024-02-29,381.81,383.12,379.36,380.67,63400325
2024-03-01,376.53,381.06,373.04,377.56,50498262
2024-03-04,373.69,375.16,372.87,374.34,69463056
2024-03-05,363.43,364.6,362.84,364.02,49632771
2024-03-06,367.07,368.92,364.88,366.72,71150315
2024-03-07,368.62,369.52,367.55,368.45,70958140
2024-03-08,364.35,366.13,362.15,363.93,71918087
2024-03-11,358.01,361.09,356.45,359.52,60795544
2024-03-12,352.65,353.86,350.4,351.61,47513428
2024-03-13,348.65,349.94,347.2,348.49,41900117
2024-03-14,350.59,352.46,348.34,350.21,27330072
2024-03-15,358.91,360.27,357.29,358.65,70992952
2024-03-18,351.94,353.86,350.47,352.39,34535103
2024-03-19,354.6,355.84,352.99,354.23,57677844
2024-03-20,363.6,366.42,360.72,363.54,62946751
2024-03-21,362.65,365.23,360.02,362.6,43738615
2024-03-22,361.97,362.54,361.05,361.62,57854436
