Date,Open,High,Low,Close,Volume
2019-01-01,841.66,844.36,839.59,842.29,111894734
2019-01-02,841.76,846.84,834.85,839.92,83222724
2019-01-03,844.53,848.51,841.01,844.99,108248228
2019-01-04,846.63,850.28,839.0,842.63,158728154
2019-01-07,859.15,862.3,855.59,858.74,122954439
2019-01-08,873.0,881.71,861.47,870.15,168569541
2019-01-09,863.19,870.87,856.65,864.33,146583723
2019-01-10,873.39,874.78,869.62,871.01,144076590
2019-01-11,881.0,885.62,873.28,877.89,137622300
2019-01-14,882.25,884.53,880.67,882.95,111513140
2019-01-15,890.36,899.15,880.04,888.82,113666614
2019-01-16,891.31,900.12,879.63,888.41,169034555
2019-01-17,900.66,902.17,897.73,899.23,124768654
2019-01-18,896.55,902.45,891.87,897.77,152595078
2019-01-21,883.57,888.82,880.02,885.26,108350020
2019-01-22,892.15,899.56,888.1,895.49,143987635
2019-01-23,891.83,897.59,887.13,892.88,160001206
2019-01-24,912.02,915.83,907.89,911.7,123377060
2019-01-25,917.48,921.74,911.9,916.15,167617813
2019-01-28,928.68,933.25,922.33,926.9,117051267
2019-01-29,918.52,921.85,913.72,917.04,124768473
2019-01-30,910.56,917.07,903.32,909.82,171267008
2019-01-31,894.55,899.27,891.86,896.58,198760241
2019-02-01,889.53,894.87,884.87,890.2,221445212
2019-02-04,895.05,897.18,893.05,895.18,140137151
2019-02-05,899.12,909.34,892.67,902.87,165597406
2019-02-06,898.09,904.28,891.11,897.3,142204643
2019-02-07,929.97,935.22,924.61,929.86,190832203
2019-02-08,920.27,921.84,918.66,920.23,184697613
2019-02-11,938.73,946.41,927.35,935.0,141517664
2019-02-12,957.95,963.89,951.69,957.62,236045709
2019-02-13,947.97,954.43,944.23,950.69,73431460
2019-02-14,955.45,959.06,951.22,954.82,195232443
2019-02-15,961.95,971.58,955.97,965.57,128224511
2019-02-18,964.2,972.34,957.54,965.66,191772949
2019-02-19,987.82,993.13,983.66,988.97,123673991
2019-02-20,976.2,981.96,970.76,976.52,140759604
2019-02-21,965.17,972.56,961.62,968.99,172193074
2019-02-22,971.34,977.49,963.82,969.96,170025716
2019-02-25,944.09,951.35,934.77,942.02,83755307
2019-02-26,938.75,948.62,932.3,942.15,93960299
2019-02-27,934.19,941.02,925.29,932.11,102934826
2019-02-28,921.45,927.46,916.43,922.43,151275756
2019-03-01,926.07,934.6,913.88,922.37,90197956
2019-03-04,929.04,933.16,925.07,929.18,103141289
2019-03-05,952.17,956.29,947.85,951.97,166215492
2019-03-06,947.04,949.03,945.1,947.09,97167996
2019-03-07,953.2,957.99,945.62,950.4,149564004
2019-03-08,946.15,956.08,938.86,948.77,99300780
2019-03-11,945.98,949.54,941.47,945.02,258823114
2019-03-12,936.11,939.05,932.26,935.2,182722314
2019-03-13,943.26,949.78,939.39,945.9,72586241
2019-03-14,935.87,938.24,933.09,935.46,88613337
2019-03-15,917.8,923.57,912.49,918.26,149137003
2019-03-18,923.1,927.3,916.8,921.0,138030892
2019-03-19,908.52,915.98,898.31,905.74,118444588
2019-03-20,899.06,902.11,894.64,897.7,223381311
2019-03-21,883.31,886.75,880.37,883.82,122982978
2019-03-22,884.36,886.38,882.7,884.72,119790464
2019-03-25,887.67,895.56,880.78,888.66,113186374
2019-03-26,886.95,889.51,885.49,888.05,97569171
2019-03-27,905.59,908.15,901.59,904.14,146967848
2019-03-28,918.88,920.97,910.68,912.75,157224462
2019-03-29,902.97,906.71,897.6,901.33,138142733
2019-04-01,888.49,890.57,888.09,890.17,234097832
2019-04-02,916.82,920.84,912.18,916.2,173385905
2019-04-03,924.63,931.76,919.41,926.53,64942702
2019-04-04,913.73,923.07,907.1,916.42,179201875
2019-04-05,906.02,910.1,902.13,906.21,146750707
2019-04-08,886.09,888.03,884.54,886.48,95090991
2019-04-09,895.45,904.56,891.32,900.4,201524674
2019-04-10,915.65,922.86,910.49,917.69,149798144
2019-04-11,924.98,926.35,922.3,923.67,204931145
2019-04-12,925.75,934.28,919.06,927.58,114441882
2019-04-15,945.93,949.3,943.52,946.89,133487135
2019-04-16,954.38,961.4,947.55,954.57,188852899
2019-04-17,961.25,964.75,956.6,960.09,97752667
2019-04-18,944.56,944.84,940.28,940.55,162323525
2019-04-19,922.43,928.21,914.11,919.88,76190140
2019-04-22,919.35,926.6,911.51,918.75,149139040
2019-04-23,920.46,926.89,915.84,922.26,204118635
2019-04-24,934.26,944.53,926.68,936.93,163440874
2019-04-25,925.57,935.29,919.32,929.01,148653236
2019-04-26,930.4,934.45,924.06,928.11,115313546
2019-04-29,918.68,923.47,913.2,917.98,93354638
2019-04-30,903.24,906.8,897.6,901.16,188062442
2019-05-01,885.07,893.36,875.27,883.54,135458981
2019-05-02,859.88,867.5,852.62,860.23,147292732
2019-05-03,859.67,861.78,857.11,859.22,147674266
2019-05-06,854.28,861.47,849.27,856.45,119527831
2019-05-07,851.98,857.43,846.56,852.0,172779976
2019-05-08,850.48,853.63,846.99,850.13,128300955
2019-05-09,864.95,870.29,859.24,864.57,208160465
2019-05-10,854.55,859.84,851.82,857.1,159050383
2019-05-13,865.65,867.99,864.83,867.18,147758384
2019-05-14,870.5,874.14,866.4,870.04,204613750
2019-05-15,849.64,855.0,845.84,851.19,153410893
2019-05-16,863.94,867.83,859.48,863.36,104540467
2019-05-17,850.37,856.06,842.66,848.34,117848982
2019-05-20,842.46,846.53,840.29,844.35,238731432
2019-05-21,827.3,829.08,827.25,829.04,130803623
2019-05-22,823.85,829.68,817.78,823.61,154772904
2019-05-23,828.8,834.33,820.21,825.72,100535330
2019-05-24,819.59,825.47,815.26,821.13,127255522
2019-05-27,823.92,827.28,823.19,826.55,168460213
2019-05-28,825.99,830.23,820.08,824.31,129300183
2019-05-29,832.82,841.61,824.17,832.96,83223244
2019-05-30,829.94,833.57,826.52,830.16,109189845
2019-05-31,829.61,831.27,827.76,829.42,160042932
2019-06-03,803.9,809.8,800.5,806.39,118914186
2019-06-04,809.14,815.52,805.17,811.53,99982371
2019-06-05,804.24,811.76,798.82,806.33,207663987
2019-06-06,817.64,818.64,814.17,815.17,90541485
2019-06-07,815.77,818.27,812.49,814.98,131827122
2019-06-10,805.62,807.17,802.77,804.32,130010355
2019-06-11,801.09,807.63,796.44,802.96,209529813
2019-06-12,794.76,800.93,789.55,795.72,130134753
2019-06-13,800.27,801.39,798.32,799.44,102284835
2019-06-14,806.46,812.12,797.6,803.24,179536110
2019-06-17,817.57,820.18,813.35,815.96,141258410
2019-06-18,834.06,839.47,828.51,833.93,204077129
2019-06-19,840.12,846.83,833.34,840.05,144807027
2019-06-20,852.02,858.14,848.4,854.51,192194316
2019-06-21,861.22,866.82,856.87,862.46,102424372
2019-06-24,851.43,856.72,843.83,849.1,161902202
2019-06-25,848.49,851.05,845.3,847.86,99522176
2019-06-26,852.38,857.32,846.82,851.76,207416653
2019-06-27,847.64,853.4,839.4,845.15,211876950
2019-06-28,858.84,860.59,854.66,856.4,100628091
2019-07-01,840.82,846.82,835.66,841.65,148080904
2019-07-02,838.09,842.5,833.73,838.14,123052511
2019-07-03,840.66,845.83,834.88,840.04,147809816
2019-07-04,852.86,861.12,848.42,856.66,63521803
2019-07-05,871.19,878.4,861.16,868.35,214339811
2019-07-08,884.16,890.13,877.77,883.73,172983210
2019-07-09,886.27,893.73,878.81,886.28,163172258
2019-07-10,892.16,896.95,887.45,892.24,139510128
2019-07-11,879.71,886.0,873.3,879.59,48543473
2019-07-12,872.07,876.6,867.44,871.97,108225480
2019-07-15,871.0,875.41,865.04,869.44,190646109
2019-07-16,892.12,894.15,888.05,890.07,131409487
2019-07-17,912.65,919.72,906.66,913.72,202284950
2019-07-18,926.21,929.32,923.43,926.55,64216862
2019-07-19,934.83,935.24,931.44,931.85,187387699
2019-07-22,941.81,946.02,935.83,940.03,159156150
2019-07-23,939.81,943.42,935.33,938.94,9558295
2019-07-24,934.06,942.77,924.64,933.35,125429814
2019-07-25,911.65,918.99,903.39,910.73,194606203
2019-07-26,911.9,919.83,908.62,916.54,93469299
2019-07-29,904.4,907.8,901.78,905.19,158096022
2019-07-30,918.54,922.38,913.9,917.74,184366189
2019-07-31,905.03,912.17,896.23,903.36,158605558
2019-08-01,887.83,890.21,885.16,887.53,131762036
2019-08-02,893.34,900.03,885.01,891.69,233278707
2019-08-05,873.93,876.62,871.58,874.27,153445723
2019-08-06,871.27,872.63,868.77,870.13,161423000
2019-08-07,857.08,863.79,849.69,856.4,126449443
2019-08-08,850.12,859.59,845.89,855.34,172253238
2019-08-09,842.81,844.18,835.44,836.8,159067834
2019-08-12,839.55,846.26,831.34,838.04,120942355
2019-08-13,819.25,822.26,817.06,820.07,145339954
2019-08-14,838.5,840.7,833.63,835.83,167947808
