Date,Open,High,Low,Close,Volume
2019-01-01,2314.76,2318.3,2310.72,2314.26,147289144
2019-01-02,2307.74,2328.46,2291.52,2312.21,191086143
2019-01-03,2297.68,2311.54,2282.0,2295.85,246208936
2019-01-04,2307.0,2318.9,2285.2,2297.06,173932163
2019-01-07,2290.66,2326.42,2265.56,2301.21,238000332
2019-01-08,2310.2,2316.28,2299.8,2305.87,312288904
2019-01-09,2293.14,2297.25,2282.28,2286.37,151609561
2019-01-10,2286.05,2299.03,2277.9,2290.86,373920191
2019-01-11,2262.22,2269.2,2256.43,2263.41,293811839
2019-01-14,2267.42,2282.49,2253.31,2268.37,279839904
2019-01-15,2258.52,2268.87,2249.08,2259.43,218025201
2019-01-16,2247.44,2262.35,2236.12,2251.02,143899243
2019-01-17,2250.19,2259.05,2238.25,2247.1,213973543
2019-01-18,2262.72,2269.29,2254.88,2261.45,220246075
2019-01-21,2232.33,2245.85,2216.62,2230.14,259203411
2019-01-22,2174.3,2182.9,2167.58,2176.17,148940969
2019-01-23,2157.15,2168.75,2135.24,2146.78,157378903
2019-01-24,2148.97,2151.42,2143.71,2146.16,163292816
2019-01-25,2145.98,2166.66,2120.39,2141.02,165165088
2019-01-28,2169.86,2184.64,2154.32,2169.09,165188932
2019-01-29,2215.77,2222.99,2209.78,2217.0,192021412
2019-01-30,2207.02,2228.83,2192.73,2214.5,264272753
2019-01-31,2222.41,2231.22,2212.54,2221.35,253138561
2019-02-01,2191.88,2198.53,2177.7,2184.32,195058606
2019-02-04,2167.25,2190.58,2148.33,2171.62,258796377
2019-02-05,2179.99,2191.15,2168.35,2179.5,234130269
2019-02-06,2145.7,2152.69,2132.47,2139.44,331658563
2019-02-07,2158.7,2179.46,2137.65,2158.41,208934669
2019-02-08,2201.6,2219.85,2183.49,2201.74,201352847
2019-02-11,2152.02,2168.54,2135.37,2151.88,374569520
2019-02-12,2171.42,2193.2,2152.99,2174.75,184770963
2019-02-13,2134.46,2155.02,2111.69,2132.22,222420168
2019-02-14,2117.48,2133.21,2103.56,2119.28,288155357
2019-02-15,2102.0,2108.43,2097.19,2103.62,267049786
2019-02-18,2135.31,2156.35,2121.24,2142.23,279539285
2019-02-19,2153.26,2169.39,2142.69,2158.8,234358647
