Date,Open,High,Low,Close,Volume
2019-01-01,3750.75,3766.43,3735.84,3751.51,58834128
2019-01-02,3700.83,3730.3,3668.05,3697.49,89597612
2019-01-03,3661.32,3669.47,3654.98,3663.13,194592621
2019-01-04,3620.37,3631.24,3604.55,3615.4,173056294
2019-01-07,3654.78,3672.65,3638.05,3655.91,115833399
2019-01-08,3622.67,3639.0,3615.9,3632.21,53732176
2019-01-09,3616.73,3639.11,3593.33,3615.7,189411965
2019-01-10,3716.92,3733.55,3704.15,3720.76,36428650
2019-01-11,3627.18,3659.55,3604.87,3637.18,163150866
2019-01-14,3643.04,3680.02,3617.65,3654.55,170708413
2019-01-15,3704.1,3717.9,3681.68,3695.45,127712492
2019-01-16,3718.72,3749.92,3682.51,3713.66,166292956
2019-01-17,3704.81,3735.8,3669.83,3700.79,167761661
2019-01-18,3687.65,3697.22,3662.67,3672.19,163582573
2019-01-21,3704.47,3719.47,3692.83,3707.82,104393694
2019-01-22,3779.69,3785.75,3775.51,3781.57,194060331
2019-01-23,3783.07,3799.77,3767.59,3784.28,126160747
2019-01-24,3789.61,3800.24,3784.93,3795.55,121285888
2019-01-25,3753.56,3773.56,3741.7,3761.67,141593903
2019-01-28,3767.57,3786.83,3746.73,3765.98,71514016
2019-01-29,3745.36,3763.37,3730.84,3748.83,103522730
2019-01-30,3745.5,3762.04,3732.76,3749.28,149258706
2019-01-31,3665.56,3692.54,3639.03,3666.0,166393512
2019-02-01,3604.25,3622.9,3594.75,3613.38,161376231
2019-02-04,3644.97,3659.18,3634.3,3648.5,134552803
2019-02-05,3674.99,3700.24,3642.19,3667.39,230574005
2019-02-06,3676.33,3690.99,3663.19,3677.85,83214407
2019-02-07,3675.73,3713.17,3630.0,3667.35,246697067
2019-02-08,3723.23,3745.43,3703.94,3726.12,178332876
2019-02-11,3714.42,3766.74,3691.37,3743.51,124506686
2019-02-12,3789.61,3798.07,3783.36,3791.81,125599332
2019-02-13,3795.54,3819.5,3765.4,3789.32,193471014
2019-02-14,3810.07,3822.39,3797.56,3809.88,123578859
2019-02-15,3799.43,3811.92,3782.78,3795.25,217213470
2019-02-18,3770.02,3795.09,3742.29,3767.35,72163215
2019-02-19,3725.02,3731.47,3716.5,3722.94,120432455
2019-02-20,3640.64,3672.5,3612.73,3644.56,64132286
2019-02-21,3627.21,3646.78,3597.45,3616.97,128650865
2019-02-22,3627.53,3632.25,3623.47,3628.19,143953100
2019-02-25,3571.05,3576.2,3565.7,3570.85,139740704
2019-02-26,3581.21,3601.95,3561.58,3582.31,162009498
2019-02-27,3561.25,3585.57,3541.55,3565.84,136418415
2019-02-28,3588.08,3605.5,3562.11,3579.5,148223517
2019-03-01,3614.17,3649.8,3585.15,3620.72,91061383
2019-03-04,3618.39,3626.5,3608.51,3616.61,59047413
2019-03-05,3491.88,3510.07,3471.32,3489.5,96845979
2019-03-06,3539.16,3570.5,3495.35,3526.58,83925781
2019-03-07,3518.71,3544.35,3499.05,3524.66,106629622
2019-03-08,3618.27,3639.17,3597.62,3618.52,99214119
2019-03-11,3644.55,3665.28,3623.43,3644.16,189999438
2019-03-12,3645.96,3668.65,3627.43,3650.1,171217153
2019-03-13,3645.64,3661.12,3632.2,3647.68,146672588
2019-03-14,3595.8,3632.08,3566.82,3603.04,153980981
2019-03-15,3557.91,3584.87,3531.4,3558.36,52128122
2019-03-18,3580.98,3603.21,3553.93,3576.13,107912758
2019-03-19,3536.47,3565.25,3500.48,3529.19,94858482
2019-03-20,3539.6,3562.7,3512.44,3535.51,156303180
2019-03-21,3509.51,3535.22,3478.52,3504.2,127148683
2019-03-22,3452.86,3478.88,3443.48,3469.45,176008182
2019-03-25,3482.39,3524.06,3445.16,3486.78,178885824
2019-03-26,3459.4,3488.45,3423.14,3452.13,142666535
2019-03-27,3475.46,3494.27,3456.47,3475.27,187056968
2019-03-28,3518.29,3542.13,3496.08,3519.91,135726675
2019-03-29,3522.62,3551.09,3493.53,3522.0,154583114
2019-04-01,3629.24,3653.74,3616.44,3640.9,124262537
2019-04-02,3694.44,3706.12,3677.78,3689.45,55799035
2019-04-03,3696.75,3697.95,3685.47,3686.66,157187293
2019-04-04,3716.39,3739.84,3685.54,3708.95,117659685
2019-04-05,3715.07,3736.28,3686.9,3708.07,163622987
2019-04-08,3727.45,3730.73,3720.7,3723.98,189841270
2019-04-09,3733.6,3751.9,3707.06,3725.32,102048190
2019-04-10,3743.77,3764.18,3711.6,3731.93,163020904
2019-04-11,3756.63,3774.31,3734.38,3752.04,174135582
2019-04-12,3748.6,3769.9,3719.8,3741.06,90905613
2019-04-15,3686.36,3723.1,3660.83,3697.5,57586537
2019-04-16,3713.88,3721.43,3711.82,3719.37,177507794
2019-04-17,3759.28,3784.09,3727.54,3752.31,141282428
2019-04-18,3809.6,3839.0,3786.65,3816.0,139905795
2019-04-19,3737.89,3751.93,3720.1,3734.13,50599476
2019-04-22,3747.41,3769.2,3721.7,3743.47,148221725
2019-04-23,3769.58,3795.65,3744.28,3770.35,149330734
2019-04-24,3770.33,3782.57,3751.13,3763.35,180359446
2019-04-25,3762.85,3780.96,3754.7,3772.79,42204551
2019-04-26,3856.64,3884.67,3835.7,3863.7,185232823
2019-04-29,3794.96,3812.78,3780.09,3797.9,157217966
2019-04-30,3852.42,3873.98,3845.14,3866.66,162550529
2019-05-01,3924.46,3933.25,3908.56,3917.34,145134058
2019-05-02,3885.66,3906.46,3871.16,3891.93,221503403
2019-05-03,3861.93,3891.58,3831.0,3860.64,104453777
2019-05-06,3832.68,3840.07,3825.2,3832.59,202837088
2019-05-07,3818.43,3847.45,3793.3,3822.29,163642318
2019-05-08,3843.99,3865.17,3825.55,3846.72,110533106
2019-05-09,3907.42,3923.88,3888.2,3904.66,127130167
2019-05-10,3931.02,3953.26,3907.86,3930.1,156913484
2019-05-13,3932.53,3950.35,3912.89,3930.7,167797018
2019-05-14,3940.87,3944.1,3936.91,3940.14,158094929
2019-05-15,3837.62,3867.14,3805.1,3834.6,101136506
2019-05-16,3789.93,3791.72,3786.64,3788.43,126019915
2019-05-17,3785.77,3813.35,3744.96,3772.44,132143955
2019-05-20,3759.55,3796.83,3727.18,3764.42,141005094
2019-05-21,3753.74,3776.59,3732.03,3754.88,137967491
2019-05-22,3777.08,3796.47,3741.34,3760.64,110233811
2019-05-23,3723.14,3743.56,3711.16,3731.56,271089756
2019-05-24,3809.54,3833.67,3785.89,3810.02,174055161
2019-05-27,3774.15,3797.67,3727.3,3750.68,128434601
2019-05-28,3766.25,3802.68,3745.07,3781.42,96728593
2019-05-29,3684.17,3700.67,3672.55,3689.04,165132297
2019-05-30,3598.87,3612.63,3582.8,3596.55,135481612
2019-05-31,3587.81,3602.66,3564.22,3579.03,134100799
2019-06-03,3566.76,3593.93,3538.49,3565.66,136485597
2019-06-04,3537.23,3549.69,3519.45,3531.89,228467878
2019-06-05,3536.81,3555.63,3508.27,3527.05,152133734
2019-06-06,3552.73,3596.48,3520.24,3563.89,136067306
2019-06-07,3549.1,3570.59,3529.58,3551.06,191506916
2019-06-10,3509.5,3546.24,3486.37,3523.02,194457588
2019-06-11,3508.96,3514.81,3492.29,3498.13,120517711
2019-06-12,3481.5,3512.0,3453.79,3484.27,87969260
2019-06-13,3468.59,3475.87,3457.18,3464.45,118921775
2019-06-14,3465.54,3473.21,3457.21,3464.88,101388590
