Date,Open,High,Low,Close,Volume
2019-01-01,1537.53,1551.46,1523.52,1537.46,48910432
2019-01-02,1538.51,1542.32,1537.19,1540.99,54087778
2019-01-03,1516.83,1525.25,1506.0,1514.41,58859705
2019-01-04,1502.03,1503.63,1498.91,1500.52,77092250
2019-01-07,1509.95,1520.98,1496.39,1507.4,47219557
2019-01-08,1498.8,1511.48,1484.38,1497.04,84256353
2019-01-09,1508.47,1512.2,1500.85,1504.56,92894198
2019-01-10,1490.6,1494.24,1487.89,1491.52,111507165
2019-01-11,1466.93,1471.81,1462.51,1467.39,58683703
2019-01-14,1471.42,1486.56,1461.19,1476.3,86154183
2019-01-15,1481.78,1490.05,1473.6,1481.87,70121873
2019-01-16,1464.66,1477.24,1452.64,1465.21,88335452
2019-01-17,1480.36,1484.04,1476.57,1480.26,72156742
2019-01-18,1477.77,1491.23,1467.13,1480.57,63295950
2019-01-21,1472.85,1489.06,1460.34,1476.52,67192507
2019-01-22,1523.19,1535.39,1514.2,1526.37,85805632
2019-01-23,1506.53,1517.85,1497.82,1509.12,80454907
2019-01-24,1496.48,1502.07,1489.17,1494.76,76012965
2019-01-25,1486.57,1491.22,1475.56,1480.19,98248739
2019-01-28,1474.26,1486.72,1466.61,1479.04,86321526
2019-01-29,1476.37,1478.53,1466.98,1469.12,61425241
2019-01-30,1482.52,1500.86,1473.73,1492.02,60009314
2019-01-31,1517.0,1527.16,1510.03,1520.17,92785649
2019-02-01,1511.28,1518.58,1499.93,1507.21,79664977
2019-02-04,1515.79,1519.08,1508.49,1511.77,110412888
2019-02-05,1505.91,1508.45,1505.09,1507.63,78693906
2019-02-06,1500.52,1506.94,1496.11,1502.52,111320664
2019-02-07,1483.45,1495.92,1467.73,1480.18,79250504
2019-02-08,1458.11,1469.98,1448.42,1460.28,73239403
2019-02-11,1465.5,1472.68,1456.96,1464.14,54369226
2019-02-12,1486.04,1488.62,1485.75,1488.32,59511364
2019-02-13,1473.34,1479.98,1469.58,1476.2,98192942
2019-02-14,1478.33,1487.04,1465.66,1474.34,80005616
2019-02-15,1478.2,1484.95,1469.78,1476.52,37615943
2019-02-18,1488.12,1500.61,1469.01,1481.45,74235879
2019-02-19,1458.16,1468.96,1449.49,1460.27,53752950
2019-02-20,1434.14,1442.5,1428.81,1437.16,41978590
2019-02-21,1417.38,1429.57,1411.23,1423.38,45146382
2019-02-22,1421.05,1427.93,1417.26,1424.13,58221537
2019-02-25,1412.12,1428.57,1402.73,1419.13,29516572
2019-02-26,1421.49,1428.73,1415.8,1423.04,66963146
2019-02-27,1421.64,1432.0,1415.06,1425.4,64271286
2019-02-28,1384.03,1392.98,1372.88,1381.81,35754922
2019-03-01,1408.86,1413.55,1403.96,1408.65,43070171
2019-03-04,1420.47,1431.79,1403.54,1414.82,97181146
2019-03-05,1397.3,1398.61,1396.1,1397.4,62550050
2019-03-06,1419.48,1425.2,1410.87,1416.58,52748324
2019-03-07,1446.67,1457.57,1432.33,1443.21,68241655
2019-03-08,1445.58,1455.85,1433.4,1443.66,97325216
2019-03-11,1473.94,1478.72,1464.08,1468.85,41287080
2019-03-12,1491.04,1500.46,1476.27,1485.66,88213359
2019-03-13,1503.17,1508.78,1493.48,1499.07,84953780
2019-03-14,1522.24,1523.62,1515.7,1517.08,67074405
2019-03-15,1520.91,1526.9,1515.13,1521.12,84826986
2019-03-18,1522.09,1525.59,1519.74,1523.24,54928761
2019-03-19,1513.67,1526.43,1502.48,1515.23,69859766
2019-03-20,1492.9,1501.35,1482.77,1491.2,79766177
2019-03-21,1479.2,1485.77,1472.19,1478.76,51287044
2019-03-22,1476.27,1486.09,1467.13,1476.95,42265670
2019-03-25,1478.55,1487.78,1472.34,1481.56,102839342
2019-03-26,1483.95,1491.59,1472.41,1480.03,73929566
2019-03-27,1480.65,1486.17,1474.64,1480.16,44353196
2019-03-28,1441.98,1453.29,1427.9,1439.2,55932034
2019-03-29,1413.0,1426.25,1405.27,1418.49,83620343
2019-04-01,1422.53,1435.69,1408.16,1421.31,70152156
2019-04-02,1429.69,1444.3,1415.6,1430.21,82040800
2019-04-03,1429.15,1431.02,1422.72,1424.58,56706024
2019-04-04,1421.9,1429.03,1414.29,1421.42,83842877
2019-04-05,1422.5,1429.33,1409.65,1416.46,70803136
2019-04-08,1439.64,1452.37,1423.92,1436.63,100841615
2019-04-09,1419.55,1428.48,1407.36,1416.28,78473867
2019-04-10,1408.09,1416.5,1398.18,1406.57,43706020
2019-04-11,1402.16,1411.24,1396.57,1405.64,76225804
2019-04-12,1414.9,1423.05,1402.23,1410.36,53972220
2019-04-15,1433.33,1444.56,1421.25,1432.48,39014782
2019-04-16,1462.58,1470.09,1452.59,1460.09,101882922
2019-04-17,1478.04,1487.37,1469.88,1479.21,43574308
2019-04-18,1489.86,1506.85,1477.23,1494.19,57350170
2019-04-19,1498.84,1509.41,1487.86,1498.43,65573239
2019-04-22,1489.34,1504.46,1478.35,1493.43,82025780
2019-04-23,1445.63,1453.92,1438.2,1446.49,68672138
2019-04-24,1461.24,1462.82,1456.33,1457.9,36636060
2019-04-25,1475.53,1484.09,1468.57,1477.12,89254095
2019-04-26,1466.31,1474.82,1457.24,1465.75,34048345
2019-04-29,1478.85,1487.2,1471.5,1479.83,75259441
2019-04-30,1495.89,1496.44,1495.31,1495.87,70860553
2019-05-01,1500.24,1512.03,1487.5,1499.28,118399010
2019-05-02,1508.06,1513.23,1502.8,1507.97,62279720
2019-05-03,1499.22,1509.2,1492.22,1502.19,74641687
2019-05-06,1518.69,1529.97,1510.65,1521.91,102480129
2019-05-07,1513.03,1520.58,1506.39,1513.95,68277325
2019-05-08,1497.21,1507.57,1478.87,1489.18,78569617
2019-05-09,1477.48,1485.57,1474.39,1482.47,64899787
2019-05-10,1495.5,1501.05,1491.42,1496.97,106100986
2019-05-13,1482.91,1499.27,1469.77,1486.11,79430234
2019-05-14,1483.1,1487.19,1477.9,1481.99,65535799
2019-05-15,1475.53,1479.78,1473.54,1477.79,79422416
2019-05-16,1453.34,1466.45,1437.33,1450.42,81536997
2019-05-17,1454.39,1467.87,1445.97,1459.42,66226973
2019-05-20,1448.31,1457.29,1439.9,1448.87,77770182
2019-05-21,1444.88,1447.68,1439.36,1442.15,41766944
2019-05-22,1435.34,1450.07,1422.6,1437.3,52659481
2019-05-23,1448.21,1453.99,1440.51,1446.28,51507511
2019-05-24,1469.5,1483.13,1459.59,1473.2,62722633
2019-05-27,1488.23,1500.14,1480.6,1492.49,80661948
2019-05-28,1480.13,1493.73,1471.0,1484.57,103252246
2019-05-29,1508.48,1522.03,1497.59,1511.12,87769618
2019-05-30,1538.14,1548.54,1528.93,1539.33,108407544
2019-05-31,1538.21,1547.88,1526.76,1536.42,83559064
2019-06-03,1548.06,1562.24,1539.28,1553.44,54078309
2019-06-04,1544.75,1547.39,1541.33,1543.97,83653655
2019-06-05,1558.57,1565.53,1549.76,1556.71,49964798
2019-06-06,1541.71,1549.69,1530.06,1538.03,56448964
2019-06-07,1548.61,1564.03,1533.83,1549.24,73502768
2019-06-10,1514.35,1528.64,1503.92,1518.18,68703122
2019-06-11,1509.39,1512.66,1508.39,1511.65,71793799
2019-06-12,1542.39,1552.07,1527.55,1537.19,62429716
2019-06-13,1535.76,1555.77,1522.32,1542.28,72084358
2019-06-14,1537.89,1539.63,1532.53,1534.26,66428701
2019-06-17,1520.65,1530.67,1514.11,1524.11,56719634
2019-06-18,1487.19,1500.94,1476.43,1490.16,61075484
2019-06-19,1483.94,1488.6,1476.45,1481.11,98170362
2019-06-20,1485.25,1490.43,1478.17,1483.34,90794877
2019-06-21,1459.61,1468.82,1450.66,1459.87,74590474
2019-06-24,1441.64,1447.74,1435.29,1441.39,35089045
2019-06-25,1419.18,1428.65,1416.22,1425.69,111480686
2019-06-26,1431.4,1440.13,1421.38,1430.11,53333553
2019-06-27,1412.25,1421.74,1398.43,1407.88,57279761
2019-06-28,1395.42,1407.58,1384.88,1397.03,68480099
2019-07-01,1373.04,1379.31,1366.56,1372.83,35346110
2019-07-02,1397.94,1404.52,1390.93,1397.51,60257998
2019-07-03,1401.21,1411.16,1395.6,1405.53,51066191
2019-07-04,1391.08,1400.23,1386.8,1395.93,69407381
2019-07-05,1395.51,1401.34,1391.65,1397.48,105574232
2019-07-08,1391.1,1395.97,1381.0,1385.85,93703261
2019-07-09,1412.57,1420.15,1399.14,1406.68,89320351
2019-07-10,1380.99,1383.41,1377.95,1380.37,83604906
2019-07-11,1373.07,1381.69,1364.42,1373.03,91431153
2019-07-12,1369.52,1382.8,1360.55,1373.8,79345691
2019-07-15,1367.81,1372.61,1358.58,1363.36,81203026
2019-07-16,1379.93,1391.88,1364.41,1376.33,56721017
2019-07-17,1371.36,1377.75,1363.57,1369.95,80351441
2019-07-18,1342.42,1349.1,1337.67,1344.34,103154748
2019-07-19,1336.94,1348.81,1326.52,1338.38,66246223
2019-07-22,1348.09,1354.13,1345.31,1351.34,68026036
2019-07-23,1347.57,1349.36,1344.06,1345.85,82272067
2019-07-24,1314.22,1326.27,1302.32,1314.38,58356600
2019-07-25,1282.94,1286.58,1280.22,1283.85,29487207
2019-07-26,1293.39,1300.97,1284.19,1291.76,42622633
2019-07-29,1301.35,1305.24,1295.54,1299.43,76662893
