Date,Open,High,Low,Close,Volume
2023-01-02,531.04,533.68,529.07,531.71,181676948
2023-01-03,539.12,543.77,535.29,539.94,112407903
2023-01-04,548.71,550.38,546.76,548.42,81729125
2023-01-05,546.73,547.67,545.75,546.69,87130696
2023-01-06,550.55,553.91,546.98,550.33,148727818
2023-01-09,557.54,558.47,556.41,557.34,103749527
2023-01-10,558.44,558.88,558.08,558.52,76168145
2023-01-11,555.14,559.8,551.63,556.29,140237168
2023-01-12,549.77,553.23,547.12,550.57,103563971
2023-01-13,554.53,557.99,551.51,554.97,134450143
2023-01-16,548.79,550.78,544.56,546.54,142602135
2023-01-17,542.6,545.01,541.66,544.07,123501058
2023-01-18,540.58,542.19,539.43,541.03,184795431
2023-01-19,531.92,534.02,529.71,531.81,65738474
2023-01-20,530.75,532.11,529.71,531.07,91938211
2023-01-23,530.41,533.13,526.57,529.28,108175946
2023-01-24,523.1,525.29,521.23,523.42,180902598
2023-01-25,530.83,533.67,528.25,531.08,167520306
2023-01-26,536.36,538.94,532.91,535.48,152804887
2023-01-27,537.45,540.29,532.69,535.51,92626614
2023-01-30,542.36,545.34,537.86,540.83,95995776
2023-01-31,548.27,550.51,546.18,548.42,91631660
2023-02-01,556.61,559.37,553.9,556.66,92935682
2023-02-02,551.64,554.38,548.85,551.59,158699408
2023-02-03,557.3,557.5,556.94,557.14,108527943
2023-02-06,554.81,558.97,551.59,555.75,112349559
2023-02-07,558.16,560.84,554.45,557.12,137945222
2023-02-08,552.5,555.61,549.17,552.27,67507130
2023-02-09,551.95,553.06,550.88,552.0,117092132
2023-02-10,555.77,559.34,553.62,557.19,83879394
2023-02-13,567.83,569.14,566.44,567.76,107064588
2023-02-14,563.94,569.47,560.56,566.08,98627735
2023-02-15,558.64,560.24,557.7,559.29,97138022
2023-02-16,570.45,572.6,568.94,571.1,122088730
2023-02-17,566.17,569.32,562.69,565.84,121962515
2023-02-20,555.62,557.42,551.75,553.54,109219824
2023-02-21,549.86,551.32,547.78,549.24,126281143
2023-02-22,535.83,539.21,530.91,534.28,90474375
2023-02-23,541.64,545.11,537.49,540.95,135263947
2023-02-24,530.56,533.72,526.22,529.37,109613389
2023-02-27,525.7,528.96,520.51,523.75,101596672
2023-02-28,515.49,518.33,513.41,516.24,92608271
2023-03-01,516.4,519.34,514.29,517.23,108596409
2023-03-02,527.87,529.57,525.48,527.17,169618984
2023-03-03,529.8,532.36,527.24,529.8,113741739
2023-03-06,521.15,522.94,519.12,520.92,82506069
2023-03-07,534.2,536.41,532.26,534.47,142118269
2023-03-08,535.93,539.63,532.88,536.57,101935732
2023-03-09,543.94,547.67,538.46,542.18,123769630
2023-03-10,530.41,534.39,527.6,531.58,98071842
2023-03-13,544.69,549.1,539.54,543.94,152576127
2023-03-14,542.4,544.07,540.16,541.83,98502367
2023-03-15,529.34,531.46,528.9,531.02,155959027
2023-03-16,531.3,535.34,528.15,532.19,85255012
2023-03-17,537.69,539.99,536.1,538.4,107108174
2023-03-20,542.64,544.78,539.89,542.03,156020794
2023-03-21,544.96,545.89,544.44,545.36,120430066
2023-03-22,548.19,549.77,546.71,548.29,181199974
2023-03-23,547.39,549.81,546.57,548.99,107794837
2023-03-24,541.57,543.54,537.1,539.06,122997727
2023-03-27,537.1,539.09,535.03,537.02,170616073
2023-03-28,534.5,537.0,531.47,533.96,71829625
2023-03-29,541.74,546.11,537.96,542.32,68251926
2023-03-30,548.47,552.4,545.26,549.19,92586620
2023-03-31,547.97,548.66,545.2,545.88,139071632
2023-04-03,548.71,553.97,545.57,550.82,69058001
2023-04-04,550.82,553.42,547.91,550.51,132821445
2023-04-05,537.34,540.96,535.02,538.64,130789060
2023-04-06,523.09,525.85,520.76,523.52,173772347
2023-04-07,527.35,530.62,524.77,528.03,145777996
2023-04-10,519.84,522.49,518.22,520.87,126089465
2023-04-11,514.42,516.55,512.26,514.39,154840153
2023-04-12,506.78,512.89,503.3,509.39,131141472
2023-04-13,513.01,514.92,511.42,513.33,102278354
2023-04-14,520.21,521.57,518.94,520.3,82500226
2023-04-17,525.34,529.08,523.04,526.78,99120503
2023-04-18,516.68,517.84,513.97,515.12,114413204
2023-04-19,509.39,510.54,508.86,510.0,120627814
2023-04-20,503.77,505.93,501.85,504.01,53879350
2023-04-21,507.09,511.45,503.34,507.69,109227344
2023-04-24,497.81,500.1,495.61,497.89,116396855
2023-04-25,494.1,496.5,490.42,492.82,131390918
2023-04-26,494.4,494.52,491.85,491.97,162573820
2023-04-27,496.79,499.46,493.38,496.05,120935092
2023-04-28,497.45,499.78,494.04,496.37,89291265
2023-05-01,499.5,501.08,496.21,497.79,63041713
2023-05-02,496.62,499.03,493.96,496.37,135420693
