Date,Open,High,Low,Close,Volume
2019-01-01,281.69,282.62,280.81,281.74,497100360
2019-01-02,285.2,287.3,282.25,284.34,326553772
2019-01-03,281.09,281.95,279.81,280.66,423414335
2019-01-04,280.22,280.89,278.46,279.14,194100448
2019-01-07,280.03,281.78,277.92,279.66,350684667
2019-01-08,284.04,285.75,282.89,284.59,249138379
2019-01-09,288.3,290.76,286.36,288.82,122732353
2019-01-10,285.14,287.77,283.21,285.84,222340253
2019-01-11,286.78,289.41,284.51,287.14,360141144
2019-01-14,284.41,286.91,282.82,285.32,217683889
2019-01-15,288.81,290.81,286.21,288.21,294356203
2019-01-16,289.37,291.93,286.85,289.41,131988411
2019-01-17,286.01,286.98,284.89,285.86,407318416
2019-01-18,286.04,286.1,285.19,285.25,346867055
2019-01-21,286.05,286.14,286.0,286.09,370411193
2019-01-22,291.27,293.77,287.02,289.5,380037470
2019-01-23,282.06,283.55,279.99,281.47,329777490
2019-01-24,281.78,282.89,280.02,281.12,361170164
2019-01-25,286.5,288.85,284.81,287.15,261408470
2019-01-28,285.57,286.07,284.28,284.78,288351393
2019-01-29,283.58,285.25,283.52,285.19,308030922
2019-01-30,282.98,285.48,281.54,284.03,363778903
2019-01-31,281.36,283.54,280.16,282.34,411267064
2019-02-01,276.26,276.73,275.31,275.78,315572367
2019-02-04,277.56,278.31,276.65,277.4,215596755
2019-02-05,280.28,281.56,278.93,280.2,391105444
2019-02-06,279.9,280.85,278.94,279.89,307280144
2019-02-07,278.65,279.47,278.02,278.83,367861512
2019-02-08,279.71,281.09,278.45,279.83,406963184
2019-02-11,281.94,282.95,280.54,281.55,302468206
2019-02-12,276.69,279.39,274.56,277.25,409622546
2019-02-13,276.14,277.15,275.12,276.14,446615530
2019-02-14,273.74,275.38,272.02,273.65,216594358
2019-02-15,272.26,273.56,271.84,273.14,380849941
2019-02-18,276.44,277.6,274.81,275.97,232101330
2019-02-19,279.03,281.66,277.15,279.78,207219122
2019-02-20,283.53,284.85,281.18,282.5,209830579
2019-02-21,284.87,286.06,283.94,285.13,263075702
2019-02-22,285.71,287.39,283.32,285.0,231230240
2019-02-25,284.63,286.83,282.98,285.17,317061099
2019-02-26,283.97,285.71,282.83,284.57,168202035
2019-02-27,289.71,292.6,287.19,290.07,252601414
2019-02-28,290.1,292.96,287.79,290.63,344357196
2019-03-01,291.04,292.44,289.93,291.34,412423529
2019-03-04,288.33,288.57,287.89,288.12,311082427
2019-03-05,288.18,289.97,285.95,287.74,463426938
2019-03-06,290.7,291.88,288.74,289.9,375870482
2019-03-07,292.25,292.54,291.16,291.46,298626939
2019-03-08,294.06,297.74,291.7,295.36,298148010
2019-03-11,291.08,293.08,288.79,290.79,319039945
2019-03-12,293.72,294.93,293.32,294.53,342266570
2019-03-13,293.14,294.14,290.24,291.23,390179014
2019-03-14,289.12,292.62,285.03,288.52,285887064
2019-03-15,289.24,290.76,288.35,289.87,381127869
2019-03-18,296.2,298.92,292.44,295.15,323145757
2019-03-19,298.29,299.44,296.87,298.02,497668240
2019-03-20,300.9,302.59,298.95,300.63,492456630
2019-03-21,300.66,302.52,299.22,301.08,341217390
2019-03-22,305.66,306.86,302.96,304.15,260552718
2019-03-25,298.49,300.97,296.87,299.34,313376633
2019-03-26,306.89,310.14,302.65,305.89,319497443
2019-03-27,308.41,309.65,306.82,308.06,234706534
2019-03-28,310.24,312.23,308.14,310.13,266186970
2019-03-29,305.25,305.75,305.05,305.56,187111316
2019-04-01,310.78,312.95,308.07,310.24,308982927
2019-04-02,301.97,303.61,300.29,301.93,362862704
2019-04-03,298.51,300.23,297.05,298.77,343414262
2019-04-04,297.35,298.81,296.66,298.11,376999604
2019-04-05,298.96,301.52,296.88,299.45,355938721
2019-04-08,304.86,306.62,302.9,304.65,384777790
2019-04-09,296.7,297.54,295.24,296.08,289588412
2019-04-10,294.48,295.79,293.1,294.41,348942461
2019-04-11,301.33,303.49,299.93,302.08,233453767
2019-04-12,303.0,304.59,300.37,301.95,363112083
2019-04-15,305.41,306.64,304.73,305.95,270188184
2019-04-16,302.57,303.45,301.94,302.82,408911860
2019-04-17,302.36,305.61,299.38,302.64,394008396
2019-04-18,303.26,305.97,301.27,303.97,195805517
2019-04-19,298.05,299.99,296.68,298.61,404238812
2019-04-22,299.11,301.99,296.82,299.69,165836326
2019-04-23,298.91,301.66,296.72,299.47,370501704
2019-04-24,299.17,301.57,297.25,299.64,299140209
2019-04-25,299.57,300.44,298.52,299.39,277748802
2019-04-26,302.51,303.29,301.46,302.23,516574320
2019-04-29,299.57,299.94,298.86,299.24,110976122
2019-04-30,304.91,306.74,302.7,304.52,314578257
2019-05-01,311.39,312.47,309.93,311.01,331765491
2019-05-02,310.55,313.5,308.17,311.11,398431249
2019-05-03,315.94,318.27,313.79,316.11,363494436
2019-05-06,318.78,319.97,317.35,318.54,191409273
2019-05-07,318.92,320.16,316.3,317.54,420185107
2019-05-08,319.17,320.72,317.89,319.44,244992599
2019-05-09,322.18,322.35,321.67,321.84,210223351
2019-05-10,319.08,320.52,317.6,319.05,181900973
2019-05-13,315.6,317.17,313.32,314.89,401869835
2019-05-14,315.66,317.46,313.4,315.19,377428583
2019-05-15,318.69,320.06,317.7,319.07,229766791
2019-05-16,314.97,315.95,313.21,314.19,170965046
2019-05-17,307.42,308.19,307.31,308.08,347027412
2019-05-20,307.03,308.18,306.09,307.24,119512610
2019-05-21,309.48,310.62,308.33,309.47,230777954
2019-05-22,310.6,311.47,309.45,310.32,252709631
2019-05-23,304.99,306.6,303.88,305.49,318935073
2019-05-24,303.57,304.66,302.06,303.15,450632356
2019-05-27,301.31,302.3,299.54,300.53,119951113
2019-05-28,298.67,300.52,297.4,299.24,307517701
2019-05-29,302.2,303.16,301.33,302.29,422910568
2019-05-30,299.65,302.77,297.85,300.96,301734599
2019-05-31,296.77,299.01,293.75,295.98,245979266
2019-06-03,296.35,297.54,294.43,295.62,137036697
2019-06-04,293.27,294.9,290.97,292.59,335357761
2019-06-05,293.14,295.18,290.59,292.63,325737010
2019-06-06,286.55,288.89,284.87,287.2,259559741
2019-06-07,288.9,291.27,285.88,288.24,298879803
2019-06-10,291.75,292.04,291.09,291.37,308086954
2019-06-11,294.04,294.34,293.36,293.66,325135064
2019-06-12,295.18,295.39,294.96,295.16,220379381
2019-06-13,292.86,295.21,291.88,294.23,197559534
2019-06-14,291.6,293.93,290.07,292.39,235299809
2019-06-17,292.12,293.23,291.04,292.15,249190764
2019-06-18,288.12,289.59,286.54,288.01,363788325
2019-06-19,285.84,288.1,283.65,285.91,386806977
2019-06-20,285.44,287.08,283.83,285.47,306472560
2019-06-21,285.3,288.12,281.59,284.39,319063317
2019-06-24,284.98,287.93,282.8,285.74,278107943
2019-06-25,289.67,292.38,286.57,289.27,244979584
2019-06-26,292.47,294.42,289.45,291.39,125097275
2019-06-27,287.5,289.01,286.59,288.1,293771745
2019-06-28,287.46,289.79,284.52,286.84,262077805
2019-07-01,286.46,289.32,284.22,287.08,378297243
2019-07-02,283.53,285.44,282.35,284.25,142338606
2019-07-03,284.73,286.07,283.4,284.73,450244833
2019-07-04,285.85,289.17,283.91,287.22,394991618
2019-07-05,286.19,287.07,284.99,285.87,439432871
2019-07-08,288.65,291.75,285.94,289.03,416030816
2019-07-09,289.97,290.88,288.92,289.84,468988872
2019-07-10,288.22,289.48,287.04,288.3,318853485
2019-07-11,284.16,285.25,283.28,284.37,456884544
2019-07-12,284.22,284.53,283.66,283.96,384698124
2019-07-15,289.8,292.75,287.23,290.18,384843232
2019-07-16,289.05,291.73,286.94,289.62,255510680
2019-07-17,290.75,291.98,289.3,290.53,194495134
2019-07-18,290.49,292.11,288.93,290.56,334333464
2019-07-19,292.36,293.23,290.46,291.33,335722197
2019-07-22,287.69,290.02,286.26,288.59,377443710
2019-07-23,281.56,283.7,278.39,280.52,202214943
2019-07-24,279.23,281.14,276.71,278.61,371354442
2019-07-25,273.97,275.8,272.53,274.36,391323441
2019-07-26,272.63,273.6,272.06,273.02,252719701
2019-07-29,275.13,275.96,274.71,275.54,465251776
2019-07-30,273.6,276.62,270.19,273.19,172812508
2019-07-31,274.41,275.72,273.09,274.4,348302428
2019-08-01,273.3,273.84,272.9,273.44,281320756
2019-08-02,269.75,270.71,268.38,269.34,257106592
2019-08-05,268.13,269.86,265.85,267.58,283752343
2019-08-06,270.2,271.48,268.63,269.91,236941692
2019-08-07,270.72,271.11,269.46,269.85,174187268
2019-08-08,268.87,270.04,266.93,268.1,330772117
2019-08-09,270.19,271.56,268.93,270.3,153194617
2019-08-12,271.03,273.07,269.35,271.38,234434692
2019-08-13,277.89,280.05,275.79,277.95,343030198
2019-08-14,281.12,282.86,280.03,281.77,227646580
2019-08-15,283.92,284.68,282.64,283.4,254180459
2019-08-16,281.22,283.49,278.98,281.24,194532314
2019-08-19,277.82,279.75,276.11,278.03,328754460
2019-08-20,280.49,281.5,280.06,281.06,479267366
2019-08-21,280.95,282.79,278.98,280.81,423954793
2019-08-22,278.36,280.73,275.63,278.0,260287241
2019-08-23,279.9,281.15,277.71,278.95,281706036
2019-08-26,280.31,280.38,280.2,280.27,338790174
2019-08-27,275.87,277.7,274.13,275.96,365656387
2019-08-28,270.05,271.09,268.02,269.06,176854006
2019-08-29,266.52,266.8,265.67,265.96,91322082
2019-08-30,260.15,261.55,258.27,259.68,329888650
2019-09-02,256.55,258.08,255.59,257.12,375494816
2019-09-03,254.85,256.54,253.77,255.46,239530255
2019-09-04,257.35,258.06,256.36,257.08,160538669
2019-09-05,259.31,261.22,257.34,259.25,341319989
2019-09-06,255.3,256.0,254.34,255.05,457918385
2019-09-09,254.18,255.95,252.76,254.52,26925546
2019-09-10,249.66,251.79,247.66,249.79,332739082
2019-09-11,248.06,248.68,247.2,247.83,315708926
2019-09-12,248.54,249.19,248.24,248.9,299489540
2019-09-13,245.96,249.55,243.29,246.87,285815640
2019-09-16,245.9,246.86,244.68,245.64,388682717
2019-09-17,246.14,247.42,244.73,246.01,243667006
2019-09-18,243.64,245.15,242.52,244.03,442187190
2019-09-19,246.18,248.05,244.32,246.19,315998863
2019-09-20,244.4,246.6,242.79,244.99,380687726
2019-09-23,241.88,243.26,240.57,241.95,234278656
2019-09-24,244.18,244.59,243.7,244.12,286144945
2019-09-25,245.01,245.45,244.45,244.9,220439410
2019-09-26,243.81,246.63,241.77,244.59,325570011
2019-09-27,247.51,249.03,246.18,247.7,238663487
2019-09-30,241.19,241.58,240.66,241.04,194648234
2019-10-01,242.94,243.77,242.08,242.92,326791498
2019-10-02,240.91,243.7,238.61,241.4,318591830
2019-10-03,243.33,243.37,243.29,243.32,135585713
2019-10-04,243.56,243.84,242.83,243.11,580403912
2019-10-07,238.3,239.57,237.22,238.49,194709719
2019-10-08,243.15,244.88,240.45,242.18,344557424
2019-10-09,247.84,249.34,245.75,247.24,272250806
2019-10-10,248.85,249.87,247.93,248.94,449248894
2019-10-11,246.44,248.16,244.37,246.09,392538179
2019-10-14,249.38,250.56,248.08,249.26,306053921
2019-10-15,250.48,251.51,249.19,250.21,293892925
2019-10-16,249.33,250.97,248.26,249.89,430431517
2019-10-17,248.78,250.24,246.43,247.89,328386131
2019-10-18,246.32,246.32,246.26,246.26,98113425
2019-10-21,249.04,250.73,247.49,249.18,456702034
2019-10-22,250.95,252.38,248.69,250.11,334922188
2019-10-23,253.68,255.08,251.75,253.15,421625450
2019-10-24,250.0,251.89,248.98,250.87,464896116
2019-10-25,250.48,251.6,249.45,250.57,421282771
2019-10-28,251.82,252.94,250.86,251.99,290626274
2019-10-29,248.46,249.65,246.96,248.15,258372134
2019-10-30,241.91,244.21,239.45,241.75,358249976
2019-10-31,244.87,246.3,243.31,244.73,330585992
2019-11-01,238.99,241.41,237.26,239.68,290407313
2019-11-04,242.62,243.62,241.6,242.61,361585655
2019-11-05,242.99,247.02,240.79,244.81,283050270
2019-11-06,245.41,246.59,243.93,245.1,456228528
2019-11-07,245.93,247.09,244.83,245.99,330654759
2019-11-08,243.17,243.89,242.45,243.17,217574426
2019-11-11,240.89,242.14,239.66,240.91,330416290
2019-11-12,241.21,242.17,240.29,241.25,268002112
2019-11-13,237.98,238.21,237.79,238.02,318858129
2019-11-14,240.78,242.49,239.79,241.5,438091775
2019-11-15,239.28,240.47,238.17,239.35,192757210
2019-11-18,240.52,241.78,239.06,240.32,312285157
2019-11-19,237.13,238.74,235.99,237.6,174542376
2019-11-20,231.34,233.1,229.13,230.88,425588943
2019-11-21,234.07,234.38,233.15,233.46,281799939
2019-11-22,230.1,232.18,228.31,230.4,367359919
2019-11-25,230.6,231.78,229.34,230.52,325687942
2019-11-26,234.1,235.76,231.2,232.85,289786804
2019-11-27,235.81,237.37,233.76,235.32,400891547
2019-11-28,238.03,240.15,236.94,239.06,243167045
2019-11-29,239.13,239.99,238.29,239.16,320260752
2019-12-02,237.96,239.66,236.88,238.58,328175570
2019-12-03,238.23,239.47,236.57,237.81,207693162
2019-12-04,238.0,239.42,236.87,238.28,287771949
2019-12-05,230.68,231.46,230.02,230.81,166221540
2019-12-06,226.99,229.47,224.04,226.52,235385870
2019-12-09,229.13,230.84,227.01,228.71,185858888
2019-12-10,229.9,231.92,227.22,229.22,408320450
2019-12-11,231.28,233.15,229.72,231.58,178718482
2019-12-12,228.5,230.23,226.92,228.65,136757356
2019-12-13,230.03,230.8,229.14,229.92,443830174
2019-12-16,230.02,231.08,229.13,230.19,313307084
2019-12-17,228.19,229.23,227.71,228.75,261173173
2019-12-18,224.54,225.28,224.01,224.74,95112285
2019-12-19,221.03,222.61,220.08,221.67,239043313
2019-12-20,222.0,222.95,220.61,221.56,337506194
2019-12-23,225.75,226.35,224.04,224.65,200259858
2019-12-24,225.3,226.54,223.37,224.61,303419201
2019-12-25,222.67,224.45,221.05,222.83,262374129
2019-12-26,222.08,222.95,220.84,221.7,458861109
2019-12-27,221.12,223.2,219.16,221.24,237872407
2019-12-30,220.68,221.11,220.25,220.68,453482405
2019-12-31,220.42,222.52,218.11,220.22,211246110
2020-01-01,215.41,217.29,213.86,215.74,297404822
2020-01-02,214.92,215.78,213.84,214.7,342051876
2020-01-03,212.98,214.39,211.5,212.91,246892875
2020-01-06,214.55,214.9,214.51,214.86,396720626
2020-01-07,215.28,216.13,214.22,215.08,345524842
2020-01-08,214.86,216.71,212.69,214.53,212504040
2020-01-09,213.04,213.47,212.13,212.56,334448507
2020-01-10,216.54,217.67,215.27,216.4,506787993
2020-01-13,211.54,212.33,210.45,211.23,329460214
2020-01-14,209.67,210.46,209.18,209.97,200527309
2020-01-15,210.71,211.87,209.5,210.67,369019352
2020-01-16,214.15,215.97,212.95,214.76,334986853
2020-01-17,215.31,217.71,213.63,216.02,361497262
2020-01-20,218.75,220.02,217.11,218.38,231475665
2020-01-21,213.9,215.73,213.0,214.83,376412932
2020-01-22,218.06,219.23,216.96,218.13,268941360
2020-01-23,217.72,218.34,216.96,217.59,87541292
2020-01-24,218.22,219.68,216.75,218.21,468522741
2020-01-27,219.29,219.4,219.14,219.25,246381319
2020-01-28,219.63,221.06,218.87,220.31,110113377
2020-01-29,216.96,218.14,215.68,216.86,327550767
2020-01-30,213.8,214.47,212.48,213.15,344192924
2020-01-31,208.77,209.71,206.85,207.79,401571508
2020-02-03,213.87,214.76,213.39,214.28,285544424
2020-02-04,213.33,214.54,212.09,213.3,366859504
2020-02-05,213.56,215.07,211.74,213.25,280227305
2020-02-06,209.81,210.84,208.48,209.51,515720453
2020-02-07,208.91,211.26,207.18,209.53,279907519
2020-02-10,208.52,210.61,206.46,208.55,307601674
2020-02-11,209.28,210.19,207.91,208.81,353210008
2020-02-12,210.2,211.17,209.24,210.21,284592321
2020-02-13,213.2,214.08,211.4,212.26,283614281
2020-02-14,210.57,211.25,209.95,210.63,243627071
2020-02-17,211.79,214.27,209.2,211.68,300285584
2020-02-18,214.36,215.39,213.76,214.79,399463027
2020-02-19,219.65,221.55,218.81,220.7,331710074
2020-02-20,224.92,226.76,223.67,225.51,362503521
2020-02-21,227.48,228.93,226.83,228.29,208908946
2020-02-24,227.52,229.04,226.09,227.61,155959784
2020-02-25,227.63,228.9,226.33,227.59,327813357
2020-02-26,226.0,226.42,225.35,225.78,270597522
2020-02-27,223.15,224.82,221.55,223.22,309427603
2020-02-28,222.79,222.99,222.62,222.83,341411814
2020-03-02,223.86,225.55,222.4,224.09,511897868
2020-03-03,219.5,220.48,218.03,219.01,201734506
2020-03-04,222.38,224.25,220.63,222.5,573817519
2020-03-05,224.34,225.04,223.93,224.64,444707486
2020-03-06,223.53,224.59,221.94,223.0,210169792
2020-03-09,221.81,223.72,219.79,221.7,380817675
2020-03-10,218.05,220.72,216.43,219.09,265007206
2020-03-11,217.88,219.35,216.69,218.16,249440651
2020-03-12,215.54,216.7,213.9,215.06,365126664
2020-03-13,217.4,218.2,216.91,217.71,266718527
2020-03-16,218.61,220.09,217.24,218.73,400945739
2020-03-17,218.61,220.3,216.82,218.51,262762923
2020-03-18,214.94,216.77,213.31,215.14,282116343
2020-03-19,218.9,219.89,217.33,218.32,134764625
2020-03-20,222.7,224.44,220.0,221.73,299308052
2020-03-23,219.73,220.62,218.93,219.82,309536433
2020-03-24,218.63,220.4,217.23,219.0,168171547
2020-03-25,220.25,222.21,218.55,220.52,254481718
2020-03-26,220.02,221.32,218.55,219.84,389281297
2020-03-27,223.39,224.97,222.2,223.78,261649487
2020-03-30,222.34,223.76,221.43,222.85,291299904
2020-03-31,220.91,222.05,219.54,220.67,439370245
2020-04-01,220.02,221.37,219.06,220.41,375555603
2020-04-02,219.05,220.9,217.36,219.21,227727092
2020-04-03,217.97,220.26,215.14,217.42,233814635
2020-04-06,215.75,216.32,214.86,215.43,315282524
2020-04-07,215.65,216.56,213.36,214.27,265251242
2020-04-08,209.42,210.27,208.04,208.89,326229135
2020-04-09,203.67,204.95,202.34,203.62,336997157
2020-04-10,201.08,202.83,199.71,201.46,216563864
2020-04-13,198.98,199.49,198.74,199.25,326978526
2020-04-14,197.92,199.17,196.89,198.14,292991894
2020-04-15,200.63,202.16,198.8,200.32,366371570
2020-04-16,203.15,205.02,201.68,203.54,308140089
2020-04-17,205.19,206.78,203.01,204.6,315456545
2020-04-20,202.49,203.51,201.22,202.25,236524231
2020-04-21,198.97,200.16,197.48,198.67,352446419
2020-04-22,197.78,198.84,196.64,197.7,286608350
2020-04-23,196.33,197.8,194.77,196.24,276898739
2020-04-24,200.1,201.51,198.42,199.83,361522498
2020-04-27,200.67,201.91,199.91,201.15,395114767
2020-04-28,202.69,203.5,201.94,202.75,448522592
2020-04-29,206.59,208.0,204.52,205.94,432766826
2020-04-30,204.34,204.8,204.11,204.56,39286681
2020-05-01,207.86,208.87,206.32,207.33,188857241
2020-05-04,209.1,210.93,207.57,209.41,444486762
2020-05-05,207.34,208.47,206.23,207.35,115510293
2020-05-06,207.2,207.96,206.67,207.44,149950038
2020-05-07,212.16,213.54,211.14,212.52,309328184
2020-05-08,210.3,211.04,209.27,210.01,170461286
2020-05-11,207.43,209.61,205.71,207.89,358536670
2020-05-12,208.61,210.29,206.81,208.49,310029333
2020-05-13,207.56,208.91,205.74,207.09,237847085
2020-05-14,205.87,207.9,203.72,205.76,233610549
2020-05-15,204.87,206.68,202.63,204.44,294579728
2020-05-18,207.69,209.07,205.91,207.28,187463480
2020-05-19,203.66,204.87,202.2,203.41,263502562
2020-05-20,201.08,202.42,200.46,201.81,189319471
2020-05-21,204.68,205.56,203.53,204.42,221376232
2020-05-22,199.85,200.46,199.32,199.93,266958646
2020-05-25,198.39,199.47,197.64,198.72,395712360
2020-05-26,197.06,198.87,195.59,197.4,320340143
2020-05-27,195.93,197.64,194.48,196.2,62568114
2020-05-28,192.57,193.85,191.65,192.92,205295856
2020-05-29,195.05,196.11,193.63,194.69,218160401
2020-06-01,195.12,196.14,194.29,195.32,236642024
2020-06-02,193.1,194.77,191.87,193.53,309046990
2020-06-03,198.7,199.6,197.35,198.25,233041651
2020-06-04,198.49,200.35,196.5,198.36,295203692
2020-06-05,197.95,198.7,196.62,197.37,322074635
