Date,Open,High,Low,Close,Volume
2019-01-01,3713.96,3729.53,3697.03,3712.59,175357223
2019-01-02,3712.81,3732.27,3690.16,3709.61,170354971
2019-01-03,3736.57,3763.07,3718.55,3745.01,190110990
2019-01-04,3818.52,3843.54,3789.58,3814.58,198800348
2019-01-07,3893.06,3899.83,3890.51,3897.28,284951731
2019-01-08,3775.3,3809.74,3756.9,3791.26,208377651
2019-01-09,3757.61,3766.93,3747.88,3757.21,131664414
2019-01-10,3720.48,3735.82,3702.15,3717.48,152656494
2019-01-11,3767.92,3778.66,3756.72,3767.46,172863413
2019-01-14,3732.8,3741.01,3725.65,3733.86,146125306
2019-01-15,3801.87,3834.39,3766.98,3799.49,247782697
2019-01-16,3864.71,3867.17,3850.67,3853.12,207579874
2019-01-17,3851.26,3863.02,3830.48,3842.22,177395885
2019-01-18,3810.16,3830.42,3784.46,3804.7,223585492
2019-01-21,3821.99,3867.5,3780.68,3826.14,110376034
2019-01-22,3677.68,3703.33,3659.44,3685.05,137683779
2019-01-23,3706.67,3715.16,3684.04,3692.5,99231048
2019-01-24,3763.35,3783.38,3734.89,3754.86,153837923
2019-01-25,3769.12,3778.34,3758.41,3767.62,128850470
2019-01-28,3710.11,3712.42,3708.96,3711.27,178267905
2019-01-29,3655.93,3685.04,3634.3,3663.37,244353076
2019-01-30,3662.52,3703.17,3620.61,3661.25,152026389
2019-01-31,3629.83,3651.05,3605.82,3627.03,262021312
2019-02-01,3630.17,3647.12,3611.97,3628.92,133753280
2019-02-04,3659.41,3669.13,3645.78,3655.49,202369654
2019-02-05,3673.6,3701.49,3636.48,3664.3,101020292
2019-02-06,3605.97,3620.35,3591.75,3606.12,223630806
2019-02-07,3555.18,3575.54,3527.72,3548.04,125907734
2019-02-08,3543.21,3567.14,3520.89,3544.8,178987878
2019-02-11,3549.1,3572.38,3523.92,3547.19,197889857
2019-02-12,3525.97,3552.85,3503.48,3530.33,139282807
2019-02-13,3549.09,3556.38,3536.59,3543.87,232009506
2019-02-14,3520.78,3540.02,3490.46,3509.65,237020208
2019-02-15,3463.29,3465.81,3450.52,3453.04,151643652
2019-02-18,3467.03,3480.19,3460.39,3473.55,132822914
2019-02-19,3508.83,3528.05,3485.73,3504.93,216329763
2019-02-20,3521.9,3546.91,3494.49,3519.48,50065963
2019-02-21,3585.6,3608.83,3549.23,3572.38,148055424
2019-02-22,3540.51,3547.9,3536.28,3543.67,294572547
2019-02-25,3555.67,3566.66,3542.73,3553.71,136526853
2019-02-26,3622.67,3644.13,3602.26,3623.71,225762862
2019-02-27,3616.77,3630.14,3594.9,3608.24,169468288
2019-02-28,3560.7,3578.59,3532.16,3550.0,253580176
2019-03-01,3540.47,3570.92,3502.21,3532.59,216446380
