Date,Open,High,Low,Close,Volume
2019-01-01,2024.13,2041.07,2013.24,2030.15,154247779
2019-01-02,2036.22,2049.71,2025.9,2039.37,131662279
2019-01-03,2053.97,2068.71,2040.82,2055.55,161824850
2019-01-04,2028.61,2039.02,2024.44,2034.83,208586482
2019-01-07,2023.38,2029.37,2016.56,2022.56,121874462
2019-01-08,2019.85,2033.5,2006.87,2020.52,216166360
2019-01-09,2036.85,2053.6,2017.09,2033.82,63055823
2019-01-10,2025.13,2036.22,2019.27,2030.35,140276792
2019-01-11,2009.23,2019.66,2000.87,2011.28,204729061
2019-01-14,1966.65,1977.42,1957.59,1968.35,166900078
2019-01-15,1948.96,1951.57,1943.28,1945.89,196751311
2019-01-16,1934.63,1949.96,1923.18,1938.49,99980371
2019-01-17,1974.38,1982.79,1970.73,1979.13,118601095
2019-01-18,1986.26,1997.8,1974.43,1985.97,208000862
2019-01-21,2030.81,2042.72,2023.08,2034.98,172411235
2019-01-22,2007.02,2024.4,1996.98,2014.33,224367985
2019-01-23,2004.85,2011.12,1997.19,2003.46,280557123
2019-01-24,1962.87,1969.6,1955.13,1961.85,208055406
2019-01-25,1904.53,1920.8,1888.66,1904.93,223441868
2019-01-28,1879.93,1904.84,1867.59,1892.41,229631386
2019-01-29,1944.08,1950.93,1936.46,1943.31,230877604
2019-01-30,1881.86,1893.93,1871.77,1883.84,246370272
2019-01-31,1927.62,1940.12,1907.85,1920.3,77747830
2019-02-01,1928.26,1941.14,1915.69,1928.56,161343044
2019-02-04,1895.54,1910.3,1880.8,1895.56,170544569
2019-02-05,1870.61,1891.34,1857.54,1878.23,233753453
2019-02-06,1885.13,1900.9,1872.96,1888.71,113818115
2019-02-07,1891.22,1896.13,1885.77,1890.67,170072114
2019-02-08,1827.7,1831.24,1826.83,1830.38,234092233
2019-02-11,1825.91,1834.72,1810.71,1819.5,288193355
2019-02-12,1806.76,1815.98,1798.26,1807.48,269723976
2019-02-13,1810.0,1819.83,1797.58,1807.39,210772260
2019-02-14,1799.08,1812.89,1785.23,1799.03,169109211
2019-02-15,1797.87,1807.93,1784.57,1794.61,160666697
2019-02-18,1792.04,1794.86,1789.39,1792.2,135787391
2019-02-19,1791.42,1805.65,1776.2,1790.42,154232433
2019-02-20,1773.08,1777.19,1771.91,1776.02,148726855
2019-02-21,1772.59,1790.78,1759.66,1777.82,193865547
