Date,Open,High,Low,Close,Volume
2019-01-01,1565.4,1576.87,1559.42,1570.87,224394144
2019-01-02,1597.22,1612.71,1581.36,1596.85,231928672
2019-01-03,1603.14,1620.5,1583.13,1600.45,240623068
2019-01-04,1612.98,1619.72,1600.43,1607.15,148785595
2019-01-07,1631.2,1642.09,1623.76,1634.64,154594004
2019-01-08,1637.42,1647.48,1625.87,1635.93,130987888
2019-01-09,1633.19,1644.93,1622.14,1633.88,253698777
2019-01-10,1625.25,1639.61,1616.79,1631.12,178120761
2019-01-11,1631.11,1640.14,1623.4,1632.42,176734164
2019-01-14,1626.42,1634.05,1618.87,1626.5,176419016
2019-01-15,1630.58,1635.47,1622.19,1627.07,231644321
2019-01-16,1627.31,1635.25,1618.74,1626.68,155888337
2019-01-17,1619.68,1626.49,1616.11,1622.91,158448656
2019-01-18,1635.85,1653.04,1623.44,1640.6,179141315
2019-01-21,1614.92,1620.84,1609.48,1615.4,194121000
2019-01-22,1640.9,1648.56,1636.32,1643.97,188885537
2019-01-23,1640.69,1650.67,1632.04,1642.02,16555292
2019-01-24,1635.84,1645.96,1627.36,1637.47,232028592
2019-01-25,1675.51,1685.76,1661.7,1671.93,220132601
2019-01-28,1681.31,1699.07,1667.28,1685.01,214976712
2019-01-29,1652.26,1661.43,1648.39,1657.54,216965654
2019-01-30,1691.25,1697.77,1682.38,1688.9,160525603
2019-01-31,1684.47,1693.7,1671.97,1681.18,111138904
2019-02-01,1645.8,1657.61,1638.64,1650.44,221714904
2019-02-04,1669.86,1685.51,1656.75,1672.39,114995837
2019-02-05,1717.47,1720.2,1715.55,1718.28,228959458
2019-02-06,1748.85,1769.87,1739.51,1760.48,143800055
2019-02-07,1762.98,1772.22,1757.74,1766.97,192519182
2019-02-08,1744.74,1747.86,1738.74,1741.86,210166831
2019-02-11,1714.87,1733.67,1695.7,1714.49,197982532
2019-02-12,1737.9,1745.48,1726.82,1734.38,303577389
2019-02-13,1740.41,1752.25,1723.86,1735.66,219338935
2019-02-14,1731.31,1736.5,1724.97,1730.16,202255333
2019-02-15,1734.41,1742.27,1726.08,1733.94,111597349
2019-02-18,1731.35,1736.33,1728.41,1733.39,147197348
2019-02-19,1728.89,1733.5,1721.77,1726.38,86718076
2019-02-20,1752.2,1770.29,1729.62,1747.67,117063488
2019-02-21,1747.03,1763.02,1732.16,1748.13,237779930
2019-02-22,1794.27,1800.38,1782.11,1788.2,199542673
2019-02-25,1784.79,1791.91,1776.13,1783.24,208377742
2019-02-26,1787.17,1799.49,1773.01,1785.32,220030649
2019-02-27,1803.71,1806.94,1798.22,1801.44,100625621
2019-02-28,1806.6,1808.28,1802.74,1804.41,190470453
2019-03-01,1800.39,1815.29,1784.93,1799.82,250445716
2019-03-04,1808.18,1817.31,1795.99,1805.11,206960854
2019-03-05,1796.38,1797.6,1795.65,1796.87,117908708
2019-03-06,1782.26,1802.03,1770.35,1790.07,248700200
2019-03-07,1784.8,1796.52,1770.04,1781.75,183838939
2019-03-08,1771.08,1788.52,1762.49,1779.89,170569970
2019-03-11,1715.79,1725.62,1698.79,1708.57,160988555
2019-03-12,1692.94,1713.06,1677.78,1697.86,151878706
2019-03-13,1714.25,1729.96,1701.33,1717.02,289484241
2019-03-14,1719.25,1724.45,1712.72,1717.92,226798624
2019-03-15,1706.6,1715.86,1700.32,1709.57,143179925
2019-03-18,1741.79,1746.07,1741.31,1745.59,200192630
2019-03-19,1756.67,1762.39,1755.18,1760.9,200071086
2019-03-20,1735.91,1744.81,1725.68,1734.57,274631433
2019-03-21,1720.71,1726.67,1718.24,1724.2,194282594
2019-03-22,1745.95,1758.25,1731.12,1743.4,177292022
2019-03-25,1740.51,1751.57,1727.73,1738.78,227768348
2019-03-26,1703.12,1722.43,1692.44,1711.69,198843127
2019-03-27,1718.53,1727.14,1714.33,1722.93,262011167
2019-03-28,1729.3,1732.13,1724.32,1727.15,144337126
2019-03-29,1717.73,1729.11,1707.56,1718.93,235385545
2019-04-01,1724.31,1731.52,1718.37,1725.57,294603444
2019-04-02,1702.37,1710.69,1693.69,1702.02,241860458
2019-04-03,1718.81,1730.77,1704.4,1716.34,121696361
2019-04-04,1720.38,1727.55,1709.12,1716.27,184958426
2019-04-05,1730.15,1736.07,1723.89,1729.8,153568304
2019-04-08,1752.32,1762.94,1741.88,1752.49,234474009
2019-04-09,1730.86,1739.0,1721.5,1729.63,195841634
2019-04-10,1727.41,1732.82,1721.15,1726.56,90538038
2019-04-11,1746.73,1751.91,1740.57,1745.76,176472243
2019-04-12,1719.82,1730.32,1710.58,1721.08,192183612
2019-04-15,1723.34,1743.12,1705.91,1725.67,175511997
2019-04-16,1751.57,1772.74,1734.67,1755.8,207074849
2019-04-17,1745.33,1752.53,1736.78,1743.97,239786290
2019-04-18,1765.21,1771.38,1754.67,1760.84,261612020
2019-04-19,1774.53,1783.96,1754.81,1764.18,138162426
2019-04-22,1764.83,1773.53,1756.25,1764.95,238384240
2019-04-23,1778.1,1794.49,1762.71,1779.08,155296636
2019-04-24,1821.48,1834.39,1810.17,1823.07,170040827
2019-04-25,1802.29,1807.1,1800.4,1805.21,199968229
2019-04-26,1783.87,1796.94,1768.03,1781.08,198859724
2019-04-29,1759.86,1770.75,1752.03,1762.91,132280062
2019-04-30,1780.91,1786.15,1769.18,1774.41,134069177
2019-05-01,1796.53,1806.24,1789.99,1799.68,275753250
2019-05-02,1791.62,1803.62,1774.47,1786.43,289144099
2019-05-03,1771.85,1784.63,1755.73,1768.49,255287504
2019-05-06,1778.82,1786.76,1773.32,1781.26,153733996
2019-05-07,1758.22,1765.2,1754.79,1761.77,234903359
2019-05-08,1747.61,1761.18,1735.19,1748.75,202253729
2019-05-09,1766.17,1771.93,1761.49,1767.24,88436110
2019-05-10,1763.31,1775.8,1745.3,1757.75,292093101
2019-05-13,1753.49,1762.05,1743.47,1752.02,201762698
2019-05-14,1736.51,1747.0,1726.12,1736.61,179224140
2019-05-15,1707.63,1708.65,1705.61,1706.63,204709842
2019-05-16,1679.87,1695.0,1663.13,1678.24,85056563
