Date,Open,High,Low,Close,Volume
2019-01-01,497.05,500.19,493.36,496.5,13308754
2019-01-02,498.02,501.12,494.66,497.76,21867077
2019-01-03,487.12,491.67,482.69,487.24,27209593
2019-01-04,487.56,489.75,485.3,487.49,26792808
2019-01-07,481.15,482.95,477.35,479.15,34363309
2019-01-08,482.2,482.62,480.88,481.3,19098747
2019-01-09,484.59,486.19,481.65,483.24,24597515
2019-01-10,490.04,492.84,487.37,490.16,24773872
2019-01-11,492.11,496.89,488.12,492.89,14548992
2019-01-14,492.73,497.94,489.38,494.58,24701320
2019-01-15,498.46,503.71,493.76,499.01,23231292
2019-01-16,497.8,499.58,495.68,497.46,24593189
2019-01-17,501.1,505.78,497.12,501.79,17784045
2019-01-18,502.79,507.45,499.3,503.96,30374550
2019-01-21,501.25,504.19,498.78,501.72,29618805
2019-01-22,499.24,503.07,495.49,499.32,28487872
2019-01-23,505.86,507.67,505.46,507.27,23946489
2019-01-24,503.81,506.7,501.48,504.36,26429493
2019-01-25,503.57,506.43,500.24,503.09,26992618
2019-01-28,504.79,505.92,502.12,503.24,32192955
2019-01-29,509.36,512.84,505.29,508.76,21981710
2019-01-30,503.02,506.08,498.57,501.62,32242533
2019-01-31,510.2,510.68,509.17,509.65,34274130
2019-02-01,513.11,516.99,510.56,514.43,22555547
2019-02-04,512.62,516.65,509.13,513.16,20478575
2019-02-05,507.1,509.89,504.99,507.78,21246433
2019-02-06,513.19,517.9,506.97,511.66,27372745
2019-02-07,523.41,526.7,521.09,524.37,15968702
2019-02-08,521.63,523.87,518.21,520.44,36916670
2019-02-11,526.79,528.68,525.54,527.44,24893958
2019-02-12,541.57,544.38,536.65,539.44,21978572
2019-02-13,544.44,546.63,541.07,543.25,23996590
2019-02-14,534.12,535.65,532.54,534.07,16474668
2019-02-15,535.02,537.75,531.38,534.11,15168855
2019-02-18,535.49,537.08,533.8,535.39,13911395
2019-02-19,528.06,530.89,525.93,528.76,20467016
2019-02-20,526.18,528.52,524.11,526.45,20738888
2019-02-21,529.16,532.24,526.52,529.6,21206078
2019-02-22,522.82,527.48,518.98,523.63,15799626
2019-02-25,512.7,514.86,509.97,512.13,13994462
2019-02-26,514.87,517.77,513.05,515.95,15457850
2019-02-27,513.8,517.64,510.79,514.63,27552661
2019-02-28,528.06,532.92,523.1,527.97,16534157
2019-03-01,528.89,534.47,524.97,530.54,18564147
2019-03-04,530.13,532.84,527.24,529.96,15654291
2019-03-05,529.64,530.91,526.43,527.7,26977423
2019-03-06,535.7,538.44,530.67,533.4,27212942
2019-03-07,533.84,538.52,528.27,532.94,34500181
2019-03-08,532.94,537.89,528.95,533.9,20168452
2019-03-11,525.73,528.22,522.88,525.37,37816614
2019-03-12,532.51,534.88,530.01,532.38,22853032
2019-03-13,537.85,540.47,533.2,535.81,4429257
2019-03-14,536.19,538.06,533.75,535.62,26247141
2019-03-15,540.9,544.24,537.52,540.86,21517531
2019-03-18,533.97,537.47,529.95,533.45,20905909
2019-03-19,534.74,538.94,532.53,536.72,13978781
2019-03-20,535.45,538.28,533.02,535.85,29365383
2019-03-21,548.31,552.05,542.31,546.03,31122486
2019-03-22,546.66,551.04,541.43,545.8,24529846
2019-03-25,543.46,546.64,540.64,543.82,39443078
2019-03-26,550.07,551.78,548.18,549.88,14128750
2019-03-27,554.38,556.89,551.49,553.99,22714756
2019-03-28,550.77,554.95,546.86,551.04,25770050
2019-03-29,555.49,558.66,553.73,556.9,21179346
2019-04-01,546.75,550.69,542.49,546.43,15548465
2019-04-02,549.46,550.79,544.59,545.91,25172731
2019-04-03,553.23,556.1,550.47,553.33,23149820
2019-04-04,554.91,556.82,553.8,555.7,25566656
2019-04-05,548.4,552.8,543.61,548.02,22046183
2019-04-08,549.79,554.41,543.79,548.39,21356497
2019-04-09,547.16,549.64,543.85,546.33,18733513
2019-04-10,561.15,565.97,556.15,560.98,21539514
2019-04-11,568.92,571.04,566.25,568.37,16771156
2019-04-12,563.19,569.19,558.4,564.38,23893440
2019-04-15,566.59,568.4,565.14,566.96,30494604
