Date,Open,High,Low,Close,Volume
2019-01-01,2032.11,2042.65,2017.97,2028.48,13883198
2019-01-02,1990.42,1996.26,1984.68,1990.52,15164249
2019-01-03,1964.83,1980.01,1946.12,1961.27,13780011
2019-01-04,1938.59,1948.82,1930.95,1941.17,14822894
2019-01-07,1918.12,1926.43,1910.57,1918.88,10394599
2019-01-08,1946.52,1957.21,1937.58,1948.26,15546851
2019-01-09,1961.46,1967.1,1954.31,1959.95,10910801
2019-01-10,1950.75,1961.0,1943.63,1953.87,8012536
2019-01-11,1962.25,1967.98,1957.3,1963.03,12992556
2019-01-14,1994.72,2001.54,1984.92,1991.72,21172036
2019-01-15,2013.63,2014.95,2009.08,2010.39,19848840
2019-01-16,2001.21,2018.7,1977.62,1995.06,11596549
2019-01-17,2030.9,2038.17,2023.44,2030.71,16736487
2019-01-18,2019.66,2023.92,2019.28,2023.54,20952891
2019-01-21,2019.42,2032.14,2010.03,2022.74,20788909
2019-01-22,2006.65,2018.0,1995.54,2006.88,13076077
2019-01-23,2047.38,2062.23,2038.0,2052.83,16161475
2019-01-24,2014.54,2027.31,2005.72,2018.47,20256076
2019-01-25,2045.27,2065.74,2024.45,2044.92,17288496
2019-01-28,2033.09,2039.08,2025.05,2031.04,17453328
2019-01-29,2036.2,2051.63,2021.93,2037.35,13013658
2019-01-30,2053.63,2054.87,2051.14,2052.38,16757965
2019-01-31,2044.18,2055.2,2029.36,2040.35,15747548
2019-02-01,2071.61,2088.23,2056.24,2072.85,14548964
2019-02-04,2070.96,2086.27,2052.79,2068.08,17295848
2019-02-05,2098.62,2104.23,2089.54,2095.14,13573131
2019-02-06,2063.52,2070.94,2060.01,2067.42,8410872
2019-02-07,2080.89,2088.33,2066.41,2073.82,14096384
2019-02-08,2083.31,2105.51,2071.41,2093.56,16017394
2019-02-11,2090.77,2097.13,2075.41,2081.75,9590479
2019-02-12,2059.54,2073.94,2049.83,2064.21,22677279
2019-02-13,2067.89,2083.83,2049.47,2065.38,11994209
2019-02-14,2077.1,2082.9,2075.01,2080.8,18145308
2019-02-15,2054.02,2066.69,2042.06,2054.72,15086906
2019-02-18,2026.39,2044.74,2007.14,2025.48,20823599
2019-02-19,1980.16,1996.85,1967.53,1984.19,15604166
2019-02-20,1962.78,1968.58,1957.88,1963.68,17442312
2019-02-21,1974.24,1994.25,1946.64,1966.57,7802240
2019-02-22,1997.07,2004.43,1988.32,1995.67,20329581
2019-02-25,2027.63,2044.51,2016.53,2033.38,17739975
2019-02-26,2051.91,2063.3,2037.95,2049.32,18557340
2019-02-27,2027.47,2033.67,2017.43,2023.61,9916222
2019-02-28,2038.08,2049.35,2025.89,2037.16,13413829
2019-03-01,2037.61,2046.12,2028.65,2037.15,9768439
2019-03-04,2078.42,2088.97,2068.06,2078.6,15833150
2019-03-05,2081.93,2097.05,2069.25,2084.36,19068227
2019-03-06,2088.71,2092.58,2087.28,2091.15,20911535
2019-03-07,2095.13,2098.8,2089.92,2093.58,15408115
2019-03-08,2078.69,2089.21,2064.7,2075.2,13201394
2019-03-11,2082.65,2100.41,2074.56,2092.29,17492883
2019-03-12,2112.27,2125.89,2099.56,2113.17,17550670
2019-03-13,2133.89,2142.63,2123.09,2131.82,23992349
2019-03-14,2179.07,2191.91,2164.53,2177.36,16339579
2019-03-15,2165.91,2183.71,2145.14,2162.91,15275749
2019-03-18,2135.91,2152.81,2119.64,2136.53,394488
2019-03-19,2150.75,2166.2,2127.57,2142.96,21096559
2019-03-20,2127.13,2138.73,2113.53,2125.12,17061876
2019-03-21,2150.91,2159.46,2143.66,2152.2,17810186
2019-03-22,2163.24,2173.6,2152.49,2162.85,15271581
2019-03-25,2110.86,2123.82,2099.91,2112.85,13150123
2019-03-26,2100.77,2122.02,2083.73,2104.94,14048643
2019-03-27,2077.51,2082.42,2072.35,2077.26,19360088
2019-03-28,2056.91,2066.87,2045.22,2055.17,10294826
2019-03-29,2056.24,2060.01,2052.97,2056.75,10001623
2019-04-01,1992.18,2000.13,1985.86,1993.81,12319723
2019-04-02,2052.78,2066.48,2035.15,2048.83,13634080
2019-04-03,1995.31,2006.8,1986.56,1998.04,18912194
2019-04-04,2025.03,2030.63,2020.03,2025.63,16719886
2019-04-05,2052.65,2066.23,2037.51,2051.08,17741427
2019-04-08,2072.88,2079.6,2067.32,2074.04,14177797
2019-04-09,2055.39,2066.86,2045.39,2056.85,17165988
2019-04-10,2089.18,2107.52,2071.61,2089.93,15800146
2019-04-11,2099.75,2103.96,2088.73,2092.94,17072012
