Date,Open,High,Low,Close,Volume
2019-01-01,1747.66,1753.36,1738.19,1743.89,44426691
2019-01-02,1781.29,1794.73,1771.11,1784.52,215355372
2019-01-03,1785.96,1797.33,1769.32,1780.66,319745368
2019-01-04,1749.81,1761.54,1733.75,1745.45,202424908
2019-01-07,1733.67,1742.2,1723.93,1732.45,262395534
2019-01-08,1738.29,1755.92,1724.38,1741.97,224651658
2019-01-09,1713.63,1721.68,1704.81,1712.86,330342843
2019-01-10,1706.28,1709.13,1700.3,1703.14,294597123
2019-01-11,1682.19,1694.54,1672.39,1684.72,290452090
2019-01-14,1696.22,1698.25,1695.03,1697.06,191217405
2019-01-15,1728.64,1745.87,1715.06,1732.26,240409230
2019-01-16,1742.24,1747.19,1735.6,1740.55,197913550
2019-01-17,1717.67,1729.42,1707.31,1719.06,260048169
2019-01-18,1714.77,1727.74,1703.83,1716.79,178211870
2019-01-21,1723.72,1731.14,1712.36,1719.76,226561088
2019-01-22,1730.05,1738.43,1717.75,1726.11,254407537
2019-01-23,1721.72,1735.76,1713.41,1727.42,216216350
2019-01-24,1699.5,1703.81,1689.35,1693.64,220485087
2019-01-25,1686.58,1697.45,1678.49,1689.36,275278473
2019-01-28,1694.43,1696.72,1693.75,1696.05,102849601
2019-01-29,1716.76,1724.01,1710.91,1718.14,263132994
2019-01-30,1697.71,1703.75,1690.38,1696.41,302354279
2019-01-31,1701.13,1707.92,1689.27,1696.05,297403063
2019-02-01,1698.11,1708.54,1692.05,1702.46,178833599
2019-02-04,1717.62,1728.35,1704.51,1715.22,199264039
2019-02-05,1713.23,1719.25,1705.81,1711.82,237986460
2019-02-06,1691.64,1703.36,1681.18,1692.89,127273768
2019-02-07,1710.89,1727.67,1694.32,1711.09,200362550
2019-02-08,1720.36,1743.69,1706.62,1729.87,202754149
2019-02-11,1779.43,1807.63,1764.96,1793.05,175251250
2019-02-12,1789.77,1808.53,1775.95,1794.67,17500534
2019-02-13,1757.13,1765.68,1747.3,1755.83,168649155
2019-02-14,1773.14,1775.82,1760.36,1763.04,226193485
2019-02-15,1752.58,1763.68,1744.07,1755.16,272327673
2019-02-18,1752.56,1769.1,1732.71,1749.22,320012578
2019-02-19,1748.94,1749.48,1748.25,1748.78,218106819
2019-02-20,1745.09,1755.0,1732.66,1742.55,232996004
2019-02-21,1739.52,1754.16,1727.47,1742.09,289708388
2019-02-22,1747.02,1754.3,1740.19,1747.47,82559457
2019-02-25,1751.1,1757.07,1744.87,1750.84,130384050
2019-02-26,1716.03,1717.37,1710.55,1711.89,164876816
2019-02-27,1723.69,1744.52,1703.03,1723.85,153771853
2019-02-28,1768.35,1782.86,1747.04,1761.49,189870919
2019-03-01,1747.28,1754.16,1739.45,1746.33,328353919
2019-03-04,1720.33,1730.0,1703.23,1712.86,365202864
2019-03-05,1705.96,1716.98,1697.44,1708.44,237722134
2019-03-06,1701.33,1715.07,1686.95,1700.69,193813616
2019-03-07,1666.85,1668.97,1665.11,1667.23,265738281
2019-03-08,1656.24,1659.08,1653.88,1656.71,199008320
2019-03-11,1649.45,1653.99,1644.24,1648.78,236974076
2019-03-12,1674.67,1684.23,1659.16,1668.69,142921517
2019-03-13,1635.66,1641.51,1630.34,1636.19,300864800
2019-03-14,1640.11,1643.0,1639.13,1642.03,231012161
2019-03-15,1647.05,1659.63,1635.63,1648.2,318073912
2019-03-18,1668.09,1672.89,1661.58,1666.37,173968440
2019-03-19,1642.58,1649.87,1634.99,1642.28,298362448
2019-03-20,1670.39,1680.36,1659.77,1669.74,278363096
2019-03-21,1659.73,1674.48,1646.41,1661.15,167433527
2019-03-22,1646.08,1662.68,1634.36,1650.93,152986188
2019-03-25,1626.54,1639.8,1616.65,1629.88,318639813
2019-03-26,1636.99,1642.83,1628.46,1634.3,135934719
2019-03-27,1643.58,1661.08,1630.97,1648.43,316411439
