Date,Open,High,Low,Close,Volume
2023-01-02,151.09,152.22,149.91,151.03,128764046
2023-01-03,150.6,151.53,149.87,150.8,82145558
2023-01-04,152.09,152.67,151.5,152.09,83540030
2023-01-05,150.98,152.33,149.98,151.34,72685589
2023-01-06,151.11,152.16,150.18,151.22,98176993
2023-01-09,155.73,156.02,155.42,155.72,96296056
2023-01-10,157.43,158.37,156.42,157.36,72362651
2023-01-11,160.17,160.93,159.12,159.88,119256118
2023-01-12,156.22,157.88,155.29,156.95,162704626
2023-01-13,152.15,152.87,151.46,152.19,125987385
2023-01-16,153.27,154.16,152.44,153.32,94417751
2023-01-17,148.36,148.51,148.24,148.38,94127940
2023-01-18,148.82,149.22,148.4,148.81,84635742
2023-01-19,147.48,148.6,146.59,147.72,84135330
2023-01-20,147.11,149.0,145.68,147.57,120362655
2023-01-23,149.01,149.79,148.17,148.95,121419868
2023-01-24,145.59,146.34,145.14,145.88,68711613
2023-01-25,146.78,147.48,145.96,146.66,105995303
2023-01-26,148.21,148.89,147.81,148.49,124076076
2023-01-27,151.17,152.23,149.91,150.96,88601836
2023-01-30,150.88,151.59,150.19,150.9,91967616
2023-01-31,153.65,154.67,152.63,153.65,113998202
2023-02-01,156.16,156.89,155.5,156.23,114688487
2023-02-02,157.21,158.4,156.14,157.34,107518430
2023-02-03,155.98,156.25,155.78,156.05,103274322
2023-02-06,159.81,160.54,158.71,159.44,106535975
2023-02-07,162.98,164.39,162.07,163.48,90360967
2023-02-08,162.43,163.29,161.79,162.64,69969421
2023-02-09,164.52,165.38,163.31,164.17,59314860
2023-02-10,166.04,166.9,164.91,165.77,111560407
2023-02-13,163.57,164.65,162.06,163.13,99729303
2023-02-14,165.33,166.3,164.38,165.35,108160795
2023-02-15,161.34,162.62,160.49,161.77,76981131
2023-02-16,162.26,163.64,161.24,162.62,99593089
2023-02-17,164.25,164.64,163.95,164.35,99011785
2023-02-20,164.98,165.47,164.23,164.73,128151525
2023-02-21,165.06,165.43,164.77,165.14,117779680
2023-02-22,162.52,163.54,161.61,162.63,79139696
2023-02-23,162.88,163.75,161.89,162.75,109351113
2023-02-24,164.31,165.5,163.1,164.3,78971442
2023-02-27,161.59,162.57,160.75,161.73,33670865
2023-02-28,165.42,166.28,164.88,165.75,139001391
2023-03-01,164.49,165.27,163.4,164.18,88001067
2023-03-02,168.51,168.63,168.03,168.16,122336425
2023-03-03,168.88,169.86,168.25,169.23,81048188
2023-03-06,165.27,165.43,165.23,165.4,77503807
2023-03-07,164.55,165.4,163.49,164.33,83833828
2023-03-08,167.49,168.53,166.83,167.87,103235980
2023-03-09,167.29,168.0,166.46,167.17,101378823
2023-03-10,165.96,166.51,165.53,166.07,109184673
2023-03-13,168.28,169.23,167.75,168.69,85053048
2023-03-14,169.9,170.9,168.3,169.3,98084139
2023-03-15,166.63,167.02,166.36,166.74,76634186
2023-03-16,164.45,165.36,163.38,164.28,132770959
2023-03-17,162.9,163.73,162.43,163.26,65204477
2023-03-20,165.11,165.29,164.41,164.6,77148843
2023-03-21,162.79,163.92,161.03,162.16,86823831
2023-03-22,161.97,163.62,160.81,162.46,155095705
2023-03-23,162.69,163.3,162.14,162.75,115718102
2023-03-24,164.67,165.23,163.67,164.23,76381519
2023-03-27,164.58,165.39,163.92,164.74,117061998
2023-03-28,165.03,165.5,164.42,164.89,109624870
2023-03-29,162.28,163.36,161.76,162.83,103748080
2023-03-30,158.82,159.93,157.96,159.07,113994109
2023-03-31,157.03,158.39,155.58,156.94,98512471
2023-04-03,159.17,159.96,158.57,159.36,101248977
2023-04-04,159.56,160.72,158.52,159.68,59404365
2023-04-05,159.21,160.52,158.38,159.69,132134961
2023-04-06,156.6,156.78,156.22,156.4,86239251
2023-04-07,155.14,156.25,154.45,155.56,67068240
2023-04-10,157.08,157.74,155.94,156.59,84859942
2023-04-11,159.46,160.87,158.28,159.68,85837506
2023-04-12,161.75,162.96,160.28,161.49,77652205
2023-04-13,160.85,161.69,159.78,160.62,115980729
2023-04-14,161.91,163.36,160.79,162.23,120751951
2023-04-17,163.89,164.77,163.2,164.08,49541834
2023-04-18,163.11,164.36,162.01,163.26,84606206
2023-04-19,163.69,164.59,162.92,163.82,86346074
2023-04-20,163.66,165.18,162.56,164.09,92923798
2023-04-21,164.61,165.75,163.3,164.44,138524761
2023-04-24,164.5,165.7,163.52,164.72,77352564
2023-04-25,166.8,167.35,166.3,166.84,135031371
2023-04-26,171.35,171.97,170.38,171.0,93553406
2023-04-27,171.57,172.6,170.34,171.37,135257513
2023-04-28,171.41,172.7,170.33,171.62,89554051
2023-05-01,170.84,171.67,169.67,170.49,86710767
2023-05-02,170.82,171.48,169.93,170.59,96553208
2023-05-03,169.48,170.55,168.66,169.72,128473017
2023-05-04,168.12,168.96,167.46,168.3,100945982
2023-05-05,168.07,168.74,167.07,167.74,102182492
2023-05-08,170.61,172.04,168.91,170.34,112559018
2023-05-09,169.66,170.78,169.06,170.17,75746858
2023-05-10,167.6,168.87,166.68,167.94,105276079
2023-05-11,167.47,168.27,166.43,167.24,81854019
2023-05-12,166.52,167.26,166.18,166.92,132818720
2023-05-15,170.5,170.84,169.89,170.23,107266054
2023-05-16,172.95,173.7,171.53,172.28,113919155
2023-05-17,170.85,170.95,170.62,170.72,47596684
2023-05-18,170.0,171.7,168.61,170.31,114259147
2023-05-19,171.18,171.82,170.47,171.12,92792821
2023-05-22,173.26,173.88,172.27,172.9,62214746
2023-05-23,175.12,176.34,173.87,175.09,99408433
2023-05-24,174.4,175.13,173.49,174.23,60245266
2023-05-25,174.9,176.2,173.88,175.18,111935883
2023-05-26,173.12,173.95,172.54,173.37,131913375
2023-05-29,174.87,175.67,173.75,174.56,53635450
2023-05-30,169.21,170.54,168.12,169.45,96374919
2023-05-31,167.61,168.95,167.15,168.48,93099909
2023-06-01,171.65,172.71,170.7,171.76,48804544
2023-06-02,168.34,168.39,168.17,168.23,119351508
2023-06-05,167.2,168.38,165.68,166.85,112292295
2023-06-06,168.51,169.08,167.39,167.96,146287432
2023-06-07,168.15,168.88,167.39,168.12,109147549
2023-06-08,169.86,170.59,168.9,169.63,75764423
2023-06-09,170.98,171.42,170.5,170.94,109588602
2023-06-12,173.09,173.51,172.56,172.97,128292319
2023-06-13,170.45,171.46,169.51,170.51,85817710
2023-06-14,172.76,173.73,171.65,172.62,117795679
2023-06-15,173.16,173.89,172.69,173.41,39935708
2023-06-16,174.29,175.27,172.64,173.61,132911008
2023-06-19,172.57,174.38,171.6,173.4,116532712
2023-06-20,172.45,173.09,171.61,172.25,35336430
2023-06-21,172.16,172.49,171.72,172.05,106391983
2023-06-22,172.24,173.0,171.35,172.11,48879012
2023-06-23,174.33,175.66,173.42,174.75,82268237
2023-06-26,172.65,173.99,171.9,173.23,113582733
2023-06-27,175.05,175.63,174.26,174.84,93800618
2023-06-28,174.24,175.19,172.83,173.77,127607883
