Date,Open,High,Low,Close,Volume
2019-01-01,3580.69,3601.19,3565.0,3585.47,224246614
2019-01-02,3624.54,3627.98,3618.73,3622.17,164315387
2019-01-03,3637.2,3664.5,3611.76,3639.04,116217275
2019-01-04,3606.66,3639.64,3575.55,3608.5,225187750
2019-01-07,3547.08,3569.74,3529.4,3552.04,220184549
2019-01-08,3598.35,3601.0,3596.37,3599.02,184690567
2019-01-09,3628.67,3655.85,3597.06,3624.21,201918971
2019-01-10,3607.65,3635.28,3598.19,3625.77,284523820
2019-01-11,3697.46,3709.82,3685.62,3697.99,192707124
2019-01-14,3710.15,3725.77,3693.49,3709.1,255194125
2019-01-15,3731.94,3763.64,3705.05,3736.72,203070256
2019-01-16,3782.45,3806.33,3748.28,3772.1,205726451
2019-01-17,3682.62,3709.16,3651.62,3678.13,217064557
2019-01-18,3598.17,3618.57,3580.84,3601.23,193752774
2019-01-21,3580.26,3602.44,3562.16,3584.32,122473005
2019-01-22,3566.29,3597.82,3544.65,3576.12,211805910
2019-01-23,3569.86,3592.08,3556.68,3578.87,233283622
2019-01-24,3621.76,3635.14,3604.3,3617.66,92200072
2019-01-25,3616.24,3636.07,3599.28,3619.09,72332983
2019-01-28,3632.97,3658.65,3611.74,3637.39,147601770
2019-01-29,3655.64,3673.19,3637.43,3654.98,227355858
2019-01-30,3591.47,3613.36,3576.97,3598.83,165714689
2019-01-31,3594.39,3617.75,3583.96,3607.28,201273753
2019-02-01,3612.75,3656.88,3582.01,3626.02,233247266
2019-02-04,3620.33,3636.34,3606.8,3622.81,115549271
2019-02-05,3576.74,3588.16,3559.37,3570.77,178066025
2019-02-06,3565.08,3583.27,3548.11,3566.3,206943020
2019-02-07,3518.09,3543.74,3492.0,3517.65,146406392
2019-02-08,3487.81,3506.52,3459.47,3478.14,108168721
2019-02-11,3487.68,3504.54,3473.67,3490.52,130210383
2019-02-12,3590.12,3598.88,3572.76,3581.49,143804609
2019-02-13,3567.16,3583.19,3554.54,3570.56,76743322
2019-02-14,3591.5,3624.22,3565.06,3597.72,101132966
2019-02-15,3575.18,3597.66,3556.05,3578.51,297620876
2019-02-18,3559.08,3575.21,3538.33,3554.44,205326542
2019-02-19,3544.83,3568.69,3521.76,3545.62,219270672
2019-02-20,3527.45,3545.54,3516.26,3534.32,255151320
2019-02-21,3584.01,3610.01,3558.5,3584.5,351192003
2019-02-22,3576.49,3576.66,3565.12,3565.3,163323843
2019-02-25,3592.65,3614.63,3560.66,3582.58,133578207
2019-02-26,3516.68,3532.84,3501.27,3517.43,279110346
2019-02-27,3544.1,3560.43,3508.79,3525.03,153778161
2019-02-28,3483.35,3503.3,3467.14,3487.07,166795911
2019-03-01,3477.54,3480.18,3472.83,3475.47,146216832
2019-03-04,3434.21,3466.14,3394.97,3426.84,223913140
2019-03-05,3444.5,3455.17,3436.76,3447.42,120313177
2019-03-06,3462.68,3481.5,3442.41,3461.23,225990833
2019-03-07,3493.5,3509.05,3481.55,3497.09,235595024
2019-03-08,3549.01,3572.9,3522.63,3546.5,146637788
2019-03-11,3535.18,3546.53,3520.97,3532.31,183022178
2019-03-12,3530.13,3563.08,3490.31,3523.2,208705303
2019-03-13,3529.13,3533.62,3521.28,3525.77,185646457
2019-03-14,3563.29,3595.83,3544.25,3576.72,171789704
2019-03-15,3638.49,3665.54,3614.75,3641.78,226289789
2019-03-18,3639.97,3652.73,3618.94,3631.67,316515069
2019-03-19,3585.11,3592.75,3568.86,3576.48,296032698
2019-03-20,3674.32,3682.5,3650.03,3658.17,210136161
2019-03-21,3645.28,3671.91,3628.18,3654.76,137960809
2019-03-22,3617.67,3637.42,3593.76,3613.49,176029751
2019-03-25,3592.43,3619.08,3570.17,3596.79,117965713
2019-03-26,3646.92,3663.2,3629.3,3645.58,200443393
