Date,Open,High,Low,Close,Volume
2019-01-01,2753.28,2766.8,2738.46,2751.97,20689820
2019-01-02,2783.87,2796.79,2774.6,2787.5,16125892
2019-01-03,2778.72,2802.46,2760.58,2784.28,19775595
2019-01-04,2793.88,2806.1,2783.1,2795.31,15788988
2019-01-07,2794.64,2800.03,2790.81,2796.2,15270893
2019-01-08,2844.36,2853.34,2832.55,2841.52,18149691
2019-01-09,2856.43,2875.82,2830.7,2850.05,26038924
2019-01-10,2868.06,2877.59,2861.94,2871.46,16846895
2019-01-11,2862.87,2888.24,2843.94,2869.27,9239137
2019-01-14,2906.41,2940.34,2880.28,2914.13,19002682
2019-01-15,2842.78,2852.58,2818.28,2828.03,13246681
2019-01-16,2781.29,2810.2,2756.7,2785.57,18483669
2019-01-17,2748.56,2769.7,2731.0,2752.12,16058079
2019-01-18,2719.23,2736.89,2702.1,2719.76,21641604
2019-01-21,2757.12,2769.41,2745.76,2758.05,18094671
2019-01-22,2795.39,2825.02,2763.94,2793.56,15993447
2019-01-23,2852.69,2867.99,2831.32,2846.6,14542062
2019-01-24,2871.92,2884.49,2848.84,2861.37,23355623
2019-01-25,2894.87,2913.67,2877.68,2896.46,19739369
2019-01-28,2890.8,2900.0,2883.6,2892.79,20785103
2019-01-29,2825.68,2828.75,2823.86,2826.93,19837211
2019-01-30,2872.35,2875.42,2867.01,2870.07,15480077
2019-01-31,2903.16,2943.38,2873.11,2913.23,22118120
2019-02-01,2899.18,2921.52,2884.51,2906.81,22383814
2019-02-04,2891.05,2900.47,2890.91,2900.33,15746325
2019-02-05,2921.18,2930.02,2901.22,2910.03,25628625
2019-02-06,3008.93,3024.72,2992.81,3008.6,23130842
2019-02-07,3023.26,3043.0,2997.12,3016.82,17289930
2019-02-08,3061.04,3087.16,3037.68,3063.77,20411759
2019-02-11,3052.19,3072.17,3040.54,3060.5,19051279
2019-02-12,3037.02,3041.42,3035.65,3040.05,26673723
2019-02-13,3032.67,3044.7,3017.4,3029.41,12919544
2019-02-14,3111.98,3135.87,3092.45,3116.32,19651165
2019-02-15,3068.88,3079.08,3062.37,3072.57,20311902
2019-02-18,3044.31,3058.74,3029.96,3044.39,13518794
2019-02-19,3113.61,3123.69,3093.24,3103.29,16544866
2019-02-20,3087.02,3122.92,3056.15,3092.0,15150914
2019-02-21,3068.01,3071.62,3062.45,3066.06,17843596
2019-02-22,3136.37,3139.76,3129.84,3133.22,22665439
2019-02-25,3131.44,3138.84,3115.91,3123.3,15631117
2019-02-26,3112.03,3134.45,3091.1,3113.52,19387768
2019-02-27,3127.07,3139.73,3111.64,3124.28,22403700
2019-02-28,3122.65,3131.35,3108.16,3116.85,9404195
2019-03-01,3066.39,3085.34,3053.12,3072.05,26024942
2019-03-04,3015.88,3036.04,2995.9,3016.06,12197192
2019-03-05,3004.59,3020.19,2990.46,3006.05,13744447
2019-03-06,3007.64,3020.16,2989.39,3001.89,15638422
2019-03-07,2928.85,2946.26,2916.57,2933.97,20697651
2019-03-08,2930.6,2936.46,2917.06,2922.91,17060666
2019-03-11,2902.32,2912.56,2887.37,2897.59,29349148
2019-03-12,2881.44,2896.66,2854.25,2869.41,22111043
2019-03-13,2809.39,2827.99,2789.73,2808.33,15729728
2019-03-14,2763.68,2775.76,2753.0,2765.08,27520756
2019-03-15,2780.75,2789.03,2764.26,2772.51,25872710
2019-03-18,2761.26,2776.82,2748.22,2763.78,14353081
2019-03-19,2725.6,2748.74,2701.87,2725.01,14401336
2019-03-20,2744.11,2752.63,2727.98,2736.47,16172159
2019-03-21,2690.14,2702.97,2674.55,2687.37,14719553
2019-03-22,2698.9,2712.51,2689.77,2703.37,22292333
2019-03-25,2697.02,2716.11,2686.41,2705.46,5594081
2019-03-26,2782.27,2791.99,2777.0,2786.71,15073319
2019-03-27,2810.28,2821.44,2795.33,2806.47,15001644
2019-03-28,2791.83,2804.43,2787.56,2800.14,11427853
