Date,Open,High,Low,Close,Volume
2019-01-01,3520.77,3537.34,3499.31,3515.87,103604633
2019-01-02,3518.54,3533.48,3511.01,3525.94,76467953
2019-01-03,3606.38,3614.29,3595.37,3603.27,151001079
2019-01-04,3578.18,3604.65,3554.53,3580.98,48733881
2019-01-07,3542.51,3556.65,3530.46,3544.6,129142828
2019-01-08,3524.78,3525.38,3513.64,3514.24,71841398
2019-01-09,3464.27,3494.56,3431.52,3461.78,60795659
2019-01-10,3394.45,3416.28,3358.67,3380.41,75187997
2019-01-11,3333.4,3348.48,3328.11,3343.17,78548602
2019-01-14,3340.76,3359.18,3328.83,3347.23,143901766
2019-01-15,3348.73,3367.61,3323.87,3342.72,57462852
2019-01-16,3361.04,3367.69,3352.12,3358.76,97387386
2019-01-17,3472.11,3492.22,3442.03,3462.08,72566806
2019-01-18,3440.07,3461.24,3406.71,3427.81,74326374
2019-01-21,3421.98,3451.28,3397.61,3426.88,99783600
2019-01-22,3451.63,3474.16,3424.87,3447.37,73406377
2019-01-23,3342.39,3368.39,3317.35,3343.34,95786176
2019-01-24,3367.91,3380.97,3356.51,3369.56,93075558
2019-01-25,3359.41,3372.93,3338.39,3351.89,126820259
2019-01-28,3394.26,3423.19,3356.17,3385.02,105191165
2019-01-29,3399.98,3436.47,3360.6,3397.06,100674145
2019-01-30,3394.37,3396.22,3391.18,3393.03,124569196
2019-01-31,3445.42,3453.91,3436.37,3444.86,100571028
2019-02-01,3450.68,3475.24,3419.02,3443.52,103247514
2019-02-04,3429.74,3450.62,3397.74,3418.55,165685674
2019-02-05,3424.86,3447.68,3399.63,3422.44,120613105
2019-02-06,3350.43,3370.04,3331.59,3351.2,52831872
2019-02-07,3346.94,3361.53,3339.14,3353.72,49964690
2019-02-08,3364.51,3367.4,3357.23,3360.12,111576442
2019-02-11,3308.81,3333.97,3280.35,3305.49,46288060
2019-02-12,3281.46,3299.03,3259.63,3277.18,84592767
2019-02-13,3252.16,3255.9,3247.91,3251.65,67146462
2019-02-14,3315.9,3338.82,3300.16,3323.05,104348476
2019-02-15,3348.87,3363.88,3336.36,3351.36,87723636
2019-02-18,3340.13,3355.57,3310.46,3325.84,134236468
2019-02-19,3315.46,3323.08,3299.71,3307.31,69307026
2019-02-20,3308.0,3330.64,3281.25,3303.85,74195805
2019-02-21,3329.87,3335.19,3328.41,3333.73,73193783
2019-02-22,3351.51,3373.51,3331.26,3353.25,142503532
2019-02-25,3332.94,3357.8,3304.98,3329.82,118092875
2019-02-26,3315.46,3331.06,3301.95,3317.54,62798053
2019-02-27,3354.44,3374.26,3339.02,3358.83,86198275
2019-02-28,3360.03,3377.98,3340.31,3358.25,80285296
2019-03-01,3359.55,3379.11,3337.46,3357.0,111701887
2019-03-04,3375.63,3388.79,3354.03,3367.15,124217169
2019-03-05,3301.3,3310.65,3291.2,3300.56,36895713
2019-03-06,3319.93,3354.56,3296.85,3331.4,39543488
2019-03-07,3406.76,3438.32,3374.13,3405.68,105065222
2019-03-08,3448.42,3470.61,3429.12,3451.3,138678087
2019-03-11,3446.34,3460.17,3432.67,3446.5,82093626
2019-03-12,3503.7,3513.65,3487.72,3497.65,93630585
2019-03-13,3496.27,3518.86,3470.66,3493.23,55675147
2019-03-14,3414.71,3441.16,3393.86,3420.28,108785041
2019-03-15,3363.9,3377.76,3341.43,3355.25,101879399
2019-03-18,3318.65,3342.24,3303.01,3326.56,105542741
2019-03-19,3257.79,3287.9,3224.51,3254.59,54083867
2019-03-20,3269.71,3280.6,3255.56,3266.45,100881399
2019-03-21,3277.81,3284.49,3276.94,3283.62,127606405
2019-03-22,3340.84,3354.9,3324.36,3338.41,66446647
2019-03-25,3323.73,3349.53,3302.75,3328.52,37190915
2019-03-26,3308.01,3344.14,3286.87,3322.9,136477583
2019-03-27,3280.66,3304.02,3249.54,3272.85,141346895
2019-03-28,3272.39,3292.35,3249.94,3269.89,74464510
2019-03-29,3298.18,3321.04,3265.89,3288.69,104277286
2019-04-01,3251.72,3267.17,3225.23,3240.63,94778984
2019-04-02,3247.95,3255.47,3235.55,3243.07,56605745
2019-04-03,3261.59,3269.56,3246.88,3254.84,99982030
2019-04-04,3283.88,3308.08,3261.91,3286.09,60666400
2019-04-05,3250.63,3272.53,3220.07,3241.91,106786678
2019-04-08,3254.5,3267.51,3239.88,3252.88,67451497
2019-04-09,3324.67,3337.87,3323.38,3336.57,62179346
2019-04-10,3349.76,3373.55,3332.78,3356.53,101218806
2019-04-11,3373.25,3378.91,3364.13,3369.78,104757640
2019-04-12,3418.78,3433.33,3403.91,3418.46,97574891
2019-04-15,3481.96,3513.77,3465.56,3497.3,81581511
2019-04-16,3571.9,3578.7,3566.49,3573.29,77603206
2019-04-17,3561.48,3569.65,3547.8,3555.96,92439500
2019-04-18,3541.93,3580.24,3516.71,3554.93,38012705
2019-04-19,3508.41,3545.8,3484.4,3521.7,51058377
2019-04-22,3500.53,3523.85,3489.79,3513.07,114002368
2019-04-23,3493.5,3537.01,3455.77,3499.23,118543431
2019-04-24,3454.84,3482.3,3432.34,3459.77,103777932
2019-04-25,3456.88,3472.82,3435.92,3451.84,92564293
2019-04-26,3469.81,3492.52,3456.85,3479.52,48484087
2019-04-29,3557.61,3563.26,3553.9,3559.55,115630750
2019-04-30,3559.79,3586.36,3539.07,3565.6,103341743
2019-05-01,3551.3,3562.88,3539.58,3551.17,95155353
2019-05-02,3580.68,3610.25,3552.97,3582.53,116188814
2019-05-03,3544.43,3561.6,3527.66,3544.83,86662290
2019-05-06,3554.58,3558.01,3552.97,3556.4,136308236
2019-05-07,3512.64,3541.98,3486.07,3515.39,100307370
2019-05-08,3519.73,3550.85,3493.64,3524.72,113698340
2019-05-09,3522.69,3543.56,3498.34,3519.19,86088950
2019-05-10,3398.0,3416.77,3382.74,3401.49,111808751
2019-05-13,3410.12,3426.25,3408.84,3424.97,140340520
2019-05-14,3481.57,3496.99,3455.5,3470.88,126613484
2019-05-15,3465.3,3472.62,3456.3,3463.62,105406982
2019-05-16,3405.05,3425.06,3386.54,3406.54,68049596
2019-05-17,3402.64,3422.87,3384.57,3404.78,86772444
2019-05-20,3433.81,3445.73,3419.39,3431.3,92322786
2019-05-21,3446.46,3457.56,3431.21,3442.29,105704320
2019-05-22,3422.13,3450.64,3394.08,3422.58,107131714
2019-05-23,3439.27,3447.57,3424.84,3433.12,61747283
2019-05-24,3435.21,3460.04,3413.31,3438.11,147766876
2019-05-27,3358.53,3381.75,3315.6,3338.69,133419423
2019-05-28,3295.97,3304.8,3275.65,3284.45,81684478
2019-05-29,3251.82,3272.13,3234.9,3255.19,116045782
2019-05-30,3323.22,3368.58,3288.81,3334.07,78961819
2019-05-31,3290.64,3313.36,3267.11,3289.82,77211198
2019-06-03,3259.64,3274.57,3247.29,3262.2,86596766
2019-06-04,3230.12,3232.52,3226.2,3228.59,53971511
2019-06-05,3217.7,3233.14,3197.38,3212.8,75937296
2019-06-06,3166.28,3186.38,3153.87,3173.94,85207572
2019-06-07,3141.7,3183.62,3103.37,3145.25,87006874
2019-06-10,3130.63,3142.66,3123.2,3135.22,110918720
2019-06-11,3117.79,3139.53,3103.3,3125.01,95251587
2019-06-12,3133.98,3157.18,3110.6,3133.8,93360202
2019-06-13,3188.37,3213.0,3159.39,3183.99,62343916
2019-06-14,3189.48,3211.59,3176.63,3198.7,65912928
2019-06-17,3206.65,3221.41,3186.43,3201.17,99239662
2019-06-18,3234.89,3249.59,3218.68,3233.37,95850487
2019-06-19,3170.04,3200.18,3143.05,3173.16,153552870
2019-06-20,3115.94,3144.1,3098.79,3126.89,95106931
2019-06-21,3073.99,3102.77,3052.15,3080.88,140785147
2019-06-24,3089.59,3110.95,3075.01,3096.34,145776188
2019-06-25,3100.68,3126.57,3076.65,3102.53,136359741
2019-06-26,3094.67,3098.98,3086.76,3091.06,70263602
2019-06-27,3109.21,3142.85,3077.94,3111.55,80852522
2019-06-28,3144.67,3153.27,3132.84,3141.43,108843137
2019-07-01,3183.72,3208.96,3160.11,3185.35,93843343
2019-07-02,3202.51,3211.64,3194.76,3203.88,50238969
2019-07-03,3139.74,3150.28,3131.67,3142.2,84755751
2019-07-04,3148.62,3159.16,3142.53,3153.06,85052145
2019-07-05,3102.5,3126.84,3080.39,3104.72,139621525
2019-07-08,3037.31,3044.95,3031.66,3039.29,129897060
2019-07-09,3077.6,3090.59,3072.13,3085.11,99952455
2019-07-10,3038.8,3051.62,3028.97,3041.79,93860897
2019-07-11,3057.48,3069.74,3039.98,3052.22,81956144
2019-07-12,3076.08,3091.24,3057.39,3072.53,116306412
2019-07-15,3119.21,3123.32,3113.14,3117.25,114718531
2019-07-16,3135.68,3168.57,3112.64,3145.46,114422890
2019-07-17,3114.63,3126.0,3104.1,3115.46,74652972
2019-07-18,3095.96,3101.65,3089.78,3095.47,64615557
2019-07-19,3054.09,3063.87,3039.62,3049.39,103240826
2019-07-22,3015.14,3035.42,3000.32,3020.58,56672295
2019-07-23,2985.09,2996.16,2964.01,2975.05,101863177
2019-07-24,2953.01,2971.91,2931.87,2950.76,65003757
2019-07-25,2945.06,2960.06,2934.56,2949.55,121917613
2019-07-26,2946.35,2959.33,2936.23,2949.2,118962158
2019-07-29,2899.83,2908.14,2885.27,2893.57,101147297
2019-07-30,2806.16,2830.15,2784.53,2808.49,59690331
2019-07-31,2773.17,2800.66,2751.61,2779.06,104143028
2019-08-01,2765.94,2787.73,2748.01,2769.78,31943151
2019-08-02,2783.31,2797.14,2762.85,2776.65,89762076
2019-08-05,2794.0,2807.96,2773.22,2787.15,134895916
2019-08-06,2789.63,2805.69,2772.21,2788.26,116821889
2019-08-07,2793.48,2810.18,2780.62,2797.3,87075110
2019-08-08,2839.38,2855.34,2827.87,2843.82,79827488
2019-08-09,2902.6,2907.3,2891.34,2896.04,115982410
2019-08-12,2873.81,2887.79,2853.47,2867.41,80252096
2019-08-13,2977.57,2990.4,2961.25,2974.07,60063535
2019-08-14,2962.23,2973.55,2951.7,2963.02,105192520
2019-08-15,2980.09,2986.57,2978.1,2984.58,125577884
2019-08-16,2975.84,2988.87,2962.13,2975.16,124586434
2019-08-19,2993.53,3010.43,2975.08,2991.97,69769339
2019-08-20,3013.67,3038.85,2992.49,3017.65,96561047
2019-08-21,3009.42,3012.6,3007.87,3011.05,137771646
2019-08-22,2996.25,3012.45,2982.53,2998.71,74486002
2019-08-23,3027.88,3044.17,3008.01,3024.29,58081838
2019-08-26,3012.59,3015.4,3004.09,3006.89,104206773
2019-08-27,3063.01,3074.93,3057.72,3069.64,116916377
2019-08-28,3077.96,3081.07,3074.4,3077.51,134288641
2019-08-29,3053.21,3059.7,3052.47,3058.95,124063449
2019-08-30,3033.94,3038.17,3021.84,3026.06,60479725
2019-09-02,3011.26,3038.48,2993.3,3020.47,88652431
2019-09-03,3086.26,3110.06,3070.39,3094.15,110536187
2019-09-04,3135.83,3146.88,3131.28,3142.32,110787928
2019-09-05,3127.36,3154.79,3107.85,3135.23,70334184
2019-09-06,3111.63,3122.3,3100.04,3110.71,82045150
2019-09-09,3176.42,3185.64,3171.46,3180.67,109500943
2019-09-10,3209.22,3236.85,3185.12,3212.73,130545532
2019-09-11,3196.23,3214.35,3172.97,3191.06,116570117
2019-09-12,3265.57,3282.44,3246.11,3262.97,79781877
2019-09-13,3259.42,3271.65,3240.27,3252.48,128904621
2019-09-16,3262.0,3272.63,3242.47,3253.07,153557150
2019-09-17,3271.46,3291.34,3253.56,3273.42,96666441
2019-09-18,3208.48,3224.99,3191.62,3208.14,88654094
2019-09-19,3193.09,3211.16,3178.02,3196.08,120636278
2019-09-20,3202.83,3235.69,3181.73,3214.52,64029264
2019-09-23,3252.66,3272.41,3235.11,3254.84,92798843
2019-09-24,3243.37,3258.52,3226.75,3241.89,123762475
2019-09-25,3299.91,3316.86,3287.91,3304.84,53669434
2019-09-26,3332.14,3364.8,3293.71,3326.32,74183332
2019-09-27,3349.53,3360.12,3344.13,3354.71,94547774
2019-09-30,3334.96,3351.13,3315.16,3331.31,82981905
2019-10-01,3378.35,3405.41,3358.2,3385.23,164457555
2019-10-02,3391.75,3413.75,3375.79,3397.76,149947811
2019-10-03,3462.54,3498.76,3418.41,3454.54,83316981
2019-10-04,3491.75,3506.73,3472.86,3487.82,63862769
2019-10-07,3463.25,3488.69,3433.92,3459.33,96873054
2019-10-08,3452.51,3460.7,3432.4,3440.57,4039799
2019-10-09,3392.42,3404.02,3384.58,3396.17,140337645
2019-10-10,3412.6,3428.44,3398.31,3414.14,97561928
2019-10-11,3493.09,3508.27,3478.27,3493.45,174230924
2019-10-14,3464.91,3479.42,3458.83,3473.32,102729811
2019-10-15,3483.69,3500.91,3470.28,3487.49,72895205
2019-10-16,3465.44,3475.37,3456.71,3466.65,75391229
2019-10-17,3490.4,3507.75,3472.97,3490.32,134823306
