Date,Open,High,Low,Close,Volume
2019-01-01,3595.41,3625.08,3565.51,3595.18,119158042
2019-01-02,3569.65,3597.03,3537.3,3564.64,228031119
2019-01-03,3538.89,3552.77,3522.48,3536.35,160803491
2019-01-04,3533.19,3551.67,3513.82,3532.29,217422454
2019-01-07,3525.7,3558.74,3505.69,3538.66,210053118
2019-01-08,3530.47,3568.88,3501.22,3539.55,120872174
2019-01-09,3541.86,3549.67,3530.64,3538.44,101113060
2019-01-10,3438.0,3461.56,3418.67,3442.21,73656869
2019-01-11,3445.26,3461.66,3422.38,3438.75,226944730
2019-01-14,3406.75,3431.56,3385.58,3410.37,164478448
2019-01-15,3410.99,3416.87,3405.39,3411.27,165770615
2019-01-16,3450.99,3454.5,3443.0,3446.51,100130932
2019-01-17,3498.66,3512.68,3485.44,3499.45,218976805
2019-01-18,3511.2,3518.35,3503.94,3511.1,134794427
2019-01-21,3491.67,3506.15,3468.45,3482.9,177698062
2019-01-22,3550.31,3569.41,3542.78,3561.85,227628183
2019-01-23,3629.21,3655.39,3602.3,3628.48,113182594
2019-01-24,3661.31,3680.94,3643.89,3663.51,71577415
2019-01-25,3705.3,3727.11,3671.0,3692.74,152246054
2019-01-28,3627.04,3652.73,3599.04,3624.71,144753219
2019-01-29,3551.96,3568.49,3544.64,3561.16,109042959
2019-01-30,3524.08,3531.24,3509.06,3516.21,194220420
2019-01-31,3456.9,3480.93,3443.66,3467.65,76306588
2019-02-01,3513.35,3520.95,3495.12,3502.7,111257651
2019-02-04,3481.75,3509.17,3461.04,3488.42,193873170
2019-02-05,3494.28,3516.12,3471.61,3493.44,174295310
2019-02-06,3496.18,3505.65,3476.54,3485.98,130021917
2019-02-07,3429.8,3460.71,3410.02,3440.88,205014161
2019-02-08,3438.11,3464.45,3423.57,3449.86,200879638
2019-02-11,3439.5,3470.66,3397.4,3428.46,122895041
2019-02-12,3366.0,3403.46,3333.88,3371.28,82572343
2019-02-13,3365.33,3383.6,3344.37,3362.63,216404943
2019-02-14,3400.95,3407.02,3391.34,3397.4,150763657
2019-02-15,3332.07,3350.86,3305.54,3324.28,187813649
2019-02-18,3337.18,3349.76,3320.18,3332.74,134484939
2019-02-19,3323.85,3344.39,3301.73,3322.26,121351315
