Date,Open,High,Low,Close,Volume
2023-01-02,440.44,443.3,437.46,440.32,24266260
2023-01-03,434.78,435.59,434.35,435.16,21791874
2023-01-04,437.23,438.3,435.94,437.02,21460381
2023-01-05,444.07,445.95,439.14,441.01,22111512
2023-01-06,452.91,454.8,451.34,453.22,17343342
2023-01-09,444.24,444.9,442.45,443.11,13423509
2023-01-10,447.37,449.49,445.18,447.29,24698695
2023-01-11,449.52,449.85,448.13,448.46,29892993
2023-01-12,445.95,449.81,443.83,447.68,24888212
2023-01-13,457.33,460.05,452.84,455.55,22995957
2023-01-16,452.75,455.58,449.62,452.44,15089341
2023-01-17,461.76,463.96,459.82,462.01,26363598
2023-01-18,452.11,455.51,447.9,451.29,24224207
2023-01-19,449.96,452.28,447.5,449.83,25731004
2023-01-20,454.23,458.09,451.42,455.27,27210731
2023-01-23,454.94,458.54,453.57,457.16,30195198
2023-01-24,455.23,458.66,450.15,453.57,15596390
2023-01-25,450.99,453.22,448.96,451.19,14654453
2023-01-26,453.74,457.77,450.27,454.3,22422874
2023-01-27,449.29,453.01,446.04,449.77,16635348
2023-01-30,459.64,461.94,456.0,458.3,15699190
2023-01-31,458.19,461.07,455.76,458.64,28217262
2023-02-01,458.89,460.79,456.4,458.3,16167532
2023-02-02,460.81,462.44,459.5,461.12,21562203
2023-02-03,452.99,456.71,450.41,454.13,12803344
2023-02-06,456.28,458.83,452.91,455.46,21962785
2023-02-07,469.86,470.45,468.24,468.83,28015755
2023-02-08,467.51,470.17,465.48,468.14,28179410
2023-02-09,469.51,472.47,466.58,469.55,27270739
2023-02-10,475.24,478.77,471.62,475.15,21198386
2023-02-13,483.88,486.76,480.58,483.45,27630272
2023-02-14,487.5,488.21,484.87,485.59,23946834
2023-02-15,483.94,485.41,482.78,484.25,19249299
2023-02-16,489.97,492.16,488.11,490.3,23685317
2023-02-17,485.09,488.8,481.55,485.26,26409541
2023-02-20,493.54,496.1,491.92,494.48,14445038
2023-02-21,499.81,504.86,496.5,501.54,15889934
2023-02-22,507.73,509.38,505.94,507.6,20845728
2023-02-23,511.21,514.06,507.83,510.67,15017805
2023-02-24,514.77,516.11,513.41,514.76,14940661
2023-02-27,518.8,521.0,516.67,518.87,19348540
2023-02-28,520.18,522.28,519.02,521.12,26984230
2023-03-01,517.99,521.81,513.9,517.72,26882401
2023-03-02,522.83,524.45,521.02,522.65,23357628
2023-03-03,516.43,517.16,515.21,515.94,22596537
2023-03-06,509.79,510.43,508.83,509.46,32905905
2023-03-07,519.17,521.42,516.52,518.76,18706561
2023-03-08,514.5,516.35,511.31,513.15,22925154
2023-03-09,522.35,525.38,518.73,521.75,18438248
2023-03-10,515.3,517.38,512.74,514.81,14662862
2023-03-13,511.99,517.29,508.49,513.78,28026909
2023-03-14,515.07,516.99,512.07,513.98,19972236
2023-03-15,504.25,507.86,500.95,504.56,25377891
2023-03-16,508.6,509.92,507.2,508.52,20291575
2023-03-17,498.81,500.83,498.06,500.08,28360732
2023-03-20,495.25,496.67,491.78,493.19,16231457
2023-03-21,483.07,486.56,481.99,485.48,27913565
2023-03-22,475.52,476.48,473.15,474.1,26455660
2023-03-23,479.86,482.41,476.89,479.45,11921101
2023-03-24,475.26,478.97,473.37,477.08,18828147
2023-03-27,477.54,479.83,473.33,475.61,27140123
2023-03-28,475.19,477.83,472.07,474.7,30472612
2023-03-29,470.16,472.92,469.63,472.39,25489647
2023-03-30,466.35,469.38,463.72,466.75,19478429
2023-03-31,463.84,464.8,462.37,463.34,16387661
2023-04-03,464.47,466.02,461.33,462.88,24685081
2023-04-04,456.29,456.99,455.97,456.67,19319167
2023-04-05,451.37,456.4,448.74,453.77,19548684
2023-04-06,461.0,461.52,459.14,459.66,20410345
2023-04-07,457.35,458.31,455.94,456.9,26388371
2023-04-10,457.73,460.82,456.7,459.79,31386778
2023-04-11,441.86,443.73,439.68,441.55,27172830
2023-04-12,444.78,446.64,442.53,444.39,21673657
2023-04-13,435.62,438.57,432.95,435.9,16761427
2023-04-14,438.71,441.32,436.82,439.43,25230800
2023-04-17,444.42,447.82,441.56,444.96,30624589
2023-04-18,447.79,450.44,445.43,448.08,27046660
2023-04-19,446.82,447.98,445.33,446.5,22744918
2023-04-20,440.4,441.79,438.31,439.71,18978660
2023-04-21,440.7,445.93,437.38,442.6,23487858
2023-04-24,440.81,443.88,437.52,440.59,27863098
2023-04-25,440.36,443.07,437.22,439.93,22877774
2023-04-26,436.24,439.04,433.3,436.09,21062920
2023-04-27,435.55,438.27,433.18,435.9,17907121
2023-04-28,436.06,438.31,432.58,434.82,35619190
2023-05-01,431.15,433.13,428.02,430.0,16806091
2023-05-02,431.38,435.1,427.97,431.69,16306482
2023-05-03,439.3,440.94,437.73,439.37,22509056
2023-05-04,446.09,448.31,443.19,445.41,20530505
2023-05-05,455.55,456.05,453.9,454.39,27153460
2023-05-08,451.27,452.74,450.53,452.0,27336253
2023-05-09,446.67,451.24,443.04,447.6,15058140
2023-05-10,438.24,440.75,435.49,438.0,17537820
2023-05-11,435.6,438.36,433.83,436.58,16889982
2023-05-12,433.97,437.69,431.95,435.66,25862794
2023-05-15,435.08,436.57,434.3,435.79,23937420
2023-05-16,431.08,432.65,429.15,430.72,19613923
2023-05-17,433.52,434.21,431.49,432.18,22791775
2023-05-18,431.6,433.91,429.92,432.22,15534013
2023-05-19,434.29,436.94,431.74,434.39,17608152
2023-05-22,430.6,432.93,428.14,430.47,14594757
2023-05-23,430.03,433.9,426.73,430.59,22408472
2023-05-24,435.46,438.32,433.25,436.1,22387956
2023-05-25,438.79,438.99,438.29,438.49,16301021
2023-05-26,437.44,442.17,433.76,438.49,23898875
2023-05-29,433.94,435.83,432.71,434.6,27336270
2023-05-30,433.11,435.37,431.02,433.28,16051741
2023-05-31,426.52,428.53,424.25,426.25,19858098
2023-06-01,428.66,432.1,426.52,429.96,24398409
2023-06-02,426.19,428.26,424.23,426.31,21587602
2023-06-05,420.57,423.61,418.62,421.66,14205468
2023-06-06,415.14,416.48,414.37,415.71,19239340
2023-06-07,412.71,416.7,408.07,412.06,19059928
