Date,Open,High,Low,Close,Volume
2019-01-01,1423.68,1427.81,1417.9,1422.02,232599920
2019-01-02,1438.89,1444.14,1429.37,1434.6,412274499
2019-01-03,1402.15,1408.49,1397.15,1403.49,332196878
2019-01-04,1407.1,1418.51,1395.96,1407.37,235847820
2019-01-07,1412.91,1424.07,1403.29,1414.45,350992840
2019-01-08,1417.11,1425.02,1410.28,1418.18,241019773
2019-01-09,1405.02,1412.27,1400.92,1408.16,227272646
2019-01-10,1424.69,1446.37,1408.53,1430.15,279166801
2019-01-11,1460.64,1467.64,1451.2,1458.18,187041599
2019-01-14,1472.71,1476.72,1469.51,1473.52,358270323
2019-01-15,1460.37,1469.15,1449.59,1458.36,328951690
2019-01-16,1463.24,1466.49,1455.94,1459.18,189535788
2019-01-17,1401.09,1404.07,1396.72,1399.7,251946817
2019-01-18,1412.24,1418.37,1407.37,1413.49,440884779
2019-01-21,1425.71,1435.6,1406.4,1416.23,206590211
2019-01-22,1416.86,1423.63,1407.26,1414.02,383594166
2019-01-23,1447.19,1456.36,1435.64,1444.8,331966988
2019-01-24,1425.74,1441.99,1411.9,1428.13,233563623
2019-01-25,1440.27,1453.01,1429.78,1442.5,433627459
2019-01-28,1435.94,1442.43,1433.08,1439.56,159161123
2019-01-29,1415.67,1421.71,1406.78,1412.81,248081551
2019-01-30,1444.74,1457.32,1436.82,1449.37,279930192
2019-01-31,1438.88,1443.41,1435.93,1440.46,269786578
2019-02-01,1449.84,1455.43,1446.43,1452.02,380956677
2019-02-04,1464.86,1475.67,1456.88,1467.68,318476291
2019-02-05,1469.7,1480.22,1459.68,1470.19,320370531
2019-02-06,1443.44,1453.63,1438.3,1448.48,176635595
2019-02-07,1464.77,1468.62,1458.31,1462.15,226127647
2019-02-08,1455.05,1457.78,1451.94,1454.66,392788529
2019-02-11,1459.33,1469.23,1450.44,1460.34,218023451
2019-02-12,1475.77,1486.63,1463.18,1474.03,266379560
2019-02-13,1468.01,1484.79,1448.53,1465.28,372299147
2019-02-14,1463.11,1468.34,1459.56,1464.79,217548927
2019-02-15,1499.04,1507.43,1489.33,1497.72,316700314
2019-02-18,1503.48,1511.38,1502.41,1510.3,192946192
2019-02-19,1551.19,1557.77,1543.52,1550.1,344187661
2019-02-20,1581.77,1583.37,1579.88,1581.47,275651114
2019-02-21,1573.19,1581.85,1560.11,1568.74,394235089
2019-02-22,1554.02,1569.52,1539.09,1554.59,273689195
2019-02-25,1572.7,1583.92,1568.31,1579.51,328154676
2019-02-26,1568.74,1582.16,1557.05,1570.45,284022032
2019-02-27,1557.03,1568.89,1548.22,1560.06,277800131
2019-02-28,1556.68,1566.5,1543.3,1553.09,168146390
2019-03-01,1574.77,1582.59,1567.41,1575.22,307858698
2019-03-04,1595.13,1599.65,1592.07,1596.58,246542515
2019-03-05,1585.98,1594.01,1576.22,1584.24,207476172
2019-03-06,1611.08,1623.65,1598.73,1611.31,192002771
2019-03-07,1580.85,1584.7,1572.44,1576.28,490524654
2019-03-08,1572.56,1584.46,1565.92,1577.8,227232226
2019-03-11,1568.73,1580.81,1558.98,1571.04,340350685
2019-03-12,1548.38,1555.63,1541.8,1549.05,244568156
2019-03-13,1566.96,1579.76,1557.82,1570.61,348518929
2019-03-14,1580.14,1589.56,1572.8,1582.21,304323054
2019-03-15,1549.14,1560.14,1537.3,1548.29,316251690
2019-03-18,1516.14,1530.94,1503.38,1518.16,467577996
2019-03-19,1503.65,1520.33,1496.38,1513.01,417917433
2019-03-20,1530.12,1536.8,1519.64,1526.3,152672738
2019-03-21,1530.28,1543.01,1515.5,1528.22,310797713
2019-03-22,1543.3,1548.41,1536.21,1541.32,92763175
2019-03-25,1548.47,1553.1,1545.9,1550.54,431062319
2019-03-26,1550.81,1562.29,1538.95,1550.42,204087267
2019-03-27,1518.31,1521.1,1512.74,1515.52,361700251
2019-03-28,1510.98,1516.85,1503.87,1509.73,237141929
2019-03-29,1560.84,1564.43,1556.48,1560.06,297752066
2019-04-01,1533.57,1545.95,1523.77,1536.13,282150543
2019-04-02,1534.47,1538.52,1528.28,1532.33,342108094
2019-04-03,1514.71,1518.51,1514.44,1518.24,241675766
2019-04-04,1505.25,1524.51,1489.38,1508.6,437227441
2019-04-05,1504.81,1509.18,1498.03,1502.39,182805696
2019-04-08,1500.9,1519.5,1487.89,1506.44,176180279
2019-04-09,1531.31,1550.18,1520.4,1539.21,268673005
2019-04-10,1543.12,1557.6,1533.11,1547.55,214761809
2019-04-11,1558.38,1564.36,1549.15,1555.13,232547725
2019-04-12,1542.65,1549.7,1530.32,1537.35,180606630
2019-04-15,1538.32,1550.35,1528.43,1540.45,219549098
2019-04-16,1523.18,1524.46,1522.51,1523.79,223651155
2019-04-17,1506.79,1517.25,1492.21,1502.64,290948671
2019-04-18,1479.35,1490.24,1471.35,1482.23,358840468
2019-04-19,1470.86,1481.38,1462.07,1472.58,357336168
2019-04-22,1488.13,1508.55,1475.48,1495.83,409531444
2019-04-23,1479.35,1489.07,1466.22,1475.93,306720938
2019-04-24,1483.96,1486.09,1482.7,1484.83,357894733
2019-04-25,1507.47,1517.01,1500.97,1510.5,437329479
2019-04-26,1531.84,1537.29,1524.82,1530.26,317173875
2019-04-29,1528.23,1542.19,1515.21,1529.16,340321125
2019-04-30,1533.36,1538.75,1527.72,1533.1,197606526
2019-05-01,1496.66,1499.15,1494.45,1496.93,207252153
2019-05-02,1504.63,1509.38,1499.81,1504.56,281481976
2019-05-03,1533.98,1553.81,1519.05,1538.83,225771342
2019-05-06,1548.85,1563.65,1538.12,1552.88,389774495
2019-05-07,1578.53,1584.49,1573.58,1579.54,358449573
2019-05-08,1553.85,1560.88,1544.0,1551.02,375242516
2019-05-09,1566.99,1576.26,1556.5,1565.77,212106029
2019-05-10,1557.12,1562.74,1547.89,1553.5,262680943
2019-05-13,1548.32,1560.51,1541.32,1553.48,218148257
2019-05-14,1566.2,1571.31,1559.37,1564.47,232404353
