Date,Open,High,Low,Close,Volume
2019-01-01,2192.74,2204.52,2182.29,2194.07,231757576
2019-01-02,2235.59,2251.2,2222.23,2237.82,179076878
2019-01-03,2252.99,2266.75,2241.9,2255.64,192455358
2019-01-04,2288.28,2299.99,2275.34,2287.05,196132457
2019-01-07,2313.93,2322.58,2299.47,2308.1,102053285
2019-01-08,2285.2,2294.66,2277.36,2286.82,223854839
2019-01-09,2267.38,2301.36,2237.43,2271.35,222722941
2019-01-10,2308.12,2322.8,2293.86,2308.53,225843515
2019-01-11,2305.0,2321.5,2279.09,2295.53,176792199
2019-01-14,2282.92,2292.85,2269.51,2279.42,146955786
2019-01-15,2324.62,2344.61,2301.57,2321.54,277621511
2019-01-16,2295.06,2303.25,2285.67,2293.85,175143489
2019-01-17,2297.0,2315.33,2281.85,2300.15,253899996
2019-01-18,2319.03,2335.26,2309.91,2326.12,100383153
2019-01-21,2322.57,2350.94,2297.73,2326.06,151891010
2019-01-22,2323.33,2330.84,2318.91,2326.41,91579960
2019-01-23,2338.28,2345.79,2333.09,2340.58,129134129
2019-01-24,2316.79,2328.34,2298.33,2309.84,171812132
2019-01-25,2317.06,2333.35,2300.61,2316.9,116507969
2019-01-28,2301.59,2312.59,2289.03,2300.02,171243941
2019-01-29,2302.75,2321.03,2288.36,2306.62,164195261
2019-01-30,2334.77,2339.65,2328.15,2333.03,43566811
2019-01-31,2321.09,2326.68,2311.13,2316.71,240780033
2019-02-01,2322.06,2331.52,2309.78,2319.23,141452618
2019-02-04,2327.21,2343.72,2315.07,2331.55,100137050
2019-02-05,2343.88,2354.76,2330.43,2341.3,88186038
2019-02-06,2284.93,2299.41,2276.19,2290.64,196385335
2019-02-07,2320.72,2328.42,2311.06,2318.76,238884165
2019-02-08,2289.15,2303.0,2276.75,2290.6,215906003
2019-02-11,2282.54,2298.77,2262.75,2278.95,75743092
2019-02-12,2354.65,2363.98,2349.45,2358.78,269281325
2019-02-13,2353.02,2364.41,2341.89,2353.28,211363160
2019-02-14,2328.44,2338.2,2308.17,2317.89,172105167
2019-02-15,2338.9,2348.21,2325.91,2335.2,168209675
2019-02-18,2338.73,2344.37,2330.36,2336.0,113082453
2019-02-19,2423.91,2436.28,2411.16,2423.53,104503550
2019-02-20,2408.0,2435.77,2390.44,2418.13,226955651
2019-02-21,2387.33,2412.87,2365.13,2390.64,287637241
