Date,Open,High,Low,Close,Volume
2023-01-02,376.77,379.62,374.75,377.6,6871443
2023-01-03,387.69,387.9,387.14,387.35,5677193
2023-01-04,384.45,388.4,380.38,384.32,8844627
2023-01-05,382.25,383.97,380.4,382.13,13633063
2023-01-06,385.66,389.2,382.62,386.15,7850768
2023-01-09,381.03,382.97,379.18,381.13,6591334
2023-01-10,378.74,380.15,377.82,379.24,6585199
2023-01-11,383.89,385.76,381.29,383.16,9935152
2023-01-12,386.15,387.13,385.55,386.52,6287678
2023-01-13,387.36,389.2,385.71,387.55,10669847
2023-01-16,390.49,391.4,389.01,389.91,4757873
2023-01-17,384.8,386.86,383.23,385.28,8440493
2023-01-18,390.09,393.45,388.15,391.5,9388820
2023-01-19,390.36,393.18,388.37,391.19,9588332
2023-01-20,394.31,394.93,392.86,393.48,9447049
2023-01-23,392.4,393.66,391.07,392.33,8588872
2023-01-24,394.36,394.58,393.91,394.13,10375816
2023-01-25,392.72,394.98,390.24,392.49,6058141
2023-01-26,392.55,394.47,389.23,391.15,6756428
2023-01-27,388.04,390.49,387.2,389.65,7241824
2023-01-30,390.32,393.27,387.46,390.42,11040070
2023-01-31,394.28,396.42,392.11,394.26,8991884
2023-02-01,397.59,399.31,395.89,397.61,9426222
2023-02-02,402.08,403.51,400.01,401.44,7692702
2023-02-03,402.78,404.08,400.82,402.11,9697772
2023-02-06,400.25,401.59,399.08,400.42,4928581
2023-02-07,389.51,393.51,386.85,390.84,7230014
2023-02-08,396.32,398.33,392.35,394.35,7615613
2023-02-09,395.2,396.15,394.25,395.2,7098317
2023-02-10,392.33,395.12,389.48,392.26,7406462
2023-02-13,383.52,385.17,380.9,382.55,9154275
2023-02-14,382.04,383.36,381.03,382.35,8533172
2023-02-15,387.45,390.73,383.19,386.45,10456533
2023-02-16,393.78,394.94,392.87,394.03,3852931
2023-02-17,405.47,406.63,402.84,403.99,11049597
2023-02-20,401.52,403.33,399.35,401.16,6745184
2023-02-21,399.19,401.78,397.13,399.73,10702761
2023-02-22,400.82,402.02,397.88,399.08,7212633
2023-02-23,397.68,397.71,397.17,397.2,8797245
2023-02-24,405.2,407.55,403.35,405.7,5885311
2023-02-27,404.08,406.2,403.11,405.22,5604811
2023-02-28,415.12,416.69,412.98,414.55,9223278
2023-03-01,409.95,411.13,407.64,408.82,2689685
2023-03-02,410.12,411.07,408.84,409.8,5606743
2023-03-03,406.67,408.28,404.79,406.4,9596859
2023-03-06,401.06,402.36,398.52,399.82,7219010
2023-03-07,396.96,398.08,395.37,396.49,6277128
2023-03-08,392.78,395.82,390.25,393.29,11119156
2023-03-09,391.83,393.29,390.84,392.31,11827001
2023-03-10,385.78,387.32,383.81,385.35,8054118
