Date,Open,High,Low,Close,Volume
2019-01-01,3786.84,3817.13,3769.1,3799.34,141781542
2019-01-02,3817.92,3842.86,3790.52,3815.44,268448614
2019-01-03,3846.91,3890.1,3805.42,3848.59,288074596
2019-01-04,3840.67,3855.01,3829.15,3843.48,235026142
2019-01-07,3854.79,3890.86,3823.0,3859.03,169341777
2019-01-08,3859.37,3880.42,3837.25,3858.3,294351153
2019-01-09,3785.23,3811.09,3760.32,3786.17,111026121
2019-01-10,3852.52,3856.23,3849.11,3852.82,241134042
2019-01-11,3810.55,3850.03,3773.35,3812.81,250831411
2019-01-14,3754.12,3776.08,3726.08,3748.0,242094731
2019-01-15,3747.84,3759.13,3732.54,3743.82,226864325
2019-01-16,3779.14,3786.57,3770.6,3778.02,91739854
2019-01-17,3758.28,3779.95,3741.74,3763.39,222277360
2019-01-18,3738.28,3761.76,3705.55,3728.98,185386838
2019-01-21,3758.99,3775.93,3728.69,3745.57,279558518
2019-01-22,3734.1,3746.3,3709.62,3721.78,296666469
2019-01-23,3677.34,3704.2,3648.91,3675.77,207662046
2019-01-24,3637.74,3671.15,3598.23,3631.58,247579109
2019-01-25,3586.86,3611.4,3566.38,3590.9,219927762
2019-01-28,3565.1,3587.26,3543.38,3565.54,193969286
2019-01-29,3532.83,3553.43,3522.66,3543.23,180162310
2019-01-30,3510.14,3532.81,3487.05,3509.72,274436616
2019-01-31,3466.73,3475.45,3465.64,3474.36,315506685
2019-02-01,3464.61,3505.7,3439.08,3480.06,166133435
2019-02-04,3521.41,3536.84,3497.67,3513.06,127206563
2019-02-05,3458.12,3483.04,3434.82,3459.73,171928658
2019-02-06,3524.93,3552.61,3493.27,3520.92,208694346
2019-02-07,3466.18,3494.27,3446.9,3474.95,275185635
2019-02-08,3403.76,3415.76,3386.27,3398.24,210916271
2019-02-11,3351.11,3387.73,3324.28,3360.83,117959094
2019-02-12,3338.37,3369.17,3301.79,3332.53,204101914
2019-02-13,3332.51,3358.64,3309.83,3335.93,189892425
2019-02-14,3414.93,3439.43,3390.25,3414.75,178863886
2019-02-15,3440.15,3455.36,3422.35,3437.55,275408566
2019-02-18,3378.32,3389.58,3365.16,3376.41,248467624
2019-02-19,3293.33,3325.51,3260.48,3292.66,230500381
2019-02-20,3241.26,3266.28,3220.48,3245.47,118105545
2019-02-21,3230.8,3248.16,3196.85,3214.12,225077473
