Date,Open,High,Low,Close,Volume
2023-01-02,731.44,735.92,727.52,732.0,103181013
2023-01-03,744.84,749.25,740.74,745.15,137781278
2023-01-04,750.56,752.33,748.23,749.99,126765810
2023-01-05,764.08,770.77,758.65,765.33,99805346
2023-01-06,751.51,755.62,748.28,752.4,173279963
2023-01-09,752.28,757.09,747.62,752.42,69014947
2023-01-10,764.78,769.41,759.86,764.48,94955417
2023-01-11,751.12,755.71,747.95,752.52,95579933
2023-01-12,762.02,762.36,760.84,761.17,114727817
2023-01-13,749.0,752.67,743.03,746.69,143404168
2023-01-16,756.91,764.04,752.71,759.82,134918298
2023-01-17,747.98,750.37,745.01,747.4,115304410
2023-01-18,735.52,739.2,731.97,735.65,74683260
2023-01-19,725.34,728.99,722.12,725.77,138452495
2023-01-20,733.3,735.2,730.92,732.82,80044766
2023-01-23,732.0,735.15,726.85,729.99,100537124
2023-01-24,728.8,731.34,725.89,728.43,109653530
2023-01-25,746.13,750.05,740.79,744.7,89202760
2023-01-26,737.18,739.69,734.73,737.24,88658331
2023-01-27,738.32,740.6,735.52,737.79,136542443
2023-01-30,749.96,751.69,749.04,750.77,152396479
2023-01-31,739.77,746.36,733.12,739.72,109697394
2023-02-01,771.0,774.19,768.23,771.42,62056499
2023-02-02,769.06,770.78,767.17,768.9,119602906
2023-02-03,757.61,764.46,753.29,760.13,92313623
2023-02-06,746.77,752.09,743.13,748.44,121839492
2023-02-07,752.71,756.92,746.72,750.93,120020654
2023-02-08,754.51,758.89,748.04,752.41,59190407
2023-02-09,739.4,746.93,734.45,741.96,100856770
2023-02-10,752.2,754.84,750.41,753.05,128986096
2023-02-13,755.87,760.63,752.25,757.01,109160649
2023-02-14,767.13,768.16,765.71,766.74,81130674
2023-02-15,778.78,781.94,775.75,778.91,130102084
2023-02-16,766.93,771.41,761.41,765.89,65229315
2023-02-17,787.5,791.77,785.36,789.63,118303619
2023-02-20,802.65,809.84,794.9,802.08,96702700
2023-02-21,807.02,811.22,803.36,807.56,123892358
2023-02-22,809.96,811.87,809.25,811.16,105390208
2023-02-23,809.14,813.92,803.65,808.43,125348666
2023-02-24,819.28,827.02,811.96,819.69,149795523
2023-02-27,832.7,832.89,832.67,832.86,131161543
2023-02-28,838.97,843.95,831.78,836.74,130654963
2023-03-01,841.96,844.08,839.72,841.84,128051748
2023-03-02,867.25,871.06,860.1,863.89,63796171
2023-03-03,834.34,839.82,832.77,838.24,114014381
2023-03-06,853.22,858.53,847.92,853.24,119300600
2023-03-07,851.07,856.26,847.78,852.97,127212284
2023-03-08,867.87,875.41,861.95,869.48,109402697
2023-03-09,858.47,861.69,856.37,859.59,131757996
2023-03-10,865.22,868.76,860.1,863.63,84974749
2023-03-13,866.75,867.56,866.64,867.45,167445546
2023-03-14,871.39,881.86,862.95,873.39,127362094
2023-03-15,872.23,879.5,863.81,871.08,86049344
2023-03-16,863.53,873.24,855.88,865.57,149637684
2023-03-17,874.02,880.63,864.52,871.11,80582726
2023-03-20,875.42,880.6,872.52,877.69,112028389
2023-03-21,876.11,880.48,872.24,876.61,114987222
2023-03-22,885.37,889.87,877.49,881.97,100311034
2023-03-23,901.57,906.89,896.83,902.15,108353076
2023-03-24,904.61,906.7,901.76,903.84,113531750
2023-03-27,882.41,884.55,880.46,882.6,81774793
2023-03-28,887.28,888.9,885.66,887.28,119402560
2023-03-29,878.87,883.52,875.66,880.31,111848061
2023-03-30,885.49,888.91,881.27,884.69,166079877
2023-03-31,905.58,908.84,899.94,903.19,153226218
2023-04-03,887.48,895.39,883.04,890.94,91278667
2023-04-04,903.72,906.97,902.16,905.4,107823940
2023-04-05,910.49,914.04,907.95,911.5,92383241
2023-04-06,908.34,912.67,905.64,909.96,104638984
2023-04-07,899.65,905.17,892.98,898.49,135779525
2023-04-10,883.48,888.89,879.16,884.56,108897629
2023-04-11,884.53,889.11,879.81,884.38,97821979
2023-04-12,887.98,890.32,883.01,885.34,128680318
2023-04-13,886.47,893.74,882.41,889.66,57651868
2023-04-14,903.17,905.83,899.93,902.6,100968614
2023-04-17,899.44,902.38,896.72,899.66,150043255
2023-04-18,906.32,911.29,901.57,906.54,151373296
2023-04-19,909.16,913.72,906.24,910.8,148237062
2023-04-20,905.28,909.85,901.39,905.97,77361428
2023-04-21,902.67,906.26,899.1,902.69,77152090
2023-04-24,895.08,897.33,893.15,895.4,97969402
2023-04-25,877.85,880.78,873.69,876.62,112114685
2023-04-26,865.53,870.36,862.61,867.43,91282246
2023-04-27,858.45,864.07,855.24,860.86,64806341
2023-04-28,855.26,859.47,854.49,858.7,137689132
2023-05-01,856.9,859.5,854.05,856.66,133032361
2023-05-02,870.92,876.43,864.11,869.61,95258581
2023-05-03,860.86,867.52,856.23,862.89,131657856
2023-05-04,858.63,863.99,855.45,860.8,138126021
2023-05-05,866.08,867.93,860.97,862.82,45267670
2023-05-08,866.24,870.31,859.97,864.03,129743291
2023-05-09,881.4,887.07,873.4,879.05,110063507
2023-05-10,905.64,912.46,898.19,905.01,41542455
2023-05-11,909.22,912.36,904.8,907.94,140213307
2023-05-12,922.89,925.62,920.69,923.42,113983847
2023-05-15,911.49,919.08,906.51,914.09,67165215
2023-05-16,908.15,915.4,903.41,910.65,122870961
2023-05-17,906.41,910.51,902.31,906.41,116821863
2023-05-18,893.22,896.11,888.69,891.57,126876095
2023-05-19,905.05,907.06,903.35,905.35,57722377
2023-05-22,922.47,927.86,915.95,921.34,103368545
2023-05-23,933.76,939.81,927.89,933.93,84360783
2023-05-24,930.03,933.54,925.95,929.46,107211052
2023-05-25,929.66,937.02,920.87,928.23,64314480
2023-05-26,929.53,934.15,922.46,927.07,80550116
2023-05-29,929.26,933.12,924.88,928.73,154779805
2023-05-30,922.47,924.44,916.94,918.9,144218476
2023-05-31,926.48,927.93,925.46,926.91,138912581
2023-06-01,924.91,928.12,919.26,922.47,152857937
2023-06-02,940.49,945.42,934.48,939.4,59526714
2023-06-05,944.75,956.91,936.09,948.22,110182245
2023-06-06,920.2,924.46,913.35,917.6,118580220
2023-06-07,911.36,918.23,906.18,913.04,100939663
2023-06-08,921.38,924.46,918.76,921.84,59770436
2023-06-09,929.96,934.53,923.77,928.33,136454074
2023-06-12,936.5,942.26,932.14,937.9,129027191
2023-06-13,952.39,955.01,949.9,952.52,94422354
2023-06-14,965.13,972.06,956.95,963.86,135391096
2023-06-15,970.07,975.78,965.97,971.67,115238395
2023-06-16,973.48,980.48,966.95,973.94,129473992
2023-06-19,972.81,977.9,968.42,973.5,86214966
2023-06-20,974.75,978.49,969.14,972.88,118432895
2023-06-21,955.35,958.15,949.56,952.36,118728435
2023-06-22,951.49,957.21,947.87,953.59,105295522
2023-06-23,953.62,960.7,946.39,953.47,37052214
2023-06-26,953.0,956.58,950.42,954.0,116563608
2023-06-27,951.84,957.4,946.23,951.78,118465454
2023-06-28,947.7,951.38,940.7,944.36,85342495
2023-06-29,959.26,964.71,953.09,958.53,127754076
2023-06-30,981.25,987.18,976.42,982.35,118600555
2023-07-03,982.0,986.5,980.2,984.7,123206409
2023-07-04,1013.41,1018.3,1006.5,1011.39,101217726
2023-07-05,1016.5,1026.42,1007.53,1017.44,64020013
2023-07-06,1010.34,1017.08,1005.17,1011.91,64638926
2023-07-07,1030.1,1036.64,1022.93,1029.47,130973779
2023-07-10,1027.39,1032.63,1020.98,1026.21,81200177
2023-07-11,1013.12,1020.02,1006.96,1013.86,89467007
2023-07-12,1014.17,1019.21,1011.06,1016.09,135224430
2023-07-13,1005.67,1009.95,998.65,1002.92,52070342
2023-07-14,1017.1,1023.47,1009.35,1015.71,66876031
2023-07-17,995.61,999.4,989.88,993.65,133813401
2023-07-18,1012.92,1020.38,1006.19,1013.65,114119600
2023-07-19,999.29,1003.45,996.8,1000.95,56063909
2023-07-20,999.21,1004.89,994.59,1000.27,99481508
