Date,Open,High,Low,Close,Volume
2019-01-01,2747.57,2760.74,2735.44,2748.6,228852712
2019-01-02,2720.92,2735.42,2715.54,2730.02,215382602
2019-01-03,2743.53,2773.08,2704.83,2734.27,423155907
2019-01-04,2789.11,2792.44,2787.87,2791.2,309512042
2019-01-07,2790.59,2805.59,2773.31,2788.3,333913812
2019-01-08,2750.44,2768.47,2724.82,2742.8,433971719
2019-01-09,2754.56,2761.75,2742.92,2750.09,225356222
2019-01-10,2777.79,2801.17,2746.4,2769.7,330268183
2019-01-11,2821.8,2833.42,2810.8,2822.42,257694938
2019-01-14,2894.89,2916.52,2870.44,2892.04,209248832
2019-01-15,2917.71,2943.37,2903.64,2929.24,219514301
2019-01-16,2933.8,2946.02,2917.05,2929.25,186981395
2019-01-17,2909.88,2920.86,2904.9,2915.87,208678277
2019-01-18,2823.66,2833.28,2811.33,2820.94,243096656
2019-01-21,2842.92,2859.55,2827.36,2843.99,508914496
2019-01-22,2811.15,2844.3,2782.44,2815.55,365168593
2019-01-23,2840.77,2853.8,2829.42,2842.43,262657139
2019-01-24,2854.3,2856.57,2849.29,2851.57,317212980
2019-01-25,2879.59,2894.07,2850.34,2864.74,385316562
2019-01-28,2810.09,2825.42,2790.76,2806.07,283417491
2019-01-29,2814.75,2828.85,2805.3,2819.39,392162753
2019-01-30,2779.92,2788.03,2767.01,2775.1,343259974
2019-01-31,2852.4,2860.34,2838.15,2846.07,244985111
2019-02-01,2793.01,2819.43,2773.19,2799.56,249643636
2019-02-04,2750.31,2774.72,2722.69,2747.07,404263618
2019-02-05,2681.17,2694.78,2673.95,2687.54,407376813
2019-02-06,2721.77,2748.01,2704.39,2730.58,352275375
2019-02-07,2735.56,2740.2,2732.7,2737.34,357704150
2019-02-08,2699.12,2724.04,2676.76,2701.66,80538491
2019-02-11,2676.06,2692.63,2665.32,2681.86,371501819
2019-02-12,2739.79,2746.62,2736.55,2743.38,322238684
2019-02-13,2686.46,2710.84,2658.25,2682.59,374136057
2019-02-14,2667.05,2675.46,2656.71,2665.11,273016033
2019-02-15,2676.38,2689.08,2655.97,2668.63,189348633
2019-02-18,2667.4,2685.04,2652.43,2670.05,235107993
2019-02-19,2644.9,2657.3,2636.41,2648.8,124698719
2019-02-20,2668.55,2686.24,2648.57,2666.24,247093384
2019-02-21,2705.41,2713.62,2701.02,2709.22,293565690
2019-02-22,2702.43,2718.99,2690.48,2707.03,266058030
2019-02-25,2701.25,2722.11,2671.97,2692.77,306227484
2019-02-26,2679.42,2689.97,2668.52,2679.07,342828891
2019-02-27,2652.54,2670.46,2636.59,2654.5,236191445
2019-02-28,2637.27,2652.69,2624.99,2640.4,354989015
2019-03-01,2627.92,2654.6,2604.21,2630.86,331940771
2019-03-04,2643.79,2655.68,2631.75,2643.63,322002314
2019-03-05,2617.71,2629.9,2609.84,2622.02,226580463
2019-03-06,2659.34,2668.45,2649.33,2658.44,297671383
2019-03-07,2653.93,2670.54,2637.44,2654.05,293246769
2019-03-08,2637.11,2641.26,2629.75,2633.89,251236447
2019-03-11,2625.06,2652.07,2602.13,2629.11,204957735
2019-03-12,2597.14,2615.43,2585.53,2603.8,512134604
2019-03-13,2606.97,2621.18,2593.09,2607.3,224428359
2019-03-14,2600.69,2620.98,2589.72,2609.97,375414800
2019-03-15,2594.94,2611.03,2583.53,2599.6,266478402
2019-03-18,2563.94,2573.63,2555.65,2565.34,367504431
2019-03-19,2568.46,2572.14,2558.7,2562.37,234354165
2019-03-20,2609.26,2621.32,2601.83,2613.87,335923220
2019-03-21,2598.88,2616.03,2581.07,2598.21,144344534
2019-03-22,2535.99,2546.05,2522.29,2532.33,224487386
2019-03-25,2582.91,2589.61,2572.19,2578.88,255298791
2019-03-26,2589.54,2592.12,2579.23,2581.8,313821294
2019-03-27,2587.46,2608.17,2558.56,2579.2,292199948
2019-03-28,2604.18,2618.46,2588.94,2603.21,323093339
2019-03-29,2627.22,2654.34,2604.87,2631.96,356397155
2019-04-01,2653.25,2663.08,2640.99,2650.81,303213448
2019-04-02,2659.62,2679.92,2639.27,2659.56,263265695
2019-04-03,2650.17,2664.35,2636.99,2651.16,332834465
2019-04-04,2625.81,2639.14,2607.52,2620.83,279530202
2019-04-05,2622.05,2632.91,2612.76,2623.62,319525133
2019-04-08,2652.09,2669.94,2638.59,2656.41,396652543
2019-04-09,2665.2,2683.36,2641.76,2659.88,231776219
2019-04-10,2651.25,2666.11,2635.95,2650.8,384346946
2019-04-11,2663.46,2678.19,2646.15,2660.87,151496375
2019-04-12,2657.29,2662.63,2655.83,2661.17,272681424
2019-04-15,2688.47,2709.29,2656.35,2677.08,260618676
2019-04-16,2668.87,2684.09,2652.48,2667.69,266465670
2019-04-17,2608.96,2633.04,2587.77,2611.83,395616675
2019-04-18,2610.42,2614.67,2602.71,2606.96,279046452
2019-04-19,2623.97,2640.61,2605.52,2622.15,251784436
2019-04-22,2637.32,2655.38,2612.1,2630.12,272314934
2019-04-23,2671.74,2689.9,2656.57,2674.72,307098478
2019-04-24,2648.21,2650.94,2639.07,2641.8,179905223
2019-04-25,2605.3,2627.88,2586.93,2609.47,194648047
2019-04-26,2566.53,2580.07,2558.98,2572.5,289620064
2019-04-29,2515.6,2536.94,2495.82,2517.14,306655373
2019-04-30,2509.35,2518.03,2494.82,2503.48,273849435
2019-05-01,2534.32,2541.9,2517.43,2524.98,198501063
2019-05-02,2520.85,2533.0,2503.84,2515.97,500883853
2019-05-03,2517.35,2532.04,2497.22,2511.89,480860511
2019-05-06,2543.69,2564.98,2525.59,2546.85,355118217
2019-05-07,2554.76,2559.58,2542.36,2547.17,226055936
2019-05-08,2555.28,2562.25,2546.76,2553.72,176445022
2019-05-09,2583.52,2589.6,2574.07,2580.14,259055429
2019-05-10,2601.1,2620.77,2585.03,2604.68,237137944
2019-05-13,2589.27,2611.89,2571.77,2594.36,356802275
2019-05-14,2590.23,2629.65,2556.44,2595.78,358537657
2019-05-15,2611.96,2620.75,2601.31,2610.09,276607791
2019-05-16,2543.37,2561.29,2530.99,2548.88,326734155
2019-05-17,2595.07,2601.06,2586.82,2592.8,307756180
2019-05-20,2590.51,2609.28,2576.22,2594.97,291906905
2019-05-21,2611.99,2625.99,2594.08,2608.06,261227227
2019-05-22,2605.38,2616.39,2588.1,2599.09,291605544
2019-05-23,2615.17,2623.36,2603.26,2611.45,348567363
2019-05-24,2570.89,2588.2,2555.22,2572.52,346581507
2019-05-27,2583.02,2599.88,2559.34,2576.15,189067193
2019-05-28,2571.4,2597.24,2543.9,2569.72,299730549
2019-05-29,2599.61,2613.88,2584.73,2599.0,244333291
2019-05-30,2576.46,2598.72,2557.18,2579.42,260104308
2019-05-31,2576.84,2606.92,2559.87,2589.87,365043241
2019-06-03,2542.05,2559.94,2522.19,2540.06,551522146
2019-06-04,2585.59,2597.0,2573.81,2585.22,350013462
2019-06-05,2560.19,2569.73,2551.09,2560.63,226722216
2019-06-06,2532.29,2539.33,2526.62,2533.66,248012993
2019-06-07,2530.0,2531.42,2527.64,2529.06,439800227
2019-06-10,2546.84,2564.73,2527.36,2545.24,303859153
2019-06-11,2552.41,2567.35,2530.44,2545.34,282378310
2019-06-12,2538.73,2557.09,2525.72,2544.05,296164329
2019-06-13,2559.64,2569.97,2545.8,2556.12,261575056
2019-06-14,2577.75,2593.39,2552.73,2568.3,285780050
2019-06-17,2570.26,2581.39,2563.8,2574.92,235279292
2019-06-18,2518.33,2538.43,2502.12,2522.2,323950695
2019-06-19,2516.57,2534.11,2493.21,2510.7,315698310
2019-06-20,2476.41,2488.16,2468.05,2479.79,204632120
2019-06-21,2426.46,2438.11,2408.7,2420.31,326971647
2019-06-24,2440.09,2456.83,2429.83,2446.54,356413893
2019-06-25,2490.38,2495.91,2483.53,2489.06,345385763
2019-06-26,2498.47,2519.27,2482.56,2503.33,341757204
2019-06-27,2497.52,2507.11,2486.68,2496.26,355914031
2019-06-28,2521.33,2540.57,2503.27,2522.51,383489991
2019-07-01,2536.28,2536.77,2529.61,2530.11,331737115
2019-07-02,2496.22,2517.75,2475.84,2497.35,283333190
2019-07-03,2484.66,2500.41,2468.88,2484.64,233732813
2019-07-04,2478.32,2493.64,2467.87,2483.17,348862577
2019-07-05,2485.17,2501.33,2465.3,2481.43,285751376
2019-07-08,2477.59,2496.3,2460.58,2479.28,247452322
2019-07-09,2517.61,2526.93,2508.2,2517.52,333942061
2019-07-10,2542.85,2553.98,2537.98,2549.11,299571451
2019-07-11,2538.55,2563.84,2517.77,2543.02,292705823
2019-07-12,2511.38,2512.85,2510.89,2512.36,197569341
2019-07-15,2533.81,2542.34,2524.61,2533.14,258017127
2019-07-16,2545.37,2554.96,2529.81,2539.37,412599799
2019-07-17,2569.57,2571.92,2560.91,2563.26,233752294
2019-07-18,2610.61,2632.17,2593.16,2614.7,186804786
2019-07-19,2575.52,2590.33,2561.93,2576.74,153694917
2019-07-22,2586.95,2598.69,2577.6,2589.34,273344258
2019-07-23,2570.24,2584.47,2557.18,2571.39,160164051
2019-07-24,2604.21,2622.82,2579.49,2598.06,282813495
2019-07-25,2619.66,2631.56,2601.86,2613.74,261535157
2019-07-26,2619.56,2629.42,2612.68,2622.54,405002729
2019-07-29,2566.71,2586.84,2546.12,2566.24,298606354
2019-07-30,2574.49,2589.4,2562.28,2577.18,209276751
2019-07-31,2500.69,2520.72,2486.6,2506.6,274176877
2019-08-01,2488.32,2497.36,2474.02,2483.04,259669507
2019-08-02,2482.61,2493.27,2473.07,2483.72,416860889
2019-08-05,2470.75,2492.24,2446.67,2468.14,330487487
2019-08-06,2458.19,2473.92,2446.71,2462.41,387996824
2019-08-07,2482.7,2502.43,2454.95,2474.62,254099630
2019-08-08,2460.29,2490.97,2438.62,2469.22,186783102
2019-08-09,2494.65,2511.16,2477.86,2494.37,277029602
2019-08-12,2450.03,2470.93,2434.15,2455.02,228925793
2019-08-13,2390.37,2409.02,2376.06,2394.68,208728507
2019-08-14,2373.55,2395.53,2358.21,2380.15,294482952
2019-08-15,2451.56,2465.74,2432.45,2446.6,297770386
2019-08-16,2431.54,2434.62,2419.26,2422.34,267573313
2019-08-19,2388.57,2393.2,2387.42,2392.05,309938860
2019-08-20,2398.28,2419.47,2381.48,2402.63,169534508
2019-08-21,2361.06,2377.35,2352.86,2369.12,186302519
2019-08-22,2393.24,2405.14,2383.91,2395.8,443733444
2019-08-23,2378.46,2395.73,2364.99,2382.24,317680323
2019-08-26,2375.47,2382.64,2365.61,2372.77,275819869
2019-08-27,2351.69,2375.34,2331.68,2355.3,366327798
2019-08-28,2325.17,2336.07,2313.19,2324.08,321228817
2019-08-29,2348.61,2364.07,2334.97,2350.42,289815004
2019-08-30,2319.47,2342.67,2303.25,2326.4,313553752
2019-09-02,2326.31,2343.52,2308.73,2325.93,318250770
2019-09-03,2333.71,2347.69,2323.14,2337.1,300519640
2019-09-04,2339.28,2360.32,2324.27,2345.27,357604144
2019-09-05,2350.79,2364.36,2343.67,2357.22,364676867
2019-09-06,2367.99,2380.77,2354.67,2367.44,341426777
2019-09-09,2367.15,2381.11,2360.29,2374.23,324195608
2019-09-10,2383.43,2392.82,2371.05,2380.44,243014652
2019-09-11,2387.88,2408.07,2368.02,2388.21,234303838
2019-09-12,2374.42,2390.02,2359.81,2375.4,249722759
2019-09-13,2384.38,2386.62,2374.91,2377.14,185367147
2019-09-16,2367.56,2372.65,2362.88,2367.98,321424803
2019-09-17,2393.76,2395.85,2386.37,2388.46,292800518
2019-09-18,2405.46,2422.52,2394.62,2411.66,373051168
2019-09-19,2445.03,2467.52,2420.44,2442.92,317186313
2019-09-20,2488.94,2497.57,2479.86,2488.49,351322887
2019-09-23,2479.81,2491.29,2467.57,2479.05,337140918
2019-09-24,2475.69,2484.72,2459.1,2468.1,436388890
2019-09-25,2470.22,2486.14,2451.83,2467.74,314535590
2019-09-26,2504.38,2514.45,2492.55,2502.62,391427075
2019-09-27,2529.3,2551.62,2505.17,2527.47,315093151
2019-09-30,2464.86,2486.56,2445.42,2467.1,238351364
2019-10-01,2438.26,2452.51,2421.86,2436.09,301953054
2019-10-02,2431.05,2439.62,2422.54,2431.12,317538254
2019-10-03,2431.61,2432.84,2422.36,2423.58,407228671
2019-10-04,2426.34,2447.68,2404.65,2425.98,119921007
2019-10-07,2399.74,2419.09,2388.43,2407.74,174076643
2019-10-08,2374.0,2389.91,2358.26,2374.16,450397144
2019-10-09,2413.77,2427.1,2401.24,2414.56,349254937
2019-10-10,2454.07,2467.88,2445.51,2459.3,223892948
2019-10-11,2470.54,2482.8,2463.28,2475.54,312154539
2019-10-14,2473.01,2480.82,2467.15,2474.96,363480872
2019-10-15,2476.9,2493.34,2463.24,2479.66,215637793
2019-10-16,2474.15,2483.36,2470.11,2479.31,300606569
2019-10-17,2512.73,2523.63,2500.45,2511.35,260302045
2019-10-18,2501.33,2516.18,2487.24,2502.08,300598264
2019-10-21,2471.18,2490.17,2456.45,2475.42,350384581
2019-10-22,2495.43,2515.73,2473.29,2493.58,248581992
2019-10-23,2519.68,2546.45,2503.62,2530.32,297868489
2019-10-24,2533.13,2544.36,2517.42,2528.64,357946625
2019-10-25,2517.49,2535.64,2497.72,2515.86,292061905
2019-10-28,2572.65,2578.84,2564.56,2570.75,342257821
2019-10-29,2646.99,2659.74,2633.75,2646.49,285423169
2019-10-30,2621.92,2649.42,2601.72,2629.16,393240961
2019-10-31,2574.89,2595.09,2558.57,2578.75,287656720
2019-11-01,2520.18,2540.48,2499.53,2519.83,309366675
2019-11-04,2579.47,2597.76,2564.63,2582.9,357757449
2019-11-05,2588.74,2610.83,2567.9,2589.99,397985893
2019-11-06,2588.58,2602.23,2573.22,2586.85,401810459
2019-11-07,2581.04,2586.56,2576.23,2581.74,426735777
2019-11-08,2661.79,2685.45,2631.69,2655.3,273249092
2019-11-11,2626.43,2642.35,2619.75,2635.64,332528237
2019-11-12,2625.63,2647.02,2612.74,2634.09,333773487
2019-11-13,2592.93,2601.95,2585.33,2594.34,361671738
2019-11-14,2653.11,2662.06,2646.25,2655.2,329170349
2019-11-15,2666.39,2684.11,2655.07,2672.77,378947222
2019-11-18,2677.38,2693.89,2659.14,2675.64,327470825
2019-11-19,2721.99,2748.36,2703.62,2729.93,342234784
2019-11-20,2752.89,2775.22,2735.19,2757.5,252536230
2019-11-21,2775.68,2789.59,2765.18,2779.08,446169929
2019-11-22,2765.77,2775.52,2754.82,2764.57,306072549
2019-11-25,2801.42,2809.83,2794.52,2802.93,178615756
2019-11-26,2832.41,2846.48,2813.07,2827.12,171257757
2019-11-27,2876.62,2888.2,2862.09,2873.65,221499982
2019-11-28,2837.05,2853.5,2823.8,2840.23,422759082
2019-11-29,2839.82,2869.87,2813.33,2843.35,515292666
2019-12-02,2845.79,2853.12,2834.23,2841.55,287748361
2019-12-03,2855.85,2869.27,2844.65,2858.06,331693879
2019-12-04,2904.32,2926.3,2886.18,2908.13,366880444
2019-12-05,2879.6,2899.73,2862.93,2883.03,313837014
2019-12-06,2832.6,2839.05,2828.64,2835.08,323734457
2019-12-09,2852.03,2854.68,2844.01,2846.66,319493907
2019-12-10,2879.38,2902.26,2859.44,2882.3,389926323
2019-12-11,2881.55,2902.97,2850.79,2872.14,273692580
2019-12-12,2926.1,2943.71,2904.31,2921.89,412305936
2019-12-13,2873.41,2902.56,2842.26,2871.39,304453371
2019-12-16,2939.25,2968.2,2914.94,2943.86,261431438
2019-12-17,2957.27,2983.05,2933.02,2958.79,307854971
2019-12-18,2936.82,2966.22,2907.41,2936.82,495583814
2019-12-19,2973.72,3005.95,2949.05,2981.21,274401270
2019-12-20,3004.47,3007.17,2991.03,2993.73,268329966
2019-12-23,2959.57,2970.69,2944.77,2955.88,375515948
2019-12-24,3040.75,3057.62,3029.36,3046.21,177001728
2019-12-25,3015.7,3027.53,3005.93,3017.75,399964004
2019-12-26,2974.77,2989.12,2966.65,2980.98,387123640
2019-12-27,2934.33,2949.49,2922.14,2937.29,323532741
2019-12-30,2950.57,2976.56,2932.78,2958.72,246291173
2019-12-31,2947.05,2962.77,2931.34,2947.06,384398582
2020-01-01,2998.62,3017.22,2981.74,3000.32,265374149
2020-01-02,3009.37,3029.89,2995.4,3015.88,405263769
2020-01-03,3039.35,3052.63,3018.31,3031.56,266124664
2020-01-06,3046.86,3063.96,3031.92,3049.01,297041114
2020-01-07,3041.64,3072.81,2999.45,3030.51,275913470
2020-01-08,3065.02,3085.2,3046.56,3066.72,435591205
2020-01-09,3065.66,3081.12,3059.09,3074.54,125043617
2020-01-10,3083.34,3099.33,3059.23,3075.18,196319975
2020-01-13,3033.76,3050.98,3008.81,3025.98,276411219
2020-01-14,3007.83,3027.2,2991.39,3010.74,189593364
2020-01-15,3047.34,3061.35,3032.9,3046.91,290226065
2020-01-16,3068.21,3081.17,3057.32,3070.27,341340218
2020-01-17,3008.3,3019.03,2998.76,3009.49,171085739
2020-01-20,2974.54,2985.45,2963.77,2974.68,258714803
2020-01-21,2966.5,2993.33,2950.61,2977.39,398898934
2020-01-22,2938.72,2949.48,2923.52,2934.26,312564747
2020-01-23,2956.51,2969.33,2938.49,2951.28,359748233
