Date,Open,High,Low,Close,Volume
2019-01-01,2949.5,2961.27,2941.23,2952.98,123153181
2019-01-02,2911.24,2925.59,2899.34,2913.67,101929999
2019-01-03,2919.94,2939.38,2912.44,2931.84,66409908
2019-01-04,2899.17,2915.92,2886.82,2903.55,166217762
2019-01-07,2849.7,2856.2,2839.12,2845.61,160159674
2019-01-08,2802.5,2821.14,2786.41,2805.04,227043781
2019-01-09,2744.43,2753.76,2730.53,2739.84,161528405
2019-01-10,2785.61,2792.6,2776.79,2783.78,133213885
2019-01-11,2782.9,2806.6,2752.42,2776.06,130943195
2019-01-14,2781.07,2794.05,2761.91,2774.86,216175577
2019-01-15,2792.76,2803.6,2783.23,2794.07,212303235
2019-01-16,2771.2,2780.4,2760.68,2769.88,169950416
2019-01-17,2712.73,2715.85,2710.21,2713.32,137045853
2019-01-18,2713.03,2723.65,2700.91,2711.53,113110091
2019-01-21,2720.24,2724.11,2718.36,2722.23,279832110
2019-01-22,2725.99,2741.92,2704.43,2720.33,210244912
2019-01-23,2670.86,2690.7,2651.28,2671.12,159737822
2019-01-24,2642.32,2653.12,2628.21,2639.0,235277936
2019-01-25,2615.47,2636.25,2598.56,2619.32,219895690
2019-01-28,2584.04,2597.86,2569.18,2582.99,125778187
2019-01-29,2544.86,2560.91,2535.01,2551.05,129509147
2019-01-30,2586.4,2606.69,2568.64,2588.91,110439322
2019-01-31,2581.02,2598.2,2563.84,2581.03,135174057
2019-02-01,2590.0,2597.03,2574.61,2581.62,143333123
2019-02-04,2559.96,2569.68,2542.8,2552.49,114792053
2019-02-05,2582.48,2596.34,2566.23,2580.07,162144596
2019-02-06,2555.62,2571.48,2543.95,2559.78,131625794
2019-02-07,2469.92,2490.4,2444.49,2464.93,230760674
2019-02-08,2459.71,2473.6,2443.91,2457.79,207602436
2019-02-11,2479.63,2486.81,2466.22,2473.38,174505434
2019-02-12,2482.63,2497.23,2465.52,2480.11,200394535
2019-02-13,2482.99,2492.77,2467.76,2477.52,134332498
2019-02-14,2496.88,2501.46,2484.2,2488.77,184471558
2019-02-15,2482.25,2498.76,2469.03,2485.51,221607464
2019-02-18,2492.13,2513.38,2473.2,2494.43,79688265
2019-02-19,2498.03,2520.06,2484.89,2506.88,117837753
2019-02-20,2522.18,2537.61,2504.34,2519.75,162946356
2019-02-21,2509.4,2516.33,2497.52,2504.43,189917584
2019-02-22,2539.95,2549.43,2521.63,2531.07,208049373
2019-02-25,2551.61,2563.53,2540.79,2552.71,188838018
2019-02-26,2519.18,2532.01,2507.57,2520.39,112358148
2019-02-27,2544.12,2569.89,2519.69,2545.45,158452795
2019-02-28,2511.57,2515.7,2499.22,2503.34,183000587
2019-03-01,2479.63,2487.48,2466.93,2474.77,159327276
2019-03-04,2454.53,2467.9,2440.9,2454.27,145139914
2019-03-05,2411.18,2432.99,2381.98,2403.72,157219975
2019-03-06,2414.77,2434.47,2400.1,2419.76,185051076
2019-03-07,2452.05,2464.29,2434.94,2447.16,176251413
2019-03-08,2409.37,2424.04,2396.46,2411.12,174025045
2019-03-11,2364.95,2368.77,2357.78,2361.59,240773543
2019-03-12,2358.28,2363.19,2356.75,2361.66,132719664
2019-03-13,2390.16,2399.07,2377.85,2386.74,242119738
2019-03-14,2416.9,2433.26,2402.82,2419.17,191780466
2019-03-15,2443.71,2465.29,2425.7,2447.26,191049308
2019-03-18,2391.86,2409.27,2378.41,2395.8,179097640
2019-03-19,2413.69,2439.01,2391.82,2417.11,167849951
2019-03-20,2443.97,2467.91,2429.86,2453.74,62441611
2019-03-21,2488.86,2491.33,2486.26,2488.73,121570912
2019-03-22,2425.69,2432.26,2411.56,2418.11,177273723
2019-03-25,2406.42,2407.0,2406.08,2406.67,163402624
2019-03-26,2433.78,2444.35,2416.76,2427.3,114932699
2019-03-27,2410.49,2425.76,2400.37,2415.62,110849456
2019-03-28,2439.88,2449.38,2431.34,2440.84,160483601
2019-03-29,2464.78,2482.06,2447.94,2465.22,259971488
2019-04-01,2415.38,2432.2,2402.64,2419.44,119817839
2019-04-02,2418.32,2430.42,2405.88,2417.97,139346311
2019-04-03,2464.46,2471.64,2449.96,2457.12,137199975
2019-04-04,2481.41,2494.4,2470.96,2483.94,128231988
2019-04-05,2452.77,2456.89,2447.07,2451.19,260191120
2019-04-08,2498.79,2511.53,2492.75,2505.47,199315131
2019-04-09,2429.2,2450.22,2403.34,2424.33,281773440
2019-04-10,2415.19,2426.59,2411.42,2422.81,221200515
2019-04-11,2388.19,2402.05,2373.05,2386.9,187277490
2019-04-12,2398.33,2413.31,2381.52,2396.49,205357155
2019-04-15,2343.64,2367.14,2324.86,2348.32,178439168
2019-04-16,2344.29,2362.23,2333.6,2351.52,248011676
2019-04-17,2363.33,2375.97,2359.17,2371.8,201850291
2019-04-18,2386.3,2397.41,2374.56,2385.66,130062453
2019-04-19,2382.55,2395.91,2359.85,2373.15,146595325
2019-04-22,2394.36,2418.14,2377.32,2401.05,214868108
2019-04-23,2418.74,2430.33,2401.38,2412.93,162863955
2019-04-24,2424.3,2449.77,2400.95,2426.39,183002757
2019-04-25,2413.71,2426.98,2394.47,2407.71,174752419
2019-04-26,2430.26,2447.93,2416.42,2434.06,130942424
2019-04-29,2432.01,2456.04,2408.98,2433.0,207316812
2019-04-30,2419.81,2433.11,2407.95,2421.24,167634929
2019-05-01,2418.04,2435.32,2394.73,2411.96,76239115
2019-05-02,2424.77,2434.82,2412.12,2422.16,71727971
2019-05-03,2390.73,2397.13,2384.57,2390.96,234111144
2019-05-06,2394.96,2402.59,2385.76,2393.39,148005427
2019-05-07,2441.42,2462.12,2410.96,2431.58,301839768
2019-05-08,2434.65,2451.99,2424.56,2441.88,208898826
2019-05-09,2444.23,2448.56,2435.78,2440.11,135323640
2019-05-10,2411.83,2429.51,2394.54,2412.22,197896510
2019-05-13,2417.59,2426.99,2402.92,2412.3,93098742
2019-05-14,2460.53,2474.73,2434.21,2448.34,202703326
2019-05-15,2454.64,2469.53,2435.57,2450.43,177277664
2019-05-16,2426.9,2438.53,2417.29,2428.92,154400783
2019-05-17,2401.11,2418.88,2375.41,2393.12,101363120
2019-05-20,2375.08,2380.6,2370.08,2375.6,212304608
2019-05-21,2318.75,2341.37,2306.65,2329.21,170785461
2019-05-22,2319.27,2334.77,2304.98,2320.46,145126881
2019-05-23,2363.24,2379.18,2346.57,2362.5,19806638
2019-05-24,2336.11,2350.44,2312.02,2326.29,153873186
2019-05-27,2341.96,2356.02,2326.49,2340.55,222374617
2019-05-28,2339.87,2357.34,2323.13,2340.59,246485232
2019-05-29,2305.71,2314.08,2296.67,2305.04,73861063
2019-05-30,2278.49,2300.27,2256.19,2277.96,187768900
2019-05-31,2246.98,2258.06,2235.6,2246.68,83297876
2019-06-03,2260.38,2278.47,2245.76,2263.83,185600063
2019-06-04,2250.01,2257.62,2239.37,2246.97,165944933
2019-06-05,2258.17,2276.29,2244.32,2262.41,98831950
2019-06-06,2248.3,2268.74,2230.35,2250.76,239309414
2019-06-07,2267.51,2272.94,2265.96,2271.39,144786958
2019-06-10,2287.33,2296.82,2282.35,2291.83,160506624
2019-06-11,2247.58,2264.66,2225.6,2242.64,119718636
2019-06-12,2196.92,2218.86,2178.55,2200.47,186021572
2019-06-13,2196.93,2202.51,2187.17,2192.74,60644083
2019-06-14,2160.18,2165.71,2156.44,2161.96,95117922
2019-06-17,2171.68,2172.17,2168.25,2168.74,156418908
2019-06-18,2184.57,2195.97,2164.84,2176.2,146800826
2019-06-19,2191.18,2202.55,2175.81,2187.16,136697943
2019-06-20,2172.69,2182.6,2163.67,2173.58,249976346
2019-06-21,2170.05,2170.7,2169.31,2169.97,185618892
2019-06-24,2182.03,2182.65,2174.44,2175.06,211728561
2019-06-25,2183.55,2198.16,2167.86,2182.47,102894950
2019-06-26,2164.46,2179.02,2147.93,2162.48,110668848
2019-06-27,2199.22,2208.48,2195.42,2204.67,193626727
2019-06-28,2201.65,2230.19,2179.57,2208.05,103273260
2019-07-01,2212.84,2218.81,2208.59,2214.55,147219801
2019-07-02,2184.16,2195.38,2169.27,2180.46,192123830
2019-07-03,2188.7,2209.47,2170.53,2191.28,141729749
2019-07-04,2153.27,2164.37,2147.26,2158.34,187737880
2019-07-05,2191.84,2198.68,2180.32,2187.15,184520628
2019-07-08,2224.0,2231.59,2217.13,2224.73,235669594
2019-07-09,2209.35,2223.86,2195.52,2210.03,167611694
2019-07-10,2204.09,2229.59,2181.54,2207.02,236407184
2019-07-11,2253.09,2272.0,2227.61,2246.47,106760970
2019-07-12,2235.86,2242.06,2229.98,2236.18,163260689
2019-07-15,2247.53,2256.82,2238.89,2248.18,123081619
2019-07-16,2252.89,2264.97,2235.19,2247.24,204271368
2019-07-17,2210.05,2212.79,2205.14,2207.88,180015348
2019-07-18,2259.4,2272.93,2250.1,2263.6,84304277
2019-07-19,2219.82,2236.67,2200.49,2217.32,110570681
2019-07-22,2211.55,2215.36,2209.21,2213.01,163110923
2019-07-23,2244.98,2262.52,2229.96,2247.48,187335850
2019-07-24,2211.21,2213.51,2208.9,2211.2,117171618
2019-07-25,2235.15,2249.21,2219.32,2233.37,220528218
2019-07-26,2248.75,2262.84,2234.73,2248.82,158324311
2019-07-29,2255.22,2270.9,2246.23,2261.88,140251693
2019-07-30,2222.14,2233.82,2214.76,2226.43,117289131
2019-07-31,2230.86,2252.47,2203.26,2224.81,225060459
2019-08-01,2251.36,2255.1,2247.71,2251.45,121003543
2019-08-02,2261.27,2272.63,2245.32,2256.66,190569639
2019-08-05,2269.23,2284.21,2252.45,2267.42,196862235
2019-08-06,2282.67,2299.11,2271.22,2287.63,74069289
2019-08-07,2270.32,2273.69,2263.73,2267.09,206439292
2019-08-08,2252.96,2267.09,2235.19,2249.31,223361563
2019-08-09,2247.0,2266.42,2229.26,2248.66,180496068
2019-08-12,2253.05,2264.72,2239.19,2250.85,183366125
2019-08-13,2257.0,2264.92,2243.07,2250.97,191828151
2019-08-14,2282.8,2291.78,2275.66,2284.62,220002777
2019-08-15,2294.73,2299.58,2292.76,2297.61,164533296
2019-08-16,2308.81,2313.18,2299.09,2303.46,184207851
2019-08-19,2300.54,2316.64,2285.29,2301.38,205118177
2019-08-20,2301.11,2306.98,2298.99,2304.85,142866820
2019-08-21,2306.16,2324.84,2292.57,2311.22,235411971
2019-08-22,2290.52,2297.81,2276.82,2284.09,159772507
2019-08-23,2296.36,2311.71,2286.87,2302.2,183875391
2019-08-26,2303.9,2327.69,2272.66,2296.37,165959151
2019-08-27,2323.18,2325.88,2317.66,2320.35,209935052
2019-08-28,2345.78,2366.45,2324.02,2344.67,163067226
2019-08-29,2363.69,2373.93,2355.56,2365.79,219824962
2019-08-30,2367.94,2368.14,2366.87,2367.08,145146111
2019-09-02,2334.92,2364.85,2304.77,2334.69,174883413
2019-09-03,2333.66,2344.5,2317.24,2328.06,135733571
2019-09-04,2305.49,2314.19,2296.95,2305.64,264026845
2019-09-05,2281.37,2300.95,2266.15,2285.69,168224930
2019-09-06,2287.02,2292.02,2280.69,2285.69,142011385
2019-09-09,2276.48,2283.98,2265.65,2273.14,175383142
2019-09-10,2285.93,2306.79,2264.07,2284.92,147881876
2019-09-11,2284.7,2301.49,2268.54,2285.33,92606563
2019-09-12,2273.66,2284.12,2265.02,2275.47,209735323
2019-09-13,2289.62,2306.2,2264.26,2280.77,211721744
2019-09-16,2265.66,2274.7,2257.81,2266.85,170263088
2019-09-17,2229.44,2244.57,2226.22,2241.33,139749463
2019-09-18,2223.8,2236.15,2217.36,2229.69,67271330
2019-09-19,2244.53,2257.95,2227.47,2240.87,168118369
2019-09-20,2179.42,2191.1,2170.78,2182.44,222048064
2019-09-23,2145.87,2162.65,2129.43,2146.21,115932518
2019-09-24,2115.59,2135.98,2101.83,2122.18,202190245
2019-09-25,2106.37,2126.09,2089.42,2109.12,217095450
2019-09-26,2132.95,2143.97,2119.73,2130.73,200420226
2019-09-27,2136.46,2149.26,2124.51,2137.3,183992926
2019-09-30,2165.18,2166.67,2155.92,2157.41,244550487
2019-10-01,2167.26,2177.72,2154.78,2165.22,138967819
2019-10-02,2149.15,2165.18,2132.77,2148.8,124558874
2019-10-03,2148.0,2159.05,2139.76,2150.8,164646189
2019-10-04,2122.68,2124.83,2119.27,2121.41,157731916
2019-10-07,2145.4,2153.17,2138.78,2146.54,108014405
2019-10-08,2167.67,2183.63,2155.49,2171.42,53064816
2019-10-09,2145.57,2160.58,2129.81,2144.82,110054534
2019-10-10,2192.19,2199.0,2180.65,2187.44,186906977
2019-10-11,2203.39,2217.01,2191.81,2205.42,186330408
2019-10-14,2169.16,2186.04,2152.48,2169.36,198212643
2019-10-15,2201.93,2223.22,2182.03,2203.31,298069365
2019-10-16,2150.63,2171.96,2141.02,2162.3,103528722
2019-10-17,2169.42,2193.92,2157.32,2181.74,235147152
2019-10-18,2231.84,2242.36,2216.36,2226.85,187854090
2019-10-21,2237.99,2250.68,2221.62,2234.29,236992152
2019-10-22,2286.4,2300.75,2274.3,2288.64,162617041
2019-10-23,2301.88,2310.94,2291.8,2300.85,195807429
2019-10-24,2299.74,2311.65,2287.61,2299.52,245644279
2019-10-25,2273.21,2283.53,2262.97,2273.29,206703698
2019-10-28,2321.06,2329.31,2308.36,2316.58,138116299
2019-10-29,2339.82,2352.68,2319.57,2332.38,129486872
2019-10-30,2370.63,2384.97,2358.39,2372.72,162802403
2019-10-31,2389.15,2414.9,2372.84,2398.52,215071856
2019-11-01,2410.45,2423.26,2398.23,2411.04,112193244
2019-11-04,2337.12,2345.67,2335.29,2343.83,198189711
2019-11-05,2404.92,2417.63,2385.38,2398.06,181277352
2019-11-06,2387.9,2406.36,2368.57,2387.02,259556134
2019-11-07,2399.74,2410.96,2392.52,2403.73,185499784
2019-11-08,2358.6,2370.17,2350.62,2362.18,164689190
2019-11-11,2380.75,2397.55,2361.91,2378.68,86848499
2019-11-12,2421.43,2440.2,2407.67,2426.41,176351221
2019-11-13,2379.15,2392.72,2360.98,2374.52,120082165
2019-11-14,2360.5,2370.09,2343.72,2353.28,205028861
2019-11-15,2361.96,2387.1,2340.84,2365.95,256531027
2019-11-18,2352.64,2364.53,2345.71,2357.59,265535611
