Date,Open,High,Low,Close,Volume
2019-01-01,2540.5,2558.63,2524.06,2542.18,378538918
2019-01-02,2566.54,2573.51,2562.19,2569.15,368336070
2019-01-03,2577.1,2597.41,2563.56,2583.84,265192085
2019-01-04,2598.27,2614.48,2574.72,2590.89,347319650
2019-01-07,2572.1,2576.99,2560.35,2565.22,336528088
2019-01-08,2612.27,2627.0,2599.82,2614.53,127508854
2019-01-09,2571.5,2581.48,2559.31,2569.28,407205668
2019-01-10,2575.25,2595.41,2562.9,2583.02,476938594
2019-01-11,2593.57,2613.23,2573.46,2593.12,110393854
2019-01-14,2549.65,2567.56,2527.53,2545.42,396481545
2019-01-15,2574.98,2584.15,2573.04,2582.2,411803471
2019-01-16,2549.91,2568.49,2529.59,2548.16,237631061
2019-01-17,2560.0,2577.92,2544.09,2562.0,229665625
2019-01-18,2610.78,2629.22,2597.6,2616.01,316238031
2019-01-21,2668.16,2672.93,2663.28,2668.04,392768384
2019-01-22,2703.43,2722.2,2678.68,2697.41,309812951
2019-01-23,2693.03,2703.56,2686.69,2697.22,201199394
2019-01-24,2687.44,2705.74,2671.05,2689.33,334204465
2019-01-25,2719.03,2737.81,2700.09,2718.86,375010669
2019-01-28,2724.39,2738.47,2706.7,2720.77,329056341
2019-01-29,2684.97,2697.96,2668.31,2681.28,280132323
2019-01-30,2648.95,2654.79,2647.61,2653.44,382293306
2019-01-31,2650.44,2674.26,2632.21,2655.99,529263064
2019-02-01,2598.51,2626.62,2573.04,2601.13,373199653
2019-02-04,2617.37,2634.62,2608.57,2625.8,400954480
2019-02-05,2617.78,2648.28,2595.07,2625.5,362316825
2019-02-06,2593.84,2610.44,2579.33,2595.92,290085886
2019-02-07,2617.82,2639.61,2600.79,2622.55,393861657
2019-02-08,2636.95,2653.59,2628.81,2645.43,399380247
2019-02-11,2657.85,2677.66,2646.31,2666.08,352461832
2019-02-12,2659.72,2679.88,2653.1,2673.22,248545307
2019-02-13,2669.65,2679.7,2662.93,2672.96,175183283
2019-02-14,2667.74,2702.59,2638.17,2672.97,382023767
2019-02-15,2622.74,2632.8,2610.38,2620.44,325270831
2019-02-18,2639.79,2668.49,2616.96,2645.61,413941365
2019-02-19,2623.25,2632.36,2611.5,2620.6,391404124
2019-02-20,2634.79,2658.35,2614.77,2638.31,450507462
2019-02-21,2689.7,2713.46,2669.53,2693.27,307458866
2019-02-22,2699.51,2720.22,2677.69,2698.38,287872103
2019-02-25,2754.29,2763.38,2740.2,2749.27,243710357
2019-02-26,2689.04,2689.11,2688.42,2688.5,398885138
2019-02-27,2699.21,2713.05,2688.6,2702.42,423235638
2019-02-28,2679.26,2698.78,2670.2,2689.68,342823935
2019-03-01,2665.91,2674.91,2651.11,2660.09,411534967
2019-03-04,2630.12,2643.25,2621.35,2634.47,165094465
2019-03-05,2656.35,2681.06,2639.21,2663.87,308883408
2019-03-06,2684.13,2691.64,2674.5,2682.01,583051860
2019-03-07,2724.13,2732.25,2715.2,2723.32,484830669
2019-03-08,2737.04,2752.51,2728.47,2743.92,249616862
2019-03-11,2807.48,2817.46,2800.27,2810.24,252337768
2019-03-12,2810.57,2823.38,2800.26,2813.06,380093107
2019-03-13,2857.85,2887.86,2832.49,2862.45,361947647
2019-03-14,2865.15,2887.3,2843.54,2865.68,443734729
2019-03-15,2848.15,2876.46,2826.76,2855.01,371665849
2019-03-18,2754.07,2782.92,2740.16,2768.93,362420786
2019-03-19,2881.64,2894.67,2863.17,2876.17,148473148
2019-03-20,2880.99,2898.71,2862.98,2880.7,374261347
2019-03-21,2892.51,2919.74,2872.0,2899.19,352644490
2019-03-22,2902.28,2923.59,2880.59,2901.9,390491326
2019-03-25,2958.75,2977.14,2944.15,2962.52,257537066
2019-03-26,3002.55,3022.02,2978.81,2998.26,379306507
2019-03-27,2941.9,2952.09,2931.99,2942.18,252198885
2019-03-28,2955.66,2970.2,2942.74,2957.27,388049151
2019-03-29,2954.44,2962.12,2945.02,2952.7,401979246
2019-04-01,2986.82,2993.64,2977.14,2983.95,290167455
2019-04-02,2953.73,2998.02,2918.35,2962.53,419749208
2019-04-03,2916.65,2923.52,2900.97,2907.81,278162325
2019-04-04,2870.28,2884.48,2851.85,2866.03,410989159
2019-04-05,2902.34,2932.58,2867.34,2897.53,446233291
2019-04-08,2866.03,2875.38,2849.24,2858.57,354754706
2019-04-09,2823.22,2834.34,2806.2,2817.3,368154954
2019-04-10,2767.09,2786.6,2751.24,2770.73,229568369
2019-04-11,2722.29,2735.31,2715.11,2728.11,361962021
2019-04-12,2681.34,2706.53,2667.83,2692.96,438954353
2019-04-15,2705.76,2741.22,2684.36,2719.71,349283874
2019-04-16,2697.62,2714.37,2680.69,2697.44,288077436
2019-04-17,2689.47,2699.91,2675.36,2685.78,293683218
2019-04-18,2670.1,2683.45,2653.78,2667.11,267712296
2019-04-19,2627.71,2651.09,2606.87,2630.23,264043991
2019-04-22,2638.83,2666.2,2608.3,2635.64,432655916
2019-04-23,2634.82,2665.38,2601.43,2631.95,272967541
2019-04-24,2653.49,2657.36,2638.51,2642.36,338659793
2019-04-25,2651.18,2662.64,2633.81,2645.25,552330164
2019-04-26,2645.71,2655.92,2632.26,2642.45,543860302
2019-04-29,2655.71,2664.86,2631.74,2640.85,189926273
2019-04-30,2641.24,2652.39,2628.87,2640.01,457885117
2019-05-01,2676.26,2688.18,2665.64,2677.55,428422659
2019-05-02,2713.53,2740.97,2689.17,2716.58,395017104
2019-05-03,2658.0,2670.13,2650.6,2662.71,617541486
2019-05-06,2585.77,2593.03,2574.71,2581.96,190549824
2019-05-07,2611.29,2637.06,2585.07,2610.84,449874131
2019-05-08,2644.51,2653.94,2644.21,2653.65,246921293
2019-05-09,2684.4,2698.38,2666.84,2680.8,368777019
2019-05-10,2638.35,2670.29,2616.39,2648.26,253926817
2019-05-13,2651.4,2675.27,2619.34,2643.13,521102665
2019-05-14,2626.71,2648.33,2608.98,2630.57,452225243
2019-05-15,2674.96,2690.85,2656.08,2671.95,347752210
2019-05-16,2675.76,2701.06,2655.38,2680.65,538286183
2019-05-17,2625.41,2650.76,2599.1,2624.44,292544512
2019-05-20,2627.7,2640.22,2612.4,2624.91,511588378
2019-05-21,2620.55,2629.05,2609.95,2618.44,354616795
2019-05-22,2632.28,2645.0,2616.49,2629.19,448917883
2019-05-23,2587.33,2597.85,2574.68,2585.19,241525735
