Date,Open,High,Low,Close,Volume
2019-01-01,980.8,989.52,970.43,979.13,88435995
2019-01-02,981.48,988.55,972.12,979.17,158878807
2019-01-03,965.88,969.77,961.1,964.97,451356768
2019-01-04,976.9,981.89,973.57,978.55,239285316
2019-01-07,981.92,988.71,972.53,979.3,397571441
2019-01-08,966.49,969.85,961.26,964.63,318059721
2019-01-09,964.04,967.08,962.7,965.73,342924970
2019-01-10,957.34,960.78,954.68,958.13,302864267
2019-01-11,954.72,959.39,952.7,957.37,319447679
2019-01-14,962.22,969.5,952.42,959.69,99461253
2019-01-15,950.86,957.13,947.59,953.84,366391450
2019-01-16,939.66,941.06,934.73,936.13,371425057
2019-01-17,925.61,929.48,919.44,923.31,320337050
2019-01-18,928.02,932.12,924.79,928.89,220746496
2019-01-21,935.36,943.13,926.27,934.03,263652404
2019-01-22,936.01,942.98,930.48,937.44,191324298
2019-01-23,948.38,956.56,941.67,949.84,385311018
2019-01-24,966.0,975.43,960.69,970.1,202034366
2019-01-25,952.1,959.96,945.53,953.37,231533811
2019-01-28,922.41,923.22,921.53,922.34,316010704
2019-01-29,922.63,927.28,920.05,924.69,280195592
2019-01-30,912.28,919.24,907.13,914.08,194856437
2019-01-31,925.15,931.19,917.48,923.52,231675006
2019-02-01,941.54,944.35,935.09,937.9,335974350
2019-02-04,930.94,932.65,927.12,928.83,256967699
2019-02-05,902.88,910.96,898.85,906.91,259624415
2019-02-06,908.91,913.11,905.68,909.87,281884807
2019-02-07,927.15,934.39,918.23,925.45,312126163
2019-02-08,936.65,947.93,931.13,942.38,320374672
2019-02-11,951.74,956.87,947.54,952.67,379812588
2019-02-12,936.03,939.17,931.63,934.77,141016185
2019-02-13,929.56,936.86,920.57,927.86,255781910
2019-02-14,902.69,910.92,897.95,906.16,453332888
2019-02-15,892.6,898.82,888.55,894.76,415727094
2019-02-18,882.73,886.59,880.5,884.35,167873765
2019-02-19,902.2,902.88,900.73,901.41,191485896
2019-02-20,872.7,878.9,866.73,872.93,368652914
2019-02-21,866.06,870.71,861.8,866.45,429844897
2019-02-22,859.68,866.3,855.27,861.88,105734150
2019-02-25,879.53,881.26,876.72,878.44,295962750
2019-02-26,870.12,875.95,864.54,870.37,265051668
2019-02-27,882.31,886.86,877.07,881.62,297225015
2019-02-28,886.64,894.33,879.32,887.01,333028000
2019-03-01,869.33,871.97,867.33,869.97,334164818
2019-03-04,886.1,891.35,881.64,886.88,462054054
2019-03-05,886.84,891.86,881.66,886.68,230760363
2019-03-06,885.15,889.5,879.76,884.11,269910555
2019-03-07,868.94,876.24,862.45,869.74,365134589
2019-03-08,885.15,893.87,876.87,885.59,428428420
2019-03-11,881.21,885.1,876.78,880.67,371319628
2019-03-12,890.63,896.08,885.54,890.99,337327023
2019-03-13,897.76,903.29,890.0,895.51,215872392
2019-03-14,899.24,901.71,898.37,900.84,174331269
2019-03-15,908.73,917.78,901.57,910.6,209028941
2019-03-18,909.37,916.43,900.8,907.84,423309926
2019-03-19,899.53,904.96,893.31,898.74,205349739
2019-03-20,895.12,900.67,886.68,892.21,206284056
2019-03-21,916.31,918.62,913.68,915.99,290625784
2019-03-22,916.17,920.22,909.92,913.95,338634008
2019-03-25,912.52,914.48,911.96,913.92,307453810
2019-03-26,925.76,927.9,923.14,925.28,442423193
2019-03-27,930.37,937.01,926.98,933.6,221477193
2019-03-28,940.71,942.8,938.04,940.13,164422733
2019-03-29,935.97,942.02,928.7,934.74,307693816
2019-04-01,926.47,932.96,916.3,922.76,378205712
2019-04-02,925.47,927.36,924.73,926.62,328572306
2019-04-03,931.35,932.62,930.48,931.74,86296326
2019-04-04,926.71,932.91,920.64,926.84,309210344
2019-04-05,928.43,937.41,916.54,925.48,194230972
2019-04-08,917.79,924.77,911.91,918.88,300459280
2019-04-09,923.02,932.28,915.53,924.78,358334921
2019-04-10,924.9,926.08,921.78,922.96,321398304
2019-04-11,939.18,941.69,936.48,938.99,247798168
2019-04-12,940.1,945.4,935.37,940.67,279561000
2019-04-15,942.56,945.19,941.87,944.5,364256321
2019-04-16,949.77,957.31,944.83,952.36,323189758
2019-04-17,963.51,964.76,961.75,963.01,49772312
2019-04-18,979.55,987.29,972.93,980.66,391067945
2019-04-19,1015.48,1026.7,1007.29,1018.49,165650672
2019-04-22,1008.45,1015.12,1002.17,1008.85,316040628
2019-04-23,1013.28,1023.73,1004.37,1014.81,368557535
2019-04-24,1008.25,1013.78,1001.37,1006.89,425749182
2019-04-25,998.18,1002.82,992.8,997.44,237148624
2019-04-26,991.99,998.54,988.26,994.79,300694423
2019-04-29,977.53,985.3,972.0,979.75,331111474
2019-04-30,973.77,978.48,972.18,976.89,268628026
2019-05-01,983.28,989.53,974.29,980.52,262522318
2019-05-02,978.0,982.83,974.27,979.1,459881479
2019-05-03,981.54,988.88,971.21,978.53,360342337
2019-05-06,961.9,967.49,958.28,963.87,300992473
2019-05-07,962.02,966.35,958.18,962.52,94751500
2019-05-08,982.24,989.38,976.45,983.58,236929105
2019-05-09,984.61,990.92,979.53,985.83,334267130
2019-05-10,990.63,993.87,984.8,988.04,182977099
2019-05-13,988.99,994.48,980.06,985.52,402152088
2019-05-14,984.74,993.11,976.96,985.31,392902044
2019-05-15,958.28,968.85,951.87,962.41,217363956
2019-05-16,960.63,968.39,954.73,962.47,218094007
2019-05-17,966.41,974.75,958.86,967.2,252720111
2019-05-20,966.05,970.3,960.38,964.62,408474766
2019-05-21,962.04,968.85,959.86,966.66,347353124
2019-05-22,969.64,972.56,968.7,971.62,287178246
