Date,Open,High,Low,Close,Volume
2019-01-01,2904.94,2910.82,2898.94,2904.82,182686489
2019-01-02,2864.82,2882.51,2847.73,2865.41,115589762
2019-01-03,2868.95,2897.35,2840.76,2869.15,172142892
2019-01-04,2935.74,2952.58,2908.73,2925.51,286671434
2019-01-07,2961.69,2985.63,2935.95,2959.87,92244812
2019-01-08,2962.97,2971.34,2959.38,2967.75,131989196
2019-01-09,2944.25,2965.61,2923.3,2944.65,284982673
2019-01-10,2986.96,3013.26,2966.81,2993.07,179836887
2019-01-11,3008.22,3011.56,3005.61,3008.94,119682217
2019-01-14,3032.92,3053.54,3005.77,3026.35,328922551
2019-01-15,3053.79,3074.36,3031.01,3051.57,260829342
2019-01-16,3080.54,3095.24,3070.48,3085.16,147761923
2019-01-17,3013.91,3035.18,2987.29,3008.52,233183782
2019-01-18,3005.32,3019.91,2996.01,3010.58,130057516
2019-01-21,2974.26,3005.44,2950.02,2981.15,137519490
2019-01-22,3014.46,3037.85,2992.99,3016.37,217442654
2019-01-23,3028.98,3040.5,3022.01,3033.52,228469768
2019-01-24,3068.42,3085.43,3047.17,3064.16,147266301
2019-01-25,3059.28,3081.12,3028.03,3049.8,278129437
2019-01-28,3052.82,3074.44,3035.27,3056.86,323822192
2019-01-29,3096.9,3123.32,3081.55,3107.92,183494728
2019-01-30,3137.39,3171.28,3107.56,3141.41,198983244
2019-01-31,3167.0,3172.49,3157.85,3163.33,186677695
2019-02-01,3239.4,3256.33,3211.46,3228.33,101496853
2019-02-04,3191.38,3195.79,3186.15,3190.56,120940680
2019-02-05,3201.32,3219.08,3183.68,3201.43,132729266
2019-02-06,3202.13,3216.22,3181.4,3195.47,278861868
2019-02-07,3205.41,3219.13,3196.35,3210.06,167722502
2019-02-08,3209.46,3222.31,3202.06,3214.9,217847611
2019-02-11,3250.4,3261.09,3236.99,3247.67,277691592
2019-02-12,3306.38,3328.04,3287.15,3308.8,234026709
2019-02-13,3266.77,3297.59,3241.48,3272.25,240922861
2019-02-14,3276.76,3282.69,3273.3,3279.23,166695523
2019-02-15,3292.03,3297.52,3282.04,3287.52,167970807
2019-02-18,3336.68,3351.99,3318.27,3333.57,160268725
2019-02-19,3309.03,3330.19,3302.37,3323.5,265676705
2019-02-20,3295.04,3336.28,3265.61,3306.74,191962404
2019-02-21,3273.55,3296.48,3256.83,3279.72,265911123
2019-02-22,3305.08,3332.57,3285.63,3313.08,223323441
2019-02-25,3318.19,3336.33,3305.04,3323.16,153440985
2019-02-26,3337.21,3354.49,3306.11,3323.31,209976771
2019-02-27,3403.19,3418.79,3387.17,3402.77,165709698
2019-02-28,3355.86,3375.62,3334.8,3354.56,328188687
2019-03-01,3402.26,3406.43,3396.82,3400.99,206856100
2019-03-04,3360.45,3370.47,3348.36,3358.37,293345076
2019-03-05,3376.77,3387.53,3368.39,3379.15,214676006
2019-03-06,3360.24,3374.38,3339.71,3353.83,140383954
2019-03-07,3411.06,3424.62,3394.27,3407.81,284052870
2019-03-08,3320.61,3336.79,3307.9,3324.06,165580682
2019-03-11,3323.94,3352.84,3291.48,3320.34,95032135
2019-03-12,3316.86,3319.89,3300.23,3303.25,136999759
2019-03-13,3249.87,3273.01,3225.59,3248.72,165144548
2019-03-14,3282.38,3292.92,3272.27,3282.81,182992076
2019-03-15,3238.4,3253.7,3225.65,3240.94,165843141
2019-03-18,3286.03,3316.09,3261.97,3291.99,97364833
2019-03-19,3315.09,3342.24,3292.58,3319.7,228057023
2019-03-20,3289.45,3299.93,3282.46,3292.93,202200841
2019-03-21,3255.51,3277.57,3232.52,3254.57,120788853
2019-03-22,3271.65,3292.14,3250.44,3270.92,190802287
2019-03-25,3279.92,3295.85,3259.77,3275.67,171705063
2019-03-26,3261.74,3275.48,3253.72,3267.44,135728229
2019-03-27,3222.33,3258.98,3201.57,3238.12,160416939
2019-03-28,3235.56,3248.54,3212.52,3225.46,255213704
2019-03-29,3295.22,3302.24,3281.58,3288.58,173241685
2019-04-01,3331.22,3362.66,3290.04,3321.38,125333397
2019-04-02,3320.91,3355.65,3295.6,3330.26,226111680
2019-04-03,3365.19,3381.89,3351.48,3368.17,47351652
2019-04-04,3400.82,3426.32,3386.16,3411.62,203516891
2019-04-05,3327.9,3345.54,3299.73,3317.31,206690930
2019-04-08,3282.05,3299.25,3255.67,3272.82,119221591
2019-04-09,3273.14,3287.34,3260.55,3274.75,299475634
