Date,Open,High,Low,Close,Volume
2023-01-02,347.83,350.26,345.7,348.13,175214086
2023-01-03,341.7,343.78,339.6,341.68,153407936
2023-01-04,341.06,343.9,337.86,340.69,62010052
2023-01-05,335.55,336.59,334.51,335.55,106184008
2023-01-06,333.77,334.62,332.28,333.12,80604340
2023-01-09,331.77,333.09,330.76,332.08,164496258
2023-01-10,339.59,341.85,338.23,340.49,122247501
2023-01-11,342.18,342.25,340.76,340.83,93096845
2023-01-12,344.92,346.74,343.51,345.33,116195427
2023-01-13,343.19,344.75,342.02,343.58,40111904
2023-01-16,341.62,343.73,339.54,341.66,83961553
2023-01-17,335.28,337.03,333.49,335.24,116261264
2023-01-18,343.01,344.41,341.88,343.28,139569478
2023-01-19,349.53,351.53,347.54,349.54,59296113
2023-01-20,350.37,352.48,348.28,350.4,104233203
2023-01-23,349.4,350.43,348.24,349.28,144293452
2023-01-24,348.31,351.19,347.09,349.96,73405522
2023-01-25,345.46,345.48,344.15,344.16,121812709
2023-01-26,345.83,346.73,345.03,345.93,117111836
2023-01-27,352.56,353.63,351.09,352.15,164590696
2023-01-30,356.78,359.43,355.12,357.76,108582991
2023-01-31,351.1,352.35,350.19,351.43,110268985
2023-02-01,355.57,357.29,354.34,356.05,139836895
2023-02-02,351.7,352.42,349.95,350.66,77008898
2023-02-03,341.49,343.55,339.84,341.89,108849504
2023-02-06,347.1,348.96,344.72,346.57,102085380
2023-02-07,344.12,346.4,342.3,344.57,111210517
2023-02-08,348.57,350.47,346.99,348.89,139648141
2023-02-09,352.76,353.44,352.26,352.94,131173035
2023-02-10,357.29,358.46,355.22,356.38,93647362
2023-02-13,355.55,358.21,354.24,356.9,119148912
2023-02-14,350.79,353.02,349.5,351.72,158140613
2023-02-15,349.0,351.99,347.38,350.36,91265841
2023-02-16,355.78,359.17,353.16,356.55,119392803
2023-02-17,360.32,363.12,358.11,360.91,109647993
2023-02-20,359.08,361.16,358.18,360.25,113396853
2023-02-21,358.89,361.52,356.79,359.42,68243919
2023-02-22,361.1,364.66,359.02,362.56,155845634
2023-02-23,362.3,364.09,361.25,363.04,92908003
2023-02-24,363.61,365.86,360.49,362.74,144765423
2023-02-27,365.6,367.12,363.77,365.3,97314134
2023-02-28,367.49,368.1,366.73,367.35,97195235
2023-03-01,363.57,366.28,361.61,364.31,150153041
2023-03-02,365.09,368.02,363.29,366.21,143838333
2023-03-03,367.33,369.66,365.84,368.17,121221761
2023-03-06,368.25,369.91,366.62,368.28,137134919
2023-03-07,365.95,367.07,364.19,365.31,106900424
2023-03-08,364.68,366.77,361.94,364.03,114970568
2023-03-09,360.13,361.72,358.09,359.67,96154882
2023-03-10,361.27,363.55,359.52,361.8,141251267
2023-03-13,354.87,356.72,353.0,354.85,95239268
2023-03-14,361.31,362.33,360.52,361.54,157988382
2023-03-15,367.09,368.23,366.09,367.24,106114641
2023-03-16,370.98,371.01,369.45,369.48,115802286
2023-03-17,372.05,375.46,369.95,373.36,137065143
2023-03-20,377.04,378.0,376.26,377.22,115898944
2023-03-21,378.79,380.6,376.08,377.88,106630958
2023-03-22,376.24,379.33,374.27,377.35,114346817
2023-03-23,375.84,378.47,373.7,376.32,140956136
2023-03-24,383.07,384.28,382.27,383.48,96119517
2023-03-27,380.17,382.0,378.51,380.34,111575588
2023-03-28,375.97,380.13,373.02,377.17,115507867
2023-03-29,382.07,385.1,378.59,381.62,140114136
2023-03-30,386.0,388.49,382.99,385.48,112335744
2023-03-31,384.9,386.89,382.52,384.51,167295828
2023-04-03,386.71,388.35,385.74,387.38,110702815
2023-04-04,390.64,392.96,388.25,390.57,108365603
2023-04-05,384.1,386.4,382.49,384.79,110285359
2023-04-06,390.94,393.4,388.74,391.2,77288495
2023-04-07,396.81,398.09,393.83,395.11,85350845
2023-04-10,397.26,398.91,395.53,397.18,99926837
2023-04-11,400.01,402.89,398.07,400.96,147926767
2023-04-12,403.15,405.16,400.99,403.01,114257453
2023-04-13,399.04,402.32,396.85,400.12,101252424
2023-04-14,400.34,402.64,399.0,401.3,150539331
2023-04-17,403.28,404.85,402.55,404.12,159889972
2023-04-18,406.59,410.11,403.44,406.95,151370229
2023-04-19,408.77,412.64,404.13,408.0,90640118
2023-04-20,410.05,412.26,407.37,409.58,100946985
2023-04-21,405.64,406.39,404.46,405.21,167452429
2023-04-24,400.58,402.65,399.4,401.46,122157101
2023-04-25,400.72,403.36,398.5,401.15,107503145
2023-04-26,410.5,413.45,407.33,410.28,135902080
2023-04-27,408.12,409.48,407.27,408.63,144224709
2023-04-28,407.11,409.06,405.37,407.33,98752178
2023-05-01,398.93,400.88,396.63,398.58,121532086
2023-05-02,403.39,406.19,400.88,403.68,141899192
2023-05-03,397.89,399.41,396.19,397.71,81791951
2023-05-04,399.8,400.35,397.98,398.53,115567164
2023-05-05,390.82,393.2,388.57,390.95,83113931
2023-05-08,396.05,398.73,392.46,395.12,86881614
2023-05-09,398.7,400.42,396.52,398.25,98992667
2023-05-10,394.19,397.45,392.09,395.35,128954003
2023-05-11,385.66,387.88,384.29,386.51,105936396
2023-05-12,391.69,393.45,390.59,392.35,96535260
2023-05-15,393.2,396.45,390.62,393.87,116696500
2023-05-16,395.36,397.51,393.27,395.43,82175732
2023-05-17,391.62,393.77,389.0,391.14,127562354
2023-05-18,392.19,395.13,388.27,391.21,147798794
2023-05-19,392.3,393.24,391.12,392.06,112930274
2023-05-22,397.3,399.0,395.95,397.65,109374702
2023-05-23,399.71,403.31,397.78,401.38,125967743
2023-05-24,398.7,400.05,397.3,398.65,56785788
2023-05-25,397.89,400.31,395.46,397.87,130673476
2023-05-26,396.48,398.11,394.7,396.33,204554871
2023-05-29,399.59,400.59,396.91,397.91,111678149
2023-05-30,391.16,392.97,388.38,390.19,111780434
2023-05-31,390.91,392.8,388.41,390.3,136629614
2023-06-01,388.17,391.39,385.69,388.92,162601924
2023-06-02,394.83,397.32,392.74,395.23,143293476
2023-06-05,401.61,403.87,399.43,401.69,53123861
2023-06-06,408.04,410.77,405.94,408.67,131439097
2023-06-07,413.43,415.13,411.31,413.01,189290613
2023-06-08,416.69,417.97,415.12,416.39,133139684
2023-06-09,414.51,417.52,412.41,415.41,81955702
2023-06-12,412.52,414.1,409.96,411.53,123329089
2023-06-13,411.77,415.02,408.45,411.69,78324079
2023-06-14,408.35,412.71,405.42,409.77,150719895
2023-06-15,409.07,411.47,406.71,409.11,87679394
2023-06-16,409.01,411.16,406.64,408.78,117350011
2023-06-19,400.82,402.56,398.31,400.04,90505032
2023-06-20,402.23,403.3,401.44,402.5,99472293
