Date,Open,High,Low,Close,Volume
2019-01-01,3915.57,3941.44,3895.35,3921.19,213492875
2019-01-02,3990.64,3998.92,3973.16,3981.42,90321091
2019-01-03,3992.46,4014.77,3956.81,3979.05,163620646
2019-01-04,3971.78,3999.95,3928.18,3956.24,219430491
2019-01-07,3950.91,3977.81,3934.6,3961.46,171552497
2019-01-08,3945.66,3972.29,3926.56,3953.16,117108609
2019-01-09,3951.85,3995.65,3918.7,3962.42,130343062
2019-01-10,3987.31,4008.43,3968.48,3989.58,174292389
2019-01-11,4027.55,4066.1,3984.26,4022.76,147815048
2019-01-14,4036.82,4053.13,4026.38,4042.67,130523344
2019-01-15,4034.61,4055.95,3999.15,4020.41,188233918
2019-01-16,3911.53,3924.31,3900.82,3913.59,157818073
2019-01-17,3935.3,3966.54,3911.07,3942.27,141815034
2019-01-18,3939.5,3962.64,3906.47,3929.55,92742530
2019-01-21,3899.21,3944.0,3869.8,3914.48,131577823
2019-01-22,3885.2,3907.63,3871.95,3894.35,187696710
2019-01-23,3900.73,3917.43,3882.81,3899.5,113370501
2019-01-24,3790.25,3802.2,3781.76,3793.7,136569347
2019-01-25,3812.51,3835.57,3785.74,3808.78,120694705
2019-01-28,3785.24,3801.71,3762.89,3779.34,79921440
2019-01-29,3717.38,3742.0,3685.84,3710.41,192977433
2019-01-30,3725.56,3756.17,3707.32,3737.87,175370920
2019-01-31,3769.28,3791.91,3753.82,3776.42,106592885
2019-02-01,3732.9,3750.56,3707.54,3725.16,198608707
2019-02-04,3682.98,3715.21,3641.73,3673.88,78232758
2019-02-05,3661.39,3679.53,3636.2,3654.3,177169884
2019-02-06,3622.51,3656.5,3596.79,3630.72,144957831
2019-02-07,3714.91,3736.47,3681.71,3703.21,164020372
2019-02-08,3649.4,3668.93,3622.42,3641.91,126732246
2019-02-11,3580.64,3603.43,3567.42,3590.18,112770296
2019-02-12,3658.51,3681.87,3632.11,3655.45,249227654
2019-02-13,3668.02,3692.36,3660.05,3684.35,263175491
2019-02-14,3646.44,3659.46,3633.76,3646.77,119288018
2019-02-15,3665.74,3695.37,3632.7,3662.3,182735187
2019-02-18,3605.15,3623.9,3582.95,3601.68,161948802
2019-02-19,3605.41,3625.45,3574.78,3594.76,144847773
2019-02-20,3707.17,3753.99,3666.09,3712.85,277911146
2019-02-21,3731.64,3762.56,3693.87,3724.74,164985803
2019-02-22,3704.17,3728.03,3668.33,3692.11,167312802
2019-02-25,3630.58,3641.48,3615.6,3626.49,256095443
2019-02-26,3538.45,3558.32,3525.95,3545.79,175559149
2019-02-27,3583.89,3587.38,3557.82,3561.29,105301801
2019-02-28,3603.49,3624.73,3585.97,3607.19,170937195
2019-03-01,3626.97,3659.13,3592.59,3624.74,94149257
2019-03-04,3578.3,3591.56,3566.46,3579.72,131434381
2019-03-05,3557.48,3576.75,3547.83,3567.07,227386660
2019-03-06,3653.91,3674.3,3620.15,3640.46,136349714
2019-03-07,3648.33,3669.18,3623.67,3644.51,142103344
2019-03-08,3659.25,3678.98,3636.22,3655.93,106833190
2019-03-11,3665.0,3691.64,3641.52,3668.15,103108323
2019-03-12,3695.46,3708.13,3681.09,3693.75,128900974
2019-03-13,3655.34,3673.83,3638.61,3657.09,165774276
2019-03-14,3677.47,3701.9,3653.46,3677.89,106800473
2019-03-15,3700.34,3708.98,3687.25,3695.88,131157982
2019-03-18,3694.42,3721.6,3668.69,3695.86,145709358
2019-03-19,3664.23,3686.19,3653.16,3675.09,151806619
2019-03-20,3675.7,3678.42,3652.84,3655.55,96346605
2019-03-21,3608.19,3633.9,3575.46,3601.13,201958779
2019-03-22,3657.08,3686.86,3625.55,3655.31,141307702
2019-03-25,3648.04,3674.53,3620.55,3647.03,35875593
2019-03-26,3716.92,3743.2,3689.75,3716.02,81986642
2019-03-27,3671.7,3687.89,3650.45,3666.62,171743403
2019-03-28,3655.75,3669.21,3630.42,3643.84,190720810
2019-03-29,3643.86,3673.01,3620.29,3649.41,213788270
2019-04-01,3641.07,3659.22,3613.43,3631.53,127921645
2019-04-02,3647.54,3670.85,3630.32,3653.6,154581138
2019-04-03,3668.81,3680.67,3658.4,3670.25,116519065
2019-04-04,3684.79,3723.53,3632.15,3670.74,201102616
2019-04-05,3671.38,3682.31,3650.71,3661.61,183075723
2019-04-08,3670.53,3678.53,3658.31,3666.29,1472025
2019-04-09,3603.68,3630.81,3589.4,3616.48,61366619
2019-04-10,3544.17,3571.14,3503.56,3530.43,150076760
2019-04-11,3624.9,3626.22,3615.06,3616.38,146598481
2019-04-12,3676.44,3694.75,3668.7,3687.0,123748995
2019-04-15,3718.23,3737.46,3704.41,3723.61,208479883
2019-04-16,3730.92,3762.74,3706.17,3737.94,119176665
2019-04-17,3763.32,3790.69,3744.89,3772.22,179480914
2019-04-18,3819.89,3855.68,3790.71,3826.45,112338934
