Date,Open,High,Low,Close,Volume
2019-01-01,465.65,466.25,465.23,465.83,100494409
2019-01-02,462.54,464.39,460.09,461.94,89076742
2019-01-03,467.28,470.05,463.79,466.55,86432503
2019-01-04,460.76,461.6,459.26,460.1,97943972
2019-01-07,463.04,466.07,460.88,463.91,85250390
2019-01-08,475.6,478.22,471.53,474.14,43732847
2019-01-09,474.37,476.29,472.4,474.31,70214542
2019-01-10,473.07,477.52,467.98,472.42,94461445
2019-01-11,469.48,472.6,466.3,469.42,94309569
2019-01-14,469.05,473.27,465.16,469.38,47141510
2019-01-15,479.16,481.3,476.72,478.85,71759427
2019-01-16,473.34,475.01,471.04,472.71,119902602
2019-01-17,478.66,482.22,475.22,478.79,88253062
2019-01-18,468.53,469.94,466.66,468.08,89707114
2019-01-21,470.59,473.05,467.59,470.04,100231427
2019-01-22,461.55,463.84,457.09,459.37,79324141
2019-01-23,459.5,461.5,457.72,459.72,96437327
2019-01-24,452.92,457.83,447.42,452.32,52257221
2019-01-25,456.61,459.53,453.79,456.72,76629680
2019-01-28,459.08,461.86,456.81,459.58,55637351
2019-01-29,465.89,469.1,462.0,465.21,57908690
2019-01-30,467.01,468.62,465.98,467.59,121876829
2019-01-31,470.09,472.79,467.42,470.12,45142970
2019-02-01,469.78,471.59,468.4,470.2,88996295
2019-02-04,478.51,480.97,474.87,477.33,102141902
2019-02-05,478.97,481.65,477.44,480.11,52786206
2019-02-06,473.52,476.92,469.13,472.53,127541693
2019-02-07,470.66,473.85,467.79,470.98,111657892
2019-02-08,466.86,469.76,464.92,467.82,97569373
2019-02-11,459.4,460.77,457.73,459.1,123647328
2019-02-12,460.86,462.14,458.39,459.66,99375320
2019-02-13,460.94,462.96,458.15,460.16,77937339
2019-02-14,461.58,465.96,456.18,460.55,69580803
2019-02-15,449.6,452.72,445.57,448.68,95858699
2019-02-18,455.04,457.43,452.21,454.59,66934762
2019-02-19,445.16,447.39,444.67,446.9,94708677
2019-02-20,428.71,428.76,428.28,428.33,66248899
2019-02-21,423.74,424.95,421.3,422.51,101075270
2019-02-22,423.89,426.17,421.54,423.82,119305769
2019-02-25,424.33,426.6,421.1,423.37,82483725
2019-02-26,420.87,422.77,418.09,419.98,117798722
2019-02-27,413.24,415.49,411.09,413.35,43436277
2019-02-28,417.22,421.35,413.75,417.88,95897919
2019-03-01,423.4,424.41,422.16,423.17,56199274
2019-03-04,426.03,427.22,424.97,426.16,89341225
2019-03-05,419.06,423.43,415.71,420.07,27259689
2019-03-06,410.43,411.35,407.98,408.9,54367123
2019-03-07,405.72,407.82,403.46,405.56,62569960
2019-03-08,403.41,404.06,402.39,403.04,92536044
2019-03-11,401.53,402.71,401.48,402.67,116004300
2019-03-12,406.46,408.07,404.51,406.12,78481752
2019-03-13,402.5,404.2,401.68,403.38,57829979
2019-03-14,401.47,403.45,399.18,401.16,32172148
2019-03-15,400.09,401.64,399.0,400.55,51413255
2019-03-18,397.82,399.21,396.9,398.29,80860802
2019-03-19,398.47,401.85,394.81,398.2,107239468
2019-03-20,400.47,404.56,397.68,401.75,119723256
2019-03-21,404.54,406.06,403.41,404.93,108338710
2019-03-22,409.43,411.05,407.35,408.97,43487442
2019-03-25,412.51,416.55,407.33,411.36,94920575
2019-03-26,409.56,412.94,406.07,409.45,112981982
2019-03-27,409.09,412.53,405.73,409.17,50600956
2019-03-28,399.68,403.91,395.48,399.72,93015683
2019-03-29,404.41,408.05,400.47,404.1,59708933
2019-04-01,396.93,399.55,395.04,397.65,75465321
2019-04-02,399.87,402.37,397.57,400.08,46836702
2019-04-03,389.36,392.18,387.79,390.6,39720915
2019-04-04,389.38,389.66,388.88,389.17,111509502
2019-04-05,399.3,400.86,398.19,399.75,101075112
2019-04-08,394.16,396.29,391.6,393.73,83288811
2019-04-09,395.74,397.6,393.71,395.57,62102596
2019-04-10,399.04,400.17,397.09,398.22,80653057
2019-04-11,402.36,406.46,398.51,402.61,114641875
2019-04-12,394.01,395.84,391.5,393.33,69872217
2019-04-15,391.94,395.1,389.7,392.85,85160618
2019-04-16,400.97,401.89,400.02,400.94,87851978
2019-04-17,397.98,400.26,395.21,397.49,65129764
2019-04-18,396.67,398.43,394.82,396.57,64401537
2019-04-19,398.91,399.55,398.76,399.39,113467152
2019-04-22,401.9,404.42,399.13,401.65,73838046
2019-04-23,399.98,403.1,395.97,399.09,67489848
2019-04-24,394.92,398.1,392.7,395.88,116907193
2019-04-25,386.3,388.9,382.93,385.53,102246672
2019-04-26,384.69,386.07,383.01,384.39,91968778
2019-04-29,383.81,386.14,381.56,383.9,35977691
2019-04-30,385.82,388.78,381.13,384.08,59749347
2019-05-01,383.25,385.81,379.83,382.39,115171793
2019-05-02,376.13,377.63,373.97,375.48,55397723
2019-05-03,377.41,377.99,374.77,375.35,44380115
2019-05-06,379.91,381.07,378.92,380.08,57031745
2019-05-07,377.64,377.79,376.84,376.98,77137208
2019-05-08,383.14,384.1,382.36,383.31,81126342
2019-05-09,380.02,381.3,379.3,380.59,104280405
2019-05-10,378.23,380.74,376.43,378.94,100809486
2019-05-13,376.66,377.68,376.59,377.62,129682972
2019-05-14,375.26,378.65,371.34,374.72,72019259
2019-05-15,375.0,378.48,371.77,375.25,82642162
2019-05-16,371.99,372.73,371.85,372.59,133454395
2019-05-17,371.58,373.63,369.43,371.48,85395769
2019-05-20,371.92,372.4,370.66,371.14,106559225
2019-05-21,371.68,373.51,369.49,371.32,79325949
2019-05-22,367.39,368.64,365.71,366.96,60453270
2019-05-23,372.43,376.0,368.87,372.43,76482582
2019-05-24,362.08,365.05,360.49,363.46,111130451
2019-05-27,364.87,367.89,361.82,364.84,64119906
2019-05-28,363.25,366.66,360.56,363.96,43190273
2019-05-29,368.02,369.69,366.6,368.27,106706151
2019-05-30,363.08,365.29,360.7,362.91,99009275
2019-05-31,359.62,360.41,358.89,359.68,78576335
2019-06-03,356.77,361.09,353.56,357.88,88403480
2019-06-04,360.93,363.61,359.61,362.28,102451494
2019-06-05,363.88,366.65,361.86,364.62,70248824
2019-06-06,362.9,363.87,360.24,361.2,55821403
2019-06-07,361.71,362.85,360.57,361.71,68247751
2019-06-10,367.51,370.33,364.9,367.72,64576479
2019-06-11,369.49,370.7,368.27,369.48,76283624
2019-06-12,370.19,372.21,368.35,370.37,97296013
2019-06-13,374.74,375.76,373.72,374.73,65973681
2019-06-14,376.3,378.68,373.73,376.11,144091887
2019-06-17,382.41,385.1,379.4,382.09,90179079
2019-06-18,390.93,395.18,386.19,390.43,99408631
2019-06-19,392.59,394.52,389.82,391.75,104253161
2019-06-20,389.93,393.37,388.1,391.53,112614103
2019-06-21,390.45,393.33,387.95,390.82,114521663
2019-06-24,405.74,406.54,404.38,405.19,73004157
2019-06-25,400.09,404.82,396.45,401.17,60301481
2019-06-26,396.1,398.17,393.51,395.58,88000528
2019-06-27,397.05,400.22,394.82,397.98,91275821
2019-06-28,406.84,408.74,404.53,406.42,86368299
2019-07-01,407.12,410.7,405.22,408.79,37552129
2019-07-02,406.02,406.18,404.88,405.05,43758872
2019-07-03,409.35,411.08,406.32,408.04,66910555
2019-07-04,405.92,407.83,404.13,406.04,95620417
2019-07-05,410.1,412.19,407.35,409.44,86612146
