Date,Open,High,Low,Close,Volume
2023-01-02,1176.67,1179.05,1173.18,1175.56,111135632
2023-01-03,1170.69,1176.87,1164.19,1170.37,77526306
2023-01-04,1171.13,1179.58,1160.72,1169.16,95844724
2023-01-05,1154.19,1158.61,1150.78,1155.2,135030137
2023-01-06,1127.74,1131.82,1122.74,1126.82,64448492
2023-01-09,1124.9,1128.27,1118.55,1121.91,148146339
2023-01-10,1118.91,1127.42,1108.57,1117.08,83067915
2023-01-11,1115.83,1116.66,1115.06,1115.9,104919668
2023-01-12,1117.85,1125.75,1109.5,1117.4,131849725
2023-01-13,1102.45,1106.58,1096.66,1100.79,139471673
2023-01-16,1124.27,1129.17,1117.76,1122.65,111635994
2023-01-17,1118.4,1122.67,1112.46,1116.72,82556368
2023-01-18,1109.7,1115.22,1103.42,1108.94,80350888
2023-01-19,1106.5,1111.7,1103.14,1108.33,85543764
2023-01-20,1086.65,1095.3,1079.46,1088.1,147087110
2023-01-23,1043.22,1050.21,1035.28,1042.26,90332739
2023-01-24,1032.29,1034.9,1027.96,1030.58,107984744
2023-01-25,1045.77,1051.87,1038.21,1044.3,73833633
2023-01-26,1039.54,1044.89,1035.61,1040.95,71021725
2023-01-27,1029.84,1034.9,1025.1,1030.16,100561147
2023-01-30,1007.85,1017.85,1000.24,1010.22,91791337
2023-01-31,1004.6,1010.58,1001.43,1007.4,93615515
2023-02-01,986.58,992.85,980.16,986.42,62961484
2023-02-02,966.04,971.27,958.21,963.42,98066607
2023-02-03,962.64,966.6,958.49,962.45,138595781
2023-02-06,967.44,972.5,958.72,963.76,78596940
2023-02-07,960.05,965.17,955.25,960.37,122315879
2023-02-08,959.43,961.52,957.27,959.37,13377790
2023-02-09,962.89,967.98,959.73,964.8,79863018
2023-02-10,985.68,988.74,983.31,986.37,52189032
2023-02-13,981.3,987.52,977.43,983.64,130776791
2023-02-14,995.58,1005.85,988.42,998.67,121849899
2023-02-15,1001.86,1009.9,996.18,1004.21,74069001
2023-02-16,984.7,986.31,982.92,984.53,107126829
2023-02-17,985.31,990.66,981.41,986.76,129915279
2023-02-20,988.16,994.06,983.25,989.15,133798526
2023-02-21,986.06,991.96,979.35,985.25,89767165
2023-02-22,972.1,978.24,968.99,975.12,44734707
2023-02-23,988.31,990.31,986.14,988.15,77460506
2023-02-24,997.93,1002.3,991.86,996.24,119036831
2023-02-27,1008.13,1013.82,1000.58,1006.25,152322914
2023-02-28,998.02,1002.98,992.04,996.99,98545195
