Date,Open,High,Low,Close,Volume
2019-01-01,291.54,292.24,290.58,291.28,299759748
2019-01-02,291.11,293.25,287.85,289.98,116938966
2019-01-03,289.04,290.73,286.75,288.44,172960117
2019-01-04,286.92,287.75,284.9,285.72,200767441
2019-01-07,285.66,287.1,284.05,285.5,282977666
2019-01-08,288.52,289.61,287.11,288.2,303525308
2019-01-09,289.25,290.39,288.49,289.63,187568727
2019-01-10,289.59,291.54,288.02,289.96,274743217
2019-01-11,293.21,294.81,291.02,292.62,208562132
2019-01-14,293.52,295.41,290.55,292.43,120378573
2019-01-15,288.4,289.63,287.01,288.24,166681757
2019-01-16,288.03,288.69,287.09,287.75,165545310
2019-01-17,287.08,288.28,285.59,286.8,196464992
2019-01-18,289.09,291.03,287.79,289.73,162032688
2019-01-21,294.63,295.66,292.91,293.94,299775045
2019-01-22,292.52,296.36,289.55,293.38,224274462
2019-01-23,293.47,294.33,292.56,293.42,287403142
2019-01-24,299.28,301.67,297.18,299.57,219844489
2019-01-25,303.32,304.66,300.98,302.31,203431435
2019-01-28,295.94,299.11,294.13,297.3,235040094
2019-01-29,303.56,305.33,301.93,303.71,212418203
2019-01-30,298.92,299.7,297.45,298.23,78487191
2019-01-31,298.69,302.4,295.83,299.54,248973961
2019-02-01,304.42,306.37,302.65,304.59,111414447
2019-02-04,301.2,303.22,300.08,302.09,284019846
2019-02-05,307.53,309.32,304.73,306.51,142373929
2019-02-06,307.65,309.69,306.04,308.08,252605225
2019-02-07,306.13,306.99,305.3,306.17,281781024
2019-02-08,302.66,303.83,302.65,303.82,202802821
2019-02-11,301.45,304.14,299.13,301.82,192342970
2019-02-12,301.25,303.59,298.6,300.93,205130137
2019-02-13,301.04,302.08,299.49,300.52,206623720
2019-02-14,305.52,307.35,303.99,305.82,258842669
2019-02-15,310.71,311.74,309.06,310.08,220723631
2019-02-18,309.94,312.72,307.99,310.76,166562195
2019-02-19,308.46,308.78,307.67,307.99,192319822
2019-02-20,309.63,311.19,307.21,308.76,119164824
2019-02-21,308.99,311.04,308.15,310.2,128551603
