Date,Open,High,Low,Close,Volume
2023-01-02,1082.88,1084.41,1080.12,1081.64,4352251
2023-01-03,1099.5,1104.63,1097.36,1102.49,2767130
2023-01-04,1109.27,1116.91,1103.14,1110.77,2744569
2023-01-05,1093.95,1101.19,1086.47,1093.72,1783478
2023-01-06,1097.11,1101.7,1091.54,1096.12,3078825
2023-01-09,1102.23,1108.67,1096.02,1102.45,3622792
2023-01-10,1104.71,1110.87,1098.0,1104.16,3762288
2023-01-11,1117.85,1122.39,1113.12,1117.67,3195961
2023-01-12,1132.98,1135.97,1130.37,1133.35,3855358
2023-01-13,1130.9,1137.94,1124.53,1131.57,3680629
2023-01-16,1140.18,1147.69,1133.65,1141.15,3977586
2023-01-17,1134.55,1141.68,1126.89,1134.02,3877505
2023-01-18,1136.83,1142.66,1130.08,1135.9,4333128
2023-01-19,1132.07,1134.52,1129.17,1131.62,2979762
2023-01-20,1124.68,1133.97,1118.07,1127.34,2079397
2023-01-23,1127.33,1134.66,1122.26,1129.58,3628109
2023-01-24,1116.63,1120.58,1111.8,1115.74,3719000
2023-01-25,1132.57,1137.0,1124.83,1129.25,4333141
2023-01-26,1123.91,1127.42,1120.06,1123.57,4108545
2023-01-27,1134.46,1142.53,1127.34,1135.4,4625241
2023-01-30,1124.47,1126.34,1122.1,1123.97,3593985
2023-01-31,1105.51,1110.82,1102.73,1108.03,3289775
2023-02-01,1090.89,1095.08,1083.86,1088.04,2034335
2023-02-02,1105.58,1114.12,1096.62,1105.16,3351455
2023-02-03,1109.51,1118.34,1102.18,1111.0,2681957
2023-02-06,1120.32,1122.06,1118.96,1120.7,3276316
2023-02-07,1119.46,1128.72,1111.4,1120.65,3154182
2023-02-08,1155.24,1163.55,1143.92,1152.21,3478756
2023-02-09,1144.29,1147.22,1141.83,1144.76,3036056
2023-02-10,1175.27,1175.91,1174.27,1174.91,3839166
2023-02-13,1163.26,1168.32,1156.86,1161.92,993313
2023-02-14,1154.43,1163.95,1146.65,1156.15,3259578
2023-02-15,1138.46,1147.2,1129.27,1138.01,4047243
2023-02-16,1120.55,1123.64,1116.84,1119.93,4566566
2023-02-17,1130.53,1143.13,1121.48,1134.06,3681198
2023-02-20,1121.5,1121.55,1120.88,1120.93,4422517
2023-02-21,1116.9,1121.21,1112.7,1117.0,3243196
2023-02-22,1119.68,1123.78,1115.28,1119.38,3114000
2023-02-23,1129.51,1137.2,1121.75,1129.43,3523629
2023-02-24,1132.91,1140.95,1124.29,1132.32,3109289
2023-02-27,1130.76,1138.0,1120.51,1127.74,2503144
2023-02-28,1117.34,1122.0,1115.33,1119.98,2710946
2023-03-01,1118.07,1125.8,1111.11,1118.83,2246581
2023-03-02,1092.7,1098.73,1085.22,1091.24,3522821
2023-03-03,1096.8,1098.07,1094.48,1095.74,3120636
2023-03-06,1112.86,1113.27,1111.43,1111.84,2831491
2023-03-07,1129.9,1137.34,1116.33,1123.72,2670926
2023-03-08,1136.76,1141.47,1130.67,1135.37,3504679
2023-03-09,1164.8,1167.05,1159.93,1162.17,3718918
2023-03-10,1172.31,1177.82,1167.52,1173.03,2232297
2023-03-13,1170.18,1178.64,1164.07,1172.51,2110028
2023-03-14,1180.47,1186.33,1175.35,1181.21,3854328
2023-03-15,1179.82,1181.47,1176.5,1178.14,2041998
2023-03-16,1201.77,1211.71,1190.86,1200.8,3537687
2023-03-17,1208.39,1216.25,1199.56,1207.42,4369638
2023-03-20,1212.72,1217.89,1208.08,1213.24,4371447
2023-03-21,1195.74,1201.31,1191.06,1196.63,3685797
2023-03-22,1214.05,1220.83,1207.72,1214.49,3663187
2023-03-23,1237.47,1240.24,1232.91,1235.68,4863630
2023-03-24,1232.71,1239.05,1224.3,1230.64,1295746
2023-03-27,1202.13,1206.77,1199.92,1204.55,2750547
2023-03-28,1214.81,1220.1,1207.67,1212.96,3771852
2023-03-29,1190.28,1194.41,1187.71,1191.83,2849383
2023-03-30,1186.53,1189.21,1182.73,1185.41,4076251
2023-03-31,1167.45,1177.0,1158.35,1167.9,3081158
2023-04-03,1176.57,1182.0,1167.48,1172.9,3214263
2023-04-04,1181.65,1188.45,1175.84,1182.64,2898092
2023-04-05,1165.53,1166.08,1164.55,1165.11,2705289
