Date,Open,High,Low,Close,Volume
2019-01-01,1329.71,1335.76,1319.49,1325.52,200193596
2019-01-02,1317.72,1331.82,1305.1,1319.18,142628730
2019-01-03,1339.52,1349.73,1330.15,1340.35,149141397
2019-01-04,1357.08,1361.18,1354.94,1359.04,126769620
2019-01-07,1317.73,1334.76,1304.79,1321.77,194924378
2019-01-08,1318.18,1332.35,1304.59,1318.75,72549364
2019-01-09,1333.75,1341.71,1323.94,1331.89,278318261
2019-01-10,1379.34,1388.17,1369.21,1378.03,138368897
2019-01-11,1378.08,1389.94,1365.57,1377.43,199071114
2019-01-14,1350.18,1359.54,1341.34,1350.7,173900964
2019-01-15,1363.79,1370.8,1356.81,1363.82,187165876
2019-01-16,1371.82,1379.87,1358.61,1366.63,153656182
2019-01-17,1338.17,1343.59,1332.36,1337.78,295022962
2019-01-18,1328.67,1333.77,1325.15,1330.24,124521680
2019-01-21,1318.78,1329.24,1310.59,1321.05,188273910
2019-01-22,1337.84,1341.85,1331.66,1335.67,235503970
2019-01-23,1336.4,1342.0,1329.92,1335.51,141628495
2019-01-24,1348.79,1350.73,1344.86,1346.8,160513337
2019-01-25,1362.81,1369.31,1358.56,1365.06,191675635
2019-01-28,1330.97,1340.7,1323.56,1333.28,183543190
2019-01-29,1344.58,1362.72,1334.31,1352.39,177200716
2019-01-30,1345.86,1354.41,1337.31,1345.86,193208445
2019-01-31,1378.28,1389.39,1371.11,1382.2,165841937
2019-02-01,1374.98,1383.05,1364.56,1372.61,112266133
2019-02-04,1375.18,1384.48,1361.41,1370.67,248225844
2019-02-05,1347.45,1350.39,1340.96,1343.9,222196734
2019-02-06,1319.35,1330.07,1312.82,1323.52,188208984
2019-02-07,1347.08,1355.97,1336.31,1345.19,183244156
2019-02-08,1330.41,1339.92,1323.92,1333.41,131828467
2019-02-11,1340.37,1348.24,1334.11,1341.97,169497606
2019-02-12,1344.94,1353.47,1335.03,1343.56,228019084
2019-02-13,1323.44,1329.72,1315.99,1322.25,94543025
2019-02-14,1323.4,1334.33,1315.73,1326.64,184177605
2019-02-15,1308.64,1318.93,1300.06,1310.33,226269547
2019-02-18,1320.16,1327.52,1312.9,1320.26,132911795
2019-02-19,1325.46,1333.67,1317.31,1325.52,156433700
2019-02-20,1319.44,1332.77,1307.27,1320.6,102678992
2019-02-21,1332.92,1341.02,1324.68,1332.77,226824198
2019-02-22,1318.31,1328.7,1308.88,1319.26,142291795
2019-02-25,1286.88,1295.76,1279.3,1288.18,187539940
2019-02-26,1289.93,1302.12,1277.02,1289.2,179364932
2019-02-27,1280.23,1286.6,1272.36,1278.72,170330380
2019-02-28,1248.63,1253.26,1248.45,1253.08,151648553
2019-03-01,1250.12,1251.83,1250.07,1251.77,157518999
2019-03-04,1261.47,1270.7,1257.45,1266.66,84999248
2019-03-05,1267.24,1270.81,1258.54,1262.1,169319303
2019-03-06,1235.63,1239.15,1230.69,1234.21,94996138
2019-03-07,1237.76,1241.52,1232.48,1236.23,121971808
2019-03-08,1253.07,1254.73,1248.76,1250.41,190046612
2019-03-11,1244.74,1256.03,1237.55,1248.81,105829639
2019-03-12,1243.73,1246.12,1241.78,1244.17,153540488
2019-03-13,1252.18,1257.11,1245.35,1250.27,70053361
2019-03-14,1254.74,1261.76,1249.12,1256.14,186225461
2019-03-15,1233.15,1246.42,1224.2,1237.43,188006968
2019-03-18,1246.27,1258.83,1229.01,1241.52,128626785
2019-03-19,1276.5,1284.38,1265.65,1273.52,170722492
2019-03-20,1297.05,1306.83,1288.38,1298.16,190371181
2019-03-21,1280.4,1296.53,1270.9,1286.99,107553065
2019-03-22,1265.35,1273.23,1256.96,1264.83,220108797
2019-03-25,1271.16,1273.17,1269.34,1271.35,250014729
2019-03-26,1244.97,1254.85,1236.83,1246.69,265222601
2019-03-27,1245.83,1251.87,1237.48,1243.5,164089678
2019-03-28,1259.01,1265.1,1251.61,1257.7,121445115
2019-03-29,1278.76,1280.52,1273.05,1274.81,153917740
2019-04-01,1291.3,1299.12,1283.76,1291.57,199465522
2019-04-02,1288.34,1291.34,1283.94,1286.94,125368761
2019-04-03,1308.09,1315.99,1301.81,1309.71,195663699
2019-04-04,1311.66,1314.65,1311.21,1314.2,158546808
2019-04-05,1302.64,1314.43,1292.02,1303.8,159472476
2019-04-08,1277.99,1280.23,1275.31,1277.55,132695882
2019-04-09,1278.59,1284.22,1271.6,1277.23,181323606
2019-04-10,1272.63,1274.66,1271.3,1273.33,114507469
2019-04-11,1298.27,1300.23,1294.65,1296.6,211809945
2019-04-12,1285.72,1296.06,1276.5,1286.84,173662633
2019-04-15,1289.02,1298.36,1276.65,1285.97,123945765
2019-04-16,1278.24,1284.93,1273.55,1280.22,201789181
2019-04-17,1277.34,1284.16,1270.74,1277.56,227467398
2019-04-18,1298.4,1306.59,1287.31,1295.48,133716696
2019-04-19,1287.04,1296.2,1275.46,1284.6,187483715
2019-04-22,1318.05,1331.77,1306.35,1320.05,176660366
2019-04-23,1308.38,1312.79,1303.5,1307.91,91559259
2019-04-24,1311.54,1313.09,1309.1,1310.65,91678545
2019-04-25,1311.0,1321.26,1300.11,1310.37,163253414
2019-04-26,1319.13,1325.49,1311.2,1317.55,192789179
2019-04-29,1330.89,1340.23,1321.13,1330.47,138654675
2019-04-30,1317.62,1325.87,1312.44,1320.68,172953300
2019-05-01,1306.49,1313.95,1298.76,1306.22,191552339
2019-05-02,1312.8,1323.52,1304.5,1315.2,88433526
2019-05-03,1319.08,1334.64,1304.28,1319.83,127846924
2019-05-06,1324.48,1337.33,1316.54,1329.36,151606402
2019-05-07,1319.66,1327.41,1314.05,1321.8,180082915
2019-05-08,1295.86,1303.07,1289.55,1296.76,122012895
2019-05-09,1281.42,1282.04,1280.23,1280.85,152627542
2019-05-10,1279.02,1289.58,1270.13,1280.68,114404968
2019-05-13,1266.57,1270.17,1263.06,1266.67,128905509
2019-05-14,1263.46,1267.87,1258.12,1262.53,122330144
2019-05-15,1267.51,1270.04,1263.9,1266.43,61183204
2019-05-16,1256.98,1265.15,1249.57,1257.73,129997599
2019-05-17,1268.05,1280.8,1257.82,1270.55,191218016
2019-05-20,1224.66,1225.85,1221.0,1222.2,165370531
2019-05-21,1234.25,1237.7,1229.95,1233.39,290272487
2019-05-22,1223.18,1227.39,1216.34,1220.55,245333123
2019-05-23,1230.11,1235.18,1220.02,1225.07,194302298
2019-05-24,1240.4,1247.35,1234.69,1241.63,85021166
2019-05-27,1245.5,1255.55,1231.66,1241.67,151541889
2019-05-28,1241.91,1251.6,1237.6,1247.28,105074282
2019-05-29,1246.8,1256.54,1239.95,1249.68,186593472
2019-05-30,1233.83,1244.83,1223.32,1234.31,172907741
2019-05-31,1229.87,1238.75,1224.61,1233.47,241798026
2019-06-03,1253.6,1257.5,1250.48,1254.37,153203627
2019-06-04,1272.86,1281.44,1262.02,1270.59,186155086
2019-06-05,1276.89,1290.09,1265.53,1278.71,243910313
2019-06-06,1293.11,1296.15,1285.98,1289.0,150166023
2019-06-07,1291.88,1297.26,1282.49,1287.85,210390337
2019-06-10,1300.26,1305.7,1296.04,1301.47,113257214
2019-06-11,1274.57,1282.62,1268.74,1276.78,169804070
2019-06-12,1246.51,1252.03,1237.67,1243.17,111864899
2019-06-13,1233.97,1234.58,1232.3,1232.91,152604294
2019-06-14,1234.71,1239.56,1226.45,1231.29,186626335
2019-06-17,1217.58,1231.75,1208.0,1222.14,90501046
