Date,Open,High,Low,Close,Volume
2023-01-02,1068.59,1072.5,1063.5,1067.4,70758695
2023-01-03,1063.61,1071.44,1055.61,1063.44,49309970
2023-01-04,1061.39,1066.18,1059.07,1063.85,55124433
2023-01-05,1074.21,1074.5,1071.15,1071.44,98657229
2023-01-06,1066.88,1071.67,1059.8,1064.58,52850128
2023-01-09,1068.38,1073.88,1066.26,1071.75,57032642
2023-01-10,1089.91,1094.67,1085.31,1090.07,76520055
2023-01-11,1111.65,1118.12,1104.72,1111.19,63447904
2023-01-12,1114.42,1123.87,1109.63,1119.05,72905584
2023-01-13,1105.35,1114.1,1101.33,1110.06,86711308
2023-01-16,1106.09,1112.58,1101.46,1107.94,43738704
2023-01-17,1114.13,1123.99,1107.23,1117.07,84774308
2023-01-18,1121.37,1126.17,1118.91,1123.71,60940372
2023-01-19,1131.99,1141.73,1125.25,1134.97,66224018
2023-01-20,1140.22,1143.34,1137.38,1140.5,105598490
2023-01-23,1139.92,1148.47,1133.42,1141.96,46314549
2023-01-24,1120.8,1122.39,1116.73,1118.31,81858114
2023-01-25,1109.6,1115.8,1103.01,1109.2,91439338
2023-01-26,1098.97,1103.69,1092.51,1097.22,59136899
2023-01-27,1090.18,1099.0,1085.06,1093.87,59418667
2023-01-30,1100.08,1108.53,1093.02,1101.46,64751306
2023-01-31,1122.62,1125.83,1119.11,1122.31,59031244
2023-02-01,1097.03,1101.91,1091.16,1096.03,72510391
2023-02-02,1095.19,1102.21,1089.59,1096.61,87241438
2023-02-03,1109.09,1114.53,1104.76,1110.2,64848205
2023-02-06,1094.14,1101.49,1087.65,1095.0,87882442
2023-02-07,1103.83,1110.19,1098.13,1104.49,96306942
2023-02-08,1101.54,1105.22,1093.13,1096.79,79011469
2023-02-09,1098.38,1106.09,1089.99,1097.69,80695173
2023-02-10,1105.69,1111.91,1099.38,1105.6,60734156
2023-02-13,1100.99,1106.87,1097.89,1103.77,24554264
2023-02-14,1114.05,1119.93,1110.94,1116.81,81768993
2023-02-15,1139.04,1144.15,1134.41,1139.52,85527318
2023-02-16,1168.22,1174.53,1159.3,1165.59,75648221
2023-02-17,1157.94,1158.49,1157.86,1158.4,87547477
2023-02-20,1140.39,1144.05,1137.08,1140.75,61548893
2023-02-21,1127.83,1133.29,1124.06,1129.51,80570924
2023-02-22,1146.01,1151.88,1144.15,1150.02,97575340
2023-02-23,1123.3,1126.06,1119.56,1122.32,83194840
2023-02-24,1126.03,1131.98,1120.66,1126.61,95268184
2023-02-27,1125.92,1129.88,1120.95,1124.91,95382318
2023-02-28,1105.71,1109.78,1101.3,1105.37,49546278
2023-03-01,1099.83,1103.87,1097.91,1101.95,84149048
2023-03-02,1121.84,1126.41,1116.77,1121.34,60056568
2023-03-03,1119.48,1124.05,1117.81,1122.38,51577279
2023-03-06,1119.83,1128.14,1111.04,1119.35,66231545
2023-03-07,1111.2,1120.21,1102.32,1111.33,102604032
2023-03-08,1110.06,1114.01,1102.72,1106.65,61628474
2023-03-09,1097.97,1102.35,1095.49,1099.87,39973875
2023-03-10,1121.4,1131.36,1114.43,1124.38,45565913
2023-03-13,1124.24,1131.57,1117.85,1125.17,79855245
2023-03-14,1098.78,1107.84,1088.39,1097.44,57794300
2023-03-15,1083.45,1099.11,1073.93,1089.54,34892501
2023-03-16,1087.36,1087.84,1084.97,1085.45,46270169
2023-03-17,1069.64,1077.38,1062.35,1070.09,74301494
2023-03-20,1083.66,1090.55,1079.27,1086.15,85224356
2023-03-21,1083.19,1090.05,1077.12,1083.98,63377447
