Date,Open,High,Low,Close,Volume
2019-01-01,1402.32,1411.14,1392.37,1401.18,102205545
2019-01-02,1407.95,1414.46,1402.03,1408.53,99031062
2019-01-03,1401.27,1408.21,1392.22,1399.15,104633384
2019-01-04,1400.41,1415.24,1382.79,1397.6,81208090
2019-01-07,1404.65,1415.23,1392.72,1403.29,89372241
2019-01-08,1431.16,1448.4,1418.93,1436.13,53169022
2019-01-09,1431.11,1442.01,1421.5,1432.39,137380889
2019-01-10,1435.35,1445.19,1422.29,1432.11,83894398
2019-01-11,1457.38,1476.63,1445.15,1464.34,56927103
2019-01-14,1485.28,1499.86,1475.26,1489.8,82120614
2019-01-15,1464.51,1474.05,1458.72,1468.24,100702209
2019-01-16,1464.8,1472.58,1458.92,1466.68,133732519
2019-01-17,1438.14,1443.28,1430.81,1435.93,70227736
2019-01-18,1427.96,1433.11,1419.04,1424.18,84766412
2019-01-21,1418.89,1427.17,1414.51,1422.78,89585588
2019-01-22,1433.51,1440.2,1427.35,1434.04,98610335
2019-01-23,1440.8,1452.66,1429.2,1441.06,56734503
2019-01-24,1437.98,1453.68,1420.59,1436.28,91110044
2019-01-25,1412.64,1418.31,1402.96,1408.62,90008746
2019-01-28,1392.96,1396.74,1384.2,1387.97,84965071
2019-01-29,1349.15,1355.24,1343.61,1349.7,91153173
2019-01-30,1347.57,1359.53,1336.71,1348.66,86031468
2019-01-31,1344.02,1344.72,1343.78,1344.48,76608446
2019-02-01,1380.99,1383.39,1379.78,1382.18,100609398
2019-02-04,1386.01,1396.6,1376.26,1386.85,79005525
2019-02-05,1367.17,1372.32,1362.84,1367.98,85012449
2019-02-06,1349.58,1359.45,1343.47,1353.32,78925738
2019-02-07,1378.62,1385.42,1368.42,1375.21,94520366
2019-02-08,1399.43,1402.47,1397.41,1400.45,49382598
2019-02-11,1384.2,1392.99,1371.79,1380.55,89131493
2019-02-12,1347.31,1349.32,1343.06,1345.06,86354739
2019-02-13,1330.41,1341.21,1317.4,1328.18,70612211
2019-02-14,1309.38,1310.9,1308.9,1310.42,75107373
2019-02-15,1312.54,1312.84,1309.96,1310.26,27882891
2019-02-18,1327.67,1339.35,1313.58,1325.24,83836962
2019-02-19,1329.01,1333.65,1322.38,1327.01,132218298
2019-02-20,1319.31,1322.47,1313.37,1316.53,90998495
2019-02-21,1315.93,1323.25,1312.49,1319.81,100853062
2019-02-22,1309.37,1312.73,1303.65,1307.0,63842123
2019-02-25,1294.68,1310.51,1280.89,1296.7,98573850
2019-02-26,1278.86,1291.74,1268.91,1281.76,78636871
2019-02-27,1297.71,1301.24,1296.46,1299.98,83629110
2019-02-28,1291.68,1295.45,1291.62,1295.39,125406489
2019-03-01,1326.39,1328.7,1320.89,1323.19,72922300
2019-03-04,1324.83,1334.6,1313.78,1323.54,61824407
2019-03-05,1317.33,1327.58,1306.49,1316.74,59219746
2019-03-06,1328.35,1337.74,1318.78,1328.17,36454929
2019-03-07,1334.3,1341.73,1322.96,1330.37,41289808
2019-03-08,1349.32,1362.87,1341.35,1354.88,102353420
2019-03-11,1348.78,1357.03,1338.81,1347.05,124466861
2019-03-12,1331.39,1338.48,1326.86,1333.94,87534765
2019-03-13,1333.88,1342.45,1328.72,1337.28,76041952
2019-03-14,1320.55,1331.79,1311.9,1323.12,117782957
2019-03-15,1328.3,1331.74,1322.21,1325.65,98557101
2019-03-18,1322.65,1326.02,1317.95,1321.32,134039597
2019-03-19,1305.77,1307.71,1298.11,1300.04,81087819
2019-03-20,1307.88,1315.44,1300.68,1308.24,29247417
2019-03-21,1310.83,1314.16,1308.47,1311.79,134266818
2019-03-22,1298.21,1305.93,1287.58,1295.28,54745387
2019-03-25,1300.42,1314.55,1288.14,1302.26,115203653
2019-03-26,1274.08,1279.15,1267.43,1272.5,102291938
2019-03-27,1291.45,1299.0,1285.45,1292.99,76673834
2019-03-28,1306.93,1315.8,1300.04,1308.9,100908157
2019-03-29,1301.96,1315.25,1293.91,1307.17,98242187
2019-04-01,1302.36,1311.5,1289.92,1299.04,99683862
2019-04-02,1272.11,1279.36,1267.45,1274.69,102842363
2019-04-03,1294.38,1301.29,1289.0,1295.9,86650581
2019-04-04,1288.84,1296.1,1281.69,1288.95,74709975
2019-04-05,1255.68,1268.85,1246.08,1259.22,54824431
2019-04-08,1260.62,1271.78,1254.0,1265.13,85120552
2019-04-09,1239.29,1251.39,1232.2,1244.27,76535260
2019-04-10,1232.67,1246.82,1220.29,1234.43,34735202
2019-04-11,1227.4,1235.84,1220.19,1228.62,115680781
2019-04-12,1258.56,1262.81,1252.49,1256.74,100514511
2019-04-15,1269.8,1271.77,1266.77,1268.74,70535781
2019-04-16,1289.6,1295.56,1282.06,1288.0,143045127
2019-04-17,1268.86,1276.74,1256.47,1264.31,73628765
2019-04-18,1266.72,1274.1,1259.16,1266.53,90709100
2019-04-19,1251.44,1254.84,1249.86,1253.26,111236122
2019-04-22,1260.99,1262.99,1255.49,1257.49,74203404
2019-04-23,1272.33,1279.39,1265.85,1272.9,92451733
2019-04-24,1294.61,1298.75,1291.32,1295.47,131237861
2019-04-25,1301.33,1304.56,1295.4,1298.62,68100352
2019-04-26,1298.64,1304.1,1291.4,1296.84,128525102
2019-04-29,1283.37,1291.22,1274.52,1282.36,87225805
2019-04-30,1263.56,1274.18,1253.0,1263.61,105531723
2019-05-01,1253.79,1255.83,1251.05,1253.08,99592930
2019-05-02,1260.84,1268.58,1254.52,1262.26,172499174
2019-05-03,1265.61,1272.24,1261.03,1267.65,106376362
2019-05-06,1294.6,1297.19,1293.9,1296.49,75459581
2019-05-07,1274.45,1285.0,1263.8,1274.35,78669299
2019-05-08,1319.74,1327.3,1309.98,1317.52,101063747
2019-05-09,1300.52,1306.96,1295.48,1301.92,68148045
2019-05-10,1322.49,1329.5,1318.32,1325.32,85717272
2019-05-13,1339.01,1348.68,1330.02,1339.69,134222749
2019-05-14,1333.06,1340.32,1326.37,1333.63,126923813
2019-05-15,1357.25,1365.71,1348.52,1356.99,44950302
2019-05-16,1376.86,1388.13,1366.05,1377.32,98088735
2019-05-17,1372.24,1373.76,1369.9,1371.42,65515577
2019-05-20,1366.38,1377.07,1352.25,1362.91,102381563
2019-05-21,1356.82,1367.15,1347.62,1357.94,59797332
2019-05-22,1346.05,1355.93,1336.16,1346.05,45757754
2019-05-23,1364.53,1370.51,1360.0,1365.98,100485427
2019-05-24,1344.19,1351.84,1336.16,1343.81,93640840
2019-05-27,1353.06,1364.05,1340.86,1351.84,64221477
2019-05-28,1351.42,1358.93,1341.29,1348.79,60254575
2019-05-29,1322.63,1330.56,1315.55,1323.48,64692709
2019-05-30,1308.76,1317.89,1301.37,1310.49,87579104
2019-05-31,1314.61,1316.98,1311.23,1313.6,73501155
2019-06-03,1294.56,1298.06,1292.32,1295.81,99073791
2019-06-04,1300.8,1312.0,1295.89,1307.07,50061929
2019-06-05,1281.73,1289.81,1275.16,1283.23,81109046
2019-06-06,1297.27,1299.92,1292.81,1295.45,100606196
2019-06-07,1296.11,1305.53,1288.06,1297.47,37204016
2019-06-10,1290.16,1296.25,1280.48,1286.56,75534633
2019-06-11,1266.54,1280.02,1253.89,1267.37,85793712
2019-06-12,1239.08,1245.93,1233.79,1240.63,34705997
2019-06-13,1239.05,1244.54,1234.89,1240.37,142733327
2019-06-14,1216.77,1222.29,1212.51,1218.03,84306427
2019-06-17,1217.12,1223.86,1206.88,1213.6,104865406
2019-06-18,1198.43,1206.99,1190.04,1198.6,85686157
2019-06-19,1188.89,1193.41,1183.8,1188.31,104036888
2019-06-20,1207.22,1208.87,1202.77,1204.42,86060762
2019-06-21,1192.95,1197.1,1189.61,1193.76,78875343
2019-06-24,1179.34,1194.78,1168.1,1183.51,94770259
2019-06-25,1172.39,1173.29,1170.09,1170.99,73078655
2019-06-26,1181.04,1185.82,1174.89,1179.67,76308714
2019-06-27,1181.94,1184.15,1175.91,1178.11,95855528
2019-06-28,1208.64,1217.4,1201.67,1210.41,58123556
2019-07-01,1216.16,1220.03,1211.61,1215.48,62003015
2019-07-02,1224.62,1234.38,1218.1,1227.84,75126413
2019-07-03,1242.85,1247.93,1239.11,1244.18,91124408
2019-07-04,1201.41,1212.0,1189.38,1199.95,140430038
2019-07-05,1194.32,1196.64,1193.06,1195.38,110811763
2019-07-08,1221.07,1234.1,1213.51,1226.51,71036346
2019-07-09,1246.29,1256.31,1233.57,1243.58,61456112
2019-07-10,1243.01,1248.45,1232.19,1237.6,112853460
2019-07-11,1222.04,1229.68,1217.93,1225.56,91218875
2019-07-12,1200.56,1212.47,1192.32,1204.21,80258078
2019-07-15,1225.42,1227.97,1221.36,1223.9,120034548
2019-07-16,1235.4,1246.56,1225.67,1236.82,112450420
2019-07-17,1243.65,1251.8,1237.15,1245.28,94872958
2019-07-18,1229.38,1236.36,1221.3,1228.27,78624973
2019-07-19,1236.13,1242.64,1229.74,1236.26,95358415
2019-07-22,1209.27,1211.71,1206.07,1208.51,104073712
2019-07-23,1164.55,1171.39,1158.0,1164.83,102817492
2019-07-24,1151.19,1157.9,1144.65,1151.36,95060592
2019-07-25,1133.69,1138.69,1131.59,1136.58,76614471
2019-07-26,1125.09,1133.1,1117.6,1125.6,79108901
2019-07-29,1159.89,1169.03,1152.05,1161.18,53324664
2019-07-30,1144.02,1150.99,1137.51,1144.47,81498177
2019-07-31,1166.56,1168.88,1158.6,1160.91,113837381
2019-08-01,1151.18,1153.86,1147.75,1150.43,106468633
2019-08-02,1145.19,1148.82,1140.81,1144.44,120204755
2019-08-05,1132.15,1137.71,1126.68,1132.24,78627407
2019-08-06,1132.32,1138.49,1125.95,1132.11,79984965
2019-08-07,1106.33,1107.54,1102.54,1103.76,55596473
2019-08-08,1099.91,1107.36,1092.36,1099.81,75926324
2019-08-09,1076.07,1081.17,1073.14,1078.24,124291728
2019-08-12,1071.99,1077.21,1067.04,1072.25,114919935
2019-08-13,1071.1,1072.19,1069.07,1070.16,39541828
