Date,Open,High,Low,Close,Volume
2019-01-01,3564.06,3583.03,3539.33,3558.27,35746731
2019-01-02,3613.05,3622.92,3601.01,3610.88,40994755
2019-01-03,3533.98,3566.44,3527.29,3559.7,31285764
2019-01-04,3564.62,3590.95,3533.12,3559.42,33000961
2019-01-07,3561.92,3577.4,3543.77,3559.24,28964548
2019-01-08,3534.1,3568.38,3493.11,3527.33,49214470
2019-01-09,3584.63,3607.04,3553.98,3576.33,30169065
2019-01-10,3626.31,3665.7,3570.52,3609.73,45016991
2019-01-11,3537.96,3542.32,3526.09,3530.43,41268010
2019-01-14,3492.84,3526.3,3456.68,3490.12,26793030
2019-01-15,3413.77,3434.4,3405.5,3426.1,22346406
2019-01-16,3436.62,3472.42,3404.73,3440.5,45107319
2019-01-17,3533.55,3541.94,3519.56,3527.94,36920903
2019-01-18,3569.52,3588.07,3550.04,3568.58,37572609
2019-01-21,3595.37,3625.68,3557.78,3588.03,34905938
2019-01-22,3600.88,3624.59,3576.59,3600.29,40830989
2019-01-23,3619.26,3640.47,3604.65,3625.84,32387118
2019-01-24,3589.02,3618.42,3569.84,3599.18,24562114
2019-01-25,3615.98,3645.73,3581.23,3610.94,44105460
2019-01-28,3610.7,3634.2,3594.26,3617.73,25828117
2019-01-29,3666.5,3691.89,3636.7,3662.06,35298441
2019-01-30,3668.9,3689.28,3647.94,3668.32,24794636
2019-01-31,3712.97,3730.79,3695.25,3713.06,29900164
2019-02-01,3740.53,3758.17,3709.54,3727.12,33599622
2019-02-04,3660.44,3669.41,3655.09,3664.06,19538722
2019-02-05,3648.47,3667.95,3637.94,3657.39,35301258
2019-02-06,3655.21,3696.28,3628.28,3669.24,42993535
2019-02-07,3660.22,3677.79,3652.04,3669.6,45680398
2019-02-08,3663.65,3680.62,3644.6,3661.56,23729327
2019-02-11,3637.87,3669.28,3617.23,3648.59,22220068
2019-02-12,3697.97,3729.59,3662.43,3694.02,33480276
2019-02-13,3659.54,3678.45,3646.61,3665.5,40872452
2019-02-14,3655.93,3674.44,3642.6,3661.08,24390548
2019-02-15,3587.61,3622.21,3555.95,3590.52,39399747
2019-02-18,3541.42,3548.44,3537.76,3544.77,26651157
2019-02-19,3483.74,3498.89,3476.57,3491.7,41638784
2019-02-20,3533.32,3547.44,3513.99,3528.09,25524186
2019-02-21,3496.42,3510.79,3477.93,3492.28,41958915
2019-02-22,3468.41,3484.14,3452.27,3468.0,26496185
2019-02-25,3488.59,3508.8,3468.72,3488.93,28090037
2019-02-26,3436.26,3466.04,3414.3,3444.04,23413877
2019-02-27,3438.62,3446.88,3429.18,3437.44,34341708
2019-02-28,3424.36,3446.08,3404.59,3426.3,45833678
2019-03-01,3421.85,3460.05,3389.18,3427.33,28143841
2019-03-04,3426.46,3439.29,3416.02,3428.84,31569860
2019-03-05,3388.58,3401.42,3368.5,3381.3,25738324
2019-03-06,3400.92,3410.17,3386.15,3395.38,35032524
2019-03-07,3342.91,3367.34,3325.65,3350.04,27846711
2019-03-08,3357.64,3374.32,3340.96,3357.64,39609750
2019-03-11,3244.5,3260.32,3230.95,3246.76,19905771
2019-03-12,3302.97,3326.57,3275.48,3299.06,21575444
2019-03-13,3278.96,3285.0,3273.39,3279.44,37783185
2019-03-14,3265.07,3288.42,3247.02,3270.33,21316467
2019-03-15,3222.47,3242.89,3200.68,3221.1,30223230
2019-03-18,3238.65,3252.0,3223.85,3237.19,33493742
2019-03-19,3235.86,3260.47,3200.33,3224.85,21019252
2019-03-20,3262.23,3281.86,3235.37,3254.96,40619998
2019-03-21,3261.83,3286.7,3240.85,3265.7,35097615
2019-03-22,3271.98,3291.29,3255.24,3274.53,25667308
2019-03-25,3279.78,3300.11,3252.56,3272.85,32858801
2019-03-26,3254.78,3280.45,3228.56,3254.23,31252604
2019-03-27,3272.47,3289.65,3249.94,3267.09,28719291
2019-03-28,3318.8,3333.78,3298.68,3313.64,36916721
2019-03-29,3296.69,3318.99,3269.56,3291.83,35777596
2019-04-01,3341.7,3372.38,3301.28,3331.87,25522969
2019-04-02,3333.16,3362.59,3311.31,3340.69,33496975
2019-04-03,3344.53,3360.97,3323.75,3340.17,33287787
2019-04-04,3310.86,3326.07,3288.78,3303.96,49916449
2019-04-05,3269.93,3311.85,3233.43,3275.29,39545634
2019-04-08,3292.84,3307.12,3281.53,3295.79,26389664
2019-04-09,3295.43,3315.34,3287.0,3306.88,27614812
2019-04-10,3293.17,3313.17,3267.46,3287.43,35519840
2019-04-11,3308.48,3339.93,3286.47,3317.87,42475430
2019-04-12,3265.84,3279.4,3253.5,3267.06,18624905
2019-04-15,3266.68,3300.65,3237.62,3271.55,41710835
2019-04-16,3235.75,3253.89,3224.24,3242.36,27206404
2019-04-17,3235.45,3244.83,3227.84,3237.22,33293187
2019-04-18,3259.02,3268.06,3257.15,3266.19,33777598
2019-04-19,3275.72,3293.98,3261.41,3279.65,16118434
2019-04-22,3294.85,3324.2,3262.74,3292.06,42326879
2019-04-23,3278.9,3293.93,3247.63,3262.58,34389061
2019-04-24,3209.97,3230.55,3191.31,3211.88,29346436
2019-04-25,3136.81,3165.32,3111.59,3140.07,38691579
2019-04-26,3107.89,3122.35,3092.02,3106.48,23731605
2019-04-29,3057.46,3085.14,3038.33,3065.96,37374792
2019-04-30,3033.97,3043.69,3028.89,3038.6,26520756
2019-05-01,2978.33,2992.58,2958.86,2973.08,29305706
2019-05-02,2959.71,2990.41,2932.35,2963.03,40146508
2019-05-03,3006.51,3034.29,2991.38,3019.1,23576525
2019-05-06,2996.18,3029.27,2981.17,3014.17,16014927
2019-05-07,3001.77,3016.9,2986.12,3001.24,29370283
2019-05-08,3020.86,3050.16,2988.59,3017.85,34376026
2019-05-09,3097.77,3107.17,3084.93,3094.32,20154244
2019-05-10,3117.58,3125.02,3108.05,3115.48,33985485
2019-05-13,3085.32,3116.68,3055.86,3087.21,35199664
2019-05-14,3037.66,3060.3,3020.58,3043.19,39194885
2019-05-15,3037.39,3058.45,3011.98,3033.0,27756863
2019-05-16,3018.56,3021.0,3016.96,3019.4,48885783
2019-05-17,3009.63,3025.79,2995.07,3011.23,24425078
2019-05-20,3026.36,3036.02,3018.53,3028.19,28594413
2019-05-21,2938.71,2948.04,2930.47,2939.79,38590208
2019-05-22,2970.69,2978.49,2962.98,2970.78,14708375
2019-05-23,2994.56,3012.34,2979.42,2997.19,16865601
2019-05-24,3049.17,3068.56,3029.31,3048.69,30577430
2019-05-27,3087.09,3098.48,3076.62,3088.0,43582451
2019-05-28,3038.28,3056.22,3023.62,3041.54,14184698
2019-05-29,3037.38,3061.75,3020.58,3044.9,26398918
2019-05-30,2964.7,2980.87,2948.32,2964.49,27636648
2019-05-31,2977.07,2980.63,2975.9,2979.45,36056467
2019-06-03,2988.43,3012.15,2963.21,2986.92,20458945
2019-06-04,2963.13,2986.7,2942.88,2966.42,34100028
2019-06-05,3011.58,3015.44,2997.32,3001.17,27204792
2019-06-06,2972.87,2991.73,2950.1,2968.94,29237890
2019-06-07,2973.0,2994.42,2952.25,2973.66,40408984
2019-06-10,2906.6,2920.74,2884.63,2898.74,26214173
2019-06-11,2919.7,2932.54,2906.56,2919.4,17269188
2019-06-12,2910.08,2929.55,2900.57,2920.01,33952006
2019-06-13,2887.19,2914.39,2864.66,2891.82,26947130
2019-06-14,2957.94,2965.2,2946.59,2953.84,9915834
2019-06-17,2987.09,2993.96,2973.92,2980.77,27705381
2019-06-18,3003.97,3025.08,2983.3,3004.41,27928904
2019-06-19,3051.58,3071.8,3031.81,3052.02,29177063
2019-06-20,3048.57,3059.91,3039.98,3051.31,34714190
2019-06-21,3049.34,3063.22,3034.46,3048.34,31231569
2019-06-24,3012.38,3033.77,2990.74,3012.12,40128337
2019-06-25,3041.1,3049.98,3031.2,3040.07,27028712
2019-06-26,3074.88,3089.97,3056.53,3071.6,21193302
2019-06-27,3132.73,3147.03,3115.87,3130.16,34560346
2019-06-28,3087.59,3088.99,3081.71,3083.11,33741464
2019-07-01,3060.27,3085.4,3040.01,3065.1,34627581
2019-07-02,3043.21,3051.97,3039.53,3048.28,35377556
2019-07-03,3085.74,3103.44,3068.16,3085.86,37492994
2019-07-04,3103.44,3115.42,3091.93,3103.91,55581785
2019-07-05,3181.22,3204.92,3156.19,3179.87,34538451
2019-07-08,3144.02,3175.74,3114.49,3146.19,36757135
2019-07-09,3191.0,3197.48,3180.48,3186.96,46586630
2019-07-10,3340.4,3357.06,3310.38,3326.98,23491297
2019-07-11,3326.85,3350.08,3300.77,3323.98,12938902
2019-07-12,3270.3,3277.47,3253.96,3261.11,35203388
2019-07-15,3246.06,3265.88,3228.52,3248.33,32531994
2019-07-16,3265.05,3272.94,3257.9,3265.8,40071264
2019-07-17,3291.42,3325.48,3268.63,3302.61,50347996
2019-07-18,3325.52,3338.53,3309.5,3322.49,21796812
2019-07-19,3274.0,3289.34,3260.03,3275.36,17966764
2019-07-22,3287.76,3305.96,3273.97,3292.16,40072738
2019-07-23,3264.97,3285.38,3238.17,3258.54,15721605
2019-07-24,3315.07,3323.81,3304.12,3312.86,15594749
2019-07-25,3259.54,3284.69,3233.88,3259.02,23377041
2019-07-26,3311.54,3339.15,3286.6,3314.19,22662972
2019-07-29,3313.88,3333.98,3290.85,3310.93,26507527
2019-07-30,3259.8,3269.22,3231.43,3240.79,28293482
2019-07-31,3197.3,3217.89,3172.95,3193.51,47375333
2019-08-01,3209.34,3229.27,3184.9,3204.8,22033254
2019-08-02,3196.7,3223.26,3166.17,3192.7,22583525
2019-08-05,3201.08,3224.38,3186.01,3209.27,21121890
2019-08-06,3211.55,3229.84,3198.81,3217.08,32678394
2019-08-07,3225.09,3230.01,3215.24,3220.15,40064553
2019-08-08,3225.73,3231.88,3221.82,3227.97,35784269
2019-08-09,3246.17,3257.89,3239.36,3251.07,26956909
2019-08-12,3231.49,3244.37,3207.86,3220.7,38929545
2019-08-13,3196.59,3220.0,3161.33,3184.66,49375424
2019-08-14,3160.65,3170.06,3158.33,3167.74,24731555
2019-08-15,3161.87,3166.01,3154.41,3158.55,28324050
2019-08-16,3160.53,3170.22,3138.29,3147.93,16940027
2019-08-19,3234.25,3256.5,3202.78,3224.96,16755802
2019-08-20,3185.7,3215.25,3162.85,3192.35,29786326
2019-08-21,3158.32,3187.21,3130.61,3159.5,35890426
2019-08-22,3156.11,3169.98,3133.0,3146.82,33048467
2019-08-23,3097.59,3138.6,3066.76,3107.67,26480302
2019-08-26,3115.53,3129.76,3105.26,3119.47,30812532
2019-08-27,3119.45,3129.71,3118.03,3128.29,41202408
2019-08-28,3076.11,3091.67,3059.5,3075.06,35407829
2019-08-29,3144.72,3162.08,3130.01,3147.35,28059024
2019-08-30,3149.93,3151.45,3143.62,3145.14,50998426
2019-09-02,3074.6,3089.07,3068.54,3082.99,17544471
2019-09-03,3097.12,3110.95,3083.44,3097.26,35090147
2019-09-04,3078.16,3110.7,3053.01,3085.49,38870111
2019-09-05,3048.32,3054.95,3040.23,3046.86,45116208
2019-09-06,2988.62,3004.03,2968.27,2983.65,22217406
2019-09-09,2989.06,3006.65,2968.64,2986.22,27113966
2019-09-10,2987.35,3015.05,2964.83,2992.49,28930925
2019-09-11,3053.18,3079.14,3022.18,3048.09,32012692
2019-09-12,3101.92,3127.26,3084.56,3109.85,28823134
2019-09-13,3084.18,3100.89,3069.07,3085.77,28212542
2019-09-16,3090.83,3109.38,3069.1,3087.63,19819307
2019-09-17,3120.39,3143.21,3094.44,3117.24,26106123
2019-09-18,3075.37,3095.15,3047.88,3067.61,22999331
2019-09-19,3068.74,3077.73,3062.1,3071.08,27465587
2019-09-20,3034.1,3057.22,3019.51,3042.6,34974771
