Date,Open,High,Low,Close,Volume
2023-01-02,422.91,425.84,417.56,420.48,42848943
2023-01-03,421.54,425.18,419.01,422.64,54675433
2023-01-04,426.23,428.85,424.13,426.74,51288328
2023-01-05,430.4,433.12,427.38,430.1,47868266
2023-01-06,421.89,422.67,420.92,421.69,62215125
2023-01-09,414.39,417.47,412.71,415.79,55933052
2023-01-10,413.25,415.63,411.66,414.04,72044759
2023-01-11,412.72,413.94,411.32,412.54,42835522
2023-01-12,416.25,417.36,415.32,416.43,48891371
2023-01-13,414.57,417.53,411.11,414.06,30928387
2023-01-16,410.01,411.34,407.09,408.41,41186347
2023-01-17,410.62,413.87,408.4,411.64,62531275
2023-01-18,409.67,411.79,405.68,407.78,64961901
2023-01-19,400.99,403.63,396.85,399.49,63373966
2023-01-20,396.16,399.9,393.79,397.53,71344887
2023-01-23,390.02,392.48,388.51,390.96,61419786
2023-01-24,382.49,383.56,381.74,382.8,55115040
2023-01-25,372.21,375.26,369.87,372.92,63103212
2023-01-26,375.08,377.68,372.04,374.64,44325624
2023-01-27,375.88,379.42,371.86,375.4,32701796
2023-01-30,385.31,387.8,382.72,385.21,49176773
2023-01-31,383.03,384.27,381.51,382.75,50743605
2023-02-01,389.47,390.93,388.11,389.57,55836473
2023-02-02,392.58,392.71,392.13,392.27,43863399
2023-02-03,391.78,392.9,389.16,390.28,46456959
2023-02-06,383.92,386.51,383.16,385.76,64772019
2023-02-07,387.05,389.25,384.84,387.04,38349800
2023-02-08,391.18,393.69,388.31,390.82,53134323
2023-02-09,391.78,395.39,388.25,391.86,46268201
2023-02-10,386.17,390.3,381.81,385.93,32199604
2023-02-13,391.68,393.64,388.79,390.74,49082897
2023-02-14,390.83,392.54,389.53,391.24,42642875
2023-02-15,389.87,391.32,386.71,388.16,48933430
2023-02-16,387.87,390.23,386.66,389.02,55523365
2023-02-17,385.58,389.12,381.56,385.1,25822197
2023-02-20,384.65,385.06,384.25,384.66,68061375
2023-02-21,384.57,387.55,381.4,384.37,94065122
2023-02-22,389.28,390.3,387.66,388.68,42041729
2023-02-23,385.98,387.9,384.55,386.46,46712524
2023-02-24,392.36,392.62,391.24,391.5,43656826
2023-02-27,389.85,392.43,385.75,388.32,40208356
2023-02-28,382.69,385.24,380.36,382.91,80708939
2023-03-01,377.63,378.89,376.75,378.02,50366053
2023-03-02,380.6,383.16,377.09,379.64,63619368
2023-03-03,377.8,380.19,374.67,377.06,69964168
2023-03-06,380.14,382.64,378.83,381.33,68239968
2023-03-07,370.28,370.43,369.73,369.87,69232359
2023-03-08,359.63,361.09,357.61,359.07,37129437
2023-03-09,357.71,360.1,355.35,357.75,66489354
2023-03-10,355.56,356.51,353.55,354.49,49374759
2023-03-13,354.77,358.28,352.41,355.91,76109315
2023-03-14,350.59,353.08,349.62,352.11,42835438
2023-03-15,355.66,357.2,353.37,354.9,38724045
2023-03-16,355.32,356.98,354.24,355.9,53759585
2023-03-17,354.7,356.43,352.99,354.72,62213929
2023-03-20,349.93,352.88,347.78,350.72,30119959
2023-03-21,351.99,354.72,348.66,351.39,48341829
2023-03-22,355.33,357.08,353.34,355.09,39234972
2023-03-23,358.37,358.96,357.87,358.46,65843452
2023-03-24,357.92,360.88,355.86,358.81,46224774
2023-03-27,356.86,358.37,355.47,356.98,68508875
2023-03-28,358.6,359.99,356.98,358.36,44237550
2023-03-29,359.69,361.77,358.0,360.07,57675080
2023-03-30,354.46,356.81,352.47,354.82,35483932
2023-03-31,353.93,355.23,352.63,353.93,52233360
2023-04-03,352.9,354.89,350.43,352.42,39240487
2023-04-04,358.44,360.35,356.24,358.14,73795825
2023-04-05,357.42,359.45,354.57,356.59,67810267
2023-04-06,361.03,363.35,358.77,361.09,56517243
2023-04-07,364.31,364.34,363.54,363.58,67152685
