Date,Open,High,Low,Close,Volume
2019-01-01,2753.88,2771.53,2727.7,2745.29,19666637
2019-01-02,2755.41,2755.44,2754.18,2754.21,26478507
2019-01-03,2772.61,2785.16,2762.69,2775.22,27733914
2019-01-04,2796.51,2817.76,2771.4,2792.63,24853922
2019-01-07,2781.4,2789.34,2773.77,2781.71,19875508
2019-01-08,2731.13,2753.56,2708.92,2731.35,21307442
2019-01-09,2717.1,2727.06,2701.78,2711.72,10764197
2019-01-10,2722.25,2729.55,2710.9,2718.19,24500719
2019-01-11,2690.88,2717.72,2672.78,2699.57,23943842
2019-01-14,2710.73,2716.95,2704.19,2710.41,15459542
2019-01-15,2738.99,2755.27,2717.91,2734.16,22828099
2019-01-16,2775.89,2798.28,2751.69,2774.07,25889480
2019-01-17,2771.77,2787.53,2755.13,2770.88,21776764
2019-01-18,2797.41,2822.68,2783.92,2809.14,10168607
2019-01-21,2816.51,2833.42,2793.52,2810.39,30816467
2019-01-22,2764.92,2777.37,2756.28,2768.72,18913351
2019-01-23,2699.14,2724.66,2673.48,2699.0,22864373
2019-01-24,2708.79,2738.49,2674.48,2704.13,11565159
2019-01-25,2769.09,2791.59,2740.65,2763.1,11772762
2019-01-28,2751.23,2761.4,2745.34,2755.49,18121284
2019-01-29,2717.8,2733.43,2699.78,2715.4,19268701
2019-01-30,2710.75,2717.63,2706.15,2713.03,19631180
2019-01-31,2691.18,2697.67,2685.04,2691.54,18851417
2019-02-01,2679.67,2691.19,2667.64,2679.16,24704802
2019-02-04,2666.08,2680.82,2645.44,2660.15,23578677
2019-02-05,2659.17,2673.72,2646.96,2661.5,29256178
2019-02-06,2672.43,2688.94,2647.24,2663.71,24556288
2019-02-07,2646.68,2664.8,2626.58,2644.69,18277503
2019-02-08,2584.44,2612.83,2568.18,2596.49,23257443
2019-02-11,2627.74,2642.74,2612.89,2627.89,26408273
2019-02-12,2600.94,2622.54,2588.25,2609.81,33861750
2019-02-13,2597.16,2622.79,2569.67,2595.28,17652671
2019-02-14,2636.07,2651.92,2620.1,2635.95,25903769
2019-02-15,2614.71,2633.91,2595.33,2614.52,17723555
2019-02-18,2613.34,2621.11,2593.88,2601.63,23890880
2019-02-19,2611.11,2619.05,2605.11,2613.05,14802512
2019-02-20,2664.96,2681.9,2645.66,2662.58,26688217
2019-02-21,2674.56,2690.15,2642.27,2657.75,18247133
2019-02-22,2666.59,2688.07,2639.1,2660.53,19311644
2019-02-25,2639.38,2649.56,2627.52,2637.69,32049871
2019-02-26,2665.69,2674.31,2654.24,2662.85,26653576
2019-02-27,2657.82,2677.38,2639.08,2658.63,10309798
2019-02-28,2653.6,2675.63,2626.96,2648.96,16622124
2019-03-01,2633.07,2641.84,2630.34,2639.1,21015495
2019-03-04,2638.65,2662.41,2613.84,2637.59,20718498
2019-03-05,2641.1,2645.34,2640.47,2644.71,17743594
2019-03-06,2643.86,2666.06,2618.98,2641.15,20256584
2019-03-07,2612.03,2614.12,2602.81,2604.89,23699180
2019-03-08,2561.54,2578.43,2551.25,2568.12,30391438
2019-03-11,2596.39,2607.29,2585.09,2595.98,14003705
2019-03-12,2649.77,2664.12,2632.9,2647.22,18743203
2019-03-13,2600.24,2608.64,2594.81,2603.2,26552626
2019-03-14,2615.59,2616.25,2613.74,2614.4,29967157
2019-03-15,2689.84,2697.0,2678.35,2685.5,25791090
2019-03-18,2744.7,2764.75,2723.03,2743.07,11070959
2019-03-19,2687.93,2703.83,2674.38,2690.28,17093839
2019-03-20,2607.44,2621.2,2588.25,2601.99,13580919
2019-03-21,2644.95,2655.5,2625.67,2636.18,22172902
2019-03-22,2616.27,2629.7,2601.68,2615.11,27550854
2019-03-25,2646.71,2664.99,2622.47,2640.72,11525854
2019-03-26,2634.43,2659.24,2607.65,2632.44,7032029
2019-03-27,2635.7,2653.5,2624.36,2642.14,10899011
2019-03-28,2656.77,2668.1,2640.75,2652.05,17854782
2019-03-29,2667.12,2677.61,2650.22,2660.68,26239965
2019-04-01,2661.56,2682.61,2633.53,2654.53,15201669
2019-04-02,2698.76,2718.08,2679.78,2699.1,11995931
2019-04-03,2769.22,2776.2,2747.12,2754.06,19479569
2019-04-04,2760.39,2779.71,2737.29,2756.6,17577986
2019-04-05,2798.72,2810.79,2786.28,2798.35,22933577
2019-04-08,2787.02,2803.33,2777.32,2793.61,28202945
2019-04-09,2800.42,2818.71,2786.8,2805.06,15614081
2019-04-10,2780.78,2800.16,2764.73,2784.09,21659904
2019-04-11,2811.44,2828.06,2801.81,2818.4,13977670
2019-04-12,2882.22,2890.52,2863.73,2872.0,17490002
2019-04-15,2872.39,2900.71,2839.49,2867.77,13692634
2019-04-16,2837.22,2864.6,2821.79,2849.1,17852187
2019-04-17,2864.49,2882.02,2846.52,2864.06,18094250
2019-04-18,2852.52,2870.13,2833.11,2850.71,22541178
2019-04-19,2864.56,2879.0,2849.71,2864.15,20143226
2019-04-22,2883.24,2892.17,2858.36,2867.24,16768045
2019-04-23,2853.53,2879.9,2830.9,2857.24,13889074
2019-04-24,2862.23,2885.9,2828.92,2852.52,33600749
2019-04-25,2881.71,2903.22,2860.69,2882.19,20822257
2019-04-26,2913.75,2922.18,2892.11,2900.5,13399988
2019-04-29,2887.84,2924.18,2868.9,2905.13,27055180
2019-04-30,2883.46,2902.32,2863.18,2882.04,12193604
2019-05-01,2881.88,2899.14,2852.81,2870.0,24112127
2019-05-02,2913.94,2919.84,2904.43,2910.32,26175728
2019-05-03,2954.1,2983.15,2931.92,2960.92,16753725
2019-05-06,3023.61,3058.81,2999.17,3034.29,29777437
2019-05-07,3031.42,3049.84,3017.77,3036.17,42173300
2019-05-08,3002.42,3028.31,2983.81,3009.66,17027707
2019-05-09,2970.02,2991.91,2956.26,2978.12,23096936
2019-05-10,2978.99,2999.28,2948.52,2968.75,16207275
2019-05-13,3022.66,3032.28,3013.03,3022.65,17067509
2019-05-14,3043.86,3067.5,3025.87,3049.47,20677016
2019-05-15,3011.4,3044.74,2985.0,3018.27,24115371
2019-05-16,3016.02,3037.7,3002.76,3024.39,17599247
2019-05-17,2988.22,3007.09,2966.05,2984.89,18625834
2019-05-20,2928.45,2941.26,2913.96,2926.76,22414879
2019-05-21,2892.47,2910.78,2878.84,2897.13,28195912
2019-05-22,2936.05,2947.57,2914.61,2926.09,22984060
2019-05-23,2984.5,2996.26,2978.16,2989.91,13919986
2019-05-24,3003.71,3008.64,3002.66,3007.59,22072407
2019-05-27,3045.91,3070.41,3020.12,3044.61,13080307
2019-05-28,3059.8,3089.47,3036.79,3066.41,25201481
2019-05-29,3095.68,3113.05,3075.66,3093.01,19976006
2019-05-30,3090.98,3119.69,3071.19,3099.84,18201135
2019-05-31,3107.78,3130.32,3090.56,3113.06,16913820
2019-06-03,3050.33,3065.52,3025.51,3040.65,23195603
2019-06-04,3027.87,3041.83,3012.92,3026.87,21706405
2019-06-05,3087.65,3110.53,3062.22,3085.09,22160863
2019-06-06,3064.07,3079.59,3051.82,3067.33,21695170
2019-06-07,3030.52,3035.57,3020.42,3025.46,19433792
2019-06-10,3062.95,3078.68,3047.97,3063.7,18935114
2019-06-11,2953.27,2990.95,2921.78,2959.39,22999455
2019-06-12,2936.33,2957.67,2906.1,2927.37,21008076
2019-06-13,2938.99,2955.8,2920.35,2937.15,27356538
2019-06-14,2897.95,2911.31,2878.12,2891.45,14875459
2019-06-17,2811.97,2827.38,2797.79,2813.2,19628530
2019-06-18,2849.04,2873.44,2829.64,2854.01,20833835
2019-06-19,2892.87,2903.93,2879.12,2890.17,19081081
2019-06-20,2897.32,2913.13,2878.67,2894.47,17669870
2019-06-21,2900.89,2909.71,2889.12,2897.93,20387727
2019-06-24,2935.72,2949.97,2917.43,2931.66,21413432
2019-06-25,2829.66,2846.85,2816.47,2833.64,24743041
2019-06-26,2872.65,2884.09,2850.16,2861.56,18536941
2019-06-27,2847.08,2856.5,2833.7,2843.11,18308271
2019-06-28,2790.23,2815.87,2759.69,2785.29,14787207
2019-07-01,2725.12,2749.11,2711.45,2735.38,24261020
2019-07-02,2712.49,2724.33,2709.25,2721.09,29289823
2019-07-03,2719.91,2741.55,2703.91,2725.53,22812367
2019-07-04,2735.16,2754.65,2724.82,2744.27,16199179
2019-07-05,2706.19,2721.91,2692.07,2707.79,15495730
2019-07-08,2695.38,2717.67,2670.9,2693.17,14496946
2019-07-09,2707.47,2717.12,2696.32,2705.97,20803721
2019-07-10,2712.72,2730.16,2691.37,2708.79,10755175
2019-07-11,2736.14,2754.26,2704.27,2722.3,35175972
2019-07-12,2651.57,2664.99,2644.71,2658.11,18083236
2019-07-15,2639.43,2664.02,2619.38,2643.94,25199772
2019-07-16,2672.74,2685.74,2653.95,2666.92,27425846
