Date,Open,High,Low,Close,Volume
2024-08-15,72.53,75.28,71.25,74.44,6631732
2024-08-16,73.15,73.74,72.28,73.53,17796259
2024-08-19,72.26,72.48,70.7,70.97,4999671
2024-08-20,71.87,72.27,70.13,72.0,15170730
2024-08-21,70.85,73.31,70.05,72.44,1847424
2024-08-22,71.33,71.41,69.69,71.17,8565842
2024-08-23,71.79,72.26,70.07,72.24,7725627
2024-08-26,73.17,74.69,69.78,71.18,10743956
2024-08-27,71.28,73.0,70.68,71.46,7541953
2024-08-28,70.17,70.21,68.46,69.86,10790940
2024-08-29,68.78,70.06,65.97,67.68,19333457
2024-08-30,66.7,68.07,65.06,65.14,1666028
2024-09-02,66.54,67.45,65.96,67.11,19771156
2024-09-03,67.92,69.31,65.59,66.14,15238787
2024-09-04,65.26,66.27,62.98,64.13,18510868
2024-09-05,64.34,65.54,63.83,63.89,5156802
2024-09-06,64.91,65.58,63.99,65.24,12676162
2024-09-09,63.8,65.27,61.18,62.13,4973679
2024-09-10,63.17,64.05,62.86,62.94,15903874
2024-09-11,62.89,63.04,62.59,62.63,14045156
2024-09-12,61.54,63.11,59.46,59.81,18202378
2024-09-13,58.79,60.38,56.61,58.02,17062168
2024-09-16,58.74,59.89,57.91,58.32,15910750
2024-09-17,59.47,61.07,58.36,59.59,10466495
2024-09-18,59.31,59.76,58.04,58.9,4395104
2024-09-19,60.38,61.86,58.87,58.92,13020757
2024-09-20,58.12,61.13,56.51,59.95,7691675
2024-09-23,59.65,60.53,59.48,60.03,19320177
2024-09-24,58.55,59.69,56.9,57.17,6058375
2024-09-25,56.38,57.33,55.14,57.1,4073650
2024-09-26,58.07,59.65,56.32,56.64,11416741
2024-09-27,56.21,57.37,55.67,56.21,14064331
2024-09-30,55.38,55.9,52.31,53.8,12192907
2024-10-01,54.18,54.69,52.07,52.98,8068731
2024-10-02,53.82,53.99,52.03,52.34,13032877
2024-10-03,52.68,54.78,51.83,53.85,18281500
2024-10-04,54.51,56.99,53.73,55.83,15999556
2024-10-07,55.3,57.36,54.53,56.4,8212696
2024-10-08,57.88,58.69,56.67,56.95,11772075
