Date,Open,High,Low,Close,Volume
2019-01-01,2297.17,2318.21,2283.06,2304.06,199199475
2019-01-02,2276.03,2291.24,2264.33,2279.53,219373423
2019-01-03,2281.74,2295.87,2268.96,2283.08,216798828
2019-01-04,2304.72,2309.21,2299.41,2303.9,143061848
2019-01-07,2311.2,2334.69,2291.28,2314.73,224445332
2019-01-08,2318.39,2325.73,2309.2,2316.53,277353424
2019-01-09,2325.46,2336.4,2308.38,2319.29,288703365
2019-01-10,2304.29,2316.15,2291.16,2303.01,227101147
2019-01-11,2293.89,2299.56,2282.29,2287.94,80266779
2019-01-14,2295.26,2300.7,2286.63,2292.06,269303916
2019-01-15,2276.05,2297.47,2245.21,2266.54,151724889
2019-01-16,2243.06,2247.19,2236.23,2240.36,273399353
2019-01-17,2214.58,2223.05,2210.14,2218.6,230066276
2019-01-18,2224.69,2233.27,2218.08,2226.65,144170819
2019-01-21,2227.83,2237.45,2220.34,2229.96,119316608
2019-01-22,2196.82,2212.77,2186.56,2202.48,159541950
2019-01-23,2211.09,2231.68,2197.58,2218.12,138835600
2019-01-24,2210.11,2225.68,2197.13,2212.69,139931658
2019-01-25,2221.2,2230.69,2206.88,2216.35,191563386
2019-01-28,2242.61,2248.84,2228.57,2234.78,227669481
2019-01-29,2252.97,2261.06,2244.2,2252.29,119035346
2019-01-30,2222.36,2233.42,2213.5,2224.56,80295594
2019-01-31,2244.63,2256.3,2233.62,2245.29,211369552
2019-02-01,2232.19,2245.73,2214.15,2227.67,217381729
2019-02-04,2177.27,2188.05,2167.23,2178.01,187981279
2019-02-05,2173.23,2185.76,2161.52,2174.05,341204473
2019-02-06,2176.34,2185.33,2166.99,2175.98,227380421
2019-02-07,2184.39,2197.07,2168.66,2181.33,156869106
2019-02-08,2166.72,2178.36,2147.92,2159.53,186969377
2019-02-11,2129.61,2152.19,2116.33,2138.85,97202727
2019-02-12,2211.7,2224.9,2200.54,2213.74,190525179
2019-02-13,2205.64,2219.98,2198.45,2212.77,137306407
2019-02-14,2228.94,2238.18,2217.04,2226.26,168328120
2019-02-15,2210.12,2223.01,2199.96,2212.83,156387577
2019-02-18,2232.01,2251.03,2214.23,2233.24,232027084
2019-02-19,2218.8,2221.33,2216.77,2219.29,145436276
2019-02-20,2213.64,2230.09,2189.43,2205.82,148458357
2019-02-21,2154.88,2166.94,2147.5,2159.55,229892638
2019-02-22,2217.99,2229.09,2202.06,2213.12,254256568
2019-02-25,2218.21,2223.52,2208.47,2213.76,232749093
2019-02-26,2250.7,2268.84,2226.93,2245.02,175472097
2019-02-27,2271.16,2278.88,2259.61,2267.33,212159334
2019-02-28,2272.55,2272.89,2268.84,2269.18,103310068
2019-03-01,2254.17,2267.14,2237.46,2250.41,202613863
2019-03-04,2195.48,2217.65,2178.97,2201.1,185654608
2019-03-05,2200.09,2227.73,2183.52,2211.07,208955950
2019-03-06,2228.44,2241.66,2209.17,2222.35,137916476
2019-03-07,2224.79,2226.57,2222.79,2224.57,175421319
2019-03-08,2210.61,2226.18,2191.62,2207.17,172202741
2019-03-11,2251.65,2255.61,2243.28,2247.24,64238491
2019-03-12,2241.25,2245.97,2232.81,2237.52,213615433
2019-03-13,2284.44,2293.61,2272.86,2282.03,239935327
2019-03-14,2221.9,2243.46,2206.47,2227.99,257774912
2019-03-15,2216.79,2224.35,2208.8,2216.36,235223708
2019-03-18,2233.52,2240.23,2221.12,2227.8,257166389
2019-03-19,2254.18,2270.34,2234.67,2250.81,217822198
2019-03-20,2238.35,2249.88,2228.89,2240.42,255286002
2019-03-21,2245.01,2250.25,2240.26,2245.5,101308308
