Date,Open,High,Low,Close,Volume
2019-01-01,543.43,545.68,542.48,544.72,225334200
2019-01-02,545.83,547.26,544.47,545.91,225279672
2019-01-03,530.3,536.43,524.92,531.04,310727562
2019-01-04,527.35,530.46,524.27,527.38,227822584
2019-01-07,525.38,529.34,521.29,525.25,256858119
2019-01-08,524.16,525.85,522.47,524.16,224727470
2019-01-09,527.16,529.34,525.23,527.42,194090152
2019-01-10,524.63,527.45,523.0,525.82,215929237
2019-01-11,520.45,521.59,517.17,518.3,263239392
2019-01-14,515.93,518.61,513.44,516.12,347007273
2019-01-15,523.1,523.61,522.33,522.84,130120383
2019-01-16,529.36,532.76,526.24,529.64,287804029
2019-01-17,528.56,530.82,526.46,528.72,148934996
2019-01-18,527.46,530.77,522.92,526.22,380432238
2019-01-21,527.17,531.85,523.64,528.32,184039679
2019-01-22,524.53,526.56,522.13,524.15,282662966
2019-01-23,528.38,533.13,524.07,528.81,196909311
2019-01-24,542.42,546.89,537.17,541.64,170046043
2019-01-25,536.92,538.51,534.9,536.48,342632680
2019-01-28,537.77,539.3,536.47,538.0,314885646
2019-01-29,540.8,543.32,536.07,538.58,288393424
2019-01-30,539.96,543.34,537.52,540.9,224290633
2019-01-31,531.92,534.8,529.57,532.45,235976335
2019-02-01,523.58,525.91,521.31,523.64,336079041
2019-02-04,532.7,535.58,531.41,534.28,367763736
2019-02-05,545.33,548.05,540.76,543.47,332116456
2019-02-06,539.28,543.53,536.24,540.48,254849014
2019-02-07,541.06,543.86,537.2,540.0,234473349
2019-02-08,535.06,539.61,529.87,534.42,227304748
2019-02-11,536.41,537.7,534.57,535.86,273624068
2019-02-12,536.32,540.34,532.04,536.06,212656259
2019-02-13,542.0,544.1,540.51,542.6,357482858
2019-02-14,536.0,540.36,532.63,536.99,100678407
2019-02-15,536.16,539.47,532.51,535.81,152405672
2019-02-18,538.16,539.07,537.42,538.33,171540615
2019-02-19,538.0,540.42,534.24,536.66,229186525
2019-02-20,542.74,545.3,540.69,543.24,342006045
2019-02-21,543.26,544.94,540.76,542.44,354092776
2019-02-22,546.3,550.35,541.59,545.64,276867141
2019-02-25,548.73,550.98,545.99,548.24,361429604
2019-02-26,540.39,540.55,539.58,539.73,282713373
2019-02-27,549.53,552.15,547.69,550.3,230894678
2019-02-28,560.17,562.87,558.93,561.63,302812663
2019-03-01,557.84,560.23,555.72,558.11,125776657
2019-03-04,560.08,563.83,555.65,559.4,302110649
2019-03-05,568.96,571.7,564.73,567.46,279669509
2019-03-06,565.37,567.22,563.34,565.19,174159896
2019-03-07,575.42,581.54,570.5,576.6,301960817
2019-03-08,578.71,583.42,573.41,578.11,197569035
2019-03-11,574.79,575.97,571.83,573.01,300264703
2019-03-12,559.02,561.42,556.1,558.5,254167390
2019-03-13,557.35,560.07,555.27,557.99,246562740
2019-03-14,562.93,565.85,561.13,564.05,286434684
2019-03-15,562.23,566.34,558.36,562.47,368980385
